pathway,contrast,NES,padj,size,database
GOBP_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION,Training_CRE,1.9893436426566156,0.008430679971259585,41,GO:BP
REACTOME_SCAVENGING_BY_CLASS_A_RECEPTORS,Training_CRE,2.0826529784865295,0.009174982743781614,11,Reactome
HALLMARK_MYC_TARGETS_V1,Training_CRE,1.7380193233526526,0.01185910136641813,135,Hallmark
GOBP_LEUKOCYTE_MIGRATION,Training_CRE,1.8828420711266232,0.011936473366547417,66,GO:BP
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,Training_CRE,2.0924199760886077,0.01219452648806368,15,GO:BP
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,Training_CRE,1.8117149700365331,0.012252743827089428,99,Reactome
REACTOME_CELLULAR_RESPONSE_TO_STARVATION,Training_CRE,1.8317193037196144,0.012252743827089428,89,Reactome
GOBP_LAMELLIPODIUM_ORGANIZATION,Training_CRE,2.0567766794362883,0.01371367900248702,25,GO:BP
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,Training_CRE,2.004701975091522,0.01371367900248702,13,Reactome
REACTOME_RHO_GTPASE_CYCLE,Training_CRE,1.8072205915967512,0.014276955161277258,103,Reactome
REACTOME_SEMAPHORIN_INTERACTIONS,Training_CRE,2.0576035926791794,0.015484104165398489,23,Reactome
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Training_CRE,1.9162805428671998,0.015512711274022468,58,GO:BP
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,Training_CRE,2.039835448999572,0.015569395786920145,19,GO:BP
REACTOME_EPH_EPHRIN_SIGNALING,Training_CRE,1.9505901626984532,0.017556029227186312,33,Reactome
REACTOME_PROCESSING_OF_CAPPED_INTRON_CONTAINING_PRE_MRNA,Training_CRE,1.8936458814415147,0.017616004825837247,56,Reactome
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY,Training_CRE,2.012129944523938,0.017988023159290812,25,GO:BP
GOBP_PROTEIN_K63_LINKED_UBIQUITINATION,Training_CRE,-2.0664156365138107,0.01810434205009569,12,GO:BP
HALLMARK_APICAL_JUNCTION,Training_CRE,1.9149549936545758,0.018154423484894627,52,Hallmark
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,Training_CRE,1.7928286145309837,0.018154423484894627,85,Reactome
REACTOME_ANTIGEN_PROCESSING_UBIQUITINATION_PROTEASOME_DEGRADATION,Training_CRE,-1.7873871150759906,0.018595102679708594,78,Reactome
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,Training_CRE,1.9245267322423292,0.019272631969516486,47,GO:BP
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,Training_CRE,2.0210869661972293,0.019272631969516486,15,GO:BP
GOBP_OSTEOBLAST_DIFFERENTIATION,Training_CRE,1.9132401277918925,0.019272631969516486,45,GO:BP
GOBP_RECEPTOR_MEDIATED_ENDOCYTOSIS,Training_CRE,1.8618275048795188,0.019272631969516486,60,GO:BP
GOBP_INTEGRIN_MEDIATED_SIGNALING_PATHWAY,Training_CRE,1.9852032954621586,0.021811759033901017,30,GO:BP
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,Training_CRE,1.9920272691603924,0.021811759033901017,21,Reactome
GOBP_DEPHOSPHORYLATION,Training_CRE,-1.896912119485863,0.025485621432468884,29,GO:BP
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,Training_CRE,1.7658531467524603,0.026172679001058588,80,GO:BP
REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT,Training_CRE,1.7691100535172157,0.03128939957492317,67,Reactome
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,Training_CRE,1.968793846658959,0.03454581335664336,15,GO:BP
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION,Training_CRE,1.9504948617236484,0.03623249909054582,12,GO:BP
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT,Training_CRE,-1.7282992636979468,0.03664068027339456,68,GO:BP
REACTOME_SARS_COV_2_HOST_INTERACTIONS,Training_CRE,1.7044863824620267,0.042640132526267645,68,Reactome
GOBP_COLLAGEN_METABOLIC_PROCESS,Training_CRE,1.901905280590134,0.04572905255730341,20,GO:BP
REACTOME_MHC_CLASS_II_ANTIGEN_PRESENTATION,Training_CRE,1.7847979741600233,0.04627102299724016,56,Reactome
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL,Training_CRE,-1.8896084875727128,0.0467567933150344,32,GO:BP
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Training_CRE,1.6714533296554193,0.04950735337392731,86,GO:BP
GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS,Training_CRE,-0.6210340523971593,1,13,GO:BP
GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS,Training_CRE,-1.1635208116211935,0.630776285620701,15,GO:BP
GOBP_ACETYL_COA_METABOLIC_PROCESS,Training_CRE,-0.7141033265805261,0.9886612016670907,21,GO:BP
GOBP_ACIDIC_AMINO_ACID_TRANSPORT,Training_CRE,-1.3721875837524735,0.46101152169275644,10,GO:BP
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Training_CRE,-0.7002219656821443,1,45,GO:BP
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Training_CRE,1.8650253990374133,0.06042131498632572,25,GO:BP
GOBP_ACTIN_FILAMENT_SEVERING,Training_CRE,1.3967256141582576,0.43395538146541957,10,GO:BP
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Training_CRE,-0.9390461869375952,0.8456810833542066,38,GO:BP
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,Training_CRE,0.659026290140602,0.9953768547869035,14,GO:BP
GOBP_ACTIN_NUCLEATION,Training_CRE,1.7059552354020466,0.13552490438061393,19,GO:BP
GOBP_ACTION_POTENTIAL,Training_CRE,-1.2694928804617513,0.48489605936341584,27,GO:BP
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Training_CRE,1.075856351096591,0.6949452622300233,67,GO:BP
GOBP_ACUTE_INFLAMMATORY_RESPONSE,Training_CRE,0.8206147134468895,0.9263517635546851,11,GO:BP
GOBP_ACYL_COA_METABOLIC_PROCESS,Training_CRE,-1.2597436591612436,0.4661736568169891,44,GO:BP
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,Training_CRE,0.8423698671570238,0.9367449293324593,35,GO:BP
GOBP_ADAPTIVE_THERMOGENESIS,Training_CRE,1.186155184719818,0.5829288399992728,33,GO:BP
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Training_CRE,-0.895132639949015,0.8679600803640292,14,GO:BP
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Training_CRE,1.282173939753187,0.5368984967991766,10,GO:BP
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Training_CRE,1.0183169566690113,0.775987814911169,23,GO:BP
GOBP_ADHERENS_JUNCTION_ORGANIZATION,Training_CRE,1.4411227425527697,0.38829464361240806,10,GO:BP
GOBP_ADULT_BEHAVIOR,Training_CRE,1.0174297159728527,0.7752228531272874,16,GO:BP
GOBP_ADULT_LOCOMOTORY_BEHAVIOR,Training_CRE,1.0174297159728527,0.7752228531272874,16,GO:BP
GOBP_AEROBIC_RESPIRATION,Training_CRE,-0.5425481297826678,1,129,GO:BP
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS,Training_CRE,-1.486169748404271,0.24418045684438264,37,GO:BP
GOBP_ALCOHOL_CATABOLIC_PROCESS,Training_CRE,-0.8076881563983189,0.9403473776168274,13,GO:BP
GOBP_ALCOHOL_METABOLIC_PROCESS,Training_CRE,-1.2132619580707495,0.4762795983575321,89,GO:BP
GOBP_ALDEHYDE_METABOLIC_PROCESS,Training_CRE,-1.1871985362916706,0.5751028022408134,31,GO:BP
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS,Training_CRE,0.8587936694330524,0.9009692722322249,18,GO:BP
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,Training_CRE,-1.2378614096485003,0.4635501431056737,69,GO:BP
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,Training_CRE,0.8341871597591456,0.9323757224047385,22,GO:BP
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,Training_CRE,-0.7426912382519336,0.971889897946236,15,GO:BP
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Training_CRE,1.7813887337921717,0.05835909394062917,45,GO:BP
GOBP_AMIDE_BIOSYNTHETIC_PROCESS,Training_CRE,-0.8540591541198077,0.9483099865293477,51,GO:BP
GOBP_AMIDE_METABOLIC_PROCESS,Training_CRE,-0.9828194362310098,0.8095584588338788,136,GO:BP
GOBP_AMIDE_TRANSPORT,Training_CRE,-0.8513074713065767,0.9496295087560543,54,GO:BP
GOBP_AMINE_METABOLIC_PROCESS,Training_CRE,0.9970538052928382,0.7910831017111034,19,GO:BP
GOBP_AMINO_ACID_ACTIVATION,Training_CRE,0.811627376143938,0.9533561142796595,30,GO:BP
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,Training_CRE,-1.7636168697050356,0.10807394822525176,11,GO:BP
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS,Training_CRE,0.7460934399951412,0.9724249215121766,22,GO:BP
GOBP_AMINO_ACID_CATABOLIC_PROCESS,Training_CRE,-1.2569982603886032,0.46974830229945674,45,GO:BP
GOBP_AMINO_ACID_METABOLIC_PROCESS,Training_CRE,-0.9507011099175312,0.8558296436854311,114,GO:BP
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT,Training_CRE,1.239003474723132,0.5751028022408134,10,GO:BP
GOBP_AMINO_ACID_TRANSPORT,Training_CRE,1.1108034750020404,0.7010057929644866,12,GO:BP
GOBP_AMINO_SUGAR_METABOLIC_PROCESS,Training_CRE,1.0550318840141617,0.7512924961969145,10,GO:BP
GOBP_AMP_BIOSYNTHETIC_PROCESS,Training_CRE,-1.8288978858993092,0.10558479842311289,11,GO:BP
GOBP_AMP_METABOLIC_PROCESS,Training_CRE,-1.202585327481761,0.5829288399992728,18,GO:BP
GOBP_AMYLOID_BETA_CLEARANCE,Training_CRE,0.9944789755581657,0.7950047346728872,10,GO:BP
GOBP_AMYLOID_BETA_FORMATION,Training_CRE,0.728275710517285,0.971889897946236,12,GO:BP
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,Training_CRE,0.7223877856397073,0.9798524931293785,17,GO:BP
GOBP_AMYLOID_FIBRIL_FORMATION,Training_CRE,-0.8757414453146577,0.8970437859055702,20,GO:BP
GOBP_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS,Training_CRE,0.819840563608709,0.93316621300866,16,GO:BP
GOBP_AMYLOID_PRECURSOR_PROTEIN_METABOLIC_PROCESS,Training_CRE,0.7879007640991168,0.9543127779617882,17,GO:BP
GOBP_ANATOMICAL_STRUCTURE_MATURATION,Training_CRE,-0.8123165780149392,0.9543127779617882,24,GO:BP
GOBP_ANIMAL_ORGAN_REGENERATION,Training_CRE,-0.7298856029451398,0.9724249215121766,13,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION,Training_CRE,1.5054780467629891,0.24662891046386193,30,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_ANTIGEN,Training_CRE,0.977949783380613,0.806680991562843,11,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_ENDOGENOUS_PEPTIDE_ANTIGEN,Training_CRE,0.9675755827327559,0.8175340415343305,10,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN,Training_CRE,1.4846029035478379,0.35669337797813677,13,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,Training_CRE,1.3704234528968149,0.46101152169275644,11,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,Training_CRE,1.407783812416187,0.3994842034801852,21,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I,Training_CRE,1.3634258576220943,0.46974830229945674,12,GO:BP
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II,Training_CRE,1.0043446580338178,0.7794828732374655,12,GO:BP
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,Training_CRE,-1.3954851817801797,0.36341803486333324,28,GO:BP
GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE,Training_CRE,1.6024803786061494,0.2301176183801572,13,GO:BP
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,Training_CRE,1.7744817756490021,0.10100996590646144,17,GO:BP
GOBP_ANTIVIRAL_INNATE_IMMUNE_RESPONSE,Training_CRE,-1.2740529003419967,0.5468275215623335,12,GO:BP
GOBP_APICAL_JUNCTION_ASSEMBLY,Training_CRE,1.4061115581792931,0.41853961324647865,14,GO:BP
GOBP_APOPTOTIC_MITOCHONDRIAL_CHANGES,Training_CRE,-0.8423806855455188,0.9496295087560543,40,GO:BP
GOBP_APPENDAGE_DEVELOPMENT,Training_CRE,1.0704159111713814,0.7403365760387182,13,GO:BP
GOBP_APPENDAGE_MORPHOGENESIS,Training_CRE,1.2045834309872017,0.6107278002414362,10,GO:BP
GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION,Training_CRE,1.6949770370097867,0.1525267511914396,16,GO:BP
GOBP_ARTERY_DEVELOPMENT,Training_CRE,1.5506404069589328,0.2862453531598513,14,GO:BP
GOBP_ASPARTATE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,Training_CRE,-1.0448167963674813,0.751511986768661,17,GO:BP
GOBP_ASSOCIATIVE_LEARNING,Training_CRE,0.7365465998448166,0.9694421870888562,10,GO:BP
GOBP_ASTROCYTE_DIFFERENTIATION,Training_CRE,1.3151760517664948,0.4937235855423644,16,GO:BP
GOBP_ATP_BIOSYNTHETIC_PROCESS,Training_CRE,-0.4121442009184827,1,69,GO:BP
GOBP_ATP_METABOLIC_PROCESS,Training_CRE,-0.5570137219861122,1,123,GO:BP
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,Training_CRE,0.7183120660207283,1,72,GO:BP
GOBP_AUTOPHAGOSOME_MATURATION,Training_CRE,-1.4487508038114454,0.35071988244772556,19,GO:BP
GOBP_AUTOPHAGOSOME_ORGANIZATION,Training_CRE,1.0963279222497322,0.6982481998775222,27,GO:BP
GOBP_AUTOPHAGY_OF_MITOCHONDRION,Training_CRE,-1.0812123074014914,0.6915117124328719,37,GO:BP
GOBP_AXONAL_TRANSPORT,Training_CRE,0.7987644851170528,0.9474868496967552,15,GO:BP
GOBP_AXON_EXTENSION,Training_CRE,0.894485758390112,0.8757380705355209,22,GO:BP
GOBP_AXO_DENDRITIC_TRANSPORT,Training_CRE,0.9859041081086554,0.7993977463784114,19,GO:BP
GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING,Training_CRE,1.7309092206929093,0.14461375056170594,12,GO:BP
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,Training_CRE,1.289906674425098,0.516689416669087,16,GO:BP
GOBP_BASE_EXCISION_REPAIR,Training_CRE,-1.0748705116004447,0.7342073778601849,10,GO:BP
GOBP_BINDING_OF_SPERM_TO_ZONA_PELLUCIDA,Training_CRE,0.8481101783416343,0.9009692722322249,11,GO:BP
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,Training_CRE,1.172926833301535,0.5741484106149964,52,GO:BP
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT,Training_CRE,1.5566992328824456,0.28422483354265954,10,GO:BP
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Training_CRE,1.2389276489974674,0.4858517345444766,60,GO:BP
GOBP_BIOMINERAL_TISSUE_DEVELOPMENT,Training_CRE,1.413881687508377,0.41877284019298466,12,GO:BP
GOBP_BLASTOCYST_DEVELOPMENT,Training_CRE,0.7723640494863652,0.9598683656627401,15,GO:BP
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_MIGRATION,Training_CRE,1.1791947897376391,0.6074366308157119,22,GO:BP
GOBP_BODY_FLUID_SECRETION,Training_CRE,0.9425380215734074,0.8244887242174054,11,GO:BP
GOBP_BONE_DEVELOPMENT,Training_CRE,1.6395922424217249,0.14984818923817547,28,GO:BP
GOBP_BONE_MINERALIZATION,Training_CRE,1.2555946768590764,0.5646602672381708,10,GO:BP
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,Training_CRE,-1.520817005149148,0.27077163010247857,21,GO:BP
GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE,Training_CRE,-1.067739818561434,0.7356030866488175,16,GO:BP
GOBP_BROWN_FAT_CELL_DIFFERENTIATION,Training_CRE,-0.7058423426830873,0.9810422527162832,10,GO:BP
GOBP_B_CELL_ACTIVATION,Training_CRE,-0.9454809259445376,0.8324010540970564,22,GO:BP
GOBP_B_CELL_DIFFERENTIATION,Training_CRE,0.8127603934456429,0.93316621300866,10,GO:BP
GOBP_B_CELL_MEDIATED_IMMUNITY,Training_CRE,-0.8547261391606658,0.8937746124842899,10,GO:BP
GOBP_B_CELL_PROLIFERATION,Training_CRE,-0.8895936326510777,0.8678412251658311,13,GO:BP
GOBP_CALCINEURIN_MEDIATED_SIGNALING,Training_CRE,0.9892197100510057,0.7957886228467113,13,GO:BP
GOBP_CALCIUM_ION_HOMEOSTASIS,Training_CRE,-1.2738326825970399,0.4013879225273651,71,GO:BP
GOBP_CALCIUM_ION_IMPORT,Training_CRE,-1.5107267555723005,0.306494238192891,12,GO:BP
GOBP_CALCIUM_ION_REGULATED_EXOCYTOSIS,Training_CRE,-0.776905199173312,0.9543127779617882,10,GO:BP
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,Training_CRE,-1.6144820511047895,0.13017326389683,43,GO:BP
GOBP_CALCIUM_ION_TRANSPORT,Training_CRE,-1.6008069238018452,0.10261555956920196,84,GO:BP
GOBP_CALCIUM_MEDIATED_SIGNALING,Training_CRE,-1.6445738588059045,0.1188422599703714,44,GO:BP
GOBP_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION,Training_CRE,1.3783239206009592,0.33620131773821577,61,GO:BP
GOBP_CANONICAL_WNT_SIGNALING_PATHWAY,Training_CRE,-1.0525370301086208,0.7342073778601849,31,GO:BP
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS,Training_CRE,-1.1149789031115582,0.6225760801846768,58,GO:BP
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS,Training_CRE,-1.121676914224928,0.6167285759617718,63,GO:BP
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS,Training_CRE,0.8615303009571759,0.9461327603504254,79,GO:BP
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT,Training_CRE,1.0332104497717973,0.7710205902976988,13,GO:BP
GOBP_CARBOHYDRATE_HOMEOSTASIS,Training_CRE,-0.7615954248971171,0.9942935229393085,52,GO:BP
GOBP_CARBOHYDRATE_PHOSPHORYLATION,Training_CRE,-1.2015064950549494,0.6107278002414362,11,GO:BP
GOBP_CARBOHYDRATE_TRANSPORT,Training_CRE,-1.2637735826148242,0.5059551471034724,23,GO:BP
GOBP_CARDIAC_CELL_DEVELOPMENT,Training_CRE,0.8074903446240903,0.9520600983143814,26,GO:BP
GOBP_CARDIAC_CHAMBER_DEVELOPMENT,Training_CRE,0.5402161930622061,1,21,GO:BP
GOBP_CARDIAC_CHAMBER_MORPHOGENESIS,Training_CRE,-0.9225411216807492,0.8411789687332815,13,GO:BP
GOBP_CARDIAC_CONDUCTION,Training_CRE,-1.2638234508881987,0.5059551471034724,25,GO:BP
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,Training_CRE,-1.4267690295244007,0.3595852043057012,21,GO:BP
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL_INVOLVED_IN_CONTRACTION,Training_CRE,-1.2652613291881964,0.5505498965176748,12,GO:BP
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION,Training_CRE,-1.410165650074932,0.3749810022520967,21,GO:BP
GOBP_CARDIAC_MUSCLE_CELL_DIFFERENTIATION,Training_CRE,0.9802462733640089,0.8027906976744186,30,GO:BP
GOBP_CARDIAC_MUSCLE_CELL_MEMBRANE_REPOLARIZATION,Training_CRE,-1.260357247283871,0.5625776726986148,11,GO:BP
GOBP_CARDIAC_MUSCLE_CONTRACTION,Training_CRE,-1.2475739228561524,0.4718612472872841,51,GO:BP
GOBP_CARDIAC_MUSCLE_TISSUE_DEVELOPMENT,Training_CRE,-0.7734979414107855,0.9853426323570637,48,GO:BP
GOBP_CARDIAC_MUSCLE_TISSUE_MORPHOGENESIS,Training_CRE,-0.6495245594483167,0.9983513919482392,11,GO:BP
GOBP_CARDIAC_MYOFIBRIL_ASSEMBLY,Training_CRE,0.7770577528989807,0.9533561142796595,10,GO:BP
GOBP_CARDIAC_VENTRICLE_DEVELOPMENT,Training_CRE,0.5313723280934293,1,13,GO:BP
GOBP_CARDIOCYTE_DIFFERENTIATION,Training_CRE,1.0085471223389275,0.7794828732374655,33,GO:BP
GOBP_CARTILAGE_DEVELOPMENT,Training_CRE,1.8142317881264431,0.08086972831811165,20,GO:BP
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,Training_CRE,-0.7914514333177904,0.9496295087560543,13,GO:BP
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,Training_CRE,-0.8272591222130098,0.91924201316592,10,GO:BP
GOBP_CELLULAR_COMPONENT_ASSEMBLY_INVOLVED_IN_MORPHOGENESIS,Training_CRE,1.1233000471235697,0.6299362922214288,56,GO:BP
GOBP_CELLULAR_COMPONENT_DISASSEMBLY,Training_CRE,1.4157778237081817,0.20408307331742648,111,GO:BP
GOBP_CELLULAR_COMPONENT_MAINTENANCE,Training_CRE,1.4571885802621087,0.3749810022520967,10,GO:BP
GOBP_CELLULAR_HYPEROSMOTIC_RESPONSE,Training_CRE,-0.889571301841297,0.8666295938576208,10,GO:BP
GOBP_CELLULAR_OXIDANT_DETOXIFICATION,Training_CRE,0.72477063357767,0.9977330892696734,44,GO:BP
GOBP_CELLULAR_PIGMENTATION,Training_CRE,1.0870477638503246,0.7267317114116341,12,GO:BP
GOBP_CELLULAR_PROCESS_INVOLVED_IN_REPRODUCTION_IN_MULTICELLULAR_ORGANISM,Training_CRE,-1.0686046554748068,0.7070861898234888,38,GO:BP
GOBP_CELLULAR_RESPIRATION,Training_CRE,-0.4778739573926112,1,142,GO:BP
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS,Training_CRE,-0.9766609674717169,0.8175340415343305,71,GO:BP
GOBP_CELLULAR_RESPONSE_TO_ACID_CHEMICAL,Training_CRE,1.4173586845227075,0.36341803486333324,25,GO:BP
GOBP_CELLULAR_RESPONSE_TO_ALCOHOL,Training_CRE,-1.0120725073066774,0.7790986153578443,21,GO:BP
GOBP_CELLULAR_RESPONSE_TO_ANGIOTENSIN,Training_CRE,-0.6154132782276754,1,11,GO:BP
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,Training_CRE,1.5796165525857109,0.17404863247503058,38,GO:BP
GOBP_CELLULAR_RESPONSE_TO_CALCIUM_ION,Training_CRE,0.8482219031127581,0.9143953604662908,21,GO:BP
GOBP_CELLULAR_RESPONSE_TO_CAMP,Training_CRE,0.9533532693939979,0.8196995800208953,13,GO:BP
GOBP_CELLULAR_RESPONSE_TO_CARBOHYDRATE_STIMULUS,Training_CRE,-0.9662711187917542,0.817327636756531,29,GO:BP
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,Training_CRE,0.6194736437415701,1,88,GO:BP
