gene,pattern,sort_key,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,imputed
MRPS27,PLA-specific,1.3066,-0.1909,1.3066,0.909821,0.00596,0.005044,TRUE
ANP32E,PLA-specific,1.2972,0.229,1.2972,0.921098,0.010118,0.177334,TRUE
NUDT9,PLA-specific,1.297,-0.6035,1.297,0.173516,0.002267,8e-6,TRUE
NADK2,PLA-specific,1.2853,-0.2655,1.2853,0.723618,0.006176,0.001064,TRUE
RAP1A,PLA-specific,1.2647,-0.7,1.2647,0.289764,0.014165,2.78e-4,TRUE
CRADD,PLA-specific,1.2611,0.0487,1.2611,0.996153,0.012017,0.073308,TRUE
UQCRQ,PLA-specific,1.2426,-0.16,1.2426,0.948782,0.003684,0.009269,FALSE
ACACA,PLA-specific,1.2346,-0.3417,1.2346,0.804202,0.015313,0.008912,FALSE
GOSR2,PLA-specific,1.2335,-0.8437,1.2335,0.095239,0.002286,3e-6,TRUE
CARS2,PLA-specific,1.1943,-0.2896,1.1943,0.799046,0.013352,0.005391,TRUE
SLC25A6,PLA-specific,1.1871,-0.2613,1.1871,0.86966,0.010824,0.010316,FALSE
IRGQ,PLA-specific,1.1818,-0.1411,1.1818,0.941998,0.016186,0.013342,TRUE
MYO6,PLA-specific,1.1752,0.0298,1.1752,0.998247,0.004401,0.041952,FALSE
CTBP1,PLA-specific,1.167,0.0279,1.167,0.997427,0.00397,0.015505,TRUE
CKMT2,PLA-specific,1.1641,-0.1875,1.1641,0.930764,0.009954,0.016116,FALSE
PFKM,PLA-specific,1.1599,-0.2184,1.1599,0.903093,0.009143,0.011711,FALSE
GOT2,PLA-specific,1.1595,-0.1349,1.1595,0.966533,0.013546,0.030064,FALSE
MUSTN1,PLA-specific,1.1584,-0.2913,1.1584,0.825158,0.014043,0.008342,TRUE
C19orf12,PLA-specific,1.1557,0.113,1.1557,0.973005,0.032516,0.133529,TRUE
TSFM,PLA-specific,1.155,-0.2253,1.155,0.877027,0.014748,0.00974,TRUE
C11orf68,PLA-specific,1.1339,-0.3063,1.1339,0.581,6.3e-5,7e-6,TRUE
MRPL12,PLA-specific,1.1243,0.1033,1.1243,0.975502,0.04782,0.149462,TRUE
MSRB2,PLA-specific,1.1141,-0.2681,1.1141,0.815882,0.028139,0.011302,TRUE
ENPP4,PLA-specific,1.1131,0.6455,1.1131,0.143273,0.012903,0.646758,TRUE
PYGM,PLA-specific,1.0919,-0.0979,1.0919,0.981262,0.015662,0.041096,FALSE
PLP2,PLA-specific,1.0914,0.0548,1.0914,0.994967,0.029869,0.142752,TRUE
ETHE1,PLA-specific,1.0659,-0.3221,1.0659,0.644009,1.48e-4,7.3e-5,TRUE
BZW2,PLA-specific,1.0626,-0.1766,1.0626,0.94407,0.036829,0.050414,TRUE
FDXR,PLA-specific,1.0572,-0.2767,1.0572,0.804314,0.021891,0.009231,TRUE
EIF2B3,PLA-specific,1.0394,-0.3546,1.0394,0.479612,0.005885,3.21e-4,TRUE
SNU13,PLA-specific,1.0353,-0.336,1.0353,0.716635,0.042867,0.010662,TRUE
FAM162A,PLA-specific,1.0326,-0.004,1.0326,0.999966,0.009556,0.053943,FALSE
NDUFA13,PLA-specific,1.0136,0.1274,1.0136,0.963957,0.018358,0.164468,FALSE
DHRS7C,PLA-specific,1.0131,-0.4114,1.0131,0.582853,0.014022,0.001995,TRUE
MAPK14,PLA-specific,1.0039,-0.4261,1.0039,0.493163,0.011352,8.59e-4,TRUE
FLNC,PLA-specific,0.9909,-0.0844,0.9909,0.983638,0.019183,0.046762,TRUE
NDUFS5,PLA-specific,0.9777,0.0685,0.9777,0.990062,0.026244,0.148194,FALSE
NDUFA9,PLA-specific,0.9686,0.0606,0.9686,0.991115,0.013396,0.100782,FALSE
ADHFE1,PLA-specific,0.9645,-0.1498,0.9645,0.955314,0.042173,0.064304,TRUE
PDP1,PLA-specific,0.9599,-0.1653,0.9599,0.914842,0.013086,0.013447,TRUE
ALDH5A1,PLA-specific,0.9569,-0.2601,0.9569,0.822496,0.017662,0.010981,FALSE
CLPP,PLA-specific,0.9315,0.298,0.9315,0.628721,0.009414,0.257602,TRUE
TIMM44,PLA-specific,0.9227,-0.2959,0.9227,0.767525,0.027569,0.011259,TRUE
AP1B1,PLA-specific,0.9089,0.4424,0.9089,0.479322,0.02646,0.61181,TRUE
FAHD1,PLA-specific,0.9071,-0.2576,0.9071,0.79331,0.015057,0.007424,TRUE
PSMD7,PLA-specific,0.9039,-0.0436,0.9039,0.993721,0.003342,0.018697,FALSE
SMS,PLA-specific,0.8978,0.0762,0.8978,0.983954,0.031476,0.150013,TRUE
FITM2,PLA-specific,0.8959,-0.1705,0.8959,0.871626,0.027564,0.013644,TRUE
NDUFB1,PLA-specific,0.8875,0.288,0.8875,0.758546,0.026381,0.401406,TRUE
PIP4K2B,PLA-specific,0.8547,-0.4205,0.8547,0.411825,0.029732,0.001474,TRUE
CKM,PLA-specific,0.8487,-0.0359,0.8487,0.996998,0.046901,0.120976,FALSE
CYC1,PLA-specific,0.8456,-0.0133,0.8456,0.999549,0.028397,0.099964,FALSE
ALDH1B1,PLA-specific,0.8406,0.537,0.8406,0.288558,0.034136,0.817075,TRUE
PCYT1A,PLA-specific,0.8325,-0.0232,0.8325,0.998405,0.029098,0.079178,TRUE
UQCR11,PLA-specific,0.8288,0.0666,0.8288,0.98897,0.047758,0.211963,TRUE
RPL30,PLA-specific,0.8172,0.2126,0.8172,0.835892,0.015099,0.284374,FALSE
RBBP4,PLA-specific,0.8171,-0.5727,0.8171,0.235026,0.039476,6.58e-4,TRUE
UBE2D3,PLA-specific,0.7955,-0.1499,0.7955,0.936097,0.049937,0.058379,FALSE
TIPRL,PLA-specific,0.7822,-0.2302,0.7822,0.786512,0.01386,0.006782,FALSE
MAPT,PLA-specific,0.7686,-0.2084,0.7686,0.860121,0.04454,0.031011,FALSE
ISOC2,PLA-specific,0.7669,-0.2693,0.7669,0.762347,0.043894,0.017399,FALSE
FIS1,PLA-specific,0.7605,-0.2257,0.7605,0.79435,0.018221,0.009128,FALSE
