gene,pathway,go_slim_id,pattern,logFC_Training_CRE,logFC_Training_PLA
PFKM,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,-0.2184,1.1599
PGAM1,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,0.0423,-0.7834
PYGM,Carbohydrate & Energy Metabolism,GO:0005975,PLA-specific,-0.0979,1.0919
UQCR11,Carbohydrate & Energy Metabolism,GO:0006091,PLA-specific,0.0666,0.8288
UQCRQ,Carbohydrate & Energy Metabolism,GO:0006091,PLA-specific,-0.16,1.2426
MYL3,Circulatory System,GO:0003013,PLA-specific,-0.5784,1.8815
CAVIN1,Cytoskeleton & Motility,GO:0048870,PLA-specific,0.2006,-1.1462
CTNNA1,Cytoskeleton & Motility,GO:0007163,PLA-specific,0.1716,-1.1614
DYNC1LI2,Cytoskeleton & Motility,GO:0007018,PLA-specific,0.244,-1.0781
FLNC,Cytoskeleton & Motility,GO:0007010,PLA-specific,-0.0844,0.9909
KRT19,Cytoskeleton & Motility,GO:0007010,PLA-specific,0.7622,-2.632
LAMA4,Cytoskeleton & Motility,GO:0048870,PLA-specific,0.0934,-1.2935
MAP1B,Cytoskeleton & Motility,GO:0007163,PLA-specific,0.0695,-1.5364
MAPT,Cytoskeleton & Motility,GO:0007018,PLA-specific,-0.2084,0.7686
SOD1,Cytoskeleton & Motility,GO:0007018,PLA-specific,-0.128,-0.8258
VCAN,Cytoskeleton & Motility,GO:0048870,PLA-specific,0.8689,-1.4421
CALM1,DNA & Cell Cycle,GO:0000910,PLA-specific,0.3967,-0.9601
DRG1,DNA & Cell Cycle,GO:0140014,PLA-specific,-0.1604,1.551
EML4,DNA & Cell Cycle,GO:0140014,PLA-specific,-0.9983,2.282
PCYT1A,DNA & Cell Cycle,GO:0006310,PLA-specific,-0.0232,0.8325
RBBP4,DNA & Cell Cycle,GO:0006260,PLA-specific,-0.5727,0.8171
RHOA,DNA & Cell Cycle,GO:0140014,PLA-specific,0.2091,-0.6732
STMN1,DNA & Cell Cycle,GO:0000910,PLA-specific,0.2976,-1.0747
TNKS1BP1,DNA & Cell Cycle,GO:0032200,PLA-specific,0.5256,-1.7345
TUBB2B,DNA & Cell Cycle,GO:0000278,PLA-specific,0.0757,-1.7676
TUBB4A,DNA & Cell Cycle,GO:0000278,PLA-specific,0.3202,-2.5858
UBE2D3,DNA & Cell Cycle,GO:0006281,PLA-specific,-0.1499,0.7955
CRADD,Development,GO:0012501,PLA-specific,0.0487,1.2611
RRBP1,Development,GO:0030154,PLA-specific,0.3548,-1.2331
COL6A2,ECM & Adhesion,GO:0007155,PLA-specific,0.8997,-1.6028
CSTA,ECM & Adhesion,GO:0007155,PLA-specific,0.1364,-1.5371
ENPP4,ECM & Adhesion,GO:0042060,PLA-specific,0.6455,1.1131
GNAQ,ECM & Adhesion,GO:0042060,PLA-specific,0.3081,-1.438
ITGA6,ECM & Adhesion,GO:0034330,PLA-specific,-0.051,-1.0861
LAMB1,ECM & Adhesion,GO:0030198,PLA-specific,0.4599,-1.0697
MYOZ1,ECM & Adhesion,GO:0042060,PLA-specific,1.0363,1.6249
TNS1,ECM & Adhesion,GO:0034330,PLA-specific,0.0877,-0.9562
CD163,Immune & Inflammation,GO:0006954,PLA-specific,0.4357,-1.0987
CD58,Immune & Inflammation,GO:0098542,PLA-specific,0.6837,-0.9816
CRIP1,Immune & Inflammation,GO:0002376,PLA-specific,0.3736,-1.1133
FABP4,Immune & Inflammation,GO:0006954,PLA-specific,0.7375,-1.708
FASN,Immune & Inflammation,GO:0006954,PLA-specific,0.3568,-2.1561
G3BP2,Immune & Inflammation,GO:0098542,PLA-specific,-0.0968,2.0231
IL18,Immune & Inflammation,GO:0006954,PLA-specific,0.1047,1.6726
LGALS1,Immune & Inflammation,GO:0006954,PLA-specific,0.0257,-0.9105
VAPB,Immune & Inflammation,GO:0098542,PLA-specific,-0.246,0.7357
ACADL,Lipid Metabolism,GO:0042180,PLA-specific,0.1961,-1.8
ADH1B,Lipid Metabolism,GO:0006629,PLA-specific,-0.0173,-1.2653
AOX1,Lipid Metabolism,GO:0006629,PLA-specific,0.7798,-2.3178
CES1,Lipid Metabolism,GO:0042180,PLA-specific,-0.0914,-2.5913
DHRS7,Lipid Metabolism,GO:0006629,PLA-specific,0.1669,0.6015
KYAT1,Lipid Metabolism,GO:0042180,PLA-specific,-0.5139,-0.9646
LIPE,Lipid Metabolism,GO:0006629,PLA-specific,-0.3399,-1.6974
NDUFA9,Lipid Metabolism,GO:0042180,PLA-specific,0.0606,0.9686
PRKAR2B,Lipid Metabolism,GO:0006629,PLA-specific,-0.063,-2.4856
RETSAT,Lipid Metabolism,GO:0006629,PLA-specific,-0.5162,-2.2877
CLPP,Mitochondria & Energy,GO:0007005,PLA-specific,0.298,0.9315
FAM162A,Mitochondria & Energy,GO:0007005,PLA-specific,-0.004,1.0326
FIS1,Mitochondria & Energy,GO:0007031,PLA-specific,-0.2257,0.7605
MARCHF5,Mitochondria & Energy,GO:0007005,PLA-specific,-0.2019,1.6816
NDUFA13,Mitochondria & Energy,GO:0007005,PLA-specific,0.1274,1.0136
NDUFA3,Mitochondria & Energy,GO:0007005,PLA-specific,-0.6099,1.3995
NDUFB1,Mitochondria & Energy,GO:0007005,PLA-specific,0.288,0.8875
NDUFS5,Mitochondria & Energy,GO:0007005,PLA-specific,0.0685,0.9777
SLC25A6,Mitochondria & Energy,GO:0007005,PLA-specific,-0.2613,1.1871
TIMM8A,Mitochondria & Energy,GO:0007005,PLA-specific,-0.8933,1.3137
TMEM70,Mitochondria & Energy,GO:0007005,PLA-specific,-0.2022,2.4381
CKMT2,Muscle & Contractile,GO:0003012,PLA-specific,-0.1875,1.1641
LMOD3,Muscle & Contractile,GO:0003012,PLA-specific,-0.2282,-0.9619
MYH2,Muscle & Contractile,GO:0003012,PLA-specific,-0.2906,1.8066
MYL1,Muscle & Contractile,GO:0003012,PLA-specific,-0.0206,1.6488
BZW2,Other,OTHER,PLA-specific,-0.1766,1.0626
C11orf68,Other,OTHER,PLA-specific,-0.3063,1.1339
C6orf136,Other,OTHER,PLA-specific,0.293,1.6646
CKM,Other,OTHER,PLA-specific,-0.0359,0.8487
CNRIP1,Other,OTHER,PLA-specific,-0.5424,-1.3619
DCUN1D1,Other,OTHER,PLA-specific,-0.1155,-0.7667
ETHE1,Other,OTHER,PLA-specific,-0.3221,1.0659
FAHD1,Other,OTHER,PLA-specific,-0.2576,0.9071
GNG2,Other,OTHER,PLA-specific,0.1158,-1.7746
HNRNPDL,Other,OTHER,PLA-specific,0.3248,-0.6377
IRGQ,Other,OTHER,PLA-specific,-0.1411,1.1818
ISCA2,Other,OTHER,PLA-specific,0.0421,1.44
ISOC2,Other,OTHER,PLA-specific,-0.2693,0.7669
MRPL1,Other,OTHER,PLA-specific,-0.0743,-1.2192
MRPL13,Other,OTHER,PLA-specific,0.3599,1.8526
MRPS27,Other,OTHER,PLA-specific,-0.1909,1.3066
OVCA2,Other,OTHER,PLA-specific,-0.7016,1.4506
PDP1,Other,OTHER,PLA-specific,-0.1653,0.9599
PEBP4,Other,OTHER,PLA-specific,-0.1263,-1.3867
PLIN4,Other,OTHER,PLA-specific,0.1,-1.5167
SDR39U1,Other,OTHER,PLA-specific,-1.0029,1.7163
SELENBP1,Other,OTHER,PLA-specific,-0.0739,-0.8756
TIPRL,Other,OTHER,PLA-specific,-0.2302,0.7822
TMX4,Other,OTHER,PLA-specific,-0.1633,-0.7381
UBE2F,Other,OTHER,PLA-specific,-0.4083,1.431
ATL3,Protein Homeostasis,GO:0065003,PLA-specific,0.3041,-2.2747
BCAP31,Protein Homeostasis,GO:0030163,PLA-specific,0.5329,-0.9702
C19orf12,Protein Homeostasis,GO:0006914,PLA-specific,0.113,1.1557
CD74,Protein Homeostasis,GO:0006457,PLA-specific,-0.074,-1.4542
DIAPH2,Protein Homeostasis,GO:0065003,PLA-specific,0.4455,1.4496
ENO1,Protein Homeostasis,GO:0051604,PLA-specific,0.1184,-0.8806
HDGFL3,Protein Homeostasis,GO:0065003,PLA-specific,-0.0421,-1.76
MSRB2,Protein Homeostasis,GO:0065003,PLA-specific,-0.2681,1.1141
MUSTN1,Protein Homeostasis,GO:0009100,PLA-specific,-0.2913,1.1584
PAFAH1B2,Protein Homeostasis,GO:0006914,PLA-specific,-0.1725,-0.8917
PFDN1,Protein Homeostasis,GO:0006457,PLA-specific,-0.3302,-0.9214
PIP4K2B,Protein Homeostasis,GO:0006914,PLA-specific,-0.4205,0.8547
PSAP,Protein Homeostasis,GO:0006914,PLA-specific,0.3554,-1.1695
PSMD7,Protein Homeostasis,GO:0030163,PLA-specific,-0.0436,0.9039
SERPINH1,Protein Homeostasis,GO:0051604,PLA-specific,0.6789,-0.9251
SLC25A4,Protein Homeostasis,GO:0006914,PLA-specific,-0.1881,1.4411
UBE3A,Protein Homeostasis,GO:0030163,PLA-specific,-0.0408,-0.7588
ADIRF,Transcription & Chromatin,GO:0006355,PLA-specific,0.0275,-2.1071
ANP32E,Transcription & Chromatin,GO:0006325,PLA-specific,0.229,1.2972
ASAH1,Transcription & Chromatin,GO:0006355,PLA-specific,-0.0268,-1.2298
CAPRIN1,Transcription & Chromatin,GO:0016071,PLA-specific,-0.6002,-1.2217
GPX4,Transcription & Chromatin,GO:0006325,PLA-specific,0.1154,-0.7071
HNRNPA3,Transcription & Chromatin,GO:0016071,PLA-specific,0.2598,-1.2485
MRPL12,Transcription & Chromatin,GO:0006355,PLA-specific,0.1033,1.1243
TSFM,Transcription & Chromatin,GO:0006355,PLA-specific,-0.2253,1.155
CARS2,Translation & Ribosome,GO:0006399,PLA-specific,-0.2896,1.1943
EIF2B3,Translation & Ribosome,GO:0002181,PLA-specific,-0.3546,1.0394
MCTS1,Translation & Ribosome,GO:0002181,PLA-specific,-0.23,0.7508
RPL30,Translation & Ribosome,GO:0002181,PLA-specific,0.2126,0.8172
RPS2,Translation & Ribosome,GO:0002181,PLA-specific,0.13,0.5375
SNU13,Translation & Ribosome,GO:0042254,PLA-specific,-0.336,1.0353
ALYREF,Transport,GO:0006913,PLA-specific,0.7289,-1.5955
AP1B1,Transport,GO:0006886,PLA-specific,0.4424,0.9089
CAMK2D,Transport,GO:0072659,PLA-specific,0.1372,0.7392
CNIH4,Transport,GO:0016192,PLA-specific,-0.0054,0.7277
CTBP1,Transport,GO:0016192,PLA-specific,0.0279,1.167
CYC1,Transport,GO:0055085,PLA-specific,-0.0133,0.8456
DHRS7C,Transport,GO:0055085,PLA-specific,-0.4114,1.0131
FCGRT,Transport,GO:0016192,PLA-specific,1.023,-1.5233
GOSR2,Transport,GO:0061024,PLA-specific,-0.8437,1.2335
MAPK14,Transport,GO:0006913,PLA-specific,-0.4261,1.0039
MYO6,Transport,GO:0006886,PLA-specific,0.0298,1.1752
PALM,Transport,GO:0072659,PLA-specific,0.3811,-2.0878
PLP2,Transport,GO:0055085,PLA-specific,0.0548,1.0914
RAP1A,Transport,GO:0072659,PLA-specific,-0.7,1.2647
SCP2,Transport,GO:0072659,PLA-specific,0.0571,-0.6579
SEC23IP,Transport,GO:0006886,PLA-specific,0.2123,-1.1708
TIMM44,Transport,GO:0006886,PLA-specific,-0.2959,0.9227
TXN,Transport,GO:0006913,PLA-specific,0.2675,-0.7109
YWHAE,Transport,GO:0006913,PLA-specific,0.272,-0.6412
ADSS2,Amino Acid & Cofactor Metabolism,GO:0006520,Interaction,-0.5012,0.8578
ALB,Amino Acid & Cofactor Metabolism,GO:0098754,Interaction,0.5625,-1.3876
HBG2,Amino Acid & Cofactor Metabolism,GO:0098754,Interaction,0.9474,-1.1936
HNMT,Amino Acid & Cofactor Metabolism,GO:0006520,Interaction,0.8775,-1.6628
MCEE,Amino Acid & Cofactor Metabolism,GO:0055086,Interaction,-0.6155,0.7105
MTARC2,Amino Acid & Cofactor Metabolism,GO:0098754,Interaction,0.3134,-0.6049
OXSM,Amino Acid & Cofactor Metabolism,GO:0055086,Interaction,-0.3824,0.8323
PHGDH,Amino Acid & Cofactor Metabolism,GO:0006520,Interaction,0.6425,-0.862
PRDX2,Amino Acid & Cofactor Metabolism,GO:0098754,Interaction,0.4379,-0.9624
TYMP,Amino Acid & Cofactor Metabolism,GO:0007586,Interaction,0.6171,-0.9815
FECH,Carbohydrate & Energy Metabolism,GO:0006091,Interaction,-0.3924,0.7348
MACROD1,Carbohydrate & Energy Metabolism,GO:1901135,Interaction,-0.3237,0.7366
NLN,Carbohydrate & Energy Metabolism,GO:0005975,Interaction,-0.2211,0.7865
PGM5,Carbohydrate & Energy Metabolism,GO:0005975,Interaction,-0.4493,0.607
PPP1R2,Carbohydrate & Energy Metabolism,GO:0005975,Interaction,-0.67490000000000006,0.5003
SIRT3,Carbohydrate & Energy Metabolism,GO:0006091,Interaction,-0.7272,0.643
ADD3,Circulatory System,GO:0003013,Interaction,1.0254,-0.9398
MYH7,Circulatory System,GO:0003013,Interaction,-0.4841,1.1608
STAT1,Circulatory System,GO:0003013,Interaction,0.5048,-0.8865
ACTR2,Cytoskeleton & Motility,GO:0044782,Interaction,0.5354,-0.2066
AP3B1,Cytoskeleton & Motility,GO:0007018,Interaction,0.6022,-0.8122
ARHGDIB,Cytoskeleton & Motility,GO:0048870,Interaction,0.4587,-0.7235
ARPC1B,Cytoskeleton & Motility,GO:0007010,Interaction,0.7167,-0.7182
CD248,Cytoskeleton & Motility,GO:0048870,Interaction,1.0842,-2.7873
GSN,Cytoskeleton & Motility,GO:0044782,Interaction,0.6976,-0.5212
IGBP1,Cytoskeleton & Motility,GO:0007018,Interaction,-0.4575,0.6217
KRT8,Cytoskeleton & Motility,GO:0007010,Interaction,1.6296,-1.5558
KTN1,Cytoskeleton & Motility,GO:0007018,Interaction,0.3263,-0.749
MSN,Cytoskeleton & Motility,GO:0007163,Interaction,0.4713,-0.5916
PALLD,Cytoskeleton & Motility,GO:0048870,Interaction,-0.715,0.6938
PDLIM3,Cytoskeleton & Motility,GO:0007010,Interaction,-0.2267,0.8778
RRAS2,Cytoskeleton & Motility,GO:0048870,Interaction,-0.7542,0.5789
ACTB,DNA & Cell Cycle,GO:0007059,Interaction,0.7997,-0.6656
CAV2,DNA & Cell Cycle,GO:0140014,Interaction,1.6336,-2.026
HNRNPD,DNA & Cell Cycle,GO:0032200,Interaction,0.3912,-0.3475
MYH10,DNA & Cell Cycle,GO:0000910,Interaction,0.4917,-0.6527
PTMS,DNA & Cell Cycle,GO:0006260,Interaction,0.4667,-0.5299
SEPTIN10,DNA & Cell Cycle,GO:0000910,Interaction,0.1647,-1.0931
SEPTIN11,DNA & Cell Cycle,GO:0000910,Interaction,0.6376,-0.3298
SNX9,DNA & Cell Cycle,GO:0000910,Interaction,0.3668,-1.0553
TFRC,DNA & Cell Cycle,GO:0006310,Interaction,-0.7969,0.5938
TIGAR,DNA & Cell Cycle,GO:0006281,Interaction,-0.5187,0.7483
TUBA8,DNA & Cell Cycle,GO:0000278,Interaction,-0.3481,0.9906
S100A4,Development,GO:0030154,Interaction,0.4681,-0.9948
AHNAK,ECM & Adhesion,GO:0042060,Interaction,0.6382,-1.0708
ANXA5,ECM & Adhesion,GO:0042060,Interaction,0.4514,-0.8707
COL1A2,ECM & Adhesion,GO:0030198,Interaction,1.2558,-0.6291
COL3A1,ECM & Adhesion,GO:0042060,Interaction,1.0401,-0.4659
COL4A2,ECM & Adhesion,GO:0030198,Interaction,1.0997,-1.2243
CYFIP1,ECM & Adhesion,GO:0034330,Interaction,0.3416,-0.7016
DBN1,ECM & Adhesion,GO:0034330,Interaction,1.0366,-1.1304
LCP1,ECM & Adhesion,GO:0030198,Interaction,0.7978,-0.7449
LUM,ECM & Adhesion,GO:0030198,Interaction,0.8098,-0.5892
SPARC,ECM & Adhesion,GO:0034330,Interaction,0.6119,-0.6042
SYNPO,ECM & Adhesion,GO:0034330,Interaction,-0.4243,0.8686
ENDOD1,Immune & Inflammation,GO:0098542,Interaction,-0.2374,0.712
NT5E,Immune & Inflammation,GO:0006954,Interaction,0.5375,-0.9381
PTGIS,Immune & Inflammation,GO:0006954,Interaction,0.8401,-0.7276
APOC1,Lipid Metabolism,GO:0042180,Interaction,0.4921,-1.105
BDH1,Lipid Metabolism,GO:0006629,Interaction,-0.8494,0.6694
COQ9,Lipid Metabolism,GO:0042180,Interaction,-0.3538,0.7268
CYB5R1,Lipid Metabolism,GO:0006629,Interaction,-0.2509,0.6978
DHRS11,Lipid Metabolism,GO:0006629,Interaction,-0.6492,0.7426
FABP3,Lipid Metabolism,GO:0042180,Interaction,-0.2999,0.9474
FABP5,Lipid Metabolism,GO:0042180,Interaction,0.4305,-0.7799
HDLBP,Lipid Metabolism,GO:0006629,Interaction,0.6663,-0.8435
CNP,Mitochondria & Energy,GO:0007005,Interaction,0.3749,-0.6585
C12orf57,Muscle & Contractile,GO:0003012,Interaction,-0.522,0.7469
CNN1,Muscle & Contractile,GO:0003012,Interaction,-0.5172,0.9418
LMCD1,Muscle & Contractile,GO:0003012,Interaction,-0.3501,0.7781
SSPN,Muscle & Contractile,GO:0003012,Interaction,-0.7029,0.7908
CA14,Other,OTHER,Interaction,-0.4941,0.4932
CMBL,Other,OTHER,Interaction,-0.5961,0.623
GARNL3,Other,OTHER,Interaction,0.4309,-1.1232
LHPP,Other,OTHER,Interaction,-0.7289,0.5882
MRPS17,Other,OTHER,Interaction,-1.0044,0.4234
MRPS21,Other,OTHER,Interaction,-0.8432,0.6515
MTIF2,Other,OTHER,Interaction,-0.315,1.1123
MXRA7,Other,OTHER,Interaction,0.5606,-0.737
PVALB,Other,OTHER,Interaction,0.5169,-1.2584
RNF181,Other,OTHER,Interaction,-0.7133,0.8335
SPRYD4,Other,OTHER,Interaction,-0.3855,0.7373
SQOR,Other,OTHER,Interaction,0.2377,-0.6274
TXLNB,Other,OTHER,Interaction,-0.7842,0.5129
TXN2,Other,OTHER,Interaction,-0.4501,0.4258
ATP2A2,Protein Homeostasis,GO:0006914,Interaction,-0.4645,0.615
B2M,Protein Homeostasis,GO:0006457,Interaction,0.5508,-0.9944
COL6A1,Protein Homeostasis,GO:0006914,Interaction,1.0484,-0.9275
CTSZ,Protein Homeostasis,GO:0051604,Interaction,0.5718,-0.6335
CTTN,Protein Homeostasis,GO:0006914,Interaction,0.3641,-0.6434
DDRGK1,Protein Homeostasis,GO:0006914,Interaction,0.2682,-0.6188
GNAI3,Protein Homeostasis,GO:0006914,Interaction,0.7764,-0.8685
HSP90B1,Protein Homeostasis,GO:0006457,Interaction,0.5654,-0.5856
HSPA1L,Protein Homeostasis,GO:0006457,Interaction,-0.4694,0.53
NPLOC4,Protein Homeostasis,GO:0030163,Interaction,-0.2909,0.5513
NRDC,Protein Homeostasis,GO:0030163,Interaction,-0.6379,0.937
PDIA3,Protein Homeostasis,GO:0006457,Interaction,0.5554,-0.5339
PPIA,Protein Homeostasis,GO:0006457,Interaction,0.4048,-0.8317
PRKCSH,Protein Homeostasis,GO:0009100,Interaction,0.3961,-0.6216
PSMF1,Protein Homeostasis,GO:0030163,Interaction,0.3393,-0.7228
RAB2B,Protein Homeostasis,GO:0006914,Interaction,-0.7311,0.4425
RCN3,Protein Homeostasis,GO:0030163,Interaction,1.4268,-0.3282
SUMO2,Protein Homeostasis,GO:0030163,Interaction,0.3391,-0.6272
UBE2K,Protein Homeostasis,GO:0030163,Interaction,-0.2204,0.5569
PRKAA1,Transcription & Chromatin,GO:0006325,Interaction,-0.3624,0.8499
PTBP1,Transcription & Chromatin,GO:0016071,Interaction,0.8197,-0.6047
TRIM28,Transcription & Chromatin,GO:0006325,Interaction,0.4335,-0.7148
CNBP,Translation & Ribosome,GO:0002181,Interaction,-0.5462,0.8501
GLUL,Translation & Ribosome,GO:0042254,Interaction,0.4785,-0.7297
RPL14,Translation & Ribosome,GO:0042254,Interaction,0.7785,-0.5334
RPL23A,Translation & Ribosome,GO:0002181,Interaction,0.4031,-0.596
RPL36,Translation & Ribosome,GO:0002181,Interaction,0.5442,-0.8199
RPS10,Translation & Ribosome,GO:0002181,Interaction,0.2399,-0.6537
RPS27A,Translation & Ribosome,GO:0042254,Interaction,0.2769,-0.6928
AGFG1,Transport,GO:0006913,Interaction,0.6154,-0.9785
ARFIP1,Transport,GO:0006886,Interaction,0.3533,-0.85
ATP5F1E,Transport,GO:0055085,Interaction,-0.5579,0.8144
CORO1C,Transport,GO:0061024,Interaction,0.749,-0.5198
DMAC2L,Transport,GO:0055085,Interaction,-0.5579,0.4464
ELAVL1,Transport,GO:0006913,Interaction,0.7102,-1.0914
EPS15,Transport,GO:0016192,Interaction,0.4597,-0.6958
KPNA3,Transport,GO:0006913,Interaction,-0.2158,0.853
LRP1,Transport,GO:0072659,Interaction,0.7792,-0.7571
NDRG1,Transport,GO:0061024,Interaction,0.4963,-0.8241
RAB9A,Transport,GO:0016192,Interaction,-0.3587,0.7764
RHOG,Transport,GO:0072659,Interaction,0.5605,-0.9967
SFXN3,Transport,GO:0055085,Interaction,0.9564,-0.7756
SLC16A3,Transport,GO:0055085,Interaction,0.4965,-1.0254
SLC25A20,Transport,GO:0055085,Interaction,-0.1851,0.7881
SLC35A4,Transport,GO:0055085,Interaction,-0.5269,0.5671
TNPO1,Transport,GO:0006913,Interaction,0.4981,-0.7096
