gene,uniprot_id,set,t_cancer_vs_healthy,t_training_cr,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy
TBCA,O75347,cvh_up,3.14735375062798,0.0325952813781215,0.557627096807412,0.00473765118735514,0.04090869362185821
APOM,O95445,cvh_up,3.79147335625639,0.414081049474822,2.77406109891799,0.223700682473298,1.1647530266386455e-9
HPR,P00739,cvh_up,3.3810764403427,0.458033916463557,2.17321358965007,0.178323805857058,1.3801219828647192e-6
LGALS3,P17931,cvh_up,3.2364874207373,0.125364074866122,1.21998048955439,0.0387669915296733,6.838691916629896e-4
BGN,P21810,cvh_up,3.2240024145128,2.05182912202179,1.48441807120801,0.713342917452517,1.763997216602857e-4
TUBB6,Q9BUF5,cvh_up,4.26773866796234,0.0026571093583829,1.63380301913851,8.344903958406e-4,4.5133884876851195e-7
SEPTIN7,Q16181,cvh_up,3.05003630239287,0.580314603399985,0.74385582215946,0.116106703566054,0.01707157994152089
PHGDH,O43175,cvh_up,3.55459297271133,0.052757064272681,3.28694938997856,0.0253873762842325,1.0504495283341124e-9
EHD4,Q9H223,cvh_up,3.07246994835999,1.03418806996179,0.847446952539165,0.226746891173057,0.0093240740958852
FN1,P02751,cvh_up,5.11795047468306,0.137832604815729,2.5661810586055,0.0506890418504469,2.31358321509661e-13
LAMB2,P55268,cvh_up,2.55372674508166,0.462466276259138,1.22924299104842,0.191970378768415,0.00600695884159305
CAST,P20810,cvh_up,3.36500188628614,0.0250473737648082,0.615960884821536,0.00376131803170487,0.02030079334858851
IQGAP1,P46940,cvh_up,2.94045492160258,1.88979797710506,0.83567835897345,0.440605634754732,0.01314526633260804
FBLN1,P23142,cvh_up,5.83386201308751,0.788504450909494,1.9353613362502,0.214595244932092,2.6169970442519508e-12
CLIC1,O00299,cvh_up,5.40407135976864,0.370932636494063,1.56940601387666,0.0883729435888725,3.3363267620859334e-9
SPTBN1,Q01082,cvh_up,4.57607084112037,0.262487893499855,1.58113021030879,0.0744036451134225,1.6522540958907925e-7
SERPINF2,P08697,cvh_up,5.69647807695017,0.309214170650689,2.18487070711746,0.0972946001497359,2.1489925139225722e-13
LRG1,P02750,cvh_up,4.59849203983679,0.506377736653711,1.86080223546785,0.168100660820107,9.187088317249382e-9
LASP1,Q14847,cvh_up,4.0729943496763,0.230635596206611,1.73334084450613,0.0719892091421581,6.135411298758118e-7
AQP1,P29972,cvh_up,2.43724181375908,0.251023574431906,1.03758262322209,0.0696182938329244,0.0177172430579401
THY1,P04216,cvh_up,4.83620677526828,3.02458864082772,2.40084527437348,1.07534433897037,2.212636063755909e-11
PEA15,Q15121,cvh_up,4.56181023002171,0.630522596259105,1.6052919388106,0.17548646872269,1.9454507833074044e-7
MYH10,P35580,cvh_up,2.51657381215241,0.122339499444893,1.65460910848538,0.03030383519914,0.00154082341038594
PGLS,O95336,cvh_up,4.04569860415805,0.023585097728177,0.743026489769989,0.00355351774901003,0.00212683585257889
NCLN,Q969V3,cvh_up,3.10862003941889,0.466164678696905,0.81788410928635,0.13139929090768,0.01663933931365288
TPM4,P67936,cvh_up,4.25979718591642,1.20327003548508,1.47328185509118,0.341405141266677,1.9642559851629923e-6
ARPC3,O15145,cvh_up,2.72527759389173,1.32837435153332,0.792512818254224,0.316902794272615,0.0254571311982322
AKAP12,Q02952,cvh_up,4.45483029401755,1.17742769500658,1.4438677805447,0.313069345472513,1.091734380809623e-6
GPNMB,Q14956,cvh_up,2.32003462192956,1.70113193688525,1.64277430910762,0.820745628131235,0.00306201993196755
GNG12,Q9UBI6,cvh_up,3.86764051973854,0.189290474073909,0.957827973571813,0.0384574258439709,5.926560900559809e-4
RPL27A,P46776,cvh_up,2.80856225236759,0.655544710692815,0.672745098274071,0.1288186793631,0.03846403440330982
LPP,Q93052,cvh_up,3.04408384909292,0.582382916048029,0.730329100189127,0.114986621649757,0.01879344427110456
ARPC5,O15511,cvh_up,4.83922651877335,0.469490141529305,2.18344505849887,0.14301473631796,2.0028518377606652e-10
THBS1,P07996,cvh_up,2.34356407381514,0.576938811853958,2.63732015348373,0.243942131158814,8.750166711563627e-5
SH3BGRL,O75368,cvh_up,5.00101761598509,0.89587415172325,1.84178788689197,0.270668846175289,1.134051755639258e-9
SH3BGRL3,Q9H299,cvh_up,4.29272904164172,1.01610444206336,1.58830966358298,0.288052847115635,6.868445366407892e-7
FBXO7,Q9Y3I1,cvh_up,4.7133572070203,1.07445915034061,1.72141265502231,0.301640648574848,3.6993501789205065e-8
ECHDC1,Q9NTX5,cvh_up,2.76384679585417,0.341417299971752,0.788516425311663,0.0823167724018923,0.02443401357429197
PTMS,P20962,cvh_up,4.23201755857978,0.483065626537276,0.937084907864236,0.0880554370144786,2.630160238010786e-4
NID1,P14543,cvh_up,2.79649868514255,0.0372115814247036,1.20124083424983,0.0129254818521023,0.00344292190215234
PARVA,Q9NVD7,cvh_up,3.32168714048782,0.267128010297348,0.862980325103052,0.0585323692356692,0.00479420960285384
FSCN1,Q16658,cvh_up,4.86097587335169,2.38220400406824,1.4834552381662,0.59640320483167,1.1853496365496312e-7
TGFBI,Q15582,cvh_up,2.80815833096256,0.378705336137759,1.19410532132821,0.133133449813428,0.00316931133129071
CNN3,Q15417,cvh_up,2.86978484481658,1.08413176385875,1.25040288183412,0.344869379677494,0.00217865409999213
ARHGAP1,Q07960,cvh_up,5.19249981141854,1.06390942734471,1.31980993159742,0.221844975631196,1.774975427983167e-7
ACLY,P53396,cvh_up,2.11377214652415,0.218976779053317,1.92598248791126,0.0728665742089163,0.00260223027317842
CYBRD1,Q53TN4,cvh_up,3.15002915142182,0.0640543933330251,1.7896529961534,0.0233784521215892,4.987238902040893e-5
AP2A1,O95782,cvh_up,4.02719200492149,0.478433886890803,0.632159077404328,0.0616106814613566,0.00551420246575786
SULT1A1,P50225,cvh_up,3.2099111504844,0.214298268271396,1.29240746263577,0.0664528663719572,5.220732131361256e-4
EFEMP1,Q12805,cvh_up,4.38493625916251,0.724901474529026,1.65146379411572,0.217020967147354,2.3109256992749577e-7
PTBP1,P26599,cvh_up,4.04364396695121,0.784460237300696,1.53588454602324,0.243499885862242,3.365059902896947e-6
GLIPR2,Q9H4G4,cvh_up,3.50550236323247,0.46182700984957,1.76883029524178,0.167965499937463,9.003783119307793e-6
CNN2,Q99439,cvh_up,2.73606758712803,0.60325340055685,1.3494218072472,0.198326197100741,0.0020862175527769
APOL1,O14791,cvh_up,4.46631190262451,0.364631933424906,2.96381933416137,0.159263714789088,1.2924328433846321e-12
PSMD9,O00233,cvh_up,3.00033066909997,0.175298176782384,0.562961833031903,0.0269834370242865,0.04946522693584599
CALD1,Q05682,cvh_up,3.87503683821757,1.7897231361628,1.3595903050749,0.460562928802084,2.8996654870670547e-5
CTSG,P08311,cvh_up,2.20095151495567,1.75277431662126,0.998721111466935,0.642454051410191,0.0369084978167243
PGM2,Q96G03,cvh_up,4.69780044280882,0.385774569202409,1.38293732759783,0.0861831796673957,1.0397553630651575e-6
DDAH2,O95865,cvh_up,4.51978559599386,0.0650164008696837,1.50237622910435,0.0182271303392536,4.99565726527933e-7
SEPTIN11,Q9NVA2,cvh_up,2.88727795601011,1.0931806772057,0.669650028666229,0.211014150844894,0.03437752152913426
PICALM,Q13492,cvh_up,3.06499695446927,1.11503917229521,1.00894840975391,0.291529405226491,0.00417437044135075
CD44,P16070,cvh_up,2.15568128651468,1.51492163471755,1.77118565395032,0.734647235857043,0.00346951506253318
SPARC,P09486,cvh_up,5.23859101168856,0.573955766255477,2.29538766331821,0.150297922678606,2.7930013589098725e-11
CRIP2,P52943,cvh_up,5.43205208156948,0.727565771810063,1.53998566274774,0.169213515885337,4.205126018219461e-9
ACTR3,P61158,cvh_up,3.55194552664446,1.40286338193233,0.603600831903403,0.195573023338417,0.01600351837168359
LGALS3BP,Q08380,cvh_up,4.58887142455857,0.323281198258811,1.67441959234462,0.0937682463805274,6.689386200404979e-8
KCTD12,Q96CX2,cvh_up,4.20428589883181,0.566635838174103,1.03474017323806,0.117619035423713,1.2130151934513064e-4
CORO1C,Q9ULV4,cvh_up,3.14672879959817,1.04422248357484,1.72858312031951,0.342371039471177,8.252252830205688e-5
LAMP1,P11279,cvh_up,2.74388694586753,0.561759210802003,0.97420346908353,0.170824999980697,0.01082443937189452
RAB1A,P62820,cvh_up,5.26206045823119,0.40204398384499,1.04621246673758,0.0674174202297078,3.827578731426646e-6
AP2B1,P63010,cvh_up,3.44381117424581,0.558695699914085,0.495521028489943,0.0659489863362221,0.03901562564147758
ACTR2,P61160,cvh_up,3.84640465539646,1.506542278478,0.596223791403077,0.191578024889559,0.01016657771200841
TNXB,P22105,cvh_up,2.35626980229911,1.33571215932279,0.990714943785164,0.408593957908799,0.02601859890193788
RCN3,Q96D15,cvh_up,2.39794989743231,1.40808115201125,2.12102130055464,0.816919180208201,5.432476423279356e-4
CAPG,P40121,cvh_up,2.51340808833532,1.52269843835602,1.48027448958949,0.635049807707341,0.00283569140737795
ADD1,P35611,cvh_up,5.05415056105954,0.310729566925969,1.73709048461522,0.0848933721589074,3.0729074677115262e-9
GYPC,P04921,cvh_up,2.945020666796,1.06536304972428,0.990109812152333,0.292708149471716,0.00599053954062125
AP1B1,Q10567,cvh_up,2.61719669950434,2.46882622651727,0.867518740162538,0.67345675998726,0.0228942542149974
TMOD1,P28289,cvh_up,3.4836207946161,0.855418303797807,1.22198664354272,0.24973215271055,3.008162690323081e-4
CLIC4,Q9Y696,cvh_up,3.13872958506423,1.51372002008612,0.641749724783953,0.253902736882168,0.02563685900388716
SFXN3,Q9BWM7,cvh_up,4.94846092667142,0.696620115994911,1.76620499943257,0.13822610899245,8.746765219921011e-8
LRRC59,Q96AG4,cvh_up,3.13121410371845,1.7431637430502,0.768739447904434,0.376431437194533,0.01348405884198289
CTSZ,Q9UBR2,cvh_up,2.92000413056884,0.405775791178611,0.765378275879172,0.0898845048173165,0.02010820227786411
RAB8A,P61006,cvh_up,3.14181012580022,0.0344826793223476,1.70407739224722,0.0111694132788482,9.621705939839562e-5
BOLA2,Q9H3K6,cvh_up,3.05531797828345,0.560583003860484,0.724394944818656,0.106088364677404,0.01920958123943516
ARPC1B,O15143,cvh_up,4.64788608815791,0.514659108654865,1.51562829959613,0.134124820972884,3.799960592980095e-7
ZYX,Q15942,cvh_up,3.50028926715101,0.383437462610555,0.530571967860105,0.0476809548449193,0.02851536625375605
CORO1B,Q9BR76,cvh_up,2.46014529321971,0.487303165384858,1.18987039079704,0.156884789514049,0.01013643742059122
AEBP1,Q8IUX7,cvh_up,2.13325809083426,1.50093350126804,1.77581646427773,0.785342452810749,0.00641041076231667
DBNL,Q9UJU6,cvh_up,4.20049146039723,0.769832145170198,0.929981279429857,0.139861356426142,3.295222118196136e-4
DNAJB1,P25685,cvh_up,2.66176042214682,1.05397068451004,0.715228978913142,0.238504431310778,0.04401954395834098
AP2A2,O94973,cvh_up,3.75561758617277,0.40839685193132,1.13628136273223,0.0924962024277161,3.177539166719875e-4
MYL9,P24844,cvh_up,2.55570268495239,1.88002094043219,0.809224526439793,0.47319302437568,0.03331690246474061
STEAP4,Q687X5,cvh_up,3.34341353802356,1.31209859851605,0.907717969844684,0.447580941576145,0.00400079930734312
ATP2B4,P23634,cvh_up,3.48352629321673,0.0196877469832638,0.832535099643071,0.00396838668601873,0.00398817953296895
TMOD3,Q9NYL9,cvh_up,2.43489317688141,1.94634523384938,1.76297198931464,0.57746371524373,0.0016137228890129
MARCKS,P29966,cvh_up,4.82238080102354,0.783522407719968,1.38049439263566,0.176678109050984,5.396370761817277e-7
UBE2O,Q9C0C9,cvh_up,3.00815556159658,0.869098742671462,0.807995757595187,0.193957437813573,0.01379686306752758
CD34,P28906,cvh_up,3.26918613829009,0.177693763087189,1.69355730728778,0.0450303290551552,1.4954687602845588e-4
CD58,P19256,cvh_up,3.00440989512831,0.0770718746639922,1.3528431612485,0.0215328407786757,0.00179941901307204
ATG3,Q9NT62,cvh_up,3.78032562434101,0.189511778074861,0.868979068900403,0.0367409868368505,0.00150829366511025
YAP1,P46937,cvh_up,4.59364858689952,0.144459422744296,1.70733189053975,0.0509590335085814,2.201315280162446e-6
TTLL12,Q14166,cvh_up,3.07616987705888,0.175094047384352,0.766259031604292,0.0423849502580511,0.02178446946203323
PPCS,Q9HAB8,cvh_up,4.10393420773239,0.645003817843161,0.670743340138351,0.101182250715084,0.00464525281220896
RAB23,Q9ULC3,cvh_up,2.02492641414398,0.861344981172277,1.21182223141996,0.457874045687827,0.03977652074308552
AGFG1,P52594,cvh_up,2.41833038411084,0.429187084660567,0.964243800844791,0.136928061875042,0.02928985252905117
NUBP2,Q9Y5Y2,cvh_up,2.90543230549058,2.10507124191158,0.849163326560328,0.634703895711559,0.01778153955823013
PLN,P26678,cvh_down,-3.47748729172846,-0.425215860393607,-1.09082831264936,-0.115069111606635,8.39510233500177e-4
PFKL,P17858,cvh_down,-2.93132407400211,-0.111609852196498,-0.700001714370224,-0.0218649173097614,0.02700455474919066
ADPRHL1,Q8NDY3,cvh_down,-3.56071450083487,-0.123971759610694,-1.032140848369,-0.0295734009579789,8.484235605673251e-4
SMTNL1,A8MU46,cvh_down,-3.72311658044558,-1.75851745383924,-1.13479999849035,-0.441098994183498,2.489793470599289e-4
PRKAR2A,P13861,cvh_down,-3.41064269257014,-0.156916444273786,-0.53998658970901,-0.0203809886083786,0.03065728914812952
RYR1,P21817,cvh_down,-2.8320428704686,-0.440658059181503,-0.701392098109832,-0.0898130522556073,0.03236019705199394
SDHD,O14521,cvh_down,-2.92773506423867,-0.00114366208349292,-1.00923542965406,-3.2444055084823e-4,0.00560023037792859
IMPA2,O14732,cvh_down,-2.39745568382779,-0.390468240588026,-0.785212925093148,-0.106782455236964,0.0498510764695633
CAND2,O75155,cvh_down,-2.893822078804,-0.844045449548406,-0.695981142584255,-0.167058344267522,0.02975944553792884
ADPRH,P54922,cvh_down,-4.18995782046551,-0.458334780208776,-1.55894626045751,-0.140796515226532,1.430599449633998e-6
C11orf54,Q9H0W9,cvh_down,-2.61040109341633,-0.35366851813037,-0.695588943604577,-0.0773128828588501,0.048657152017803
MPC2,O95563,cvh_down,-3.18874713277054,-1.06000430466497,-0.856912725407049,-0.234423331258888,0.00678209069872601
JSRP1,Q96MG2,cvh_down,-2.97839755556484,-0.411624509040105,-0.830694725276228,-0.0949700574347538,0.01270919078752352
DIABLO,Q9NR28,cvh_down,-3.71204437856229,-0.883299274901239,-0.720397907359946,-0.141072983084547,0.00527343270276603
COQ3,Q9NZJ6,cvh_down,-2.56880340665668,-0.281107685217871,-0.919751199956501,-0.0828302375042611,0.02033203543271774
PRMT1,Q99873,cvh_down,-2.81354741165601,-0.373073710863322,-0.629766587348044,-0.0690791067426595,0.04767507071716295
TXLNB,Q8N3L3,cvh_down,-2.35916986590829,-0.429727161622622,-0.900473313745888,-0.134983639097996,0.03456777747159294
ENDOG,Q14249,cvh_down,-2.57651874326048,-0.955801769917871,-0.745469885428498,-0.233886650612243,0.04318110422710689
DBT,P11182,cvh_down,-3.5930028928138,-0.256770812501168,-0.8179970514452,-0.0501385121461428,0.00364473642060119
ISOC1,Q96CN7,cvh_down,-3.24602182414236,-1.22254260280606,-0.607457638661536,-0.193788171437888,0.02702876952850876
XPNPEP1,Q9NQW7,cvh_down,-3.72722279232237,-0.45445437418907503,-0.598983794981365,-0.0599142386712952,0.01223883037025227
CACNB1,Q02641,cvh_down,-2.87974491752259,-0.319852884940444,-0.682625945130315,-0.0635873259872124,0.03322026407495745
USO1,O60763,cvh_down,-3.62585872979875,-0.00789314880582195,-0.717741083474987,-0.00128179110815552,0.00629758378333766
ARPP19,P56211,cvh_down,-3.7957128312242,-1.27372584374085,-0.767863405845933,-0.21657745695286,0.00333549442881917
ACAD8,Q9UKU7,cvh_down,-2.96967347139011,-1.16568015022635,-0.904085471544377,-0.293000114493363,0.00882082971946557
STX4,Q12846,cvh_down,-3.34774090080631,-1.73736613135903,-0.765329395482834,-0.491748095647726,0.0110281080262127
DMAC2L,Q99766,cvh_down,-3.76586799292669,-0.294273479649445,-0.863841331071932,-0.0592120921492985,0.00199083201787214
LANCL2,Q9NS86,cvh_down,-2.80867463223236,-0.785185873171426,-0.635105505732234,-0.168203390645186,0.04997652749361542
FYCO1,Q9BQS8,cvh_down,-3.21671473850105,-0.600041167453188,-0.621332839557798,-0.0979487364908742,0.02582557544309548
CLASP2,O75122,cvh_down,-3.4459191192537,-0.855271342249325,-0.622886928418893,-0.147796990485292,0.02088213045476742
SLC37A4,O43826,cvh_down,-3.45568963027004,-0.0166880057157483,-0.76177327246851,-0.00323862064902336,0.0075981075003112
PTER,Q96BW5,cvh_down,-3.13838862185568,-0.53063733572924,-0.644476838258813,-0.112345785166637,0.0278604437702441
AKAP1,Q92667,cvh_down,-2.98759189312131,-0.718836716577084,-0.64263323864121,-0.142112644344869,0.03749168098052663
NEK9,Q8TD19,cvh_down,-3.78481007895893,-1.65451809094942,-0.659397297801979,-0.27880107954565,0.00945467756551686
KPNA1,P52294,cvh_down,-2.91054850813613,-0.629419975022305,-0.672002336270305,-0.12319870342638,0.0332274905818024
