gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
COL14A1,1.856,-0.1518,5.9e-5,0.969186,9.76e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
DBN1,1.0411,-0.9591,0.012821,0.035994,7e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
CNN1,-0.5137,1.4671,0.481743,4.89e-4,3.4e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
ALYREF,0.7317,-1.2293,0.26534,0.102005,0.004718,Interaction,Discordant (CRE Up / PLA Down),TRUE
NGLY1,-1.4284,0.5099,0.003057,0.483831,2.35e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
MARCHF5,-0.2112,1.7157,0.902362,0.001502,0.001262,Interaction,Discordant (CRE Down / PLA Up),TRUE
COL6A1,1.0484,-0.8657,0.124464,0.327164,0.007172,Interaction,Discordant (CRE Up / PLA Down),TRUE
NDUFA3,-0.6044,1.2869,0.547054,0.030029,0.004276,Interaction,Discordant (CRE Down / PLA Up),TRUE
FABP4,0.7381,-1.1393,0.513865,0.194597,0.030469,Interaction,Discordant (CRE Up / PLA Down),FALSE
CD276,1.2758,-0.5889,0.011724,0.51276,0.001893,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYL3,-0.5369,1.3147,0.64298,0.039793,0.008598,Interaction,Discordant (CRE Down / PLA Up),FALSE
ACADL,0.1878,-1.6533,0.907062,0.002164,0.001203,Interaction,Discordant (CRE Up / PLA Down),TRUE
GPNMB,1.7253,-0.1144,0.001148,0.985691,0.011005,Interaction,Discordant (CRE Up / PLA Down),TRUE
GNAI3,0.7666,-1.073,0.034234,0.006379,2e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
SLK,-0.3101,1.5265,0.637862,4.39e-4,4.6e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
NUDT9,-0.6036,1.231,0.177165,0.006852,3.8e-5,Interaction,Discordant (CRE Down / PLA Up),TRUE
IPO9,-1.0568,0.755,0.026313,0.142679,1.41e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
NPTN,-0.3037,1.4621,0.805734,0.02067,0.0071,Interaction,Discordant (CRE Down / PLA Up),TRUE
IL18,0.107,1.6548,0.970187,2.57e-4,0.003497,Interaction,Concordant Up,TRUE
PVALB,0.5111,-1.2477,0.489351,0.104997,0.013009,Interaction,Discordant (CRE Up / PLA Down),TRUE
ADD3,1.0358,-0.7121,0.007111,0.158401,4.8e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
RPL35A,1.0369,-0.6981,0.00109,0.205411,2.7e-5,Interaction,Discordant (CRE Up / PLA Down),TRUE
VCAN,0.8684,-0.8568,0.078065,0.15012,8.63e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
UBE2F,-0.4073,1.3091,0.61376,0.007551,9.15e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
GNAQ,0.3017,-1.403,0.830878,0.00509,0.003602,Interaction,Discordant (CRE Up / PLA Down),TRUE
MYH2,-0.25,1.4469,0.919122,0.019395,0.021784,Interaction,Discordant (CRE Down / PLA Up),TRUE
BASP1,1.4972,-0.1944,0.004764,0.953066,0.016135,Interaction,Discordant (CRE Up / PLA Down),TRUE
MAP1B,0.0682,-1.6229,0.987024,1.8e-5,1.13e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
ABHD5,0.2805,-1.4093,0.881591,0.014169,0.012032,Interaction,Discordant (CRE Up / PLA Down),TRUE
MICU2,-1.0992,0.5658,0.040391,0.559489,0.007445,Interaction,Discordant (CRE Down / PLA Up),TRUE
TNKS1BP1,0.5225,-1.1297,0.487363,0.046465,0.004276,Interaction,Discordant (CRE Up / PLA Down),TRUE
ELAVL1,0.6969,-0.9505,0.033215,0.010506,5e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
SFXN3,0.9617,-0.6759,0.002137,0.11734,8e-6,Interaction,Discordant (CRE Up / PLA Down),TRUE
CTSC,0.48,-1.1369,0.656127,0.192661,0.049881,Interaction,Discordant (CRE Up / PLA Down),TRUE
EMC2,1.2351,-0.3748,0.004453,0.754299,0.003828,Interaction,Discordant (CRE Up / PLA Down),TRUE
NRDC,-0.6375,0.9617,0.195596,0.094839,0.002408,Interaction,Discordant (CRE Down / PLA Up),TRUE
S100A9,0.5548,-1.0294,0.579616,0.124332,0.022316,Interaction,Discordant (CRE Up / PLA Down),FALSE
GNG2,0.1129,-1.4655,0.982441,0.009343,0.025273,Interaction,Discordant (CRE Up / PLA Down),TRUE
NNMT,1.3968,-0.1721,0.001081,0.953816,0.007263,Interaction,Discordant (CRE Up / PLA Down),TRUE
G6PD,0.4355,-1.1327,0.553795,0.008123,8.7e-4,Interaction,Discordant (CRE Up / PLA Down),TRUE
SERPINH1,0.6865,-0.8544,0.395306,0.104065,0.010762,Interaction,Discordant (CRE Up / PLA Down),TRUE
PEBP4,-0.1269,-1.403,0.949747,0.003428,0.022163,Interaction,Concordant Down,TRUE
NADK2,-0.2736,1.2436,0.707798,0.011243,0.001944,Interaction,Discordant (CRE Down / PLA Up),TRUE
SLC16A3,0.4904,-1.0231,0.662857,0.155705,0.041384,Interaction,Discordant (CRE Up / PLA Down),TRUE
PCOLCE,1.2447,-0.2686,0.023466,0.887408,0.022769,Interaction,Discordant (CRE Up / PLA Down),TRUE
CKAP4,1.378,-0.1284,7.46e-4,0.977415,0.014835,Interaction,Discordant (CRE Up / PLA Down),TRUE
UGDH,0.9633,-0.5418,0.052746,0.555018,0.010395,Interaction,Discordant (CRE Up / PLA Down),TRUE
DRG1,-0.1545,1.3501,0.959412,0.002345,0.009362,Interaction,Discordant (CRE Down / PLA Up),TRUE
RPL14,0.7987,-0.6936,0.087483,0.28236,0.003947,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRC2,1.2408,-0.2488,3.93e-4,0.879102,0.002542,Interaction,Discordant (CRE Up / PLA Down),TRUE
EYA3,-0.8836,0.584,0.035139,0.279199,0.001053,Interaction,Discordant (CRE Down / PLA Up),TRUE
S100A13,1.2133,0.2542,7.8e-5,0.813273,0.04574,Interaction,Concordant Up,FALSE
MRPS21,-0.8213,0.6452,0.105287,0.523572,0.030011,Interaction,Discordant (CRE Down / PLA Up),TRUE
CD163,0.428,-1.0369,0.638483,0.048949,0.009929,Interaction,Discordant (CRE Up / PLA Down),TRUE
ARRB1,0.4849,-0.9775,0.513921,0.089522,0.010275,Interaction,Discordant (CRE Up / PLA Down),TRUE
C11orf68,-0.307,1.1269,0.57063,6.8e-5,7e-6,Interaction,Discordant (CRE Down / PLA Up),TRUE
MAPK14,-0.4282,0.9995,0.480176,0.011659,8.02e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
TFRC,-0.8036,0.6209,0.069408,0.305071,0.002915,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRPS17,-1.0036,0.4165,0.047076,0.699245,0.01631,Interaction,Discordant (CRE Down / PLA Up),TRUE
MUSTN1,-0.2778,1.1359,0.837257,0.016514,0.010174,Interaction,Discordant (CRE Down / PLA Up),TRUE
RAP1A,-0.694,0.7182,0.185312,0.232359,0.006571,Interaction,Discordant (CRE Down / PLA Up),TRUE
LIMCH1,0.8817,-0.5205,0.043956,0.5744,0.015275,Interaction,Discordant (CRE Up / PLA Down),TRUE
DHRS7C,-0.4072,0.9911,0.576332,0.015687,0.002104,Interaction,Discordant (CRE Down / PLA Up),TRUE
PTGIS,0.8349,-0.5628,0.171934,0.556733,0.034603,Interaction,Discordant (CRE Up / PLA Down),TRUE
TYMP,0.61240000000000006,-0.768,0.346978,0.253636,0.020105,Interaction,Discordant (CRE Up / PLA Down),TRUE
EPS15,0.4492,-0.9269,0.332754,0.038127,0.001501,Interaction,Discordant (CRE Up / PLA Down),TRUE
SEC23IP,0.2055,-1.17,0.85847,0.010766,0.005195,Interaction,Discordant (CRE Up / PLA Down),TRUE
MSRB2,-0.2646,1.1046,0.821495,0.038483,0.01554,Interaction,Discordant (CRE Down / PLA Up),TRUE
DHRS11,-0.6497,0.7155,0.083186,0.281544,0.00667,Interaction,Discordant (CRE Down / PLA Up),TRUE
HDLBP,0.6664,-0.6892,0.218919,0.213772,0.007611,Interaction,Discordant (CRE Up / PLA Down),TRUE
HNRNPA3,0.2587,-1.0962,0.863809,0.022339,0.016832,Interaction,Discordant (CRE Up / PLA Down),FALSE
SIRT3,-0.7084,0.634,0.188807,0.310814,0.010606,Interaction,Discordant (CRE Down / PLA Up),TRUE
MRPS27,-0.2005,1.1354,0.899221,0.039711,0.024627,Interaction,Discordant (CRE Down / PLA Up),TRUE
LRP1,0.7778,-0.5435,0.048293,0.395969,0.0042,Interaction,Discordant (CRE Up / PLA Down),TRUE
RRAS2,-0.7514,0.5675,0.161861,0.460538,0.020565,Interaction,Discordant (CRE Down / PLA Up),TRUE
ACACA,-0.3246,0.9936,0.814736,0.0849,0.042858,Interaction,Discordant (CRE Down / PLA Up),FALSE
C20orf27,0.6085,-0.7097,0.19278,0.198924,0.005604,Interaction,Discordant (CRE Up / PLA Down),TRUE
RBBP4,-0.566,0.7381,0.241174,0.088491,0.002098,Interaction,Discordant (CRE Down / PLA Up),TRUE
AHNAK,0.6418,-0.6618,0.374638,0.386209,0.044603,Interaction,Discordant (CRE Up / PLA Down),FALSE
SYNPO,-0.4281,0.8753,0.515396,0.083191,0.009336,Interaction,Discordant (CRE Down / PLA Up),TRUE
CD58,0.6696,-0.6336,0.236624,0.253529,0.011712,Interaction,Discordant (CRE Up / PLA Down),TRUE
MRPL1,-0.0778,-1.2152,0.980067,0.010127,0.036942,Interaction,Concordant Down,TRUE
ETHE1,-0.3229,0.9672,0.626713,9.22e-4,2.71e-4,Interaction,Discordant (CRE Down / PLA Up),TRUE
LHPP,-0.7298,0.5599,0.188652,0.402223,0.016763,Interaction,Discordant (CRE Down / PLA Up),TRUE
IRGQ,-0.1417,1.145,0.941321,0.024102,0.01901,Interaction,Discordant (CRE Down / PLA Up),TRUE
PIP4K2B,-0.4263,0.8601,0.391334,0.02783,0.001194,Interaction,Discordant (CRE Down / PLA Up),TRUE
B2M,0.5463,-0.7335,0.45485,0.24103,0.029871,Interaction,Discordant (CRE Up / PLA Down),FALSE
TIGAR,-0.5249,0.7543,0.325191,0.185498,0.011864,Interaction,Discordant (CRE Down / PLA Up),TRUE
ATP5F1E,-0.5489,0.73,0.440647,0.219286,0.024698,Interaction,Discordant (CRE Down / PLA Up),TRUE
RAB9A,-0.3583,0.9171,0.528282,0.024323,0.002207,Interaction,Discordant (CRE Down / PLA Up),TRUE
LANCL2,-0.8098,0.4636,0.029818,0.530192,0.006098,Interaction,Discordant (CRE Down / PLA Up),TRUE
TXLNB,-0.7699,0.4951,0.18412,0.596261,0.042494,Interaction,Discordant (CRE Down / PLA Up),TRUE
MCEE,-0.6108,0.6391,0.229821,0.305982,0.015536,Interaction,Discordant (CRE Down / PLA Up),TRUE
PSAP,0.3654,-0.8802,0.613162,0.026832,0.004496,Interaction,Discordant (CRE Up / PLA Down),FALSE
ACOT1,-0.9985,0.241,0.01794,0.902578,0.039174,Interaction,Discordant (CRE Down / PLA Up),TRUE
OSTF1,0.9043,-0.3214,0.01623,0.707207,0.005814,Interaction,Discordant (CRE Up / PLA Down),TRUE
NDRG1,0.4889,-0.7332,0.452564,0.181567,0.019941,Interaction,Discordant (CRE Up / PLA Down),TRUE
TNPO1,0.5049,-0.7094,0.32415,0.198812,0.01343,Interaction,Discordant (CRE Up / PLA Down),TRUE
CTBP1,0.0393,1.148,0.994636,0.004244,0.017606,Interaction,Concordant Up,TRUE
CTNNA1,0.1669,-1.0141,0.894891,0.007842,0.005734,Interaction,Discordant (CRE Up / PLA Down),TRUE
BCAP31,0.5331,-0.6261,0.335767,0.220726,0.014736,Interaction,Discordant (CRE Up / PLA Down),TRUE
SRSF11,-0.9539,0.2014,0.014964,0.92489,0.043196,Interaction,Discordant (CRE Down / PLA Up),TRUE
FAHD1,-0.2556,0.8954,0.790781,0.016222,0.007614,Interaction,Discordant (CRE Down / PLA Up),TRUE
ARPC1B,0.711,-0.4379,0.146826,0.610179,0.036234,Interaction,Discordant (CRE Up / PLA Down),TRUE
LSM8,0.9801,-0.1628,0.001638,0.899792,0.002467,Interaction,Discordant (CRE Up / PLA Down),TRUE
TRIM28,0.4302,-0.7065,0.489536,0.287717,0.04922,Interaction,Discordant (CRE Up / PLA Down),TRUE
CYFIP1,0.3309,-0.7812,0.697689,0.097368,0.027885,Interaction,Discordant (CRE Up / PLA Down),TRUE
SPRYD4,-0.3803,0.727,0.57174,0.105235,0.016367,Interaction,Discordant (CRE Down / PLA Up),TRUE
SLC35A4,-0.5281,0.5722,0.26102,0.362806,0.027071,Interaction,Discordant (CRE Down / PLA Up),TRUE
IGBP1,-0.4682,0.6187,0.258331,0.372899,0.041152,Interaction,Discordant (CRE Down / PLA Up),TRUE
VAPB,-0.2398,0.8462,0.784938,0.012107,0.005534,Interaction,Discordant (CRE Down / PLA Up),FALSE
PSMF1,0.3436,-0.7351,0.696546,0.141048,0.041043,Interaction,Discordant (CRE Up / PLA Down),FALSE
FITM2,-0.1731,0.8952,0.860849,0.024283,0.011123,Interaction,Discordant (CRE Down / PLA Up),TRUE
GLUL,0.4713,-0.5948,0.427826,0.289246,0.034127,Interaction,Discordant (CRE Up / PLA Down),TRUE
CALM1,0.4108,-0.6509,0.581314,0.234469,0.047371,Interaction,Discordant (CRE Up / PLA Down),FALSE
FAH,0.1869,-0.8633,0.910065,0.052582,0.047569,Interaction,Discordant (CRE Up / PLA Down),FALSE
RHOC,1.0233,-0.0255,0.001571,0.998728,0.04253,Interaction,Discordant (CRE Up / PLA Down),TRUE
RBMX,0.8986,-0.1483,0.028094,0.942729,0.039829,Interaction,Discordant (CRE Up / PLA Down),TRUE
TSFM,-0.2274,0.819,0.827717,0.074548,0.032904,Interaction,Discordant (CRE Down / PLA Up),TRUE
CNP,0.3731,-0.6708,0.595135,0.202856,0.040299,Interaction,Discordant (CRE Up / PLA Down),TRUE
TIMM44,-0.2899,0.7508,0.769626,0.121935,0.047076,Interaction,Discordant (CRE Down / PLA Up),TRUE
ARF1,0.4189,-0.6045,0.365523,0.111234,0.006224,Interaction,Discordant (CRE Up / PLA Down),FALSE
RUVBL1,0.4282,-0.5898,0.411976,0.18144,0.015933,Interaction,Discordant (CRE Up / PLA Down),TRUE
HSP90B1,0.5731,-0.4397,0.266702,0.530425,0.048473,Interaction,Discordant (CRE Up / PLA Down),FALSE
NLN,-0.2131,0.785,0.849392,0.051385,0.029775,Interaction,Discordant (CRE Down / PLA Up),TRUE
DMAC2L,-0.5547,0.4434,0.211468,0.455405,0.027109,Interaction,Discordant (CRE Down / PLA Up),TRUE
MTARC2,0.3106,-0.6723,0.584513,0.123067,0.01957,Interaction,Discordant (CRE Up / PLA Down),TRUE
CA14,-0.4895,0.4876,0.354597,0.422929,0.048981,Interaction,Discordant (CRE Down / PLA Up),TRUE
COPE,0.8292,-0.1358,0.008281,0.944706,0.025318,Interaction,Discordant (CRE Up / PLA Down),TRUE
SLC25A20,-0.1754,0.7811,0.906563,0.056699,0.049116,Interaction,Discordant (CRE Down / PLA Up),FALSE
HNRNPDL,0.3279,-0.6283,0.474767,0.039181,0.003114,Interaction,Discordant (CRE Up / PLA Down),FALSE
CTTN,0.3607,-0.5631,0.528688,0.188782,0.028178,Interaction,Discordant (CRE Up / PLA Down),FALSE
TXN,0.2842,-0.6249,0.703068,0.126107,0.03656,Interaction,Discordant (CRE Up / PLA Down),FALSE
YWHAE,0.2923,-0.5834,0.618075,0.102021,0.019513,Interaction,Discordant (CRE Up / PLA Down),FALSE
TIPRL,-0.2251,0.6326,0.778743,0.071027,0.028455,Interaction,Discordant (CRE Down / PLA Up),FALSE
TXN2,-0.442,0.4146,0.281164,0.394987,0.028805,Interaction,Discordant (CRE Down / PLA Up),TRUE
SND1,0.3859,-0.4426,0.370245,0.383947,0.044112,Interaction,Discordant (CRE Up / PLA Down),TRUE
RPL23A,0.4101,-0.3934,0.236985,0.311759,0.014172,Interaction,Discordant (CRE Up / PLA Down),FALSE
FIS1,-0.2107,0.5576,0.789643,0.115433,0.04868,Interaction,Discordant (CRE Down / PLA Up),FALSE
DDX19B,-1.3101,-1.2281,0.062725,0.105708,0.995076,NS,Concordant Down,TRUE
RHCE,-0.9412,-1.1146,0.216152,0.103703,0.974811,NS,Concordant Down,TRUE
TMEM230,0.6671,1.3655,0.52818,0.089354,0.665956,NS,Concordant Up,TRUE
TMOD4,0.9484,1.0426,0.16963,0.256612,0.993559,NS,Concordant Up,TRUE
SYNPO2L,0.9043,1.0028,0.238029,0.347107,0.993687,NS,Concordant Up,TRUE
CLTA,-1.0366,-0.7982,0.269206,0.296804,0.957646,NS,Concordant Down,TRUE
BCS1L,1.2964,0.5242,0.059547,0.666063,0.555565,NS,Concordant Up,TRUE
MYBPH,0.7918,1.0281,0.305164,0.147153,0.949655,NS,Concordant Up,TRUE
CILP,0.6015,1.0892,0.653041,0.069871,0.807585,NS,Concordant Up,TRUE
ASPN,0.9928,0.6916,0.126161,0.415751,0.912068,NS,Concordant Up,TRUE
THBS4,1.3067,0.3539,0.063435,0.850076,0.409051,NS,Concordant Up,TRUE
TPM2,0.4674,1.1789,0.702632,0.064835,0.571104,NS,Concordant Up,FALSE
RCN3,1.4152,0.2108,0.070185,0.942159,0.245017,NS,Concordant Up,TRUE
COL1A2,1.2646,-0.3516,0.119443,0.890271,0.099161,NS,Discordant (CRE Up / PLA Down),TRUE
CD151,0.4389,-1.1607,0.789945,0.237403,0.105343,NS,Discordant (CRE Up / PLA Down),TRUE
COTL1,-0.5299,-1.0435,0.660114,0.080437,0.753517,NS,Concordant Down,TRUE
AEBP1,0.8556,0.7077,0.314339,0.501665,0.982994,NS,Concordant Up,TRUE
DES,0.498,1.06,0.716093,0.197193,0.764919,NS,Concordant Up,TRUE
RAB23,1.2507,-0.3039,0.050445,0.907936,0.07124,NS,Discordant (CRE Up / PLA Down),TRUE
MPC1,0.7913,-0.7408,0.491576,0.47992,0.105048,NS,Discordant (CRE Up / PLA Down),TRUE
MRPL38,0.2859,1.2426,0.83822,0.113776,0.358268,NS,Concordant Up,TRUE
SCN1B,-0.6765,-0.8487,0.077168,0.089143,0.94725,NS,Concordant Down,TRUE
BCO2,0.4036,1.1139,0.719079,0.054761,0.48899,NS,Concordant Up,TRUE
TBCEL,0.6489,0.8601,0.247787,0.284934,0.952157,NS,Concordant Up,TRUE
CD44,0.9483,0.5284,0.17757,0.682195,0.848336,NS,Concordant Up,TRUE
ATP5IF1,-0.3839,-1.0855,0.88951,0.29715,0.745679,NS,Concordant Down,TRUE
TNNT3,0.3754,1.0937,0.799547,0.105002,0.561585,NS,Concordant Up,TRUE
ACTN2,0.1926,1.2758,0.969646,0.19232,0.458071,NS,Concordant Up,TRUE
THEM6,-0.5587,0.906,0.685087,0.411302,0.15078,NS,Discordant (CRE Down / PLA Up),TRUE
TPM1,0.4642,0.9935,0.720154,0.181515,0.7595,NS,Concordant Up,FALSE
COL3A1,1.0584,-0.3983,0.161531,0.784211,0.069488,NS,Discordant (CRE Up / PLA Down),TRUE
DIAPH2,0.4423,1.01,0.656168,0.078529,0.635642,NS,Concordant Up,TRUE
SLC25A42,0.5946,0.8465,0.273747,0.2712,0.926464,NS,Concordant Up,TRUE
BGN,0.9051,0.5329,0.112998,0.514884,0.829222,NS,Concordant Up,TRUE
NDUFAF5,0.5096,0.9164,0.417148,0.154888,0.779899,NS,Concordant Up,TRUE
COL4A1,0.1554,-1.2682,0.975672,0.072521,0.123603,NS,Discordant (CRE Up / PLA Down),TRUE
CD74,-0.0687,-1.3536,0.991945,0.113219,0.184996,NS,Concordant Down,TRUE
FMOD,1.2634,-0.1473,0.248074,0.983747,0.285122,NS,Discordant (CRE Up / PLA Down),TRUE
MYL6B,-0.3836,1.0271,0.803308,0.153055,0.073716,NS,Discordant (CRE Down / PLA Up),TRUE
HDGFL3,-0.0608,-1.3346,0.994655,0.103188,0.187322,NS,Concordant Down,TRUE
LAMA2,1.0841,0.3098,0.082156,0.877879,0.505526,NS,Concordant Up,TRUE
AP3B1,0.599,-0.7927,0.485526,0.299305,0.050199,NS,Discordant (CRE Up / PLA Down),TRUE
RPL29,0.5102,-0.8796,0.735086,0.266747,0.120019,NS,Discordant (CRE Up / PLA Down),TRUE
PRDX2,0.4669,-0.9116,0.700713,0.223248,0.073215,NS,Discordant (CRE Up / PLA Down),FALSE
SLC1A4,-0.9464,-0.412,0.084147,0.798723,0.724949,NS,Concordant Down,TRUE
MRPL24,0.2703,1.057,0.875466,0.207128,0.516878,NS,Concordant Up,TRUE
MPO,0.2379,-1.0873,0.92375,0.140878,0.11690300000000001,NS,Discordant (CRE Up / PLA Down),TRUE
LCP1,0.8012,-0.5168,0.242251,0.629036,0.06591,NS,Discordant (CRE Up / PLA Down),FALSE
BPHL,-0.3383,0.9797,0.816122,0.107439,0.056875,NS,Discordant (CRE Down / PLA Up),TRUE
MAPKAPK3,-0.8756,0.4417,0.23445,0.668095,0.071711,NS,Discordant (CRE Down / PLA Up),TRUE
HARS2,0.4685,-0.8445,0.703245,0.275386,0.104737,NS,Discordant (CRE Up / PLA Down),TRUE
CAPG,0.8539,0.4414,0.200312,0.733932,0.829513,NS,Concordant Up,TRUE
APOD,0.798,-0.4902,0.224334,0.646912,0.064415,NS,Discordant (CRE Up / PLA Down),FALSE
COL6A3,0.971,0.3152,0.174411,0.882247,0.650262,NS,Concordant Up,FALSE
S100A8,0.4096,-0.8683,0.775626,0.280036,0.125184,NS,Discordant (CRE Up / PLA Down),FALSE
NUBP2,0.774,0.5039,0.111553,0.552486,0.894706,NS,Concordant Up,TRUE
GARNL3,0.4218,-0.8558,0.633978,0.32669,0.097514,NS,Discordant (CRE Up / PLA Down),TRUE
ABCF3,0.232,1.0351,0.883065,0.140877,0.409208,NS,Concordant Up,TRUE
RRBP1,0.3671,-0.8913,0.832432,0.236855,0.140812,NS,Discordant (CRE Up / PLA Down),TRUE
TUBA1C,0.2968,-0.9612,0.838056,0.132291,0.06822,NS,Discordant (CRE Up / PLA Down),TRUE
STARD10,-0.6682,-0.5898,0.216947,0.460199,0.991916,NS,Concordant Down,TRUE
KRT1,0.3823,-0.8677,0.836757,0.343429,0.198975,NS,Discordant (CRE Up / PLA Down),TRUE
MRPL12,0.1088,1.1396,0.972854,0.054033,0.15839,NS,Concordant Up,TRUE
MYH7,-0.4395,0.8034,0.741994,0.36132,0.14883,NS,Discordant (CRE Down / PLA Up),TRUE
ACTB,0.8318,-0.3961,0.281157,0.807259,0.152497,NS,Discordant (CRE Up / PLA Down),FALSE
DARS2,0.7417,0.4804,0.111081,0.440014,0.876249,NS,Concordant Up,TRUE
PHGDH,0.642,-0.5774,0.481674,0.606006,0.149674,NS,Discordant (CRE Up / PLA Down),TRUE
PTCD3,-0.8334,0.3829,0.202383,0.800298,0.121826,NS,Discordant (CRE Down / PLA Up),TRUE
SNX9,0.3646,-0.8508,0.714874,0.215789,0.068425,NS,Discordant (CRE Up / PLA Down),TRUE
MANF,0.5314,0.681,0.369881,0.275383,0.966459,NS,Concordant Up,TRUE
GRPEL1,-0.2288,0.9834,0.877717,0.170079,0.093571,NS,Discordant (CRE Down / PLA Up),TRUE
MT-ND4,-0.3591,0.8417,0.79434,0.31192,0.143614,NS,Discordant (CRE Down / PLA Up),TRUE
FSCN1,0.8372,0.3618,0.050841,0.693223,0.631723,NS,Concordant Up,FALSE
MYH8,0.3275,0.8697,0.85741,0.365097,0.770248,NS,Concordant Up,TRUE
ACTC1,0.9829,0.2123,0.362009,0.972207,0.720637,NS,Concordant Up,TRUE
ANG,0.4776,0.7153,0.528921,0.195222,0.914284,NS,Concordant Up,TRUE
LAMB1,0.4532,-0.7373,0.721672,0.296001,0.12494,NS,Discordant (CRE Up / PLA Down),TRUE
NCLN,-0.4608,0.7287,0.519926,0.325258,0.066706,NS,Discordant (CRE Down / PLA Up),TRUE
