pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOSLIM_TELOMERE_ORGANIZATION,Telomere Organization,GO Slim,1.403,-0.679,0.3507,0.9772,NS,37
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,1.037,-1.03,0.7515,0.7025,NS,41
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,-1.107,0.936,0.6054,0.82,NS,117
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,0.736,1.295,0.9984,0.3901,NS,57
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,-0.783,-1.219,1,0.4146,NS,115
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,0.844,-1.132,0.96,0.538,NS,101
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,-1.049,-0.895,0.7515,0.8151,NS,12
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Microtubule-Based Movement,GO Slim,1.196,0.742,0.5487,0.9638,NS,54
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.177,-0.759,0.5948,0.9463,NS,40
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.861,1.064,0.9313,0.6681,NS,35
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,0.89,-1.035,0.8888,0.6977,NS,35
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,-0.748,-1.176,0.9762,0.5558,NS,21
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-0.751,-1.172,1,0.4847,NS,101
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,-0.788,-1.13,0.9718,0.5982,NS,31
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,-0.91,0.981,0.8865,0.758,NS,48
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Glycoprotein Metabolic Process,GO Slim,0.963,0.91,0.8178,0.8151,NS,31
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,1.086,0.771,0.702,0.9327,NS,34
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,1.002,0.818,0.7864,0.8864,NS,28
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.098,-0.655,0.7089,0.974,NS,13
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,0.895,0.8,0.864,0.8853,NS,14
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,0.556,1.093,1,0.6493,NS,17
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,2.279,-1.292,1.988e-4,0.3844,Sig CRE only,50
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.38,-0.9,2.178e-5,0.8407,Sig CRE only,61
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.915,-1.14,0.01815,0.5617,Sig CRE only,52
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,1.738,1.026,0.01186,0.6977,Sig CRE only,135
HALLMARK_COMPLEMENT,Complement,Hallmark,1.544,-2.034,0.1657,0.002352,Sig PLA only,55
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.529,-1.925,0.309,0.03871,Sig PLA only,15
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,-0.993,2.08,0.7968,5.428e-6,Sig PLA only,183
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-0.557,2.45,1,4.977e-10,Sig PLA only,161
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And Energy,GO Slim,-0.717,2.063,1,4.479e-7,Sig PLA only,236
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,-0.564,-2.114,1,0.001312,Sig PLA only,53
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,0.622,-1.977,1,0.003548,Sig PLA only,65
