gene,set,logFC_CvH,logFC_TCR,t_TCR
ALAD,cancer_up,1.81860090919972,-0.175977191915482,-0.566002814190652
ADPRHL1,cancer_dn,-0.907973811834832,0.0108275116313372,0.0557799312127434
ANK1,cancer_up,2.39502984095864,-0.111936851136017,-0.287908517472723
SLC2A1,cancer_up,2.61879579122543,-0.00809338277121974,-0.0215468671824833
PGD,cancer_up,0.953724202495025,-0.0372288098595135,-0.175198405169095
ABHD14B,cancer_up,0.672583169496548,-0.048269157151072,-0.323447763571561
SDHC,cancer_dn,-1.70244427982617,0.197743353327674,0.655382267890105
SRI,cancer_up,1.17432570081592,-0.161336293706915,-0.766576970847938
PSMF1,cancer_up,0.768335192663283,-0.222649419911146,-0.892832922958713
GPX3,cancer_up,1.41036670766015,-0.123517533741582,-0.49768367980991
CAVIN2,cancer_up,1.18425781188002,-0.0876304531140946,-0.366842011977217
ANP32A,cancer_up,0.857096370149534,-0.121663557287185,-0.899581957836599
SPTB,cancer_up,1.93795746228484,-0.135359849371094,-0.384799749863922
DYSF,cancer_dn,-0.48241756548556203,0.136146565930188,1.22234866809221
DDT,cancer_up,0.867148950912995,-0.299581077566895,-1.63102946525277
CPT1B,cancer_dn,-0.652581913659127,0.0614992125582727,0.336719164119705
ACACA,cancer_dn,-0.907537845862965,0.137885217052572,0.48252469952128
ECI2,cancer_dn,-0.70981136925424,0.0789995382854585,0.444945626838688
RBP4,cancer_up,1.97346844690203,-0.0881491861196206,-0.286816667288772
GNB1,cancer_up,0.844051168929056,-0.118754479164091,-0.59050088461009
ATP1A2,cancer_dn,-0.653176643730657,0.00810999284283298,0.0479600554065269
SOD3,cancer_up,1.46683149786406,-0.189997433699874,-0.700843264596118
FAM162A,cancer_dn,-0.732284392533678,0.319293835669013,1.72194290175134
TBCA,cancer_up,0.567514514164863,-0.0428062465613888,-0.291160062158649
FAH,cancer_up,1.06987279681037,-0.192609026609848,-0.989062464056613
FBN1,cancer_up,1.80506670877355,-0.0163157662671036,-0.0390124064469785
STBD1,cancer_dn,-0.685681654132445,0.126100132208601,0.71380855039158
COL6A2,cancer_up,1.94484868019017,-0.126697855676744,-0.250136825798316
NOL3,cancer_dn,-0.596117883887331,0.055979257517695,0.35783040319703
AKR1C2,cancer_up,1.33932289154532,-0.145492297573025,-0.445562329977498
RPS9,cancer_dn,-0.543191513448587,0.0501704375066456,0.444010516448193
TMEM11,cancer_dn,-0.632880782070291,0.203028822396087,1.30883867783961
ATP1B1,cancer_dn,-0.617429966506005,0.103635154303815,0.638589967326558
EPB41,cancer_up,2.06827228355424,-0.242272462577425,-0.701358912914059
NME1,cancer_up,0.844113350324097,-0.182796366083039,-1.34436201343535
DHRS7C,cancer_dn,-0.670139182930843,0.120963908566804,0.695910157537856
CMPK1,cancer_up,0.605032735906324,-0.0898397776013216,-0.594847111468
PAFAH1B2,cancer_up,0.832716363164646,-0.450251776951193,-2.74824063355416
HPRT1,cancer_up,1.56506706648688,-0.257373079678803,-1.02899337229033
ACOT9,cancer_dn,-0.513559601242619,0.177286690648993,1.43682341229938
CAND1,cancer_up,0.942374911425603,-0.0537959972907007,-0.312230954844011
ILK,cancer_up,0.675637591958171,-1.9050574617196e-4,-0.00113720148204249
BLVRA,cancer_up,0.707665309605499,-0.0466055063796809,-0.300643681836418
MYH14,cancer_dn,-0.901319545448143,0.0768556814492669,0.482916874474159
GCLC,cancer_up,1.11907554920503,-0.205854912621735,-0.826424052012914
RPS2,cancer_dn,-0.474302640029165,0.287008673547344,3.02987168820859
HNRNPH1,cancer_up,0.532775733817083,-0.0353788342943542,-0.366625120211311
GSS,cancer_up,0.536614264948906,-0.194120075994002,-1.44559503749387
PDXK,cancer_up,0.678570687423321,-0.0357469160965103,-0.215634486055554
CAMK2B,cancer_dn,-0.75898974551265,0.0172219263583564,0.125809668090871
PRMT1,cancer_dn,-0.600744173337098,9.8892347942047e-4,0.00662353287936223
ACSL3,cancer_dn,-0.634897177242905,0.163992413625346,1.19502504344475
PTPA,cancer_up,0.778108138002395,-0.425440311988075,-2.49717064492937
PAFAH1B3,cancer_up,0.764274438112512,-0.205921925644175,-0.859952701955679
FN3K,cancer_up,0.697022439693875,-0.114333732416398,-0.718894418152152
PSMD5,cancer_up,0.78244433057171,-0.146491720156696,-0.725611463297622
SORBS1,cancer_up,0.92297851403983,-0.0743818859337608,-0.228047455975902
HNRNPA3,cancer_up,0.92926025304838,-0.435185136491089,-1.34221753989381
ENDOD1,cancer_dn,-0.577160731834621,0.0503639614160996,0.503421173915597
EPRS1,cancer_dn,-0.447391601200522,0.106222072451494,1.20602346154869
CCS,cancer_up,1.13693322894416,-0.262810405588118,-0.968417176972339
TNS1,cancer_up,0.667038548673034,-0.159623147038385,-0.894811108872035
LXN,cancer_up,2.46138187311751,-0.345344686877965,-1.09831832802086
HNRNPA1,cancer_up,0.676797191586733,-0.0514930701246943,-0.298672870135201
RANBP1,cancer_up,0.86380785348063,-0.059417224600729,-0.266746741727558
GCLM,cancer_up,0.860402732839834,-0.0366472831667206,-0.143784128305247
ACAT2,cancer_up,1.75459125052056,-0.588527928177381,-2.22136174070012
DYNC1LI2,cancer_up,1.06111930167964,-0.00751863945954412,-0.0276377558338655
HMBS,cancer_up,0.985931686041411,-0.0489707869729479,-0.174410294859626
PITHD1,cancer_up,1.14189288801539,-0.245291067776062,-1.30170845268196
HINT3,cancer_dn,-0.903154483245515,0.142045975514362,0.75188898058995
CNIH4,cancer_dn,-0.569458760958995,0.307110540876147,2.11722813801298
EIF3B,cancer_dn,-0.457517400594693,0.0211201552880862,0.236114190243901
RARS1,cancer_dn,-0.589679983562299,0.140077115371945,1.16507862175544
DCUN1D1,cancer_up,0.678966152892855,-0.433149648474984,-2.34902361183699
TMEM256,cancer_up,1.0907703304113,-0.132539750222037,-0.689227463629697
MT-ND4,cancer_dn,-1.2037081723126,0.230711102704285,0.614891625290126
HEBP1,cancer_up,1.2174436435249,-0.097163489138893,-0.367614702011773
EHBP1L1,cancer_dn,-0.704101318773798,0.100560987571589,0.768519151460227
OPLAH,cancer_dn,-0.524903845982891,0.0186271200423498,0.141887477119277
EIF6,cancer_up,0.554821662841565,-0.0935785487760707,-0.698635829964796
MTM1,cancer_dn,-0.854349982284255,0.237868298556569,0.855731060063462
CTTN,cancer_up,0.969073664436957,-0.00311590380222704,-0.0161579894595325
G3BP2,cancer_dn,-0.994069269050257,0.997564924670992,2.82348896118418
ARRB1,cancer_up,1.45394387781833,-0.165873753417522,-0.45942717082379
UROD,cancer_up,1.43168503969405,-0.236234521824985,-1.07016358672507
DYNC1LI1,cancer_dn,-0.537725764665868,0.148982276729301,1.23769596176235
LNPEP,cancer_dn,-0.571404277937951,0.475132712701913,2.99263555887225
EIF4B,cancer_up,0.951982656192758,-0.48297163916437,-2.09580025018405
SDCBP,cancer_up,0.791132182271182,-0.300599018146071,-1.42368285077408
MFN2,cancer_dn,-0.729156469137937,0.0410666083443001,0.275857615818964
MAVS,cancer_dn,-0.734179263533203,0.015429152679042,0.123463617238206
ATP6V1H,cancer_up,1.0062728956438,-0.257199867254596,-1.29468588450191
GAPVD1,cancer_up,0.785070823792504,-0.124734446244355,-0.485716318649123
GNAI3,cancer_up,1.65520128243063,-0.113553027641271,-0.443784184666534
ZBTB9,cancer_dn,-0.847592763327143,0.329454755358545,1.33443506582598
SORD,cancer_up,0.862390271596189,-0.649219863082443,-3.46597821664748
GUK1,cancer_up,1.06099284476107,-0.241779402724048,-1.0872623448808
PACSIN2,cancer_up,0.593709848328986,-0.230436158063066,-1.43445701108544
NLRX1,cancer_dn,-0.823408506726048,0.114584504437933,0.536262578055293
CLIP2,cancer_dn,-0.693804792521096,0.0622670938096661,0.372491727939563
ADH1C,cancer_up,1.06896009567236,-0.335127906280924,-1.09890496089955
ANK3,cancer_dn,-1.04277446979324,0.107483628254762,0.616129760449423
MRPL49,cancer_dn,-1.02535556355648,0.502814193549544,2.1237604482136
VPS28,cancer_dn,-0.817930028276574,0.0327733002891888,0.165513095112141
GMPR2,cancer_up,0.933744202928487,-0.566507392365759,-1.51884013170139
EMD,cancer_up,0.84508467904794,-0.577209229595775,-2.48110851260261
PIP4K2B,cancer_dn,-0.702794604807123,0.180773442551335,0.958736347658881
