pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,3.1066254651603126e-5,0.0016601205609919375,3.038557213930348,12,16,,GO:BP,9.319796954314722,Discordant (CRE Up / PLA Down),Antibacterial Humoral Response
GOBP_ENDOTHELIAL_CELL_DEVELOPMENT,3.1066254651603126e-5,0.0016601205609919375,3.038557213930348,12,16,,GO:BP,9.319796954314722,Discordant (CRE Up / PLA Down),Endothelial Cell Development
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,3.2845799680450996e-5,0.0016601205609919375,2.5929021558872303,16,25,,GO:BP,5.545334090478894,Discordant (CRE Up / PLA Down),Antimicrobial Humoral Response
REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS,3.700410702545561e-5,0.0018183407035564157,2.430845771144279,18,30,,Reactome,4.687179487179487,Discordant (CRE Up / PLA Down),Regulation Of Insulin Like Growth Factor I...
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,4.7096153104549375e-5,0.0021924498642617854,2.1137789314298074,24,46,,GO:BP,3.425341497880358,Discordant (CRE Up / PLA Down),Actin Filament Bundle Organization
GOBP_DETOXIFICATION,4.647061036790085e-5,0.0021924498642617854,1.9901661284222163,28,57,,GO:BP,3.04095952023988,Discordant (CRE Up / PLA Down),Detoxification
GOBP_RESPONSE_TO_TYPE_II_INTERFERON,4.958338256361683e-5,0.002249051378334312,2.4597844112769485,17,28,,GO:BP,4.823611542041577,Discordant (CRE Up / PLA Down),Response To Type Ii Interferon
GOBP_COLLAGEN_METABOLIC_PROCESS,6.736793548423915e-5,0.0027714855318981173,2.77201710744523,13,19,,GO:BP,6.735028248587571,Discordant (CRE Up / PLA Down),Collagen Metabolic Process
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,6.609560851925793e-5,0.0027714855318981173,2.493175149891568,16,26,,GO:BP,4.9880749574105625,Discordant (CRE Up / PLA Down),Reactive Nitrogen Species Metabolic Process
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,6.536990014006443e-5,0.0027714855318981173,2.1177823006181216,23,44,,GO:BP,3.4348932676518884,Discordant (CRE Up / PLA Down),Ameboidal Type Cell Migration
GOBP_EPITHELIAL_CELL_DEVELOPMENT,8.772026750389795e-5,0.0034483811825421215,2.264023022144181,19,34,,GO:BP,3.9583333333333335,Discordant (CRE Up / PLA Down),Epithelial Cell Development
REACTOME_TRANSLOCATION_OF_SLC2A4_GLUT4_TO_THE_PLASMA_MEMBRANE,8.772026750389795e-5,0.0034483811825421215,2.264023022144181,19,34,,Reactome,3.9583333333333335,Discordant (CRE Up / PLA Down),Translocation Of Slc2a4 Glut4 To The Plasm...
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,9.639556525256704e-5,0.0034800766312610425,2.9710337202874517,11,15,,GO:BP,8.528716216216216,Discordant (CRE Up / PLA Down),Basement Membrane Organization
REACTOME_COLLAGEN_DEGRADATION,9.639556525256704e-5,0.0034800766312610425,2.9710337202874517,11,15,,Reactome,8.528716216216216,Discordant (CRE Up / PLA Down),Collagen Degradation
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,9.639556525256704e-5,0.0034800766312610425,2.9710337202874517,11,15,,WikiPathways,8.528716216216216,Discordant (CRE Up / PLA Down),Prostaglandin Synthesis And Regulation
HALLMARK_APOPTOSIS,9.073618690958847e-5,0.0034800766312610425,2.1221669430624654,22,42,,Hallmark,3.4457831325301207,Discordant (CRE Up / PLA Down),Apoptosis
REACTOME_ECM_PROTEOGLYCANS,1.2559934735968475e-4,0.004192174443005327,2.4008353295252136,16,27,,Reactome,4.532135666718291,Discordant (CRE Up / PLA Down),Ecm Proteoglycans
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,1.434308377901357e-4,0.004698688000939815,2.0728142234563616,22,43,,GO:BP,3.279895090566347,Discordant (CRE Up / PLA Down),Negative Regulation Of Protein Containing ...
REACTOME_SIGNALING_BY_INTERLEUKINS,1.4615965597999434e-4,0.004701026025974727,1.620563847429519,46,115,,Reactome,2.1196888090963495,Discordant (CRE Up / PLA Down),Signaling By Interleukins
WP_SPINAL_CORD_INJURY,1.4941106173422245e-4,0.004719788717997135,2.6334162520729687,13,20,,WikiPathways,5.769733656174334,Discordant (CRE Up / PLA Down),Spinal Cord Injury
GOBP_FOCAL_ADHESION_ASSEMBLY,1.6957715643595376e-4,0.004838419189277455,2.430845771144279,15,25,,GO:BP,4.668367346938775,Discordant (CRE Up / PLA Down),Focal Adhesion Assembly
REACTOME_DEVELOPMENTAL_CELL_LINEAGES,1.6957715643595376e-4,0.004838419189277455,2.430845771144279,15,25,,Reactome,4.668367346938775,Discordant (CRE Up / PLA Down),Developmental Cell Lineages
GOBP_ENDOTHELIAL_CELL_MIGRATION,1.5926416368194235e-4,0.004838419189277455,2.0257048092868986,23,46,,GO:BP,3.132758620689655,Discordant (CRE Up / PLA Down),Endothelial Cell Migration
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT,1.8519885311368855e-4,0.005200266208858969,1.9477930858527874,25,52,,GO:BP,2.9043316673074457,Discordant (CRE Up / PLA Down),Regulation Of Vasculature Development
PID_THROMBIN_PAR1_PATHWAY,1.9134226678798127e-4,0.0052888198429365445,2.700939745715865,12,18,,PID,6.206429780033841,Discordant (CRE Up / PLA Down),Pid Thrombin Par1 Pathway
GOBP_RENAL_SYSTEM_PROCESS,2.279259281176096e-4,0.006017924878209722,2.4660754200014416,14,23,,GO:BP,4.835691378985097,Discordant (CRE Up / PLA Down),Renal System Process
PID_AVB3_INTEGRIN_PATHWAY,2.279259281176096e-4,0.006017924878209722,2.4660754200014416,14,23,,PID,4.835691378985097,Discordant (CRE Up / PLA Down),Pid Avb3 Integrin Pathway
GOBP_PHAGOCYTOSIS,2.21491775440207e-4,0.006017924878209722,2.025704809286899,22,44,,GO:BP,3.1290877796901895,Discordant (CRE Up / PLA Down),Phagocytosis
GOBP_NEPHRON_DEVELOPMENT,2.4012004857468792e-4,0.0060497715186224625,2.785344112769486,11,16,,GO:BP,6.819256756756757,Discordant (CRE Up / PLA Down),Nephron Development
GOBP_CILIUM_ORGANIZATION,2.428116324602571e-4,0.0060497715186224625,2.1382439653583933,19,36,,GO:BP,3.488819500402901,Discordant (CRE Up / PLA Down),Cilium Organization
REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS,2.428116324602571e-4,0.0060497715186224625,2.1382439653583933,19,36,,Reactome,3.488819500402901,Discordant (CRE Up / PLA Down),Fcgamma Receptor Fcgr Dependent Phagocytosis
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,2.4074819458932338e-4,0.0060497715186224625,1.9826047069616457,23,47,,GO:BP,3.000574712643678,Discordant (CRE Up / PLA Down),Establishment Or Maintenance Of Cell Polarity
HALLMARK_COAGULATION,2.7045214638326284e-4,0.006644858985444333,1.9110422729121688,25,53,,Hallmark,2.7990608007909046,Discordant (CRE Up / PLA Down),Coagulation
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,2.8882915234482767e-4,0.006961122284145959,1.8540349101947886,27,59,,GO:BP,2.6484375,Discordant (CRE Up / PLA Down),Negative Regulation Of Locomotion
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,3.045751665796829e-4,0.0071719975071920985,2.5080154781647317,13,21,,GO:BP,5.045762711864406,Discordant (CRE Up / PLA Down),Positive Regulation Of Plasma Membrane Bou...
GOBP_CYTOKINESIS,3.0812425695115854e-4,0.0071719975071920985,2.025704809286899,21,42,,GO:BP,3.125429553264605,Discordant (CRE Up / PLA Down),Cytokinesis
REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING,4.038696918801113e-4,0.00866856345599204,2.558785022257135,12,19,,Reactome,5.316896301667875,Discordant (CRE Up / PLA Down),Extra Nuclear Estrogen Signaling
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,4.0672174496740495e-4,0.00866856345599204,1.761482442858173,30,69,,GO:BP,2.41777419787891,Discordant (CRE Up / PLA Down),Reactive Oxygen Species Metabolic Process
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,4.3895464393354963e-4,0.009244175775219635,1.5837328508970299,43,110,,GO:BP,2.031956289978678,Discordant (CRE Up / PLA Down),Regulation Of Protein Containing Complex A...
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT,4.954383841380423e-4,0.01019105234349066,1.9376306871439901,22,46,,GO:BP,2.8651749856569135,Discordant (CRE Up / PLA Down),Organic Hydroxy Compound Transport
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,5.298982954046199e-4,0.010652160051940598,2.6215003414301044,11,17,,GO:BP,5.679617117117117,Discordant (CRE Up / PLA Down),Positive Regulation Of Protein Localizatio...
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,5.298982954046199e-4,0.010652160051940598,2.6215003414301044,11,17,,Reactome,5.679617117117117,Discordant (CRE Up / PLA Down),Interleukin 4 And Interleukin 13 Signaling
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,5.57332999848925e-4,0.011077776143064589,1.8161491393606677,26,58,,GO:BP,2.5459272097053725,Discordant (CRE Up / PLA Down),Leukocyte Cell Cell Adhesion
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,6.29519389269289e-4,0.012373553329081915,1.6488294959311967,35,86,,GO:BP,2.1615230599281965,Discordant (CRE Up / PLA Down),Protein Localization To Cell Periphery
GOBP_REGULATION_OF_CELL_JUNCTION_ASSEMBLY,6.472571037827319e-4,0.01258239358891926,1.9762973749140476,20,41,,GO:BP,2.971493914890141,Discordant (CRE Up / PLA Down),Regulation Of Cell Junction Assembly
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,6.848661310301548e-4,0.013027184793466064,2.7009397457158655,10,15,,GO:BP,6.188870151770658,Discordant (CRE Up / PLA Down),Positive Regulation Of Substrate Adhesion ...
REACTOME_AMYLOID_FIBER_FORMATION,6.848661310301548e-4,0.013027184793466064,2.7009397457158655,10,15,,Reactome,6.188870151770658,Discordant (CRE Up / PLA Down),Amyloid Fiber Formation
GOBP_LAMELLIPODIUM_ORGANIZATION,7.488757739600387e-4,0.01379959629307613,2.2687893864013264,14,25,,GO:BP,3.952153110047847,Discordant (CRE Up / PLA Down),Lamellipodium Organization
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,7.488757739600387e-4,0.01379959629307613,2.2687893864013264,14,25,,GO:BP,3.952153110047847,Discordant (CRE Up / PLA Down),Rho Protein Signal Transduction
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION,7.77656100794544e-4,0.014182202497995343,1.620563847429519,36,90,,GO:BP,2.099941211052322,Discordant (CRE Up / PLA Down),Establishment Of Organelle Localization
PID_A6B1_A6B4_INTEGRIN_PATHWAY,0.0010619149118021969,0.016624136982106956,2.4758614335728764,11,18,,PID,4.865588803088803,Discordant (CRE Up / PLA Down),Pid A6b1 A6b4 Integrin Pathway
REACTOME_DEVELOPMENTAL_LINEAGE_OF_PANCREATIC_DUCTAL_CELLS,0.0010619149118021969,0.016624136982106956,2.4758614335728764,11,18,,Reactome,4.865588803088803,Discordant (CRE Up / PLA Down),Developmental Lineage Of Pancreatic Ductal...
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM,0.0010340837933210626,0.016624136982106956,2.2899271757156248,13,23,,GO:BP,4.032203389830508,Discordant (CRE Up / PLA Down),Modulation Of Process Of Another Organism
REACTOME_INTEGRIN_CELL_SURFACE_INTERACTIONS,0.0010340837933210626,0.016624136982106956,2.2899271757156248,13,23,,Reactome,4.032203389830508,Discordant (CRE Up / PLA Down),Integrin Cell Surface Interactions
REACTOME_RAC1_GTPASE_CYCLE,0.0010340837933210626,0.016624136982106956,2.2899271757156248,13,23,,Reactome,4.032203389830508,Discordant (CRE Up / PLA Down),Rac1 Gtpase Cycle
REACTOME_SEMAPHORIN_INTERACTIONS,0.0010340837933210626,0.016624136982106956,2.2899271757156248,13,23,,Reactome,4.032203389830508,Discordant (CRE Up / PLA Down),Semaphorin Interactions
REACTOME_L1CAM_INTERACTIONS,9.971129865458637e-4,0.016624136982106956,1.8906578220011054,21,45,,Reactome,2.7302405498281788,Discordant (CRE Up / PLA Down),L1cam Interactions
WP_MIRTARGETED_GENES_IN_LEUKOCYTES,0.001026474461373673,0.016624136982106956,1.8568960751796575,22,48,,WikiPathways,2.641864159936449,Discordant (CRE Up / PLA Down),Mirtargeted Genes In Leukocytes
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,0.0010448886990727187,0.016624136982106956,1.827106298572497,23,51,,Reactome,2.566256157635468,Discordant (CRE Up / PLA Down),Antigen Processing Cross Presentation
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0010471313220296273,0.016624136982106956,1.7556108347153123,26,60,,Hallmark,2.3935161586298297,Discordant (CRE Up / PLA Down),Epithelial Mesenchymal Transition
GOBP_REGULATION_OF_ENDOCYTOSIS,9.399890168980816e-4,0.016624136982106956,1.6745826423438364,31,75,,GO:BP,2.212174189446917,Discordant (CRE Up / PLA Down),Regulation Of Endocytosis
GOBP_SKIN_DEVELOPMENT,0.0011596059909063728,0.017837765199246725,2.025704809286899,17,34,,GO:BP,3.1109215017064846,Discordant (CRE Up / PLA Down),Skin Development
REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX,0.0011596059909063728,0.017837765199246725,2.025704809286899,17,34,,Reactome,3.1109215017064846,Discordant (CRE Up / PLA Down),Degradation Of The Extracellular Matrix
HALLMARK_UV_RESPONSE_DN,0.001260094425749455,0.01921643999267919,2.1815282561551217,14,26,,Hallmark,3.6208262591963782,Discordant (CRE Up / PLA Down),UV Response Dn
REACTOME_COLLAGEN_BIOSYNTHESIS_AND_MODIFYING_ENZYMES,0.0014261096017892663,0.020355877262038673,2.5321310116086235,10,16,,Reactome,5.154581225407532,Discordant (CRE Up / PLA Down),Collagen Biosynthesis And Modifying Enzymes
REACTOME_LAMININ_INTERACTIONS,0.0014261096017892663,0.020355877262038673,2.5321310116086235,10,16,,Reactome,5.154581225407532,Discordant (CRE Up / PLA Down),Laminin Interactions
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,0.0014261096017892663,0.020355877262038673,2.5321310116086235,10,16,,Reactome,5.154581225407532,Discordant (CRE Up / PLA Down),Rho Gtpases Activate Iqgaps
GOBP_MEMBRANE_DOCKING,0.001426867597791292,0.020355877262038673,2.315091210613599,12,21,,GO:BP,4.130851663846587,Discordant (CRE Up / PLA Down),Membrane Docking
GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS,0.001426867597791292,0.020355877262038673,2.315091210613599,12,21,,GO:BP,4.130851663846587,Discordant (CRE Up / PLA Down),Negative Regulation Of Endocytosis
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,0.001426867597791292,0.020355877262038673,2.315091210613599,12,21,,Reactome,4.130851663846587,Discordant (CRE Up / PLA Down),Immunoregulatory Interactions Between A Ly...
REACTOME_RHO_GTPASES_ACTIVATE_PKNS,0.001426867597791292,0.020355877262038673,2.315091210613599,12,21,,Reactome,4.130851663846587,Discordant (CRE Up / PLA Down),Rho Gtpases Activate Pkns
GOBP_ENDOSOMAL_TRANSPORT,0.0014486590330659117,0.02050142263594878,1.6108014146136787,33,83,,GO:BP,2.0726315789473686,Discordant (CRE Up / PLA Down),Endosomal Transport
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,0.0014720298929800561,0.02066683238636285,1.5239247189130798,41,109,,GO:BP,1.901088549298723,Discordant (CRE Up / PLA Down),Regulation Of Supramolecular Fiber Organiz...
GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY,0.0018454777796208111,0.025705907024796967,1.9190887666928516,18,38,,GO:BP,2.8,Discordant (CRE Up / PLA Down),Regulation Of Synapse Structure Or Activity
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,0.0019667270891950616,0.026762617082969724,2.3455529370690407,11,19,,GO:BP,4.2550675675675675,Discordant (CRE Up / PLA Down),Negative Regulation Of Intracellular Trans...
GOBP_SUPEROXIDE_METABOLIC_PROCESS,0.0019667270891950616,0.026762617082969724,2.3455529370690407,11,19,,GO:BP,4.2550675675675675,Discordant (CRE Up / PLA Down),Superoxide Metabolic Process
GOBP_OSTEOBLAST_DIFFERENTIATION,0.0019600758082745804,0.026762617082969724,1.8415498266244537,20,44,,GO:BP,2.5957690108633504,Discordant (CRE Up / PLA Down),Osteoblast Differentiation
GOBP_REGULATION_OF_CELL_MATRIX_ADHESION,0.00203337344558483,0.027045395678492967,2.1007309133345617,14,27,,GO:BP,3.340472770014366,Discordant (CRE Up / PLA Down),Regulation Of Cell Matrix Adhesion
WP_SELENIUM_MICRONUTRIENT_NETWORK,0.00203337344558483,0.027045395678492967,2.1007309133345617,14,27,,WikiPathways,3.340472770014366,Discordant (CRE Up / PLA Down),Selenium Micronutrient Network
REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE,0.002021715795560933,0.027045395678492967,1.6101756176383044,31,78,,Reactome,2.0675122749590833,Discordant (CRE Up / PLA Down),Srp Dependent Cotranslational Protein Targ...
REACTOME_RHO_GTPASE_CYCLE,0.0021710251459442133,0.02866077226250234,1.5242927277802407,38,101,,Reactome,1.8970641944093272,Discordant (CRE Up / PLA Down),Rho Gtpase Cycle
REACTOME_EPH_EPHRIN_SIGNALING,0.0022601955666577246,0.02961693301790752,2.025704809286899,15,30,,Reactome,3.1037414965986394,Discordant (CRE Up / PLA Down),Eph Ephrin Signaling
WP_CAMKK2_PATHWAY,0.0024449934978152937,0.0315613799994829,2.209859791949344,12,22,,WikiPathways,3.715736040609137,Discordant (CRE Up / PLA Down),Camkk2 Pathway
WP_PRIMARY_FOCAL_SEGMENTAL_GLOMERULOSCLEROSIS_FSGS,0.0024449934978152937,0.0315613799994829,2.209859791949344,12,22,,WikiPathways,3.715736040609137,Discordant (CRE Up / PLA Down),Primary Focal Segmental Glomerulosclerosis...
GOBP_NEGATIVE_REGULATION_OF_ORGANELLE_ORGANIZATION,0.0025662122803259808,0.03265920520788964,1.5897936477947816,31,79,,GO:BP,2.023310023310023,Discordant (CRE Up / PLA Down),Negative Regulation Of Organelle Organization
REACTOME_RHOH_GTPASE_CYCLE,0.0027064114680530374,0.033954906999899455,2.3831821285728223,10,17,,Reactome,4.415803420862443,Discordant (CRE Up / PLA Down),Rhoh Gtpase Cycle
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,0.0027024330426990827,0.033954906999899455,1.7476668942867364,22,51,,GO:BP,2.3646507211110452,Discordant (CRE Up / PLA Down),Positive Regulation Of Mapk Cascade
GOBP_ENDOCYTIC_RECYCLING,0.002844005774005484,0.03493782093205348,2.1067330016583745,13,25,,GO:BP,3.356497175141243,Discordant (CRE Up / PLA Down),Endocytic Recycling
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,0.002844005774005484,0.03493782093205348,2.1067330016583745,13,25,,GO:BP,3.356497175141243,Discordant (CRE Up / PLA Down),Regulation Of Receptor Mediated Endocytosis
REACTOME_ASPARAGINE_N_LINKED_GLYCOSYLATION,0.0028355246090690004,0.03493782093205348,1.514163190780106,37,99,,Reactome,1.8746722899806223,Discordant (CRE Up / PLA Down),Asparagine N Linked Glycosylation
GOBP_RESPONSE_TO_RADIATION,0.0029507934454830833,0.035999680034893615,1.6205638474295188,28,70,,GO:BP,2.0846376811594203,Discordant (CRE Up / PLA Down),Response To Radiation
PID_INTEGRIN1_PATHWAY,0.003161125360481342,0.03776525889247036,2.0257048092868986,14,28,,PID,3.100169779286927,Discordant (CRE Up / PLA Down),Pid Integrin1 Pathway
WP_METAPATHWAY_BIOTRANSFORMATION_PHASE_I_AND_II,0.003161125360481342,0.03776525889247036,2.0257048092868986,14,28,,WikiPathways,3.100169779286927,Discordant (CRE Up / PLA Down),Metapathway Biotransformation Phase I And Ii
GOBP_LEUKOCYTE_MIGRATION,0.0032022548523858415,0.03776525889247036,1.6458851575456053,26,64,,GO:BP,2.136823862081547,Discordant (CRE Up / PLA Down),Leukocyte Migration
GOBP_NEGATIVE_REGULATION_OF_TRANSPORT,0.0032011804146294585,0.03776525889247036,1.5247240500008916,35,93,,GO:BP,1.8932127246236037,Discordant (CRE Up / PLA Down),Negative Regulation Of Transport
GOBP_VESICLE_ORGANIZATION,0.0032011804146294585,0.03776525889247036,1.5247240500008916,35,93,,GO:BP,1.8932127246236037,Discordant (CRE Up / PLA Down),Vesicle Organization
GOBP_FIBROBLAST_MIGRATION,0.003410378641756975,0.03917506374849408,2.228275290215589,11,20,,GO:BP,3.7802177177177176,Discordant (CRE Up / PLA Down),Fibroblast Migration
GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,0.003410378641756975,0.03917506374849408,2.228275290215589,11,20,,GO:BP,3.7802177177177176,Discordant (CRE Up / PLA Down),Negative Regulation Of Vasculature Develop...
GOBP_MESENCHYME_DEVELOPMENT,0.003401019946871922,0.03917506374849408,1.9603594928582893,15,31,,GO:BP,2.9081632653061225,Discordant (CRE Up / PLA Down),Mesenchyme Development
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,0.003401019946871922,0.03917506374849408,1.9603594928582893,15,31,,Reactome,2.9081632653061225,Discordant (CRE Up / PLA Down),Cellular Responses To Mechanical Stimuli
GOBP_COLLAGEN_FIBRIL_ORGANIZATION,0.0037147300148737887,0.04056759615142168,2.430845771144279,9,15,,GO:BP,4.6313131313131315,Discordant (CRE Up / PLA Down),Collagen Fibril Organization
