pathway_label,pathway_padj,pathway_db,n_overlap,mean_logFC,direction
Regulation Of Cell Morphog..,0.004395665875358442,GO:BP,17,1.4504169759121104,Up
Regulation Of Protein Matu..,0.0053848796040398975,GO:BP,9,1.6459339752280477,Up
IL2 Stat5 Signaling,0.00644891665320308,Hallmark,14,1.5670106897170926,Up
Scavenger Receptor Uptake,0.007505287567780532,Reactome,10,2.094494678571266,Up
Extra Nuclear Estrogen Sig..,0.007505287567780532,Reactome,10,1.325387948218802,Up
Neutrophil Chemotaxis,0.007853155304197855,GO:BP,9,1.8067139964323866,Up
Developmental Cell Lineage..,0.008187223592453174,Reactome,9,1.8492293045774066,Up
Visual Phototransduction,0.008187223592453174,Reactome,9,2.057040697310973,Up
Reactive Oxygen Species Pa..,0.00894205902053756,Hallmark,11,1.5933972020573717,Up
Regulation Of Insulin Like..,0.011390624121971978,Reactome,11,1.7509748403372258,Up
Defense Response To Bacter..,0.013022332064381473,GO:BP,13,1.7303524380767954,Up
Cellular Responses To Mech..,0.013753805103821895,Reactome,12,1.2672187903553722,Up
Clathrin Mediated Endocyto..,0.013753805103821895,Reactome,17,0.9788434912644217,Up
G Alpha I Signalling Events,0.013753805103821895,Reactome,13,1.3966176116122562,Up
Rho Gtpases Activate Iqgaps,0.013753805103821895,Reactome,8,1.4982006811249582,Up
Semaphorin Interactions,0.013753805103821895,Reactome,10,0.9483348845984964,Up
Hypoxia,0.018414529629343274,Hallmark,17,1.7934080022412493,Up
Adenylate Cyclase Modulati..,0.01929264079581853,GO:BP,10,1.261727714593097,Up
Modulation Of Process Of A..,0.01929264079581853,GO:BP,10,1.6922660901329265,Up
Negative Regulation Of Cyt..,0.01929264079581853,GO:BP,15,1.5563694438360913,Up
Sterol Homeostasis,0.01929264079581853,GO:BP,8,1.8520930506614877,Up
Neurotransmitter Receptors..,0.019626705534375673,Reactome,15,1.357583922374309,Up
Rho Gtpases Activate Paks,0.019626705534375673,Reactome,8,1.0271423148529473,Up
Signaling By Nuclear Recep..,0.019626705534375673,Reactome,17,1.6399107344645458,Up
Collagen Metabolic Process,0.021508029949417095,GO:BP,9,1.8283109505753348,Up
Regulation Of Hemopoiesis,0.021508029949417095,GO:BP,15,1.5386358180315194,Up
Cell Substrate Junction Or..,0.02282168375773316,GO:BP,13,1.5907438105559821,Up
Myeloid Leukocyte Activation,0.0233757810602951,GO:BP,12,2.002917525800125,Up
Rac1 Gtpase Cycle,0.023528518327819683,Reactome,10,1.194179893250097,Up
Tissue Regeneration,0.02551777927820856,GO:BP,8,1.73737119830458,Up
Cholesterol Homeostasis,0.027168752582974964,Hallmark,8,1.9295562033514424,Up
Mitotic Spindle,0.027168752582974964,Hallmark,13,1.3728220484687883,Up
Ameboidal Type Cell Migrat..,0.029629123663458042,GO:BP,15,1.3975540878730406,Up
Fcgamma Receptor Fcgr Depe..,0.02974887123048539,Reactome,10,1.0896598512705051,Up
Smooth Muscle Contraction,0.02974887123048539,Reactome,10,1.3052779300274442,Up
Regulation Of Endocytosis,0.030934092563592714,GO:BP,21,1.406499183310994,Up
Glycosaminoglycan Metabolism,0.032117136920568695,Reactome,7,1.755068618333556,Up
Plasma Lipoprotein Assembl..,0.032117136920568695,Reactome,7,1.0792501443885067,Up
Rhof Gtpase Cycle,0.032117136920568695,Reactome,7,1.5390334140099893,Up
Protein Localization To Ce..,0.03302246295349985,GO:BP,25,1.405490144944889,Up
Vascular Process In Circul..,0.03387373868285889,GO:BP,13,1.6750658281798738,Up
Rhoc Gtpase Cycle,0.03483807994351807,Reactome,8,1.4789419228660936,Up
Sensory Processing Of Sound,0.03483807994351807,Reactome,8,1.315331208077986,Up
Negative Regulation Of Loc..,0.03675309220284656,GO:BP,18,1.4488124281521972,Up
Cartilage Development,0.03711398304828215,GO:BP,9,1.8293621891198777,Up
UV Response Dn,0.04097815128513659,Hallmark,9,1.5528723052532278,Up
Cortical Actin Cytoskeleto..,0.04176845384006368,GO:BP,7,1.6646259640118544,Up
Extracellular Matrix Disas..,0.04176845384006368,GO:BP,7,1.3373067911055163,Up
Iron Ion Transport,0.04176845384006368,GO:BP,7,1.3992023228451334,Up
Response To Fibroblast Gro..,0.04176845384006368,GO:BP,7,1.683223214137864,Up
Epithelial Cell Development,0.042002821378974584,GO:BP,12,1.4569691042512511,Up
Positive Regulation Of Inf..,0.0453528611477161,GO:BP,8,1.9949526743966912,Up
G Alpha Q Signalling Events,0.04550918401285335,Reactome,7,1.3785710504318474,Up
Rho Gtpases Activate Wasps..,0.04550918401285335,Reactome,7,1.1520775999431112,Up
Cellular Response To Ketone,0.046203903900403125,GO:BP,9,1.4038443071740723,Up
Regulation Of Cell Project..,0.04678364857536108,GO:BP,13,1.1630421794913777,Up
