pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
GOBP_NEURAL_PRECURSOR_CELL_PROLIFERATION,Neural Precursor Cell Proliferation,GO:BP,1.556,-1.447,0.1325,0.7063,NS,13
GOBP_REGULATION_OF_SMOOTH_MUSCLE_CONTRACTION,Regulation Of Smooth Muscle Contraction,GO:BP,1.347,-1.652,0.3123,0.4551,NS,11
GOBP_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Regulation Of Intracellular Protein Transport,GO:BP,1.516,-1.475,0.1195,0.5143,NS,35
PID_SYNDECAN_1_PATHWAY,Pid Syndecan 1 Pathway,PID,1.614,1.377,0.1533,0.8944,NS,13
WP_TRANSSULFURATION_ONECARBON_METABOLISM_AND_RELATED_PATHWAYS,Wp Transsulfuration Onecarbon Metabolism And Related Pathways,WikiPathways,1.346,-1.641,0.3137,0.173,NS,25
REACTOME_KINESINS,Kinesins,Reactome,1.507,-1.479,0.1243,0.5474,NS,11
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,Reference Arl8 Regulated Microtubule Plus End Directed Transport,KEGG,1.55,-1.431,0.07379,0.2078,NS,14
GOBP_REGULATION_OF_BLOOD_PRESSURE,Regulation Of Blood Pressure,GO:BP,1.674,-1.295,0.05522,0.8131,NS,29
GOBP_ISOPRENOID_METABOLIC_PROCESS,Isoprenoid Metabolic Process,GO:BP,1.557,-1.408,0.1187,0.6935,NS,25
REACTOME_TRANSCRIPTIONAL_AND_POST_TRANSLATIONAL_REGULATION_OF_MITF_M_EXPRESSION_AND_ACTIVITY,Transcriptional And Post Translational Regulation Of Mitf M Expression And Activity,Reactome,-1.605,1.354,0.0899,0.6105,NS,21
PID_HEDGEHOG_GLI_PATHWAY,Pid Hedgehog Gli Pathway,PID,1.691,-1.264,0.1057,0.9243,NS,15
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS,Muscle Cell Apoptotic Process,GO:BP,-1.713,1.239,0.07809,0.8931,NS,16
WP_PPAR_SIGNALING,Wp Ppar Signaling,WikiPathways,1.323,-1.62,0.3279,0.2054,NS,15
GOBP_MYOBLAST_FUSION,Myoblast Fusion,GO:BP,1.668,-1.274,0.07843,0.8687,NS,11
GOBP_SYNCYTIUM_FORMATION,Syncytium Formation,GO:BP,1.668,-1.274,0.07843,0.8687,NS,11
WP_INTERLEUKIN1_IL1_STRUCTURAL_PATHWAY,Wp Interleukin1 Il1 Structural Pathway,WikiPathways,-1.658,1.282,0.1156,0.7087,NS,13
REACTOME_INTRAFLAGELLAR_TRANSPORT,Intraflagellar Transport,Reactome,1.479,-1.453,0.138,0.5591,NS,12
GOBP_EXOCYTOSIS,Exocytosis,GO:BP,1.541,-1.391,0.08046,0.5962,NS,58
GOBP_RESPONSE_TO_ESTROGEN,Response To Estrogen,GO:BP,1.305,-1.623,0.3558,0.4864,NS,10
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,Mitochondrial Trna Aminoacylation,Reactome,-1.538,1.39,0.1293,0.6105,NS,11
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,Negative Regulation Of Protein Localization To Nucleus,GO:BP,1.569,-1.358,0.1335,0.8145,NS,10
GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY,Positive Regulation Of Lamellipodium Assembly,GO:BP,1.685,1.238,0.07624,0.9096,NS,10
PID_RAC1_PATHWAY,Pid Rac1 Pathway,PID,1.504,1.419,0.1659,0.8543,NS,21
REACTOME_INTERLEUKIN_17_SIGNALING,Interleukin 17 Signaling,Reactome,-1.685,1.232,0.06757,0.7469,NS,21
REACTOME_GLUCAGON_LIKE_PEPTIDE_1_GLP1_REGULATES_INSULIN_SECRETION,Glucagon Like Peptide 1 Glp1 Regulates Insulin Secretion,Reactome,1.482,-1.435,0.1495,0.5792,NS,10
GOBP_PIGMENTATION,Pigmentation,GO:BP,1.355,1.561,0.2935,0.46,NS,19
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS,Response To Xenobiotic Stimulus,GO:BP,1.337,-1.578,0.2104,0.2349,NS,82
GOBP_POSITIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,Positive Regulation Of Intrinsic Apoptotic Signaling Pathway,GO:BP,1.59,-1.324,0.1115,0.8145,NS,18
GOBP_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS,Deoxyribonucleotide Metabolic Process,GO:BP,1.666,-1.248,0.07612,0.8867,NS,14
GOBP_RESPONSE_TO_KETONE,Response To Ketone,GO:BP,1.424,-1.49,0.1901,0.4551,NS,41
GOBP_TERPENOID_METABOLIC_PROCESS,Terpenoid Metabolic Process,GO:BP,1.446,-1.468,0.2046,0.6054,NS,22
GOBP_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS,Phenol Containing Compound Metabolic Process,GO:BP,1.591,-1.321,0.1143,0.8281,NS,14
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Negative Regulation Of Intracellular Transport,GO:BP,1.517,-1.393,0.1524,0.7458,NS,19
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.529,1.377,0.06211,0.2785,NS,41
REACTOME_PROTEIN_FOLDING,Protein Folding,Reactome,1.345,-1.56,0.1936,0.3121,NS,38
REACTOME_COMPLEX_III_ASSEMBLY,Complex Iii Assembly,Reactome,-1.369,1.535,0.1996,0.4482,NS,18
GOBP_RETINOL_METABOLIC_PROCESS,Retinol Metabolic Process,GO:BP,1.449,-1.445,0.2113,0.7099,NS,12
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,Factors Involved In Megakaryocyte Development And Platelet Production,Reactome,1.513,-1.373,0.1031,0.5591,NS,28
GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO:BP,-1.316,1.569,0.1466,0.2081,NS,117
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,-1.539,1.344,0.05032,0.7099,NS,66
GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Negative Regulation Of Mitotic Cell Cycle Phase Transition,GO:BP,-1.233,1.65,0.4277,0.3391,NS,12
GOBP_RESPONSE_TO_MONOAMINE,Response To Monoamine,GO:BP,1.411,-1.47,0.2434,0.6883,NS,12
GOBP_POSITIVE_REGULATION_OF_CYTOPLASMIC_TRANSLATION,Positive Regulation Of Cytoplasmic Translation,GO:BP,-1.319,1.559,0.3385,0.5143,NS,12
GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS,Intracellular Iron Ion Homeostasis,GO:BP,1.724,1.149,0.05115,0.9573,NS,21
WP_ONECARBON_METABOLISM,Wp Onecarbon Metabolism,WikiPathways,-1.112,-1.761,0.5321,0.1327,NS,12
WP_KREBS_CYCLE_DISORDERS,Wp Krebs Cycle Disorders,WikiPathways,-1.597,1.269,0.1356,0.7087,NS,11
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,Cellular Responses To Mechanical Stimuli,Reactome,1.569,-1.294,0.07711,0.6359,NS,30
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.099,-1.762,0.4934,0.05217,NS,24
GOBP_MODIFIED_AMINO_ACID_BIOSYNTHETIC_PROCESS,Modified Amino Acid Biosynthetic Process,GO:BP,1.021,-1.839,0.6601,0.19,NS,19
REACTOME_POST_CHAPERONIN_TUBULIN_FOLDING_PATHWAY,Post Chaperonin Tubulin Folding Pathway,Reactome,1.551,-1.306,0.1038,0.695,NS,13
GOBP_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE,Morphogenesis Of A Branching Structure,GO:BP,1.599,-1.257,0.1056,0.8497,NS,21
GOBP_NEGATIVE_REGULATION_OF_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY,Negative Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway,GO:BP,-1.659,1.196,0.1001,0.9164,NS,18
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM,Defense Response To Gram Positive Bacterium,GO:BP,1.62,1.233,0.09779,0.8931,NS,14
PID_ECADHERIN_NASCENT_AJ_PATHWAY,Pid Ecadherin Nascent Aj Pathway,PID,1.858,0.995,0.05023,0.9596,NS,16
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,Regulation Of Cellular Response To Growth Factor Stimulus,GO:BP,1.625,-1.227,0.05546,0.8281,NS,43
WP_NUCLEAR_RECEPTORS_METAPATHWAY,Wp Nuclear Receptors Metapathway,WikiPathways,1.51,-1.338,0.0962,0.412,NS,57
GOBP_REGULATION_OF_CELL_KILLING,Regulation Of Cell Killing,GO:BP,1.68,-1.167,0.06393,0.9371,NS,16
GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION,Positive Regulation Of Lymphocyte Differentiation,GO:BP,1.51,-1.335,0.1645,0.8131,NS,14
GOBP_TELOMERASE_RNA_LOCALIZATION,Telomerase RNA Localization,GO:BP,1.405,1.433,0.2606,0.7306,NS,10
REACTOME_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Reactome,-1.469,-1.369,0.07208,0.5018,NS,65
GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,Regulation Of Cd4 Positive Alpha Beta T Cell Activation,GO:BP,1.645,-1.188,0.09245,0.9339,NS,10
GOBP_NEGATIVE_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,Negative Regulation Of Amyloid Fibril Formation,GO:BP,1.262,-1.571,0.4019,0.5877,NS,10
GOBP_REGULATION_OF_AMYLOID_FIBRIL_FORMATION,Regulation Of Amyloid Fibril Formation,GO:BP,1.262,-1.571,0.4019,0.5877,NS,10
GOBP_MORPHOGENESIS_OF_AN_EPITHELIAL_SHEET,Morphogenesis Of An Epithelial Sheet,GO:BP,1.685,-1.146,0.06641,0.9585,NS,12
KEGG_MEDICUS_REFERENCE_ASSEMBLY_AND_TRAFFICKING_OF_TELOMERASE,Reference Assembly And Trafficking Of Telomerase,KEGG,1.404,1.427,0.1395,0.2078,NS,10
GOBP_ALCOHOL_CATABOLIC_PROCESS,Alcohol Catabolic Process,GO:BP,1.374,-1.455,0.2812,0.7063,NS,12
GOBP_AMYLOID_FIBRIL_FORMATION,Amyloid Fibril Formation,GO:BP,1.52,-1.305,0.1502,0.8145,NS,20
GOBP_CELLULAR_PIGMENTATION,Cellular Pigmentation,GO:BP,1.523,1.302,0.1591,0.836,NS,12
GOBP_PRIMARY_ALCOHOL_METABOLIC_PROCESS,Primary Alcohol Metabolic Process,GO:BP,1.441,-1.384,0.1984,0.7099,NS,26
REACTOME_SELENOAMINO_ACID_METABOLISM,Selenoamino Acid Metabolism,Reactome,-1.331,1.491,0.1173,0.2708,NS,85
GOBP_REGULATION_OF_GLUCONEOGENESIS,Regulation Of Gluconeogenesis,GO:BP,-1.612,1.209,0.1324,0.9127,NS,12
KEGG_MEDICUS_REFERENCE_MGLUR5_CA2_APOPTOTIC_PATHWAY,Reference Mglur5 Ca2 Apoptotic Pathway,KEGG,-1.456,1.365,0.118,0.2275,NS,10
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY,Variant Mutation Caused Aberrant Abeta To Mglur5 Ca2 Apoptotic Pathway,KEGG,-1.456,1.365,0.118,0.2275,NS,10
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_MGLUR5_CA2_APOPTOTIC_PATHWAY,Variant Mutation Caused Aberrant Htt To Mglur5 Ca2 Apoptotic Pathway,KEGG,-1.456,1.365,0.118,0.2275,NS,10
GOBP_NEGATIVE_REGULATION_OF_TOR_SIGNALING,Negative Regulation Of Tor Signaling,GO:BP,-1.013,-1.803,0.6443,0.2081,NS,21
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,Glycerolipid Biosynthetic Process,GO:BP,-1.236,1.576,0.3716,0.422,NS,26
GOBP_ACTION_POTENTIAL,Action Potential,GO:BP,-1.547,-1.265,0.1169,0.8281,NS,27
GOBP_NEURON_PROJECTION_GUIDANCE,Neuron Projection Guidance,GO:BP,1.068,-1.743,0.5971,0.278,NS,20
GOBP_INTRACELLULAR_PH_REDUCTION,Intracellular Ph Reduction,GO:BP,1.406,-1.4,0.2492,0.8033,NS,12
GOBP_POSITIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT,Positive Regulation Of Neuron Projection Development,GO:BP,1.423,-1.382,0.222,0.7204,NS,23
PID_SYNDECAN_2_PATHWAY,Pid Syndecan 2 Pathway,PID,1.769,-1.036,0.07761,0.9596,NS,15
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Negative Regulation Of Cell Cycle Process,GO:BP,-1.132,1.669,0.4828,0.2807,NS,26
WP_HIPPO_SIGNALING_REGULATION,Wp Hippo Signaling Regulation,WikiPathways,1.172,-1.628,0.4754,0.1799,NS,19
GOBP_REGULATION_OF_EXTRACELLULAR_MATRIX_ORGANIZATION,Regulation Of Extracellular Matrix Organization,GO:BP,1.604,1.193,0.1057,0.9198,NS,14
GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS,Inflammatory Response To Antigenic Stimulus,GO:BP,1.563,-1.234,0.1299,0.8931,NS,13
HALLMARK_ESTROGEN_RESPONSE_LATE,Estrogen Response Late,Hallmark,1.561,-1.236,0.05037,0.4365,NS,41
PID_ERBB1_DOWNSTREAM_PATHWAY,Pid Erbb1 Downstream Pathway,PID,1.327,1.47,0.2604,0.8543,NS,39
GOBP_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Protein Localization To Cell Periphery,GO:BP,1.519,-1.275,0.06563,0.7099,NS,89
GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING,Barbed End Actin Filament Capping,GO:BP,1.542,1.248,0.1471,0.8931,NS,11
GOBP_PEPTIDYL_TYROSINE_MODIFICATION,Peptidyl Tyrosine Modification,GO:BP,1.486,1.303,0.1867,0.836,NS,13
GOBP_CELL_FATE_COMMITMENT,Cell Fate Commitment,GO:BP,1.053,-1.736,0.6254,0.2807,NS,17
GOBP_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION,Regulation Of Epithelial Cell Differentiation,GO:BP,1.383,-1.405,0.28,0.8033,NS,10
REACTOME_GLUTATHIONE_CONJUGATION,Glutathione Conjugation,Reactome,0.957,-1.827,0.68,0.1579,NS,20
GOBP_MEMBRANE_REPOLARIZATION,Membrane Repolarization,GO:BP,-1.215,-1.566,0.4378,0.5362,NS,14
GOBP_DEVELOPMENT_OF_PRIMARY_SEXUAL_CHARACTERISTICS,Development Of Primary Sexual Characteristics,GO:BP,1.347,-1.434,0.2996,0.6883,NS,20
REACTOME_NEURONAL_SYSTEM,Neuronal System,Reactome,1.493,-1.287,0.07495,0.5591,NS,62
GOBP_POSITIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT,Positive Regulation Of Vasculature Development,GO:BP,1.501,-1.278,0.1466,0.8145,NS,29
GOBP_ALCOHOL_METABOLIC_PROCESS,Alcohol Metabolic Process,GO:BP,1.382,-1.396,0.1645,0.4314,NS,89
GOBP_RESPONSE_TO_OXIDATIVE_STRESS,Response To Oxidative Stress,GO:BP,1.365,-1.412,0.1551,0.3395,NS,115
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT,Variant Mutation Caused Aberrant Dctn1 To Retrograde Axonal Transport,KEGG,1.527,-1.248,0.08493,0.2853,NS,11
WP_MITOCHONDRIAL_FATTY_ACID_OXIDATION_DISORDERS,Wp Mitochondrial Fatty Acid Oxidation Disorders,WikiPathways,-1.646,-1.129,0.1083,0.8206,NS,16
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING,Cell Cycle Checkpoint Signaling,GO:BP,-1.351,1.422,0.2935,0.7099,NS,17
REACTOME_RHOG_GTPASE_CYCLE,Rhog Gtpase Cycle,Reactome,1.566,-1.205,0.08223,0.7469,NS,28
WP_TCA_CYCLE_AND_DEFICIENCY_OF_PYRUVATE_DEHYDROGENASE_COMPLEX_PDHC,Wp Tca Cycle And Deficiency Of Pyruvate Dehydrogenase Complex Pdhc,WikiPathways,-1.601,-1.17,0.1297,0.8206,NS,15
REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,Mitotic G1 Phase And G1 S Transition,Reactome,-1.458,1.299,0.0969,0.6253,NS,44
GOBP_GLAND_DEVELOPMENT,Gland Development,GO:BP,1.313,-1.443,0.271,0.4864,NS,59
BIOCARTA_MTOR_PATHWAY,Biocarta Mtor Pathway,BioCarta,-1.689,-1.064,0.1764,0.9749,NS,10
GOBP_SEX_DIFFERENTIATION,Sex Differentiation,GO:BP,1.375,-1.377,0.2646,0.7306,NS,24
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,Toll Like Receptor Signaling Pathway,GO:BP,1.38,-1.368,0.2723,0.8078,NS,12
