replicate,r_boot
604,-0.3490376565314502
605,-0.34571172469124606
606,-0.3939628052699874
607,-0.30522780820652473
608,-0.2520821845583127
609,-0.3727822430547694
610,-0.3448352305846298
611,-0.34457826429166455
612,-0.37132968684124584
613,-0.30540008803693586
614,-0.30674112384026986
615,-0.34181541383335495
616,-0.3367658042650531
617,-0.2349909371264324
618,-0.30239747387760135
619,-0.3094475313143636
620,-0.420437617205832
621,-0.30471363013314673
622,-0.3212266092554991
623,-0.33572718983217464
624,-0.3685644761919299
625,-0.304782168964937
626,-0.3045389500339418
627,-0.297872937007951
628,-0.4390298789234095
629,-0.41918027588341517
630,-0.3065647447047602
631,-0.3491927435878002
632,-0.33842126690219
633,-0.40114331574850426
634,-0.3723717589672826
635,-0.28303200103254295
636,-0.2940194355546526
637,-0.32319376391203375
638,-0.3975600038317832
639,-0.3996354588685856
640,-0.33323036252397636
641,-0.3240113389239146
642,-0.3100211877443792
643,-0.3135999746612607
644,-0.34639063380083496
645,-0.29056292396696703
646,-0.2894736713996986
647,-0.3355994715160748
648,-0.35441882255288343
649,-0.3886952149065471
650,-0.35708091082563187
651,-0.3735653735146334
652,-0.3296840530684488
653,-0.32723463368709194
654,-0.3462549300860978
655,-0.2962581263418373
656,-0.34589637085048824
657,-0.34748102716352175
658,-0.2631434619566056
659,-0.29630714243618983
660,-0.34250083501197576
661,-0.3519172550518096
662,-0.35305377179443576
663,-0.29887919560933235
664,-0.31009347885271527
665,-0.3247620014183619
666,-0.3134558199843711
667,-0.31660334566695253
668,-0.38336942366976795
669,-0.3720833190374908
670,-0.37510378694624247
671,-0.3600512288918963
672,-0.3554983561067987
673,-0.3452481772927909
674,-0.33369579371312286
675,-0.332911745639861
676,-0.3276198925037502
677,-0.34074785927368834
678,-0.32516724572968175
679,-0.34398788737409786
680,-0.30297050835466055
681,-0.3360183057983705
682,-0.343247509843816
683,-0.31110297529637004
684,-0.3469105572797293
685,-0.36154220487204813
686,-0.32906116270546704
687,-0.40401621173956676
688,-0.37372194663113567
689,-0.3172598621162364
690,-0.3600861303275522
691,-0.37716803436850976
692,-0.338664109416705
693,-0.32711630083922433
694,-0.2786813226855724
695,-0.3348471994862269
696,-0.29704466958020237
697,-0.3656774178743913
698,-0.351847744550394
699,-0.3316470889258047
700,-0.32822780936696944
701,-0.31977058116301843
702,-0.2744955522174279
703,-0.31925830489655455
704,-0.4053668194649364
705,-0.3337589230336843
706,-0.3163332107358752
707,-0.3224400790278664
708,-0.37254846870463604
709,-0.36310466592420043
710,-0.3382708333685565
711,-0.324179728272005
712,-0.40229567003351785
713,-0.3296505816065162
714,-0.310262942329454
715,-0.3131770965419701
716,-0.28939470638096826
717,-0.32933249842191564
718,-0.28781766811502113
719,-0.3477185548247029
720,-0.3107049049983582
721,-0.34724253264559474
722,-0.32352427058699407
723,-0.31212896294113784
724,-0.3621863623678013
725,-0.30245036958055244
726,-0.2686364513219211
727,-0.4213449067577259
728,-0.4150079865018866
729,-0.2879602667610131
730,-0.3702879543288718
731,-0.3211172398950473
732,-0.32747246200095964
733,-0.33567377228787787
734,-0.355047272331362
735,-0.34821664117191387
736,-0.34545442912698615
737,-0.39615435471100424
738,-0.28460024039490733
739,-0.3422734620039317
740,-0.37475161336921525
741,-0.3349857494862496
742,-0.290325484286977
743,-0.2905270201806722
744,-0.29409699987743787
745,-0.3594632819739198
746,-0.3372753763280645
747,-0.3638774766994774
748,-0.3693395679011603
749,-0.3450933090814055
750,-0.30596593491122925
751,-0.2886184444025286
752,-0.328447759862715
753,-0.32989195550312106
754,-0.37812324336710856
755,-0.3620512646149239
756,-0.29072832360803735
757,-0.34552154854044254
758,-0.33926394289754536
759,-0.3142109394401907
760,-0.2481319422786937
761,-0.31550867793906
762,-0.352825841099831
763,-0.3439423779828395
764,-0.317354580159564
765,-0.4125077577708281
766,-0.3669270473660301
767,-0.37562967747557646
768,-0.27338614453987986
769,-0.3121289223627857
770,-0.3226069561747357
771,-0.3203125070772855
772,-0.3575549710885288
773,-0.35161654730089864
774,-0.2584928188257249
775,-0.3327040055004374
776,-0.3228853947670275
777,-0.3506922933971034
778,-0.3360155288049743
779,-0.33018842328246834
780,-0.3027236353052026
781,-0.31447084233721373
782,-0.3495239593790319
783,-0.3694398671532131
784,-0.26161543342136406
785,-0.37667055253676784
786,-0.3802923606290308
787,-0.3308777177332724
788,-0.3495847292116488
789,-0.3415521995090664
790,-0.3690652730873473
791,-0.2956806415434828
792,-0.263034586139087
