replicate,null_r,null_frac
217,-0.36308904528376185,0.6062717770034843
218,-0.28774841048917493,0.6445993031358885
219,-0.32627883223450005,0.6480836236933798
220,-0.31055847387704066,0.6132404181184669
221,-0.5044613796447385,0.6097560975609756
222,-0.4238544833219517,0.6341463414634146
223,-0.4210113948233818,0.6376306620209059
224,-0.17788078871180674,0.6167247386759582
225,-0.41464112034533457,0.6550522648083623
226,-0.4083327293952383,0.6341463414634146
227,-0.3094532594607038,0.6515679442508711
228,-0.3510883447450248,0.6724738675958188
229,-0.4729516700519615,0.6550522648083623
230,-0.4078354659690547,0.6480836236933798
231,-0.4128753841430191,0.6027874564459931
232,-0.2584240963414828,0.6585365853658537
233,-0.40246945390650657,0.6376306620209059
234,-0.33744001878069024,0.6515679442508711
235,-0.3054349741137238,0.6062717770034843
236,-0.44086639994867854,0.6202090592334495
237,-0.3071765749844361,0.6202090592334495
238,-0.3365769149739396,0.662020905923345
239,-0.2766219651142783,0.6515679442508711
240,-0.48017587259888755,0.6585365853658537
241,-0.37034302094382027,0.6202090592334495
242,-0.38417277217190493,0.6167247386759582
243,-0.33411049377287216,0.6202090592334495
244,-0.35412689088282023,0.6341463414634146
245,-0.27020312273772745,0.5923344947735192
246,-0.3433528785146027,0.5993031358885017
247,-0.23854232671725828,0.6341463414634146
248,-0.4239550192146414,0.6376306620209059
249,-0.4806781992330503,0.6341463414634146
250,-0.3006191510226629,0.5888501742160279
251,-0.33126227674351777,0.6167247386759582
252,-0.38232788644440185,0.6550522648083623
253,-0.3089973232588676,0.6515679442508711
254,-0.34243457457889603,0.6202090592334495
255,-0.31268978439848516,0.6550522648083623
256,-0.30695877405215927,0.6097560975609756
257,-0.22984639213853952,0.6445993031358885
258,-0.337324858380821,0.5818815331010453
259,-0.40711882744062516,0.6445993031358885
260,-0.3107895939932214,0.627177700348432
261,-0.44154007900800984,0.6097560975609756
262,-0.22822049743611977,0.627177700348432
263,-0.3210522527194547,0.6132404181184669
264,-0.40300983198142,0.6306620209059234
265,-0.26310353870954195,0.6027874564459931
266,-0.42524190816033997,0.6759581881533101
267,-0.3316291209792516,0.6585365853658537
268,-0.3467728379567178,0.6515679442508711
