pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,Anchoring Of The Basal Body To The Plasma Membrane,Reactome,1.299,-1.696,0.4874,0.0912,NS,22
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Regulation Of Biological Process Involved In Symbiotic Interaction,GO:BP,1.093,-1.893,0.69,0.083,NS,10
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,Amino Acid Betaine Metabolic Process,GO:BP,-1.756,-1.229,0.1645,0.5161,NS,11
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS,Positive Regulation Of Chemotaxis,GO:BP,1.502,-1.483,0.3393,0.2861,NS,19
GOBP_G_PROTEIN_COUPLED_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,G Protein Coupled Dopamine Receptor Signaling Pathway,GO:BP,1.237,-1.742,0.5673,0.1551,NS,11
GOBP_PEPTIDE_CROSS_LINKING,Peptide Cross Linking,GO:BP,1.628,-1.348,0.2599,0.4089,NS,10
GOBP_T_CELL_MEDIATED_IMMUNITY,T Cell Mediated Immunity,GO:BP,1.399,-1.577,0.4226,0.2163,NS,21
REACTOME_L1CAM_INTERACTIONS,L1cam Interactions,Reactome,1.288,-1.684,0.4212,0.05483,NS,46
GOBP_LEUKOCYTE_CHEMOTAXIS,Leukocyte Chemotaxis,GO:BP,1.842,-1.127,0.06016,0.5873,NS,36
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION,Protein K48 Linked Ubiquitination,GO:BP,-1.625,1.342,0.2235,0.3759,NS,21
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,Basement Membrane Organization,GO:BP,1.332,-1.633,0.4744,0.2019,NS,16
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,Positive Regulation Of Mapk Cascade,GO:BP,1.276,-1.686,0.4614,0.09173,NS,52
GOBP_ENDODERM_DEVELOPMENT,Endoderm Development,GO:BP,1.267,-1.695,0.54,0.177,NS,12
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial Origin,GO:BP,1.707,-1.252,0.1573,0.4211,NS,34
REACTOME_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction,Reactome,1.679,-1.28,0.07586,0.3796,NS,26
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organization,GO:BP,1.6,-1.353,0.1051,0.2397,NS,112
GOBP_GRANULOCYTE_CHEMOTAXIS,Granulocyte Chemotaxis,GO:BP,1.812,-1.141,0.1369,0.5921,NS,21
GOBP_INTERLEUKIN_6_PRODUCTION,Interleukin 6 Production,GO:BP,1.464,-1.489,0.3874,0.2872,NS,16
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,Intermediate Filament Organization,GO:BP,1.335,-1.618,0.4902,0.2155,NS,10
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,Myd88 Independent Tlr4 Cascade,Reactome,-1.354,1.594,0.3819,0.1101,NS,31
GOBP_NEGATIVE_REGULATION_OF_LOCOMOTION,Negative Regulation Of Locomotion,GO:BP,1.494,-1.453,0.2549,0.2155,NS,61
GOBP_D_GLUCOSE_IMPORT,D Glucose Import,GO:BP,-1.441,1.502,0.3828,0.2525,NS,20
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Regulation Of Rho Protein Signal Transduction,GO:BP,1.29,-1.651,0.5136,0.189,NS,15
GOBP_FIBROBLAST_PROLIFERATION,Fibroblast Proliferation,GO:BP,1.089,-1.849,0.6862,0.09015,NS,22
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,Ribosomal Large Subunit Biogenesis,GO:BP,1.663,-1.274,0.2209,0.4718,NS,12
GOBP_RNA_EXPORT_FROM_NUCLEUS,RNA Export From Nucleus,GO:BP,1.337,-1.599,0.4614,0.206,NS,20
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,Antigen Processing Cross Presentation,Reactome,1.46,-1.476,0.1671,0.1306,NS,53
GOBP_CRISTAE_FORMATION,Cristae Formation,GO:BP,-1.289,1.643,0.5114,0.1921,NS,12
GOBP_APICAL_JUNCTION_ASSEMBLY,Apical Junction Assembly,GO:BP,1.463,-1.468,0.3893,0.3016,NS,14
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,1.249,-1.681,0.4614,0.07346,NS,74
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY,Lymphocyte Mediated Immunity,GO:BP,1.305,-1.625,0.4355,0.09212,NS,59
GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Regulation Of Receptor Mediated Endocytosis,GO:BP,1.562,-1.367,0.2607,0.3574,NS,26
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_HOST,Biological Process Involved In Interaction With Host,GO:BP,1.182,-1.745,0.5536,0.07847,NS,52
REACTOME_TRANSCRIPTION_COUPLED_NUCLEOTIDE_EXCISION_REPAIR_TC_NER,Transcription Coupled Nucleotide Excision Repair Tc Ner,Reactome,-1.442,1.485,0.3352,0.2131,NS,16
GOBP_REGULATION_OF_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Regulation Of Cell Substrate Junction Organization,GO:BP,1.549,-1.378,0.2762,0.3553,NS,24
REACTOME_FCGR_ACTIVATION,Fcgr Activation,Reactome,1.471,-1.455,0.3352,0.2786,NS,10
REACTOME_GAP_JUNCTION_TRAFFICKING_AND_REGULATION,Gap Junction Trafficking And Regulation,Reactome,1.649,-1.275,0.1249,0.4027,NS,16
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION,Positive Regulation Of Interleukin 8 Production,GO:BP,1.244,-1.677,0.5568,0.189,NS,13
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.281,-1.64,0.3355,0.05488,NS,38
REACTOME_INTRAFLAGELLAR_TRANSPORT,Intraflagellar Transport,Reactome,1.193,-1.722,0.6029,0.09572,NS,12
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY,Adenylate Cyclase Inhibiting G Protein Coupled Receptor Signaling Pathway,GO:BP,1.299,-1.615,0.5183,0.2244,NS,10
GOBP_REGULATION_OF_PROTEIN_POLYMERIZATION,Regulation Of Protein Polymerization,GO:BP,1.623,-1.289,0.1558,0.3466,NS,67
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Positive Regulation Of Intracellular Transport,GO:BP,1.265,-1.644,0.4905,0.139,NS,36
