pathway,pval,padj,log2err,ES,NES,size,leadingEdge,database,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,arc_r1_var,clean_label
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,3.274324949153264e-5,0.00302788891350646,0.557332238758646,0.6104984917931273,2.226857796962605,29,TIMM8A;TIMM13;SLC25A46;MICOS13;CHCHD3;LETM1;TMEM11;AGK;OPA1;ROMO1;MTX1;APOO;SAMM50;HSPA9;APOOL;IMMT;AFG3L2;TIMM10,GO:BP,Baseline_Supplement,11,78.29245283018864,78.59433962264148,78.44339622641506,1.3664610813491447,1.3717299998457315,1.369095540597438,5.477193932369586,"Inner Mito. Membrane
Org."
GOBP_MITOCHONDRIAL_GENE_EXPRESSION,7.11157901101404e-5,0.00567956560106893,0.5384340963099162,0.5022917902675788,2.0836014092916946,48,TSFM;GFM1;MRPS17;GARS1;MRPL46;SHMT2;TUFM;PTCD3;MTRES1;MRPL13;MRPS21;MRPS22;SARS2;TFAM;SUPV3L1;IARS2;MRPL12;UQCC2;TACO1,GO:BP,Baseline_Supplement,12,81.59433962264148,81.8962264150943,81.7452830188679,1.4240898774055615,1.4293587959021479,1.4267243366538547,5.401997053160939,Mito. Gene Expression
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,1.1136764692286164e-4,0.00752588290936415,0.5384340963099162,0.4077056387774088,1.9054669252583425,85,MT-ND4;NDUFA6;SLC25A4;ATP5PD;LETM1;NNT;ATP1A2;ATP1A1;ATP5ME;DMAC2L;MT-ND5;UQCRFS1;NDUFA4;NDUFA3;PPIF;SLC25A13;ATP6V0D1;SLC16A1;ATP1B1;NDUFB5;MT-ATP6;SLC25A12;ATP5MF;NDUFA2;MT-ATP8;ATP5F1E;SURF1;NDUFB3;ATP5PF;UQCRC1;ATP5PB;SLC25A5;UQCR10;NDUFS5;NDUFV1;ATP5PO;CYC1;SLC25A3;ATP5F1C;NDUFB4;NDUFA12;NDUFS2;NDUFA5;NDUFS6,GO:BP,Baseline_Supplement,13,84.8962264150943,85.19811320754715,85.04716981132073,1.4817186734619778,1.4869875919585647,1.4843531327102713,5.364802304865797,"Proton Transmembrane
Transport"
GOBP_MONOSACCHARIDE_METABOLIC_PROCESS,1.2761244258561015e-4,0.00830426154158952,0.5188480777437918,0.3955702655850563,1.8698161254955403,91,MAPK14;FBP1;PFKM;ARPP19;PMM2;ENO3;SORD;AKT2;PDK2;PGP;ACADM;DCXR;POFUT1;GAA;SLC25A11;GALK1;ATP1A2;PDHB;ERO1A;TIGAR;PGM2L1;GOT1;GALM;MLYCD;TPI1;MDH2;PRKACA;BCL2L13;SLC25A13;PFKFB2;GPD2;HK1;PKM;DLAT;FBP2;PDHA1;AKT1;LCMT1;MAN2C1;MPI;AKR1B1;PRKAA1;PFKL;PGM1,GO:BP,Baseline_Supplement,14,88.19811320754715,88.49999999999997,88.34905660377356,1.5393474695183949,1.544616388014981,1.541981928766688,5.351145725256661,"Monosaccharide
Metabolism"
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION,1.3714804408784852e-4,0.00844939757651099,0.5188480777437918,0.570972247937014,2.0987010841285114,30,EIF2S1;BZW2;AKT2;CSDE1;EIF4H;PAIP1;EIF4A2;EIF3K;METAP2;EIF4G1;NCK1;EIF5B;AGO2;EIF4G2,GO:BP,Baseline_Supplement,15,91.49999999999997,91.80188679245282,91.6509433962264,1.5969762655748112,1.602245184071398,1.5996107248231046,5.348702861537011,"Reg. Translational
Initiation"
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,0.00231515440347444,0.01250183377876202,0.4317076958033464,0.3280751330577706,1.6171121230684793,116,RIDA;GARS1;BCAT2;FH;DARS1;SHMT2;ENOPH1;LARS1;GSTZ1;GOT2;ACY1;IVD;LRRC47;HMGCL;DBT;RARS1;MCCC2;ALDH5A1;SMS;ADSS2;MMUT;GOT1;QARS1;PCBD2;ALDH4A1;SARS2;GCSH;ACAD8;MARS1;BCKDHA;MCCC1;HIBCH;ADHFE1;IARS2;ETFB;NIT2;GPT;AUH;FARSA;GPT2;ADSS1;ACADSB;ETFA,GO Slim,Baseline_Supplement,16,94.80188679245282,95.10377358490564,94.95283018867923,1.6546050616312278,1.6598739801278144,1.657239520879521,5.289858213337927,Amino Acid Metabolism
GOBP_MITOCHONDRIAL_TRANSLATION,2.577716164130904e-4,0.01294013514393713,0.49849310876659025,0.5050347391450427,2.014130578875689,41,TSFM;GFM1;MRPS17;GARS1;MRPL46;SHMT2;TUFM;PTCD3;MRPL13;MRPS21;MRPS22;SARS2;IARS2;MRPL12;UQCC2;TACO1,GO:BP,Baseline_Supplement,17,98.10377358490564,98.40566037735849,98.25471698113206,1.7122338576876441,1.717502776184231,1.7148683169359376,5.284301328380212,Mito. Translation
GOSLIM_TRNA_METABOLIC_PROCESS,0.00354121581743065,0.01365897529580394,0.34452128726268,0.417669134918834,1.7106609147278442,47,GARS1;DTD1;DARS1;TPRKB;LARS1;LRRC47;RTCB;RARS1;QARS1;SARS2;MARS1;IARS2;FARSA;FAM98A;DDX1;AKT1;FARSB;NARS1;VARS1;TARS1;SARS1;EPRS1;HARS1;NSUN2;YARS1,GO Slim,Baseline_Supplement,18,101.40566037735849,101.7075471698113,101.5566037735849,1.7698626537440612,1.7751315722406473,1.7724971129923544,5.275436672389873,tRNA Metabolism
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,5.321152508067052e-4,0.02076826523131802,0.47727081536286214,0.4391758504649021,1.889046698651239,57,TIMM8A;BCL2;TIMM13;SLC25A46;MICOS13;SLC25A4;CHCHD3;LETM1;SLC25A6;TMEM11;AGK;PPIF;OPA1;ROMO1;MTX1;APOO;SAMM50;HSPA9;GSK3B;APOOL;IMMT;NOL3;AFG3L2;TIMM50;TIMM10;SLC25A5,GO:BP,Baseline_Supplement,19,104.7075471698113,105.00943396226415,104.85849056603773,1.8274914498004775,1.8327603682970643,1.830125909048771,5.199178692628932,Mito. Membrane Org.
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,4.998749680972303e-4,0.02076826523131802,0.47727081536286214,0.41728250068619416,1.8488116037322255,66,MARCHF5;TIMM8A;PMPCB;HSPA1L;MAPT;TIMM13;GRPEL1;LMAN1;AIFM1;NPEPPS;TIMM44;HTRA2;AGK;CHCHD4;UBL5;PIN1;ROMO1;MTX1;HSPA4;SAMM50;HK1;ARIH2;AKT1;MAVS;PRKAA1;TIMM50;TIMM10;PITRM1,GO:BP,Baseline_Supplement,20,108.00943396226415,108.31132075471697,108.16037735849056,1.8851202458568943,1.8903891643534807,1.8877547051051875,5.199178692628932,"Protein Localization
To Mitochondrion"
