gene,logFC_Training_CRE,logFC_Training_PLA,pi_score_CRE,pi_score_PLA,pi_score_Interaction,significance,quadrant,imputed
MYH1,-0.304,0.2613,0.871721,0.919515,0.724903,NS,Discordant (CRE Down / PLA Up),TRUE
PFDN5,-0.3386,0.2263,0.456608,0.749485,0.199275,NS,Discordant (CRE Down / PLA Up),FALSE
MDP1,-0.1584,0.4063,0.896608,0.410981,0.284356,NS,Discordant (CRE Down / PLA Up),TRUE
MT-ND3,0.0195,0.545,0.999478,0.609649,0.730013,NS,Concordant Up,TRUE
LYZ,0.14,-0.4241,0.952404,0.577034,0.501801,NS,Discordant (CRE Up / PLA Down),TRUE
CCDC124,-0.2342,0.3296,0.703488,0.500332,0.19435,NS,Discordant (CRE Down / PLA Up),TRUE
IDH3A,0.0706,0.4931,0.982021,0.24856,0.543844,NS,Concordant Up,FALSE
CBR4,-0.3758,-0.1874,0.60885,0.915889,0.937859,NS,Concordant Down,TRUE
VPS25,0.025,0.5381,0.997768,0.207357,0.387341,NS,Concordant Up,TRUE
FBN1,-0.3219,-0.2411,0.848309,0.918789,0.993891,NS,Concordant Down,FALSE
RUVBL2,0.407,0.156,0.507492,0.928604,0.867905,NS,Concordant Up,FALSE
FKBP3,-0.1606,0.4022,0.893443,0.405191,0.27936,NS,Discordant (CRE Down / PLA Up),FALSE
NUDT2,0.0439,0.5181,0.996465,0.516945,0.699738,NS,Concordant Up,TRUE
TKFC,0.0885,-0.4734,0.9659,0.29877,0.278219,NS,Discordant (CRE Up / PLA Down),TRUE
EIF4G1,-0.2425,0.3193,0.70909199999999994,0.533581,0.214548,NS,Discordant (CRE Down / PLA Up),FALSE
SPCS1,0.14,-0.4215,0.930054,0.517706,0.396703,NS,Discordant (CRE Up / PLA Down),TRUE
MYOF,0.1491,0.4123,0.893098,0.31201,0.772543,NS,Concordant Up,FALSE
NDUFS1,0.0815,0.479,0.977308,0.304847,0.61483,NS,Concordant Up,FALSE
ELOC,-0.1009,0.4588,0.967425,0.382048,0.375561,NS,Discordant (CRE Down / PLA Up),FALSE
CUL2,-0.3001,-0.2595,0.693061,0.803851,0.996864,NS,Concordant Down,TRUE
TNXB,0.4746,0.0845,0.594763,0.987427,0.80354,NS,Concordant Up,TRUE
OPA3,0.1485,0.4105,0.959255,0.76825,0.925389,NS,Concordant Up,TRUE
PTPA,-0.3369,-0.2219,0.643333,0.849687,0.973466,NS,Concordant Down,FALSE
SNRPE,-0.339,0.2189,0.650619,0.898659,0.512754,NS,Discordant (CRE Down / PLA Up),TRUE
NLRX1,-0.1577,0.3994,0.930295,0.658232,0.516369,NS,Discordant (CRE Down / PLA Up),TRUE
SNX6,0.3511,-0.2057,0.667246,0.899309,0.501611,NS,Discordant (CRE Up / PLA Down),TRUE
MTX2,-0.3354,0.2212,0.817363,0.914981,0.653918,NS,Discordant (CRE Down / PLA Up),TRUE
PTRHD1,0.0882,0.4681,0.985744,0.588646,0.805846,NS,Concordant Up,TRUE
TACO1,-0.3739,0.1821,0.691609,0.936571,0.582832,NS,Discordant (CRE Down / PLA Up),TRUE
ANXA4,0.4606,0.0946,0.426273,0.976172,0.733704,NS,Concordant Up,FALSE
CDV3,0.2243,-0.3308,0.80282,0.656214,0.369686,NS,Discordant (CRE Up / PLA Down),TRUE
PPP3CB,-0.4622,-0.0927,0.421163,0.978576,0.736734,NS,Concordant Down,TRUE
PREB,-0.0078,0.5454,0.99982,0.219159,0.371809,NS,Discordant (CRE Down / PLA Up),TRUE
SET,0.4355,0.1175,0.299037,0.944927,0.705455,NS,Concordant Up,FALSE
ATP5PB,-0.0861,0.4666,0.975573,0.361485,0.374224,NS,Discordant (CRE Down / PLA Up),FALSE
PPP2CA,-0.1713,0.381,0.844383,0.345089,0.194646,NS,Discordant (CRE Down / PLA Up),FALSE
DNM1L,-0.1452,0.407,0.919499,0.424526,0.325295,NS,Discordant (CRE Down / PLA Up),FALSE
STX7,0.2435,-0.3085,0.833453,0.742382,0.476956,NS,Discordant (CRE Up / PLA Down),FALSE
NDUFA4,-0.0896,0.4624,0.975097,0.384846,0.397029,NS,Discordant (CRE Down / PLA Up),FALSE
HMGCL,-0.4496,0.1023,0.324197,0.965975,0.349014,NS,Discordant (CRE Down / PLA Up),TRUE
BCKDK,0.1869,-0.3647,0.926637,0.809309,0.659192,NS,Discordant (CRE Up / PLA Down),TRUE
COPB1,0.0969,0.4544,0.97885200000000006,0.542715,0.792216,NS,Concordant Up,FALSE
HNRNPA1,0.1183,-0.4313,0.950744,0.399808,0.355424,NS,Discordant (CRE Up / PLA Down),FALSE
SEPHS1,-0.0257,0.5237,0.998472,0.350251,0.487736,NS,Discordant (CRE Down / PLA Up),TRUE
BAG3,-0.1748,0.3744,0.893621,0.553326,0.386688,NS,Discordant (CRE Down / PLA Up),TRUE
SNRNP70,0.2193,-0.3297,0.928263,0.848181,0.706553,NS,Discordant (CRE Up / PLA Down),TRUE
ATAD3A,-0.3442,0.2042,0.643384,0.897198,0.48695,NS,Discordant (CRE Down / PLA Up),TRUE
DYNLL1,-0.3494,0.1986,0.565702,0.866022,0.373244,NS,Discordant (CRE Down / PLA Up),FALSE
HSPA5,0.303,-0.2448,0.589274,0.736021,0.268779,NS,Discordant (CRE Up / PLA Down),FALSE
UQCRC1,-0.0577,0.49,0.988533,0.267094,0.337824,NS,Discordant (CRE Down / PLA Up),FALSE
XRCC5,0.1653,0.3818,0.85094,0.329158,0.828999,NS,Concordant Up,FALSE
IGF2,0.1601,0.3869,0.946013,0.682304,0.924711,NS,Concordant Up,TRUE
CLTB,0.3268,-0.2202,0.658518,0.858717,0.438747,NS,Discordant (CRE Up / PLA Down),TRUE
HINT3,-0.0322,0.5141,0.997389,0.379209,0.481328,NS,Discordant (CRE Down / PLA Up),TRUE
NDUFS6,-0.0943,0.4517,0.979294,0.533133,0.531693,NS,Discordant (CRE Down / PLA Up),FALSE
CSRP1,0.0716,-0.4739,0.988919,0.518796,0.554897,NS,Discordant (CRE Up / PLA Down),FALSE
UQCRH,0.0749,0.4705,0.985174,0.436659,0.698639,NS,Concordant Up,FALSE
ATAD1,-0.0697,0.4754,0.986691,0.422219,0.46142,NS,Discordant (CRE Down / PLA Up),TRUE
FITM1,-0.1289,-0.4157,0.963084,0.702218,0.888205,NS,Concordant Down,TRUE
PHKB,0.2811,0.2633,0.772538,0.824012,0.999483,NS,Concordant Up,TRUE
DCTN4,-0.2091,0.3353,0.799146,0.573446,0.303007,NS,Discordant (CRE Down / PLA Up),TRUE
WDR77,-0.3108,0.2331,0.566807,0.75862,0.271126,NS,Discordant (CRE Down / PLA Up),FALSE
TRAPPC3,0.298,0.2459,0.470372,0.68977,0.99094,NS,Concordant Up,TRUE
A2M,0.4853,-0.0585,0.686153,0.995827,0.732705,NS,Discordant (CRE Up / PLA Down),FALSE
GNPDA2,0.3246,-0.2172,0.614456,0.856675,0.411101,NS,Discordant (CRE Up / PLA Down),TRUE
HADHA,-0.0865,0.4547,0.96549,0.217594,0.233901,NS,Discordant (CRE Down / PLA Up),FALSE
UNC45B,0.1321,0.4084,0.946001,0.537033,0.840437,NS,Concordant Up,TRUE
DDX6,-0.1432,0.3965,0.889607,0.61059,0.419478,NS,Discordant (CRE Down / PLA Up),TRUE
PPP1R12B,-0.2837,0.2558,0.867877,0.883243,0.668244,NS,Discordant (CRE Down / PLA Up),TRUE
AHSA1,0.3698,0.1696,0.460671,0.888628,0.89042,NS,Concordant Up,FALSE
SLC25A13,-0.0873,0.4519,0.979552,0.499483,0.495673,NS,Discordant (CRE Down / PLA Up),TRUE
RPL23,-0.2426,-0.2944,0.747628,0.646403,0.99322,NS,Concordant Down,FALSE
OSBPL1A,0.2335,0.303,0.838621,0.736027,0.99118,NS,Concordant Up,TRUE
ATP5F1C,0.0464,0.49,0.993408,0.315847,0.560031,NS,Concordant Up,FALSE
CORO1B,0.2951,-0.241,0.820314,0.898012,0.639524,NS,Discordant (CRE Up / PLA Down),TRUE
RABGGTA,-0.1398,0.3962,0.903308,0.388067,0.26809500000000003,NS,Discordant (CRE Down / PLA Up),TRUE
CHCHD7,-0.3443,0.1913,0.687495,0.92847,0.579877,NS,Discordant (CRE Down / PLA Up),TRUE
HSPB3,-0.326,-0.2089,0.613815,0.873587,0.97139,NS,Concordant Down,TRUE
PPP2R3A,0.0117,-0.5229,0.999709,0.602052,0.651485,NS,Discordant (CRE Up / PLA Down),TRUE
GRB2,-0.2958,0.2388,0.623501,0.767562,0.318062,NS,Discordant (CRE Down / PLA Up),TRUE
LRPAP1,-0.2789,-0.2537,0.817804,0.859487,0.99911,NS,Concordant Down,TRUE
CLTC,0.4756,-0.0565,0.329252,0.990552,0.416112,NS,Discordant (CRE Up / PLA Down),FALSE
APEX1,0.344,0.1877,0.375414,0.800955,0.907668,NS,Concordant Up,FALSE
HECTD1,0.0259,0.5056,0.998853,0.548054,0.705389,NS,Concordant Up,TRUE
CRYAB,0.0494,-0.482,0.991983,0.298799,0.381768,NS,Discordant (CRE Up / PLA Down),FALSE
DECR1,0.3242,-0.2072,0.613904,0.84641,0.384917,NS,Discordant (CRE Up / PLA Down),FALSE
LMNB2,0.3065,0.2249,0.778135,0.894687,0.990531,NS,Concordant Up,TRUE
GNG12,0.2064,-0.3245,0.875032,0.70113,0.487109,NS,Discordant (CRE Up / PLA Down),FALSE
MT-CO1,-0.0519,-0.479,0.993168,0.691426,0.780241,NS,Concordant Down,TRUE
RPS26,0.1206,-0.4098,0.918166,0.25203,0.194003,NS,Discordant (CRE Up / PLA Down),TRUE
PFKFB2,-0.3733,0.1567,0.51827,0.925684,0.427696,NS,Discordant (CRE Down / PLA Up),TRUE
COX6B1,-0.093,0.4362,0.974557,0.460796,0.458001,NS,Discordant (CRE Down / PLA Up),FALSE
RPS6KA3,-0.2127,0.3164,0.838953,0.668973,0.416325,NS,Discordant (CRE Down / PLA Up),TRUE
HSPB8,-0.2151,0.314,0.890169,0.788085,0.587755,NS,Discordant (CRE Down / PLA Up),TRUE
PSMD6,-0.1068,0.4214,0.943306,0.259604,0.233019,NS,Discordant (CRE Down / PLA Up),FALSE
SERPINA5,-0.1829,-0.3453,0.923192,0.760489,0.962113,NS,Concordant Down,TRUE
APOO,-0.0438,0.4833,0.995583,0.476215,0.550876,NS,Discordant (CRE Down / PLA Up),TRUE
ECI2,-0.125,0.4018,0.95937,0.598379,0.530633,NS,Discordant (CRE Down / PLA Up),TRUE
COX4I1,0.1611,0.3655,0.893123,0.488975,0.884251,NS,Concordant Up,FALSE
GPLD1,0.0755,0.4507,0.992023,0.716637,0.858851,NS,Concordant Up,TRUE
MAP4,0.1195,-0.4062,0.940334,0.376433,0.318832,NS,Discordant (CRE Up / PLA Down),FALSE
COPS5,-0.1273,0.3978,0.910677,0.275,0.205653,NS,Discordant (CRE Down / PLA Up),FALSE
NDUFV2,0.2522,0.2729,0.756202,0.733879,0.999064,NS,Concordant Up,TRUE
HYOU1,0.3622,-0.1623,0.560814,0.914534,0.429669,NS,Discordant (CRE Up / PLA Down),FALSE
GPD2,-0.2337,0.2907,0.793499,0.693705,0.391992,NS,Discordant (CRE Down / PLA Up),FALSE
NAP1L4,0.1365,0.3879,0.888403,0.264762,0.74134,NS,Concordant Up,FALSE
HSPB2,-0.0935,0.4305,0.962192,0.329797,0.311347,NS,Discordant (CRE Down / PLA Up),TRUE
APOE,0.3863,0.1377,0.773585,0.973323,0.937098,NS,Concordant Up,FALSE
PFKL,-0.2074,0.3161,0.870548,0.708838,0.488182,NS,Discordant (CRE Down / PLA Up),FALSE
CPT2,-0.022,0.5014,0.998721,0.354477,0.481073,NS,Discordant (CRE Down / PLA Up),FALSE
MPV17,0.0294,-0.494,0.999029,0.680901,0.762179,NS,Discordant (CRE Up / PLA Down),TRUE
PMPCB,-0.0233,0.4996,0.997651,0.138489,0.249057,NS,Discordant (CRE Down / PLA Up),TRUE
LRG1,0.3669,-0.1558,0.757747,0.959289,0.676886,NS,Discordant (CRE Up / PLA Down),FALSE
SHMT1,0.0116,-0.5109,0.999433,0.120031,0.248035,NS,Discordant (CRE Up / PLA Down),FALSE
TBC1D17,-0.304,-0.2181,0.717866,0.866922,0.986314,NS,Concordant Down,TRUE
RDX,-0.1597,0.3622,0.890503,0.478855,0.327906,NS,Discordant (CRE Down / PLA Up),FALSE
CCDC93,0.5016,-0.0191,0.602453,0.999327,0.668656,NS,Discordant (CRE Up / PLA Down),TRUE
MYH14,-0.1993,0.3207,0.869814,0.702845,0.478938,NS,Discordant (CRE Down / PLA Up),TRUE
PARVB,-0.3405,0.1795,0.661191,0.906821,0.497093,NS,Discordant (CRE Down / PLA Up),TRUE
ACO2,-0.0559,0.4625,0.988924,0.303185,0.372016,NS,Discordant (CRE Down / PLA Up),FALSE
PRKACA,-0.2519,0.2657,0.632537,0.608856,0.211519,NS,Discordant (CRE Down / PLA Up),FALSE
PLIN2,-0.0156,-0.5018,0.999346,0.415061,0.563577,NS,Concordant Down,TRUE
FLOT2,-0.2263,-0.2907,0.818178,0.711386,0.991095,NS,Concordant Down,FALSE
HNRNPUL1,0.4779,-0.0385,0.380655,0.996633,0.525223,NS,Discordant (CRE Up / PLA Down),TRUE
TSPO,0.3289,0.1874,0.659455,0.894239,0.959298,NS,Concordant Up,FALSE
WDFY1,0.4686,-0.0476,0.365157,0.99664,0.634349,NS,Discordant (CRE Up / PLA Down),TRUE
BLVRB,0.0091,-0.5067,0.999856,0.533911,0.652022,NS,Discordant (CRE Up / PLA Down),FALSE
CA3,0.0879,0.4266,0.979721,0.52661500000000006,0.781171,NS,Concordant Up,FALSE
RPS24,0.1488,0.3652,0.897346,0.418595,0.849628,NS,Concordant Up,TRUE
DCTN3,-0.1667,-0.3473,0.872129,0.566104,0.91067,NS,Concordant Down,TRUE
HIBCH,0.1342,0.3793,0.932831,0.491314,0.844339,NS,Concordant Up,FALSE
PGM2L1,-0.2923,0.2211,0.674305,0.825542,0.411349,NS,Discordant (CRE Down / PLA Up),FALSE
SAE1,0.1648,0.348,0.905673,0.694932,0.934243,NS,Concordant Up,TRUE
PPBP,0.0036,0.5091,0.999982,0.620848,0.738253,NS,Concordant Up,TRUE
PFN2,-0.244,0.268,0.802664,0.777555,0.476939,NS,Discordant (CRE Down / PLA Up),TRUE
LYVE1,0.2488,-0.2628,0.89023,0.904721,0.726001,NS,Discordant (CRE Up / PLA Down),TRUE
PDCD6,0.037,-0.4743,0.994261,0.216613,0.304297,NS,Discordant (CRE Up / PLA Down),TRUE
ECH1,0.1473,0.3639,0.911696,0.493379,0.869703,NS,Concordant Up,FALSE
PRKAR2A,-0.2046,0.3063,0.802253,0.582886,0.313812,NS,Discordant (CRE Down / PLA Up),FALSE
APMAP,0.1185,-0.3924,0.97059,0.675719,0.625559,NS,Discordant (CRE Up / PLA Down),FALSE
IDH3B,0.0921,0.4178,0.963482,0.323134,0.671703,NS,Concordant Up,FALSE
APIP,-0.3148,-0.1945,0.630931,0.87956,0.967623,NS,Concordant Down,TRUE
HNRNPF,-0.1413,-0.3672,0.945605,0.552063,0.892595,NS,Concordant Down,TRUE
TRIM54,-0.0315,0.4769,0.997224,0.418024,0.504901,NS,Discordant (CRE Down / PLA Up),TRUE
IARS2,-0.0303,0.4776,0.9966,0.237361,0.351113,NS,Discordant (CRE Down / PLA Up),FALSE
SMIM4,-0.3462,0.1617,0.615937,0.947001,0.581355,NS,Discordant (CRE Down / PLA Up),TRUE
HADH,-0.2481,-0.2597,0.665191,0.648096,0.999592,NS,Concordant Down,FALSE
UQCC1,-0.4642,0.0433,0.601716,0.997694,0.729145,NS,Discordant (CRE Down / PLA Up),TRUE
GLS,0.1538,-0.3536,0.933611,0.729873,0.587315,NS,Discordant (CRE Up / PLA Down),TRUE
IDH3G,-0.0547,0.4524,0.992381,0.507814,0.552547,NS,Discordant (CRE Down / PLA Up),TRUE
HEBP1,0.0306,-0.4761,0.998206,0.551724,0.638891,NS,Discordant (CRE Up / PLA Down),FALSE
RNF126,-0.5,0.0066,0.222225,0.999874,0.415495,NS,Discordant (CRE Down / PLA Up),TRUE
MOCS2,-0.3374,0.1688,0.704053,0.948212,0.635614,NS,Discordant (CRE Down / PLA Up),TRUE
MOCS2,-0.3374,0.1688,0.704053,0.948212,0.635614,NS,Discordant (CRE Down / PLA Up),TRUE
STRAP,-0.1386,0.3674,0.907079,0.407551,0.295445,NS,Discordant (CRE Down / PLA Up),FALSE
ACSL1,0.1291,-0.3765,0.94188,0.523202,0.436351,NS,Discordant (CRE Up / PLA Down),FALSE
SFXN1,0.4117,0.0933,0.277789,0.963235,0.669856,NS,Concordant Up,TRUE
LDB3,0.0352,0.4688,0.996028,0.359979,0.568672,NS,Concordant Up,TRUE
NAGK,0.3737,-0.1301,0.410154,0.927907,0.334188,NS,Discordant (CRE Up / PLA Down),FALSE
VPS36,-0.1248,0.379,0.914358,0.373448,0.268847,NS,Discordant (CRE Down / PLA Up),TRUE
TTLL12,-0.205,0.2983,0.854046,0.828358,0.603112,NS,Discordant (CRE Down / PLA Up),TRUE
MIEN1,-0.3209,0.1821,0.575874,0.869777,0.383286,NS,Discordant (CRE Down / PLA Up),TRUE
COPS4,-0.1934,0.309,0.830179,0.589399,0.344238,NS,Discordant (CRE Down / PLA Up),FALSE
SLC25A12,-0.097,0.4049,0.973056,0.562816,0.529519,NS,Discordant (CRE Down / PLA Up),TRUE
METAP2,-0.1766,0.3249,0.882878,0.629654,0.433066,NS,Discordant (CRE Down / PLA Up),TRUE
PPA1,0.125,-0.3757,0.92465,0.383712,0.300554,NS,Discordant (CRE Up / PLA Down),FALSE
TXNRD2,-0.4664,-0.0336,0.352467,0.997497,0.640351,NS,Concordant Down,TRUE
COPA,0.4031,0.0969,0.330101,0.968096,0.73734,NS,Concordant Up,TRUE
LDHD,-0.239,0.2604,0.89755,0.881481,0.701498,NS,Discordant (CRE Down / PLA Up),TRUE
PSMD13,-0.2408,0.2584,0.763172,0.737587,0.400813,NS,Discordant (CRE Down / PLA Up),FALSE
UBE2V2,-0.4051,-0.0935,0.255233,0.956926,0.645057,NS,Concordant Down,FALSE
NT5C1A,-0.2627,-0.2359,0.767262,0.846931,0.998686,NS,Concordant Down,TRUE
MT-ND2,0.0438,-0.4546,0.994982,0.491483,0.552291,NS,Discordant (CRE Up / PLA Down),TRUE
ENSA,-0.3136,-0.1843,0.708545,0.926409,0.972551,NS,Concordant Down,TRUE
PPP1CA,-0.019,0.4785,0.998749,0.257389,0.391636,NS,Discordant (CRE Down / PLA Up),FALSE
TOMM22,0.2204,0.2769,0.827781,0.831613,0.994698,NS,Concordant Up,TRUE
LRRC40,-0.0188,-0.4779,0.999046,0.462621,0.608001,NS,Concordant Down,TRUE
PDIA6,0.2666,-0.2296,0.685747,0.775013,0.368889,NS,Discordant (CRE Up / PLA Down),FALSE
DNAJB6,-0.311,-0.1848,0.650369,0.933022,0.973918,NS,Concordant Down,TRUE
UBE2H,0.1934,0.3019,0.905146,0.746445,0.979622,NS,Concordant Up,TRUE
APPL1,0.2146,0.2805,0.788888,0.675108,0.988517,NS,Concordant Up,TRUE
NANS,0.4419,0.053,0.426929,0.993799,0.715682,NS,Concordant Up,TRUE
SERBP1,-0.0128,0.482,0.999597,0.416132,0.550547,NS,Discordant (CRE Down / PLA Up),TRUE
AIMP2,-0.0299,0.4642,0.997135,0.344192,0.449902,NS,Discordant (CRE Down / PLA Up),TRUE
ABHD16A,-0.233,-0.2609,0.844277,0.893702,0.999044,NS,Concordant Down,TRUE
CRIP2,0.2365,-0.2571,0.856976,0.836829,0.598562,NS,Discordant (CRE Up / PLA Down),FALSE
C3,0.3876,-0.1058,0.800841,0.986411,0.78323,NS,Discordant (CRE Up / PLA Down),FALSE
SCRN3,-0.2107,0.2826,0.890435,0.79821,0.600382,NS,Discordant (CRE Down / PLA Up),TRUE
ECHDC3,-0.2271,-0.2661,0.857136,0.821582,0.997523,NS,Concordant Down,TRUE
RIDA,-0.3054,0.1873,0.65831,0.877058,0.45546,NS,Discordant (CRE Down / PLA Up),FALSE
RNF123,-0.2268,0.2656,0.785357,0.725543,0.410354,NS,Discordant (CRE Down / PLA Up),FALSE
TBCB,-0.0938,0.3986,0.971289,0.491141,0.473506,NS,Discordant (CRE Down / PLA Up),FALSE
EIF2S3,-0.0462,0.4462,0.989564,0.181667,0.259121,NS,Discordant (CRE Down / PLA Up),FALSE
COQ7,0.0313,0.4607,0.997633,0.473695,0.663851,NS,Concordant Up,TRUE
RSU1,0.0881,-0.4038,0.975324,0.488722,0.482679,NS,Discordant (CRE Up / PLA Down),FALSE
KLHL41,-0.0472,0.4442,0.996681,0.71359,0.74639,NS,Discordant (CRE Down / PLA Up),TRUE
MAPK1,0.0784,0.4124,0.968215,0.243367,0.585248,NS,Concordant Up,FALSE
MTHFD1,-0.0594,-0.4297,0.97753,0.119633,0.398521,NS,Concordant Down,FALSE
PDPR,-0.1359,0.3531,0.92801,0.54499,0.427973,NS,Discordant (CRE Down / PLA Up),TRUE
ARPC5,0.28,-0.2088,0.827213,0.916324,0.670669,NS,Discordant (CRE Up / PLA Down),TRUE
SEPTIN2,0.3499,-0.1388,0.503562,0.924072,0.39877,NS,Discordant (CRE Up / PLA Down),FALSE
IAH1,-0.1658,0.3222,0.915615,0.686659,0.528854,NS,Discordant (CRE Down / PLA Up),FALSE
SAR1B,-0.3296,0.1582,0.713074,0.94006,0.600794,NS,Discordant (CRE Down / PLA Up),TRUE
TMED10,0.3113,-0.1754,0.627664,0.886786,0.442723,NS,Discordant (CRE Up / PLA Down),FALSE
EHBP1L1,-0.1052,0.3815,0.958903,0.530517,0.462648,NS,Discordant (CRE Down / PLA Up),TRUE
SYNC,-0.0911,-0.3941,0.979417,0.677517,0.852259,NS,Concordant Down,TRUE
UQCRFS1,-0.1204,0.3647,0.953749,0.579931,0.505292,NS,Discordant (CRE Down / PLA Up),FALSE
REXO2,0.0838,-0.4009,0.977566,0.498197,0.496323,NS,Discordant (CRE Up / PLA Down),TRUE
LNPEP,0.3057,0.1787,0.714902,0.910505,0.969043,NS,Concordant Up,TRUE
RAB2A,-0.1069,-0.3774,0.922198,0.219811,0.652789,NS,Concordant Down,FALSE
ATP5MF,-0.1,0.3832,0.961429,0.453742,0.418904,NS,Discordant (CRE Down / PLA Up),FALSE
SEC22B,0.2696,-0.2133,0.630255,0.775025,0.326158,NS,Discordant (CRE Up / PLA Down),FALSE
EPM2A,-0.4479,-0.035,0.516146,0.996796,0.682744,NS,Concordant Down,TRUE
AIMP1,-0.0612,0.4211,0.986328,0.391355,0.432488,NS,Discordant (CRE Down / PLA Up),TRUE
NAPRT,-0.2651,-0.2166,0.688588,0.799685,0.993878,NS,Concordant Down,TRUE
USP15,-0.2061,0.2756,0.87251,0.777995,0.554639,NS,Discordant (CRE Down / PLA Up),FALSE
CLIP1,-0.3873,0.0942,0.466469,0.969992,0.460423,NS,Discordant (CRE Down / PLA Up),FALSE
TATDN1,-0.2992,-0.1821,0.659751,0.888568,0.968306,NS,Concordant Down,TRUE
PANK4,-0.1973,0.2836,0.872742,0.751687,0.528376,NS,Discordant (CRE Down / PLA Up),FALSE
DTNA,-0.1433,-0.3375,0.947442,0.732318,0.93689,NS,Concordant Down,TRUE
PSPC1,-0.1407,0.3394,0.961619,0.716588,0.660763,NS,Discordant (CRE Down / PLA Up),TRUE
ACOT13,0.0936,0.3857,0.97369000000000006,0.552338,0.814416,NS,Concordant Up,FALSE
FKBP5,0.4594,0.0184,0.491235,0.99954,0.753794,NS,Concordant Up,TRUE
YBX1,0.1424,0.3353,0.912721,0.53584,0.891449,NS,Concordant Up,FALSE
RPL17,0.182,-0.2952,0.889499,0.758648,0.553867,NS,Discordant (CRE Up / PLA Down),TRUE
JAGN1,-0.3174,0.1592,0.619227,0.924002,0.509052,NS,Discordant (CRE Down / PLA Up),TRUE
HSPA2,-0.2941,0.1822,0.79197,0.927247,0.650275,NS,Discordant (CRE Down / PLA Up),TRUE
STXBP3,-0.0895,0.3868,0.971094,0.529864,0.488644,NS,Discordant (CRE Down / PLA Up),TRUE
EIF3K,-0.2648,0.2114,0.850688,0.908097,0.679952,NS,Discordant (CRE Down / PLA Up),TRUE
PADI2,0.084,0.3913,0.973364,0.469588,0.749056,NS,Concordant Up,TRUE
MDH1,-0.1556,-0.3197,0.85533,0.443772,0.894442,NS,Concordant Down,FALSE
DPYSL3,0.3335,0.1416,0.594815,0.930993,0.910219,NS,Concordant Up,FALSE
HIKESHI,-0.0859,0.3888,0.979443,0.588558,0.57258,NS,Discordant (CRE Down / PLA Up),TRUE
SETD7,-0.1389,0.3351,0.916346,0.544517,0.408271,NS,Discordant (CRE Down / PLA Up),TRUE
NTPCR,4e-4,0.473,1,0.477212,0.621498,NS,Concordant Up,TRUE
PDHA1,0.0206,0.4525,0.998755,0.390647,0.583723,NS,Concordant Up,FALSE
NRAP,-0.3541,0.1186,0.70218,0.973797,0.678343,NS,Discordant (CRE Down / PLA Up),TRUE
DLST,-0.0013,0.4713,0.999995,0.29723,0.46215,NS,Discordant (CRE Down / PLA Up),FALSE
PSMD11,-0.1571,0.3153,0.875284,0.525754,0.34328,NS,Discordant (CRE Down / PLA Up),FALSE
LDHA,0.3559,-0.116,0.454578,0.943711,0.393614,NS,Discordant (CRE Up / PLA Down),FALSE
HDHD2,-0.3555,-0.1156,0.457053,0.950641,0.835266,NS,Concordant Down,TRUE
ALDH4A1,-0.1353,0.3355,0.926873,0.561796,0.440863,NS,Discordant (CRE Down / PLA Up),FALSE
EHD4,0.3877,-0.0825,0.579192,0.982637,0.589505,NS,Discordant (CRE Up / PLA Down),TRUE
GRSF1,0.4111,-0.0589,0.663091,0.994574,0.724334,NS,Discordant (CRE Up / PLA Down),TRUE
RPL7,0.4013,0.0683,0.37004,0.982367,0.677516,NS,Concordant Up,FALSE
COPS7A,-0.1503,0.3189,0.881633,0.512918,0.338784,NS,Discordant (CRE Down / PLA Up),TRUE
PKIA,-0.1322,-0.3367,0.90658,0.511186,0.860582,NS,Concordant Down,TRUE
NID2,0.2572,-0.2113,0.873899,0.914792,0.715165,NS,Discordant (CRE Up / PLA Down),TRUE
GNA13,0.0167,-0.4509,0.999333,0.533492,0.626545,NS,Discordant (CRE Up / PLA Down),TRUE
DNAJC19,0.4458,-0.0217,0.456118,0.999145,0.651084,NS,Discordant (CRE Up / PLA Down),TRUE
VDAC2,0.1323,0.3343,0.91421,0.481141,0.862976,NS,Concordant Up,FALSE
ENDOG,-0.2043,-0.2622,0.895285,0.850624,0.995081,NS,Concordant Down,TRUE
UBE2R2,-0.1907,0.2758,0.900206,0.873234,0.702134,NS,Discordant (CRE Down / PLA Up),TRUE
IGKV3-15,0.0381,-0.4282,0.998098,0.748266,0.790312,NS,Discordant (CRE Up / PLA Down),TRUE
ME1,-0.2059,-0.2603,0.775005,0.65628,0.990861,NS,Concordant Down,FALSE
FHOD1,-0.0964,0.3694,0.97197,0.596582,0.558378,NS,Discordant (CRE Down / PLA Up),TRUE
DYNC1I2,0.3542,-0.1113,0.340635,0.932862,0.28847,NS,Discordant (CRE Up / PLA Down),FALSE
CHP1,-0.1742,0.2905,0.866309,0.669736,0.443337,NS,Discordant (CRE Down / PLA Up),TRUE
MTPN,0.1428,-0.3217,0.889366,0.475373,0.322249,NS,Discordant (CRE Up / PLA Down),FALSE
RAB24,0.4348,0.0292,0.557362,0.99865,0.771412,NS,Concordant Up,TRUE
HMGB1,0.092,-0.372,0.962044,0.407744,0.382677,NS,Discordant (CRE Up / PLA Down),FALSE
RPL5,0.3667,-0.0966,0.402494,0.959473,0.383713,NS,Discordant (CRE Up / PLA Down),FALSE
ETFA,-0.0952,0.3678,0.960774,0.435299,0.402127,NS,Discordant (CRE Down / PLA Up),FALSE
