pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL,0.002976077191145568,0.06699634234950953,1.8421301999431439,20,61,GO:BP,2.3297920095765376,brown,Regulation Of Membrane Potential,ANK3/ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/CACNA2D1/CACNB3/CAMK2D/DMD/FHL1/FXYD1/GLRX/GSK3B/MAPT/MYH14/PARP1/PLN/SLMAP/SNTA1,20,0.06699634234950953,GOBP_REGULATION_OF_MEMBRANE_POTENTIAL
GOBP_TRANSLATIONAL_INITIATION,0.003049268222402963,0.06708390089286519,1.8728323699421967,19,57,GO:BP,2.385321100917431,brown,Translational Initiation,ABCF1/BZW2/COPS5/CSDE1/EIF1AX/EIF2S1/EIF2S2/EIF3A/EIF3B/EIF3C/EIF3D/EIF3E/EIF3J/EIF3L/EIF4G1/EIF4G2/EIF5B/EPRS1/METAP2,19,0.06708390089286519,GOBP_TRANSLATIONAL_INITIATION
GOBP_MUSCLE_CELL_DEVELOPMENT,0.003550921535131438,0.0751562623249896,1.787703625853915,21,66,GO:BP,2.229948717948718,brown,Muscle Cell Development,ADPRHL1/ATP2A2/BIN1/CACNA1S/CASQ1/CFL2/CSRP3/DMD/FLNC/KLHL40/KLHL41/MYPN/NRAP/PGM5/PPP3CB/PRKAR1A/RYR1/SGCB/SGCD/STAC3/SYPL2,21,0.0751562623249896,GOBP_MUSCLE_CELL_DEVELOPMENT
GOBP_TORC1_SIGNALING,0.003571475275774299,0.0751562623249896,2.442824830359387,10,23,GO:BP,3.6286630036630036,brown,Torc1 Signaling,CUL3/DEPTOR/LARS1/PRKAA1/PRMT1/RPS6KA3/SESN1/UBE2D1/UBE3A/USP7,10,0.0751562623249896,GOBP_TORC1_SIGNALING
GOBP_WNT_SIGNALING_PATHWAY,0.003943292863593605,0.08121505302039594,2.0066061106523536,15,42,GO:BP,2.636790869419268,brown,Wnt Signaling Pathway,CSNK2A1/CSNK2B/CUL3/DDB1/GSK3B/KPNA1/MAPK14/NXN/PBXIP1/PIN1/PPM1A/PPM1B/PPP2CA/PRKAA1/USP47,15,0.08121505302039594,GOBP_WNT_SIGNALING_PATHWAY
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,0.004168438053587531,0.08406350074734854,2.2890173410404624,11,27,GO:BP,3.2466417910447762,brown,Epigenetic Regulation Of Gene Expression,APOBEC2/CBX3/CSNK2A1/CSNK2B/CUL4A/DDB1/ERI3/PADI2/PRMT5/RBBP4/USP7,11,0.08406350074734854,GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION
GOBP_PROTEIN_POLYUBIQUITINATION,0.004877428682246414,0.09257550910616724,2.0868703550784473,13,35,GO:BP,2.7966147966147967,brown,Protein Polyubiquitination,ARIH2/CUL1/CUL3/CUL5/HUWE1/NPEPPS/PLAA/RNF123/RNF7/STUB1/UBE2D1/UBE2K/UBE3A,13,0.09257550910616724,GOBP_PROTEIN_POLYUBIQUITINATION
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,0.005275102271057745,0.0981980576612288,1.7351241074464467,21,68,GO:BP,2.1323076923076925,brown,Mitotic Cell Cycle Phase Transition,ARPP19/CAMK2A/CLASP2/CUL1/CUL2/CUL3/CUL4A/CUL5/DDB1/DYNC1LI1/DYNLL2/EIF4G1/FHL1/GSPT1/HSPA2/MAP3K20/NAE1/PPP2CA/PRKDC/RDX/VPS4A,21,0.0981980576612288,GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION
HALLMARK_HEME_METABOLISM,5.986161132776447e-17,2.0951563964717567e-15,6.043970686209194,28,57,Hallmark,13.049336870026526,yellow,Heme Metabolism,ADD1/ALAD/ANK1/BLVRA/BLVRB/BPGM/CA2/CAST/CAT/DCUN1D1/EPB41/FBXO7/FN3K/GAPVD1/GCLC/GCLM/HEBP1/HMBS/MPP1/PRDX2/PSMD9/RAD23A/SLC2A1/SNCA/SPTB/UROD/UROS/USP15,28,2.0951563964717567e-15,HALLMARK_HEME_METABOLISM
REACTOME_PROTEASOME_ASSEMBLY,1.483911351302803e-14,4.733677210655942e-12,6.983236400957919,21,37,Reactome,16.95711678832117,yellow,Proteasome Assembly,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD10/PSMD14/PSMD4/PSMD5/PSMD9/PSME1/PSMF1,21,4.733677210655942e-12,REACTOME_PROTEASOME_ASSEMBLY
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,3.362648836588706e-12,5.7165030222008e-11,6.7111622554660535,18,33,KEGG,15.18,yellow,Variant Mutation Caused Aberrant Snca To 26s Proteasome Mediated Protein Degradation,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD14/PSMD4/PSMD9/SNCA,18,5.7165030222008e-11,KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SNCA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION
GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,1.3578336159934014e-12,1.3143829402816124e-9,4.2477396021699825,29,84,GO:BP,7.075264270613108,yellow,Regulation Of Proteolysis Involved In Protein Catabolic Process,ALAD/GCLC/GPX1/PDCL3/PITHD1/PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSMC1/PSMC2/PSMC3/PSMD10/PSMD14/PSMD4/PSME1/PSMF1/RAD23A/RAD23B/RPS7/USP14/USP5,29,1.3143829402816124e-9,GOBP_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS
REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION,7.634377967564741e-11,1.2176832858265762e-8,9.227848101265822,12,16,Reactome,36.61643835616438,yellow,Antigen Processing Ub ATP Independent Proteasomal Degradation,PSMA2/PSMA4/PSMA5/PSMA6/PSMA7/PSMB2/PSMB3/PSMB4/PSMB5/PSMB6/PSMB7/PSME1,12,1.2176832858265762e-8,REACTOME_ANTIGEN_PROCESSING_UB_ATP_INDEPENDENT_PROTEASOMAL_DEGRADATION
