replicate,r_boot
760,-0.16019181786375986
761,-0.1548447943357686
762,-0.17745537226264535
763,-0.1573590554970138
764,-0.19302915151232114
765,-0.19750298342217748
766,-0.20499949325427783
767,-0.19272326839567402
768,-0.1894279785504106
769,-0.18185508941280482
770,-0.1797256112009685
771,-0.20679394364623094
772,-0.2044185006807599
773,-0.1690463497339161
774,-0.19387276853389235
775,-0.24285483463243457
776,-0.11274577334816724
777,-0.17135862681550834
778,-0.19429477337079
779,-0.19815951500030055
780,-0.13048927949268885
781,-0.18405992471036545
782,-0.13911162065428156
783,-0.2011762283286027
784,-0.11268953007485481
785,-0.20104573408071488
786,-0.15688460381161762
787,-0.17441200279814156
788,-0.21274764523377057
789,-0.22635196367712854
790,-0.19252879630849326
791,-0.12747075490810858
792,-0.20573729228839543
793,-0.1989065507228133
794,-0.14237711314966128
795,-0.15238403148051216
796,-0.15737417548309451
797,-0.1637611339706669
798,-0.19021650966901513
799,-0.1916664457330981
800,-0.19920730301476766
801,-0.19277509536016788
802,-0.19675845701841418
803,-0.21458224900469072
804,-0.23279053879223213
805,-0.2001640407022803
806,-0.20042782062869605
807,-0.18907077123161845
808,-0.20054616625790755
809,-0.1898174187099179
810,-0.198486325005619
811,-0.175565645819838
812,-0.21219692899564113
813,-0.19506452984878112
814,-0.193621750663791
815,-0.1397322706581847
816,-0.1966647012982709
817,-0.16859323338808282
818,-0.2516217029837438
819,-0.15819596561502491
820,-0.16711137449618846
821,-0.1754110267559392
822,-0.17818822726605663
823,-0.2118508285341441
824,-0.20571276821913728
825,-0.13902272576478028
826,-0.19835980083806817
827,-0.1744844572293512
828,-0.1292223082881544
829,-0.1414821422020576
830,-0.07074662768754589
831,-0.16218876116184652
832,-0.1382934990765706
833,-0.17130345586155682
834,-0.18823685090455256
835,-0.19527421012876395
836,-0.19455349347183634
837,-0.15833759790853577
838,-0.16635398118903602
839,-0.16346100352076964
840,-0.2323154081842853
841,-0.22582307361258913
842,-0.18682504466064587
843,-0.17199369809207382
844,-0.18991571307231403
845,-0.1637238537110511
846,-0.205197766238414
847,-0.16469342562519176
848,-0.14755127520703518
849,-0.14410718316940085
850,-0.14977193099792094
851,-0.17099423772611888
852,-0.16886496181165236
853,-0.2021105160255312
854,-0.19602150819855987
855,-0.18198313556611598
856,-0.13306972246711912
857,-0.165991372744944
858,-0.19920207731028958
859,-0.19483244920678902
860,-0.20039121726502265
861,-0.1697339827024868
862,-0.15930278331697903
863,-0.2214792378426391
864,-0.162133296361911
865,-0.21160924401009926
866,-0.17115613080678255
867,-0.18747038522075157
868,-0.1496562273757123
869,-0.17670499062138587
870,-0.1818773772391828
871,-0.13887496472119054
872,-0.15606173233062265
873,-0.20042810053365712
874,-0.2211335203378011
875,-0.1676134618207472
876,-0.18666660152547115
877,-0.2246697958097522
878,-0.17468069443566486
879,-0.18711389557415922
880,-0.22502995614827384
881,-0.17453726099839453
882,-0.16178246037663177
883,-0.1791369603238879
884,-0.20449805977659144
885,-0.18809662832403143
886,-0.22938968238842297
887,-0.19094180367821398
888,-0.21686251501700785
889,-0.1901133307629102
890,-0.19181765412310142
891,-0.1807795420710857
892,-0.16265119481692428
893,-0.1791529246560617
894,-0.1590309452934097
895,-0.12535954127895046
896,-0.20541794256445775
897,-0.16712528729546547
898,-0.128366807634349
899,-0.16455238163045022
900,-0.19064911380521107
901,-0.18216626987952328
902,-0.16076264266085422
903,-0.18691010265439936
904,-0.20021883402203894
905,-0.1775045681904067
906,-0.20998798523201634
907,-0.24730617031888555
908,-0.16496191724186254
909,-0.1883596398461417
910,-0.14970222121842086
911,-0.1472753962255043
912,-0.13577467272171048
913,-0.18875135653531003
914,-0.15746055395823874
915,-0.12718721858016985
916,-0.21065129105662547
917,-0.1573111501455014
918,-0.20393104517841334
919,-0.19059069338956203
920,-0.20290128148575212
921,-0.19159222477644502
922,-0.1513072679125984
923,-0.13950728567143647
924,-0.1981567486845307
925,-0.1806620863143381
926,-0.17029355391631412
927,-0.20497914954689264
928,-0.164333785294883
929,-0.16577845742698127
930,-0.21789331170412926
931,-0.18127679414302567
932,-0.20154321014239182
933,-0.2051579437779421
934,-0.12317624047300857
935,-0.13888392334417785
