gene,pathway,go_slim_id,pattern,logFC_Cancer_vs_Healthy,logFC_Training_CR
CSRP1,ECM & Adhesion,GO:0042060,Partially Reversed,1.8107,-0.2072
CSTA,ECM & Adhesion,GO:0007155,Partially Reversed,1.3563,-0.7019
CYFIP1,ECM & Adhesion,GO:0034330,Partially Reversed,0.8788,-0.1818
DMTN,ECM & Adhesion,GO:0042060,Partially Reversed,1.7794,-0.2815
FBLN2,ECM & Adhesion,GO:0007155,Partially Reversed,1.0985,-0.0705
GNAQ,ECM & Adhesion,GO:0042060,Partially Reversed,0.9578,-0.565
GNAS,ECM & Adhesion,GO:0042060,Partially Reversed,0.5929,-0.1866
HLA-DRA,ECM & Adhesion,GO:0007155,Partially Reversed,0.6354,-0.3997
LAMC1,ECM & Adhesion,GO:0030198,Partially Reversed,1.2267,-0.1088
MCAM,ECM & Adhesion,GO:0042060,Partially Reversed,2.5595,-0.7017
MFAP4,ECM & Adhesion,GO:0030198,Partially Reversed,1.9044,-0.0436
PBXIP1,ECM & Adhesion,GO:0030198,Partially Reversed,-0.54990000000000006,0.1166
PROS1,ECM & Adhesion,GO:0042060,Partially Reversed,2.0625,-0.4126
RSU1,ECM & Adhesion,GO:0007155,Partially Reversed,0.6887,-0.1563
S100B,ECM & Adhesion,GO:0007155,Partially Reversed,2.5842,-0.7839
SERPINA1,ECM & Adhesion,GO:0042060,Partially Reversed,2.6581,-0.133
SNCG,ECM & Adhesion,GO:0034330,Partially Reversed,2.3412,-0.3352
SPTB,ECM & Adhesion,GO:0034330,Partially Reversed,1.9989,-0.102
TLN1,ECM & Adhesion,GO:0042060,Partially Reversed,1.2152,-0.1065
TNS1,ECM & Adhesion,GO:0034330,Partially Reversed,0.9965,-0.4359
VWF,ECM & Adhesion,GO:0042060,Partially Reversed,0.79,-0.3841
YWHAZ,ECM & Adhesion,GO:0034330,Partially Reversed,0.9019,-0.0101
AOC3,Immune & Inflammation,GO:0006954,Partially Reversed,3.0182,-0.5425
C4A,Immune & Inflammation,GO:0006954,Partially Reversed,2.3688,-0.1182
CD163,Immune & Inflammation,GO:0006954,Partially Reversed,1.4738,-0.3262
CD58,Immune & Inflammation,GO:0098542,Partially Reversed,1.4937,-0.1407
CRIP1,Immune & Inflammation,GO:0002376,Partially Reversed,1.8565,-0.3729
DDT,Immune & Inflammation,GO:0006954,Partially Reversed,0.8694,-0.1939
DEFA3,Immune & Inflammation,GO:0098542,Partially Reversed,2.2303,-0.2132
DHRS7B,Immune & Inflammation,GO:0006954,Partially Reversed,-0.8373,0.0351
ENDOD1,Immune & Inflammation,GO:0098542,Partially Reversed,-0.8737,0.2341
FABP4,Immune & Inflammation,GO:0006954,Partially Reversed,2.674,-0.4843
FASN,Immune & Inflammation,GO:0006954,Partially Reversed,2.721,-0.9017
HLA-B,Immune & Inflammation,GO:0098542,Partially Reversed,0.8208,-0.0837
IFITM1,Immune & Inflammation,GO:0098542,Partially Reversed,0.9553,-0.1198
IGHA2,Immune & Inflammation,GO:0098542,Partially Reversed,2.8817,-0.3601
IGHG1,Immune & Inflammation,GO:0006954,Partially Reversed,3.1998,-0.0146
IGHG2,Immune & Inflammation,GO:0098542,Partially Reversed,3.3738,-0.0365
IGKC,Immune & Inflammation,GO:0002376,Partially Reversed,3.4542,-0.1072
IGKV3-15,Immune & Inflammation,GO:0002376,Partially Reversed,3.4644,-0.1958
IGLV1-51,Immune & Inflammation,GO:0002376,Partially Reversed,2.3581,-0.3347
JCHAIN,Immune & Inflammation,GO:0098542,Partially Reversed,2.7257,-0.1002
LGALS1,Immune & Inflammation,GO:0006954,Partially Reversed,1.2106,-0.4416
LTF,Immune & Inflammation,GO:0098542,Partially Reversed,1.5756,-0.1644
LXN,Immune & Inflammation,GO:0006954,Partially Reversed,2.3506,-0.1428
LYZ,Immune & Inflammation,GO:0006954,Partially Reversed,1.1953,-0.1393
MGLL,Immune & Inflammation,GO:0006954,Partially Reversed,1.3854,-0.1179
NLRX1,Immune & Inflammation,GO:0006954,Partially Reversed,-0.8256,0.1249
ORM1,Immune & Inflammation,GO:0006954,Partially Reversed,2.7842,-0.0498
SAA4,Immune & Inflammation,GO:0006954,Partially Reversed,2.58,-0.064
ZYX,Immune & Inflammation,GO:0098542,Partially Reversed,0.6474,-0.0767
ACADL,Lipid Metabolism,GO:0042180,Partially Reversed,1.4818,-0.7919
ACAT2,Lipid Metabolism,GO:0006629,Partially Reversed,1.6327,-0.361
ADH1B,Lipid Metabolism,GO:0006629,Partially Reversed,1.6549,-0.6434
ADH1C,Lipid Metabolism,GO:0006629,Partially Reversed,1.267,-0.4331
AOX1,Lipid Metabolism,GO:0006629,Partially Reversed,1.5416,-0.7683
APOC1,Lipid Metabolism,GO:0042180,Partially Reversed,2.9839,-0.3084
ASAH1,Lipid Metabolism,GO:0006629,Partially Reversed,0.7763,-0.6279
CAV1,Lipid Metabolism,GO:0042180,Partially Reversed,1.9824,-0.4038
COQ3,Lipid Metabolism,GO:0042180,Partially Reversed,-1.1001,0.1071
COQ7,Lipid Metabolism,GO:0042180,Partially Reversed,-0.84,0.2497
COQ8A,Lipid Metabolism,GO:0042180,Partially Reversed,-0.7883,0.1145
CPT2,Lipid Metabolism,GO:0006629,Partially Reversed,-0.7933,0.2407
CYB5R1,Lipid Metabolism,GO:0006629,Partially Reversed,-0.744,0.2205
ECI2,Lipid Metabolism,GO:0006629,Partially Reversed,-0.9192,0.1391
FABP5,Lipid Metabolism,GO:0042180,Partially Reversed,0.7416,-0.1752
HADHA,Lipid Metabolism,GO:0006629,Partially Reversed,-0.578,0.1848
HADHB,Lipid Metabolism,GO:0006629,Partially Reversed,-0.6296,0.1992
HDLBP,Lipid Metabolism,GO:0006629,Partially Reversed,1.1422,-0.0911
KDSR,Lipid Metabolism,GO:0042180,Partially Reversed,0.9842,-0.0935
LACTB,Lipid Metabolism,GO:0006629,Partially Reversed,-0.8238,0.0047
NPC2,Lipid Metabolism,GO:0006629,Partially Reversed,0.9691,-0.1632
PLIN1,Lipid Metabolism,GO:0006629,Partially Reversed,4.1417,-0.8213
PTGDS,Lipid Metabolism,GO:0006629,Partially Reversed,1.3769,-0.1143
SNCA,Lipid Metabolism,GO:0042180,Partially Reversed,3.6614,-0.0656
APOO,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.7372,0.2233
ATP5F1D,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.7826,0.3994
BCL2L13,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.7169,0.1115
COA3,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.8412,0.1072
FAM162A,Mitochondria & Energy,GO:0007005,Partially Reversed,-1.0706,0.5144
FIS1,Mitochondria & Energy,GO:0007031,Partially Reversed,-0.6835,0.2671
MARCHF5,Mitochondria & Energy,GO:0007005,Partially Reversed,-1.0541,0.7399
MAVS,Mitochondria & Energy,GO:0007031,Partially Reversed,-0.77,0.0017
MFN2,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.8314,0.0954
MT-ND4,Mitochondria & Energy,GO:0007005,Partially Reversed,-1.2144,0.2644
MT-ND5,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.766,0.1239
MTM1,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.9544,0.3303
NDUFB4,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.8572,0.5427
NDUFB5,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.9255,0.5399
SAMM50,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.7531,0.3385
SLC25A46,Mitochondria & Energy,GO:0007005,Partially Reversed,-1.0768,0.3196
SLC25A6,Mitochondria & Energy,GO:0007005,Partially Reversed,-1.1067,0.4577
TIMM50,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.7303,0.2088
TMEM11,Mitochondria & Energy,GO:0007005,Partially Reversed,-0.6547,0.2237
ATP1A1,Muscle & Contractile,GO:0003012,Partially Reversed,-0.641,0.2048
MTPN,Muscle & Contractile,GO:0003012,Partially Reversed,0.543,-0.0893
MYH2,Muscle & Contractile,GO:0003012,Partially Reversed,-1.149,0.7593
MYL3,Muscle & Contractile,GO:0003012,Partially Reversed,-1.3419,0.6399
MYOZ2,Muscle & Contractile,GO:0003012,Partially Reversed,1.664,-0.0217
PPP1R12B,Muscle & Contractile,GO:0003012,Partially Reversed,1.0089,-0.0301
SRI,Muscle & Contractile,GO:0003012,Partially Reversed,1.4093,-0.2437
ACYP2,Other,OTHER,Partially Reversed,-0.9052,0.3523
ALDH16A1,Other,OTHER,Partially Reversed,0.793,-0.0076
APMAP,Other,OTHER,Partially Reversed,1.4299,-0.1398
BZW2,Other,OTHER,Partially Reversed,-1.0007,0.4497
CYB5B,Other,OTHER,Partially Reversed,-1.4561,0.038
DCUN1D1,Other,OTHER,Partially Reversed,0.6996,-0.4348
DNPEP,Other,OTHER,Partially Reversed,-0.5804,0.1162
EHBP1L1,Other,OTHER,Partially Reversed,-0.7956,0.1382
FAM114A2,Other,OTHER,Partially Reversed,0.6158,-0.0427
GNG12,Other,OTHER,Partially Reversed,1.0425,-0.059
GNG2,Other,OTHER,Partially Reversed,2.3182,-0.832
HEBP1,Other,OTHER,Partially Reversed,1.4893,-0.2205
HINT3,Other,OTHER,Partially Reversed,-0.9916,0.2391
HMBS,Other,OTHER,Partially Reversed,1.0611,-0.0043
HSPA12A,Other,OTHER,Partially Reversed,2.5061,-0.1841
IGKV3-11,Other,OTHER,Partially Reversed,3.0261,-0.4596
ISCA2,Other,OTHER,Partially Reversed,-1.0264,0.7409
LHPP,Other,OTHER,Partially Reversed,1.0679,-0.0706
MRPL38,Other,OTHER,Partially Reversed,-0.9434,0.7506
MRPL46,Other,OTHER,Partially Reversed,-0.7943,0.0739
