gene,pattern,sort_key,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,imputed
HSP90B1,Partially Reversed,-0.7816,0.7816,-0.0111,0.017013,0.999546,FALSE
TPP1,Partially Reversed,-0.7827,0.7827,-0.2857,0.038511,0.670438,TRUE
ABHD14B,Partially Reversed,-0.7867,0.7867,-0.1265,8.65e-4,0.893052,FALSE
PSMD5,Partially Reversed,-0.789,0.789,-0.0859,0.004403,0.964974,TRUE
VWF,Partially Reversed,-0.79,0.79,-0.3841,0.048051,0.459135,TRUE
TALDO1,Partially Reversed,-0.793,0.793,-0.3041,0.004741,0.51010200000000006,FALSE
ALDH16A1,Partially Reversed,-0.793,0.793,-0.0076,0.008034,0.999762,TRUE
PSMF1,Partially Reversed,-0.794,0.794,-0.1936,0.023256,0.84423,FALSE
DSTN,Partially Reversed,-0.7985,0.7985,-0.0779,0.002208,0.967187,FALSE
LDHB,Partially Reversed,-0.801,0.801,-0.2136,0.029787,0.821971,FALSE
GPD1,Partially Reversed,-0.8018,0.8018,-0.4386,0.005384,0.208704,FALSE
HNRNPA1,Partially Reversed,-0.8075,0.8075,-0.154,0.001902,0.86007,FALSE
PDXK,Partially Reversed,-0.809,0.809,-0.0984,0.003106,0.949749,FALSE
CTSD,Partially Reversed,-0.8104,0.8104,-0.2219,0.004667,0.738402,FALSE
ELAVL1,Partially Reversed,-0.8148,0.8148,-0.1934,0.009888,0.826848,TRUE
TUBB,Partially Reversed,-0.8159,0.8159,-0.1663,0.017013,0.885455,FALSE
RRAS,Partially Reversed,-0.818,0.818,-0.352,0.008627,0.451721,FALSE
HLA-B,Partially Reversed,-0.8208,0.8208,-0.0837,7.98e-4,0.958604,TRUE
SEPTIN10,Partially Reversed,-0.841,0.841,-0.4568,0.01262,0.3892,TRUE
NME1,Partially Reversed,-0.8425,0.8425,-0.1427,1.73e-4,0.857,FALSE
HNRNPF,Partially Reversed,-0.8503,0.8503,-0.2559,0.018625,0.683095,TRUE
DDT,Partially Reversed,-0.8694,0.8694,-0.1939,0.0031580000000000002,0.817016,FALSE
CTSZ,Partially Reversed,-0.8732,0.8732,-0.0305,0.006013,0.996633,TRUE
CYFIP1,Partially Reversed,-0.8788,0.8788,-0.1818,0.004667,0.846815,TRUE
ESYT1,Partially Reversed,-0.8911,0.8911,-0.3036,0.007674,0.626526,FALSE
ATP2B4,Partially Reversed,-0.892,0.892,-0.058,0.001616,0.985574,TRUE
CALM1,Partially Reversed,-0.8935,0.8935,-0.2817,0.011972,0.699345,FALSE
PRXL2A,Partially Reversed,-0.8981,0.8981,-0.5614,0.039957,0.257798,FALSE
YWHAZ,Partially Reversed,-0.9019,0.9019,-0.0101,0.012612,0.999688,FALSE
SUMO2,Partially Reversed,-0.9025,0.9025,-0.1426,8.39e-4,0.897977,TRUE
SNX1,Partially Reversed,-0.9139,0.9139,-0.0816,0.01861,0.978872,TRUE
ATG3,Partially Reversed,-0.916,0.916,-0.0087,5.89e-4,0.999688,TRUE
EIF4B,Partially Reversed,-0.92490000000000006,0.92490000000000006,-0.3664,0.002973,0.448857,TRUE
PARVA,Partially Reversed,-0.9272,0.9272,-0.02,0.001864,0.998517,TRUE
GCLM,Partially Reversed,-0.9324,0.9324,-0.0195,0.004492,0.998709,FALSE
ANP32A,Partially Reversed,-0.9373,0.9373,-0.1016,2.7e-5,0.936533,TRUE
PITPNA,Partially Reversed,-0.9405,0.9405,-0.1284,0.001042,0.924285,FALSE
FLOT2,Partially Reversed,-0.951,0.951,-0.254,1.85e-4,0.638651,FALSE
ALYREF,Partially Reversed,-0.9513,0.9513,-0.4332,0.029125,0.568915,TRUE
IFITM1,Partially Reversed,-0.9553,0.9553,-0.1198,0.00261,0.94383,TRUE
GNAQ,Partially Reversed,-0.9578,0.9578,-0.565,0.029676,0.300463,TRUE
NPC2,Partially Reversed,-0.9691,0.9691,-0.1632,7.68e-4,0.881038,TRUE
ARFIP1,Partially Reversed,-0.9706,0.9706,-0.2484,0.003106,0.807815,TRUE
RANBP1,Partially Reversed,-0.9742,0.9742,-0.0863,9.08e-4,0.967843,TRUE
CSPG4,Partially Reversed,-0.9835,0.9835,-0.2762,0.014072,0.719937,TRUE
KDSR,Partially Reversed,-0.9842,0.9842,-0.0935,0.017193,0.981272,TRUE
GMPR2,Partially Reversed,-0.985,0.985,-0.4798,0.022068,0.454785,TRUE
ATP6V1H,Partially Reversed,-0.9892,0.9892,-0.1844,1.23e-4,0.82239,TRUE
TNS1,Partially Reversed,-0.9965,0.9965,-0.4359,6.29e-4,0.279571,FALSE
PITHD1,Partially Reversed,-1.0006,1.0006,-0.0338,6.11e-4,0.995303,TRUE
PAFAH1B2,Partially Reversed,-1.0035,1.0035,-0.5305,1.34e-4,0.074786,TRUE
CAND1,Partially Reversed,-1.0083,1.0083,-0.0532,2.7e-5,0.985686,FALSE
PPP1R12B,Partially Reversed,-1.0089,1.0089,-0.0301,0.039533,0.99793,TRUE
HNRNPA2B1,Partially Reversed,-1.0095,1.0095,-0.1648,5.1e-5,0.849908,FALSE
ARHGDIB,Partially Reversed,-1.0179,1.0179,-0.1358,0.009937,0.94401,TRUE
HNRNPA3,Partially Reversed,-1.0353,1.0353,-0.4951,0.005974,0.328583,FALSE
ITGA1,Partially Reversed,-1.0365,1.0365,-0.1593,0.003466,0.908789,TRUE
GNG12,Partially Reversed,-1.0425,1.0425,-0.059,1.76e-4,0.985608,FALSE
PTMS,Partially Reversed,-1.0469,1.0469,-0.0342,9e-5,0.995123,TRUE
GNB1,Partially Reversed,-1.0575,1.0575,-0.2479,2.68e-4,0.727192,FALSE
HMBS,Partially Reversed,-1.0611,1.0611,-0.0043,0.003714,0.999945,TRUE
LHPP,Partially Reversed,-1.0679,1.0679,-0.0706,0.004493,0.985476,TRUE
SAMHD1,Partially Reversed,-1.072,1.072,-0.0015,0.024735,0.999994,TRUE
EPS15,Partially Reversed,-1.0897,1.0897,-0.1223,0.024646,0.935997,TRUE
SOD1,Partially Reversed,-1.0931,1.0931,-0.4737,3e-6,0.113759,FALSE
FBLN2,Partially Reversed,-1.0985,1.0985,-0.0705,4.4e-5,0.978738,FALSE
SELENBP1,Partially Reversed,-1.1109,1.1109,-0.4736,1.85e-4,0.247819,FALSE
RAB1A,Partially Reversed,-1.1343,1.1343,-0.0309,1e-6,0.995557,TRUE
RHOG,Partially Reversed,-1.1348,1.1348,-0.211,0.002085,0.872346,TRUE
GUK1,Partially Reversed,-1.135,1.135,-0.2127,2.65e-4,0.815198,TRUE
HDLBP,Partially Reversed,-1.1422,1.1422,-0.0911,1.51e-4,0.969782,TRUE
CTTN,Partially Reversed,-1.148,1.148,-0.1433,5e-6,0.89677,FALSE
AGFG1,Partially Reversed,-1.1653,1.1653,-0.1606,0.014345,0.940492,TRUE
CCS,Partially Reversed,-1.1724,1.1724,-0.2365,1.1e-4,0.782699,TRUE
MSN,Partially Reversed,-1.1853,1.1853,-0.0605,3.3e-5,0.986309,FALSE
GCLC,Partially Reversed,-1.1953,1.1953,-0.1969,3.7e-5,0.840129,FALSE
LYZ,Partially Reversed,-1.1953,1.1953,-0.1393,7.03e-4,0.927686,TRUE
LGALS1,Partially Reversed,-1.2106,1.2106,-0.4416,8e-6,0.271401,FALSE
TLN1,Partially Reversed,-1.2152,1.2152,-0.1065,6e-6,0.951538,FALSE
LAMC1,Partially Reversed,-1.2267,1.2267,-0.1088,0.003167,0.972941,TRUE
PPIA,Partially Reversed,-1.2303,1.2303,-0.2102,1.51e-4,0.846412,FALSE
RAP1B,Partially Reversed,-1.2324,1.2324,-0.031,7e-5,0.996963,FALSE
G6PD,Partially Reversed,-1.2431,1.2431,-0.2761,0.005176,0.728162,TRUE
PGD,Partially Reversed,-1.2436,1.2436,-0.2356,1.4e-5,0.770137,FALSE
EPB41L2,Partially Reversed,-1.262,1.262,-0.1217,6e-6,0.94047,FALSE
ADH1C,Partially Reversed,-1.267,1.267,-0.4331,3.11e-4,0.52567,TRUE
CYB5A,Partially Reversed,-1.2709,1.2709,-0.4036,0.003114,0.623228,TRUE
AP3B1,Partially Reversed,-1.2749,1.2749,-0.1084,0.007242,0.974175,TRUE
TMEM256,Partially Reversed,-1.3069,1.3069,-0.2795,6e-6,0.630926,TRUE
EHD1,Partially Reversed,-1.3118,1.3118,-0.2902,2.3e-5,0.697231,FALSE
LGALS3,Partially Reversed,-1.3119,1.3119,-0.0723,1.74e-4,0.985544,FALSE
FAH,Partially Reversed,-1.3145,1.3145,-0.3456,1e-6,0.500201,FALSE
GNAI1,Partially Reversed,-1.3276,1.3276,-0.0637,0.007236,0.99146,TRUE
MYO1C,Partially Reversed,-1.3455,1.3455,-0.2032,4.4e-5,0.866431,FALSE
CSTA,Partially Reversed,-1.3563,1.3563,-0.7019,0.023531,0.155087,TRUE
GGT5,Partially Reversed,-1.3687,1.3687,-0.4701,1.26e-4,0.178506,TRUE
PTGDS,Partially Reversed,-1.3769,1.3769,-0.1143,0.014209,0.967219,TRUE
MGLL,Partially Reversed,-1.3854,1.3854,-0.1179,4.2e-5,0.962102,TRUE
CD36,Partially Reversed,-1.4077,1.4077,-0.4262,3.2e-4,0.558174,FALSE
SRI,Partially Reversed,-1.4093,1.4093,-0.2437,0,0.757799,FALSE
SORBS1,Partially Reversed,-1.4214,1.4214,-0.4686,5.74e-4,0.495327,TRUE
APMAP,Partially Reversed,-1.4299,1.4299,-0.1398,3e-6,0.934232,FALSE
DYNC1LI2,Partially Reversed,-1.442,1.442,-0.4137,2.9e-5,0.463898,TRUE
ANXA5,Partially Reversed,-1.4694,1.4694,-0.2119,6.9e-5,0.881257,FALSE
CD163,Partially Reversed,-1.4738,1.4738,-0.3262,0.00434,0.69017,TRUE
ACADL,Partially Reversed,-1.4818,1.4818,-0.7919,1.18e-4,0.079643,TRUE
HEBP1,Partially Reversed,-1.4893,1.4893,-0.2205,2e-6,0.839301,FALSE
UROD,Partially Reversed,-1.4918,1.4918,-0.2193,0,0.783832,TRUE
CD58,Partially Reversed,-1.4937,1.4937,-0.1407,9.92e-4,0.942817,TRUE
PLIN4,Partially Reversed,-1.5008,1.5008,-0.7072,9e-5,0.14407,FALSE
BLVRB,Partially Reversed,-1.5328,1.5328,-0.2469,1e-6,0.802701,FALSE
ARRB1,Partially Reversed,-1.5342,1.5342,-0.1213,8.4e-5,0.962032,TRUE
AOX1,Partially Reversed,-1.5416,1.5416,-0.7683,0.003554,0.225965,TRUE
AHNAK,Partially Reversed,-1.5525,1.5525,-0.2174,2.2e-5,0.876917,FALSE
TYMP,Partially Reversed,-1.5536,1.5536,-0.1835,2e-6,0.897565,TRUE
HPRT1,Partially Reversed,-1.5725,1.5725,-0.166,0,0.896256,TRUE
CAVIN1,Partially Reversed,-1.5756,1.5756,-0.4713,1.2e-5,0.457505,FALSE
LTF,Partially Reversed,-1.5756,1.5756,-0.1644,0.025846,0.923495,TRUE
DDI2,Partially Reversed,-1.5763,1.5763,-0.0547,0.003017,0.992936,TRUE
