gene,quadrant,sig_cat,logFC_CRE,logFC_PLA,pi_CRE,pi_PLA
TACC2,Concordant Down,PLA,-0.180601796868851,-0.707365473711835,0.8275492632474858,0.01675422447393572
EIF3I,Concordant Down,PLA,-0.184883105007291,-0.597454057309207,0.7970173597325461,0.04825610073135723
PFDN1,Concordant Down,PLA,-0.19266388660952,-1.07994756354223,0.8375724405782669,0.00164767766368643
ACAT2,Concordant Down,PLA (q<0.10),-0.271027501658615,-0.910283411036154,0.8091533218820223,0.06836294670998747
GLO1,Concordant Down,PLA (q<0.10),-0.283879808378604,-0.492971021507167,0.4126579548980265,0.06618608297986164
HHATL,Concordant Down,PLA,-0.303863521305612,-0.902849697809941,0.7513598395099881,0.03569342175574729
RAB5B,Concordant Down,PLA,-0.368744541712459,-0.731240161077448,0.3124407730566149,0.00796453057996627
TSNAX,Concordant Down,PLA,-0.435726793021843,-0.652674566549639,0.16651149168559817,0.01485022735885164
SMYD5,Concordant Down,PLA,-0.486112447442753,-0.898968766539298,0.2739505557548494,0.04488492945743758
EIF4G2,Concordant Down,PLA (q<0.10),-0.501601524068175,-0.69217789159212,0.1847427287767205,0.08136388749398542
MAPK12,Concordant Down,PLA,-0.50203553856436,-0.856778600784345,0.22606955156564615,0.01881926838709868
KYAT1,Concordant Down,PLA,-0.563102951632342,-1.0083509234615,0.28472129870667273,0.01633702274862595
ANXA3,Concordant Down,CRE (q<0.10),-0.59479004118931,-0.314542025852383,0.0779674246923189,0.6375530651872655
DHRS11,Concordant Down,CRE (q<0.10),-0.598490769717834,-0.00126547762572926,0.05822409536721761,0.9999969631294404
DAG1,Concordant Down,CRE,-0.620000056017656,-0.594970670168152,0.03432665856027419,0.08488716418703685
EMD,Concordant Down,CRE (q<0.10),-0.66067078809724,-0.491900545964814,0.06689531416108559,0.2959129376109269
SSPN,Concordant Down,CRE,-0.704709083830299,-0.0254942547777723,0.03920979044033624,0.998122710230301
SMTNL1,Concordant Down,CRE (q<0.10),-0.715179133438006,-0.115862200386122,0.08878203294766006,0.968256219938839
MRPS17,Concordant Down,CRE (q<0.10),-0.73016555854371,-0.112390631746997,0.05381386353101639,0.9661201845483356
ARIH2,Concordant Down,CRE,-0.747237153474348,-0.0169232002570396,0.01970771670048639,0.9992999311529852
ART3,Concordant Down,CRE,-0.770080592830638,-0.334738457960547,0.01184773929671226,0.6143275585936387
SORD,Concordant Down,CRE,-0.80857722807272,-0.502794200693673,0.01270174325224575,0.32148032220624795
RPS23,Concordant Down,CRE,-0.954099641433711,-0.126316893671095,0.04430123534467351,0.965289631293789
ACTN3,Discordant,CRE,1.48588429098843,-0.764771963075987,0.01260583305203435,0.5007726152493104
MPC1,Discordant,CRE (q<0.10),1.37578406465671,-0.768484898721773,0.09189362862085798,0.4671620942152317
COL4A2,Discordant,CRE,1.36973622667842,-0.458188400426813,0.03800264177167246,0.8008806315377988
CAV2,Discordant,CRE,1.29838446357781,-0.757152128444606,0.01320760354016844,0.4622099065253405
RHOC,Discordant,CRE,1.1175169714214,-0.145478328710613,2.1368432242168436e-4,0.9596701969703944
RPL35A,Discordant,CRE,0.953809239915515,-0.591010661853698,0.00367277067067767,0.34268625750502885
RBMX,Discordant,CRE,0.893328053189659,-0.476380008941597,0.01751448417505361,0.4164713002299813
FBLN5,Discordant,CRE (q<0.10),0.86275460271136994,-0.210406935219179,0.06640651294162321,0.9385109931150024
SSR4,Discordant,CRE,0.814693006992986,-0.10827599069788,0.03693045462004107,0.9695896991239392
ATP5F1D,Discordant,CRE (q<0.10),0.728005525089664,-0.0311078371817182,0.05798538580431766,0.99767678710998
COPE,Discordant,CRE,0.712435419076881,-0.198892995254406,0.01956270972626098,0.8885391454828278
GNAI3,Discordant,CRE (q<0.10),0.700393087132857,-0.932312306128996,0.08593550995887075,0.07568214581298205
CAB39L,Discordant,PLA,0.458223307684705,-1.00269514175216,0.38949384670269666,0.00232450897724193
HNRNPDL,Discordant,PLA,0.380878084675007,-0.837380274601976,0.2536798425305948,6.68372595977993e-4
RUVBL1,Discordant,PLA,0.321503763076617,-0.826299518062946,0.624684305789213,0.02993463994215916
MTARC2,Discordant,PLA,0.2847162342847,-0.979229438298427,0.6105941469876557,0.0065674994498797
YKT6,Discordant,PLA,0.219770548940474,-0.909578842300064,0.8219853346222455,0.01029795396803733
HNRNPA3,Discordant,PLA (q<0.10),0.195295582477975,-1.07011624643505,0.9276653102302356,0.05016601145608127
SDCBP,Discordant,PLA (q<0.10),0.182086076718125,-0.776350387931323,0.8685971715741059,0.05351240251630207
GLUL,Discordant,PLA (q<0.10),0.156285999519557,-0.566288483253846,0.85237161669802,0.07387699072847517
PRKAB2,Discordant,PLA (q<0.10),0.10729526710762,-0.667573304647263,0.950494783815079,0.06622418577414274
MGST2,Discordant,PLA,0.100881374494982,-0.723256557596144,0.966323588361823,0.04154940008024275
UBE3A,Discordant,PLA,0.0594975154032831,-0.740775053718121,0.977211884720664,0.00805764864367862
PSMA3,Discordant,PLA (q<0.10),0.0225377964519424,-0.536935290044653,0.9971577563397588,0.05727440028610273
PELO,Discordant,PLA,0.00603248704841519,-0.699772696853358,0.9998317213375808,0.02085534165630609
PSMD7,Discordant,PLA (q<0.10),-0.0373356316847264,0.622590640543187,0.9943725532403704,0.07867526870451806
MUSTN1,Discordant,PLA,-0.0603664460868529,1.11678965122204,0.9920374320011072,0.01191665051427867
G3BP2,Discordant,PLA,-0.0755566607466349,2.10464102094028,0.9902293212529458,7.380573534933118e-6
RPS5,Discordant,PLA,-0.0879463975494588,0.669480932458374,0.9658475052425016,0.04558093651439231
DRG1,Discordant,PLA,-0.0998134152065919,1.37096774460151,0.9830864993544765,0.00318955033107295
ETHE1,Discordant,PLA,-0.12066415570915,0.772472396729658,0.9351606489617116,0.00584332079577054
FITM2,Discordant,PLA,-0.16695215120945,0.840905187360697,0.8469103423768813,0.02282329008426184
FAHD1,Discordant,PLA (q<0.10),-0.251435915901659,0.696957385403977,0.7555861441119345,0.0771748365563204
C11orf68,Discordant,PLA,-0.25183135103557,0.979437948341367,0.6590019948952136,4.029871870146356e-4
NADK2,Discordant,PLA (q<0.10),-0.266164786875699,0.974755907508047,0.6706016856312775,0.05688215227974792
NDUFA3,Discordant,PLA (q<0.10),-0.267279427662764,0.985360615353557,0.8751911370006207,0.08030856741834654
BPHL,Discordant,PLA (q<0.10),-0.274797909616904,1.12778837677,0.8800729964349517,0.06695525233980958
RAB9A,Discordant,PLA,-0.346536518753148,0.970874092646429,0.5277481965465999,0.01438611652862975
NUDT9,Discordant,PLA,-0.381675459300929,0.961895843099812,0.4287165131517237,0.02267834525456539
PIP4K2B,Discordant,PLA (q<0.10),-0.385560833267386,0.75611572981999,0.4317886435724306,0.06253719346707347
RPS15,Discordant,PLA,-0.40844144165213,1.58047490130118,0.8303008769191628,0.03683526336473002
SYNPO,Discordant,PLA,-0.408453889225495,0.91905047313335,0.5145256248668469,0.04835894191726508
MAPK14,Discordant,PLA (q<0.10),-0.435709137646711,0.795000233048274,0.39675243431154983,0.06095570936268217
LANCL2,Discordant,CRE,-0.635475579806226,0.0267032771585214,0.01861621934687403,0.997575576816268
RAB2B,Discordant,CRE (q<0.10),-0.696552807923482,0.162440768431395,0.06746063686751669,0.9205230190260896
LHPP,Discordant,PLA (q<0.10),-0.783880558377932,0.915646209498188,0.1116525605503868,0.0548071010440698
UBE2D1,Discordant,CRE (q<0.10),-0.794301724924175,0.0158326425497677,0.08488386063399696,0.9995134354822026
TIMM8A,Discordant,PLA,-0.814962367207819,1.13953518089706,0.1116798134985103,0.04092888067054369
SDR39U1,Discordant,CRE (q<0.10),-0.861189509660772,0.92307175138988,0.0748195144177799,0.07369859898560759
GOSR2,Discordant,Both,-0.87502412651288,1.06286639663697,0.04589956027238995,0.01175240029327939
ACOT1,Discordant,CRE,-1.012216723607,0.120306999688776,0.01222166518990312,0.9766755759312764
MICU2,Discordant,CRE,-1.11810031078457,0.513853601543033,0.03130478944560928,0.6538987839220611
