"gene","uniprot_id","logFC_CvH","pval_CvH","cancer_dir","logFC_Training_CRE","logFC_Training_PLA","P.Value_Training_CRE","P.Value_Training_PLA","logFC_Supplement_Interaction","P.Value_Supplement_Interaction","delta_from_identity"
"S100A9","P06702",2.85579785879343,2.58992294209979e-06,"Cancer Up",0.559638822906834,-1.44358846745637,0.400816101823813,0.0421806902868278,2.0032272903632,0.0425939388633435,2.0032272903632
"ACADL","P28330",1.48180867320325,0.00223225607280952,"Cancer Up",0.196124364177455,-1.80003659806088,0.58307508103358,0.0117874318097898,1.99616096223833,0.0138993276751812,1.99616096223833
"COL6A1","P12109",1.91443787582432,0.00148219197121927,"Cancer Up",1.04841085189865,-0.927497900855727,0.132784528233123,0.210131982456821,1.97590875275438,0.0562122154576543,1.97590875275438
"ALB","P02768",3.13707051701393,2.69750220787605e-05,"Cancer Up",0.562454896055005,-1.38756735215066,0.50250321190053,0.116307456848566,1.95002224820567,0.112659627168559,1.95002224820567
"GNG2","P59768",2.31817233847549,0.0101249530814107,"Cancer Up",0.115767574223391,-1.77463201336738,0.85371130749119,0.0116013593065894,1.89039958759077,0.0464249880025973,1.89039958759077
"MARCHF5","Q9NX47",-1.05405134135215,0.00122889096976107,"Cancer Down",-0.201883420200364,1.68161998158701,0.654017019810909,0.0302129435210834,-1.88350340178737,0.0422790083825283,-1.88350340178737
"SAMHD1","Q9Y3Z3",1.07199579334837,0.0317118685711411,"Cancer Up",0.947233428734073,-0.934601957795142,0.015437608709787,0.0406436612682006,1.88183538652921,0.00285840692223154,1.88183538652922
"TUBB2B","Q9BVA1",2.15318118262902,0.00607669242297836,"Cancer Up",0.0757162509250726,-1.76759839612388,0.909269383944338,0.0539799862073405,1.84331464704896,0.10512934642708,1.84331464704895
"ELAVL1","Q15717",0.814802779699434,0.00346272556849118,"Cancer Up",0.710180047225617,-1.09137812394911,0.0108920294306095,0.00405691991729378,1.80155817117473,0.0004126684278193,1.80155817117473
"RETSAT","Q6NUM9",3.04056015823248,0.00280713667887239,"Cancer Up",-0.516211427524741,-2.2877188310752,0.445010518388986,0.015598064977044,1.77150740355046,0.118479788659416,1.77150740355046
"RCN3","Q96D15",2.34991215374594,0.0202946316157241,"Cancer Up",1.42678820895808,-0.328221714006023,0.174103100665361,0.615548266744226,1.7550099229641,0.15978368748562,1.7550099229641
"GNAQ","P50148",0.95779757891793,0.0254149897051566,"Cancer Up",0.308144081021268,-1.43804696463438,0.53034718866128,0.0139241685991438,1.74619104565564,0.0268854468265387,1.74619104565565
"VIM","P08670",2.96995452299335,0.0001139119938158,"Cancer Up",0.789520031636748,-0.946941553073099,0.379875771010656,0.309867938818567,1.73646158470985,0.183398286628054,1.73646158470985
"SFXN3","Q9BWM7",1.81559270731921,5.33388484065541e-05,"Cancer Up",0.956382418574727,-0.775594186047613,0.00183501707020113,0.0136756679523685,1.73197660462234,0.00028510301712954,1.73197660462234
"AHNAK","Q09666",1.55250732931456,0.00099741070796243,"Cancer Up",0.638159885514188,-1.07082382238169,0.261447265454345,0.0734652583056712,1.70898370789588,0.041661521608276,1.70898370789588
"CD58","P19256",1.49372031749854,0.00975497178128092,"Cancer Up",0.683697649065522,-0.98155614247362,0.161582755575324,0.0312274175011045,1.66525379153914,0.0174081030279975,1.66525379153914
"GNAI3","P08754",1.63496242346315,6.1830018328103e-06,"Cancer Up",0.776370273314289,-0.86851572566183,0.0147511279894277,0.0273452746376247,1.64488599897612,0.00211905423538512,1.64488599897612
"PLIN4","Q96Q06",1.50075271251101,0.0020192066500947,"Cancer Up",0.0999735661629835,-1.51669258029304,0.861374924115321,0.0151085514595342,1.61666614645602,0.0572864092268647,1.61666614645602
"MAP1B","P46821",1.12207029823964,0.0483747403912902,"Cancer Up",0.0694570098655909,-1.53637158589541,0.823198163111637,0.00053049505712323,1.605828595761,0.00348228064709424,1.605828595761
"TYMP","P19971",1.55356908688658,0.00020972244907079,"Cancer Up",0.617057611612143,-0.981491526119999,0.180915286449475,0.0698818974457445,1.59854913773214,0.0278837696559366,1.59854913773214
"APOC1","P02654",2.98394215809282,0.0100581684105742,"Cancer Up",0.492059182721132,-1.10497739076347,0.473520644094814,0.140005869953745,1.5970365734846,0.119585359365877,1.5970365734846
"AGFG1","P52594",1.16534597434644,0.02619553034509,"Cancer Up",0.615410711279875,-0.978486517677981,0.268904363543011,0.134421674671249,1.59389722895786,0.0696201379708334,1.59389722895786
"CAVIN3","Q969G5",3.01086419485156,0.0223784017423956,"Cancer Up",-0.0232181285236486,-1.6085596287812,0.969420553150143,0.0171179583197686,1.58534150025755,0.0802708645586487,1.58534150025755
"ACACA","Q13085",-1.39728072080235,0.00226293575294283,"Cancer Down",-0.341739818132723,1.2345590251768,0.528540911021955,0.0338749529624122,-1.57629884330952,0.0500589964634753,-1.57629884330952
"RHOG","P84095",1.13480849566812,0.00434039731888806,"Cancer Up",0.560451849570327,-0.996702960242974,0.243061447780382,0.0879918666476603,1.5571548098133,0.0431293116967557,1.5571548098133
"NADK2","Q4G0N4",-0.43976211214531,0.0472116733828795,"Cancer Down",-0.265522505686528,1.28533479965831,0.295726051315757,0.0191045446439432,-1.55085730534484,0.0121073844765819,-1.55085730534484
"RNF181","Q9P0P0",-0.820012994095528,0.0461526483437055,"Cancer Down",-0.71325135270256,0.833513672408541,0.121735047705204,0.241890296272686,-1.5467650251111,0.0756156411971008,-1.5467650251111
"B2M","P61769",1.61871958655066,0.00012646905166558,"Cancer Up",0.550784672794844,-0.994397217000945,0.255423089553521,0.0522416256527241,1.54518188979579,0.0313783291855701,1.54518188979579
"LCP1","P13796",1.86502836712865,0.000180079497772,"Cancer Up",0.79778056091865,-0.744884725576188,0.174407634845336,0.219020183348872,1.54266528649484,0.0714736431517458,1.54266528649484
"CD163","Q86VB7",1.47383265712945,0.0249475013565014,"Cancer Up",0.435747309090509,-1.09870932916329,0.338340587736714,0.0295445672200396,1.5344566382538,0.0275828119887021,1.5344566382538
"PSAP","P07602",0.747497746861093,0.0137941186678693,"Cancer Up",0.35536369467377,-1.16947518277986,0.33618033114921,0.00415567795483234,1.52483887745363,0.00675444866716571,1.52483887745363
"BDH1","Q02338",-0.870963069613236,0.0427338898236569,"Cancer Down",-0.849428382701277,0.669398732266419,0.108251974538514,0.210346421505337,-1.5188271149677,0.0472333959994056,-1.5188271149677
"HDLBP","Q00341",1.14220448490395,0.00045240481128453,"Cancer Up",0.666301808438938,-0.843469658967248,0.103658317068049,0.0358075085901973,1.50977146740619,0.0120204527984924,1.50977146740619
"HNRNPA3","P51991",1.0353235190746,0.00711429970745281,"Cancer Up",0.259763718570717,-1.24852528376,0.569685064398893,0.0122713173818175,1.50828900233072,0.0275643305750794,1.50828900233072
"PHGDH","O43175",3.40332398779128,0.00129724687029898,"Cancer Up",0.642465553462511,-0.861978362724731,0.328546743848093,0.218368217863277,1.50444391618724,0.122498248765394,1.50444391618724
"BCAP31","P51572",0.69338287012511,0.0257205634948231,"Cancer Up",0.53286041661692,-0.970163325984181,0.185645134266589,0.0192278228047776,1.5030237426011,0.0113877935392246,1.5030237426011
"MRPS27","Q92552",-0.598488981967582,0.0371964903827336,"Cancer Down",-0.190876401543669,1.30661808891387,0.609494588177957,0.0198301687308968,-1.49749449045754,0.0292365417137835,-1.49749449045754
"MRPL13","Q9BYD1",-0.762084620815758,0.0232351758221859,"Cancer Down",0.359879928118751,1.85260178879392,0.337936288372831,0.00709249942876856,-1.49272186067517,0.0452588908709604,-1.49272186067517
"CRIP1","P50238",1.85654289583121,0.0133891027372253,"Cancer Up",0.37361316219878,-1.11332316145814,0.482102453089709,0.0644329269378093,1.48693632365692,0.0672644717715861,1.48693632365692
"IGHG1","P01857",3.19978543988029,3.02216923823082e-06,"Cancer Up",0.715480787707602,-0.752378169058797,0.337172121140274,0.329511771762657,1.4678589567664,0.174701408043496,1.4678589567664
"ACTB","P60709",1.54328197334227,0.00448530610143862,"Cancer Up",0.799700407599264,-0.665611800579434,0.227769358597195,0.329814123218133,1.4653122081787,0.127498731348579,1.4653122081787
"S100A4","P26447",2.33360093291455,3.28463024362219e-06,"Cancer Up",0.468076838123366,-0.994810663728831,0.394644244297346,0.0864518738076431,1.4628875018522,0.0706720157839367,1.4628875018522
"CNN1","P51911",1.64911097711714,0.0249175852715723,"Cancer Up",-0.517154604596826,0.94180979464274,0.31848357930472,0.0855047358936244,-1.45896439923957,0.0583143400229167,-1.45896439923957
"MUSTN1","Q8IVN3",1.1073276394928,0.0155973340081901,"Cancer Up",-0.291272130248405,1.15837798706696,0.516957215224813,0.025161504943568,-1.44965011731536,0.0368177663169682,-1.44965011731536
"SLC25A6","P12236",-1.10666162448156,0.00512759148113368,"Cancer Down",-0.261278512061242,1.1871118604988,0.585964344730495,0.0220902134603883,-1.44839037256004,0.0425108133461951,-1.44839037256004
"S100A8","P05109",2.38131009679527,5.29362148236053e-05,"Cancer Up",0.408103493095915,-1.03652464705159,0.53822420047247,0.137131244769088,1.4446281401475,0.136300105027755,1.4446281401475
"ARPC1B","O15143",1.64122319721698,2.64519152179077e-05,"Cancer Up",0.716691987060209,-0.718167932230728,0.0794045599379852,0.110246442608254,1.43485991929094,0.0213879086003274,1.43485991929094
"G6PD","P11413",1.24306357403897,0.0144870154076363,"Cancer Up",0.438168447350318,-0.99399523902386,0.258728408942843,0.022536853281192,1.43216368637418,0.0166487713219766,1.43216368637418
"MAPK14","Q16539",-0.569773679403674,0.0237768140783389,"Cancer Down",-0.426144595559265,1.00386412617955,0.19035537594114,0.0115490413848044,-1.43000872173881,0.00717839713336667,-1.43000872173881
"DHRS7C","A6NNS2",-0.901865746567992,0.00292536541104456,"Cancer Down",-0.411398949482049,1.01306955821205,0.269238152899836,0.0148152036634463,-1.4244685076941,0.0127199618820822,-1.4244685076941
"PTBP1","P26599",1.65248167354187,0.00015583960407271,"Cancer Up",0.819714968849343,-0.604698412452127,0.100361235101701,0.260452511408187,1.42441338130147,0.0558868685403131,1.42441338130147
"AP3B1","O00203",1.27493337055192,0.02095949572503,"Cancer Up",0.602222147630881,-0.812166182510472,0.309350980641134,0.212204628094517,1.41438833014135,0.11700183999139,1.41438833014135
"UQCRQ","O14949",-0.845813816620566,0.0198407465082359,"Cancer Down",-0.160021035644213,1.24262494987344,0.719963092181169,0.0110038219821303,-1.40264598551766,0.0355328272555686,-1.40264598551765
"PRDX2","P32119",1.98267596894184,0.00012926524163096,"Cancer Up",0.437876725741429,-0.962353886192297,0.468675744498651,0.129718913387213,1.40023061193373,0.113558960273953,1.40023061193373
"LUM","P51884",1.99450465289004,0.00015848525153571,"Cancer Up",0.809766761498313,-0.589174839094742,0.189015692124325,0.352062450759967,1.39894160059306,0.117173748147818,1.39894160059306
"ISCA2","Q86U28",-1.02641145808713,0.00937739817312594,"Cancer Down",0.0420832733739047,1.44000567600259,0.904309766272564,0.108321357533901,-1.39792240262869,0.145619554362224,-1.39792240262869
"EIF2B3","Q9NR50",-0.51596755712734,0.0157119540951936,"Cancer Down",-0.354610210687365,1.03936852367111,0.125924797452923,0.0071482581310236,-1.39397873435847,0.00311447264710492,-1.39397873435848
"ANXA2","P07355",1.98448076554107,0.00023338615340201,"Cancer Up",0.6186993614402,-0.773728056050107,0.331319294551679,0.24213033308219,1.39242741749031,0.13314010607813,1.39242741749031
"ETHE1","O95571",-0.449936563242719,0.0330046168486773,"Cancer Down",-0.32208027219275,1.06585556280358,0.255061282983077,0.0002555085769335,-1.38793583499633,0.00104478390314283,-1.38793583499633
"TSFM","P43897",-0.888633196709916,0.00451343505997073,"Cancer Down",-0.225324345945875,1.15501038052956,0.55858514448707,0.0259715734081398,-1.38033472647543,0.0348961534686087,-1.38033472647543
"PFKM","P08237",-0.817640450608607,0.0241975181888407,"Cancer Down",-0.218375443538353,1.15986430466143,0.627027419329257,0.0174632974215381,-1.37823974819978,0.0396860460888367,-1.37823974819978
"STMN1","P16949",0.762158988084252,0.0435837317675221,"Cancer Up",0.297622794219969,-1.07471214676981,0.492565704257567,0.0235966565530051,1.37233494098978,0.0363707553568307,1.37233494098978
"SNU13","P55769",-0.718997707256049,0.026922654834703,"Cancer Down",-0.335965578119358,1.03532681262063,0.370932103086605,0.0477302159599589,-1.37129239073999,0.0364592938877884,-1.37129239073999
"RHOC","P08134",0.688895343636288,0.0297349752183822,"Cancer Up",1.0250296113957,-0.344536146758212,0.00283027897717475,0.41344019568063,1.36956575815391,0.0140917800721851,1.36956575815391
"TMOD3","Q9NYL9",1.8701414194808,0.0213367355166846,"Cancer Up",1.13242951251484,-0.234423078837503,0.0153283175698888,0.582226744129846,1.36685259135234,0.0337390959970084,1.36685259135234
"CALM1","P0DP23",0.893527600391721,0.00706557741504803,"Cancer Up",0.396722687964825,-0.960050498918225,0.334387859575406,0.0291158133146116,1.35677318688305,0.0267959624006534,1.35677318688305
"CKMT2","P17540",-0.787877982888187,0.0384335187088535,"Cancer Down",-0.187502664441716,1.16412894377635,0.682047137893552,0.0190658234048769,-1.35163160821806,0.0471673773468087,-1.35163160821807
"ANXA1","P04083",2.60862047775176,4.1990163252509e-05,"Cancer Up",0.589493372436049,-0.758938564949915,0.419757304935904,0.316937683253207,1.34843193738596,0.203486091030213,1.34843193738596
"CAVIN1","Q6NZI2",1.57556692531774,0.00076439622479972,"Cancer Up",0.200601775864431,-1.14620784110249,0.718390028420766,0.0537360876044727,1.34680961696693,0.100037785404397,1.34680961696692
"FDXR","P22570",-0.757522148889734,0.0200371699977048,"Cancer Down",-0.276731008523445,1.05720788038746,0.455243242169619,0.0269206327770396,-1.3339388889109,0.0298292427295299,-1.33393888891091
"CTNNA1","P35221",0.755461195099667,0.00289621047069927,"Cancer Up",0.171592241398194,-1.16135105807825,0.511957171028558,0.00127401029704105,1.33294329947644,0.0036861880543125,1.33294329947644
"DYNC1LI2","O43237",1.44203163091146,0.00070868860063704,"Cancer Up",0.244023103896708,-1.07807047948247,0.520826639586504,0.0285913445007847,1.32209358337918,0.0362762815149704,1.32209358337918
"ANXA5","P08758",1.46941086498685,0.00147965430422844,"Cancer Up",0.451386767908939,-0.870660279477903,0.413300135217909,0.132658927349595,1.32204704738684,0.101874381714354,1.32204704738684
"NDRG1","Q92597",1.93256650164384,0.00136597612679695,"Cancer Up",0.496282863914985,-0.824086328284654,0.192466290005186,0.0534198293455627,1.32036919219964,0.024535699842859,1.32036919219964
"LHPP","Q9H008",1.06786565459421,0.00633479688597487,"Cancer Up",-0.728851031399659,0.588239267993622,0.0979938707729903,0.15292818141669,-1.31709029939328,0.0323471825166287,-1.31709029939328
"S100A11","P31949",2.2610384983305,0.0001033939313531,"Cancer Up",0.624815986218099,-0.688867315922707,0.266328639732519,0.249550925610382,1.31368330214081,0.113543953106056,1.31368330214081
"RPL14","P50914",0.750797439772747,0.0169589780046454,"Cancer Up",0.778527379017184,-0.533353571511917,0.0495000416128372,0.232713918453577,1.3118809505291,0.0333464322465424,1.3118809505291
"MXRA7","P84157",0.773648728839976,0.0301038747735536,"Cancer Up",0.560556880559449,-0.737020913678066,0.175755221185637,0.149816629836879,1.29757779423752,0.0529390731925224,1.29757779423751
"TXLNB","Q8N3L3",-0.901832676434577,0.0247538166848496,"Cancer Down",-0.78418497642468,0.512888469533959,0.111922166848286,0.337898336379206,-1.29707344595864,0.0787929665133048,-1.29707344595864
"ABLIM2","Q6H8Q1",0.727332369393478,0.0386133694353191,"Cancer Up",1.28164491163128,2.57193244780733,0.0441283259773446,0.00516643028391495,-1.29028753617605,0.165155309636118,-1.29028753617605
"THBS4","P35443",2.77140399329707,0.0216101423262987,"Cancer Up",1.30600180861154,0.0180696795231832,0.130827544288087,0.97996994663459,1.28793212908836,0.252059760087964,1.28793212908836
"S100A13","Q99584",0.663185722469926,0.0310120336836968,"Cancer Up",1.20346759201519,-0.0814202362902527,0.00245824368088798,0.829923049031598,1.28488782830544,0.0200789211780112,1.28488782830544
"AKR1C2","P52895",1.76612679967435,0.00134558459405481,"Cancer Up",0.145660407397692,-1.1380934603138,0.780687810774376,0.040287983256013,1.28375386771149,0.094253053310597,1.28375386771149
"SERPINA1","P01009",2.65807545688809,3.27046403343967e-05,"Cancer Up",0.505890912187432,-0.776061166982981,0.484067536655278,0.301986601705471,1.28195207917041,0.221912773988925,1.28195207917041
"LANCL2","Q9NS86",-0.632602327103818,0.00950551738576715,"Cancer Down",-0.80890250206668,0.472815280166966,0.0148202716203178,0.247762354050576,-1.28171778223365,0.0186317339270418,-1.28171778223365
"APOD","P05090",1.75034365520834,0.00023790000590896,"Cancer Up",0.798948306212885,-0.478986956815568,0.145349134157531,0.393057289522984,1.27793526302845,0.107017708144186,1.27793526302845
"PIP4K2B","P78356",-0.770032814338281,0.00102413243301597,"Cancer Down",-0.420470231261932,0.854688318835523,0.121247846558153,0.0163548738028237,-1.27515855009745,0.00601925241096763,-1.27515855009745
"CORO1C","Q9ULV4",1.91209154614287,0.0035514279771265,"Cancer Up",0.748976469491403,-0.519828369377795,0.124212084256549,0.345576745640729,1.2688048388692,0.0893616166725269,1.2688048388692
"CD36","P16671",1.40770136616339,0.00329285181874544,"Cancer Up",0.20410673960809,-1.06094746458516,0.723185182688437,0.0828192357059675,1.26505420419325,0.1342860518973,1.26505420419325
"SEPTIN10","Q9P0V9",0.841000085549595,0.00552124319860342,"Cancer Up",0.164744390269854,-1.09312296653528,0.607563540650519,0.0708016292243387,1.25786735680513,0.0698630191470134,1.25786735680513
"DCN","P07585",2.0651358513575,0.00069620351338253,"Cancer Up",0.721993411725013,-0.529576273866329,0.319858312463091,0.47884802026181,1.25156968559134,0.232584594531895,1.25156968559134
"THY1","P04216",2.51103952579949,1.98606625057233e-05,"Cancer Up",1.58028707301824,0.331692529693402,0.00641446153284727,0.535058907127222,1.24859454332484,0.107971701701093,1.24859454332484
"ADH1B","P00325",1.65485513194933,0.00251448657085697,"Cancer Up",-0.0172613936681287,-1.26528813478441,0.97864264469426,0.0656986305605142,1.24802674111628,0.185344867132984,1.24802674111628
"PLIN1","O60240",4.14169219789768,0.00010162906904725,"Cancer Up",-0.192927371121463,-1.43700186941368,0.856471485133139,0.181692696578527,1.24407449829222,0.410576755066067,1.24407449829222
"BZW2","Q9Y6E2",-1.00067156876377,0.0108674268101508,"Cancer Down",-0.176565212351342,1.06256954958602,0.721828224774435,0.0447317156990866,-1.23913476193736,0.089730883215168,-1.23913476193736
"PPIA","P62937",1.23034750445697,0.00078586209206477,"Cancer Up",0.404786082321365,-0.831741942759699,0.348892747048505,0.0686992705002397,1.23652802508106,0.0525764888790579,1.23652802508106
"LAMC1","P11047",1.22670976741433,0.00917355267630999,"Cancer Up",0.496861204139766,-0.73895292794516,0.405370734933279,0.252678055151954,1.23581413208493,0.164188099138575,1.23581413208493
"IGKC","P01834",3.45422150096751,7.93858085374956e-07,"Cancer Up",0.503705804168622,-0.725755232850865,0.49837966699571,0.347616532151253,1.22946103701949,0.254317467461394,1.22946103701949
"CYBRD1","Q53TN4",1.93800631733075,0.00338045964681548,"Cancer Up",0.482272574096179,-0.746874469951521,0.424472325710669,0.184617441326209,1.2291470440477,0.140638230741888,1.2291470440477
"LAMB2","P55268",1.30486502865024,0.00935681712326836,"Cancer Up",0.688022410078947,-0.533987815495131,0.246418633989433,0.435455154508844,1.22201022557408,0.181345070707335,1.22201022557408
"GSN","P06396",1.53119611995653,0.00015129992891386,"Cancer Up",0.697584307617781,-0.521216181775234,0.135369290410648,0.276486109194792,1.21880048939301,0.0723350740370927,1.21880048939301
"ALDH5A1","P51649",-0.87812382118879,0.00366908887840887,"Cancer Down",-0.260056086660281,0.956877567033526,0.471696036631489,0.0147246672231778,-1.21693365369381,0.024543525798145,-1.21693365369381
"SPARC","P09486",2.42115287408016,3.93805320211274e-05,"Cancer Up",0.61185744775451,-0.604161975013099,0.17728941852225,0.138706403183837,1.21601942276761,0.0510428115123912,1.21601942276761
"HP","P00738",3.27947770867247,8.81712121753526e-06,"Cancer Up",0.639197289152737,-0.576164375252226,0.426715484354709,0.488126282448451,1.21536166440496,0.295582212630496,1.21536166440496
"OXSM","Q9NWU1",-0.616093949706414,0.0111674708126359,"Cancer Down",-0.38243913033126,0.832259051105925,0.20752008896983,0.0680475105056174,-1.21469818143719,0.0303328500539445,-1.21469818143719
"NCLN","Q969V3",0.796220099766913,0.00834350084018719,"Cancer Up",-0.455925956149546,0.758147383574716,0.258706348624681,0.202302842928601,-1.21407333972426,0.101455534568549,-1.21407333972426
"FABP5","Q01469",0.74161541574448,0.0110296168365519,"Cancer Up",0.430491439596949,-0.779934862664906,0.23715758637201,0.0432607478992416,1.21042630226185,0.0252741385141804,1.21042630226186
"ARRB1","P49407",1.53416361192679,0.00220660383825509,"Cancer Up",0.48997703685761,-0.719055540247201,0.26548071187892,0.188210566735932,1.20903257710481,0.090269194803198,1.20903257710481
"SNCG","O76070",2.34119286442652,0.00158822217170629,"Cancer Up",0.267471692629528,-0.940959425472688,0.677130840964351,0.184898250503488,1.20843111810222,0.209215349826529,1.20843111810222
"CTSZ","Q9UBR2",0.873198535416336,0.00286145190596307,"Cancer Up",0.571752618271642,-0.633536340915068,0.0956912311048891,0.0986305885577117,1.20528895918671,0.0222083385299576,1.20528895918671
"MT-ND4","P03905",-1.21438718152546,0.00887091453133043,"Cancer Down",-0.352790225858275,0.852396702059814,0.537526747387628,0.241802925931176,-1.20518692791809,0.196860231777404,-1.20518692791809
"ARFIP1","P53367",0.970631393374017,0.00260841843736955,"Cancer Up",0.353320554342135,-0.850029697614811,0.330859614169106,0.113496044060838,1.20335025195695,0.0710309137715219,1.20335025195695
"ASAH1","Q13510",0.776329305054723,0.0124160207927385,"Cancer Up",-0.0268295784124604,-1.22978220962836,0.944014006875596,0.0038736292376735,1.2029526312159,0.0353334805839414,1.2029526312159
"ARHGDIB","P52566",1.01789645616007,0.0107758555843908,"Cancer Up",0.458718646850638,-0.723476080574176,0.309892884282881,0.120358872658586,1.18219472742481,0.0727691535575179,1.18219472742481
"APOBEC2","Q9Y235",-0.953743986910798,0.0239218693201928,"Cancer Down",-0.573817219827284,0.601501293642404,0.256129325442231,0.262832210481257,-1.17531851346969,0.115021432309195,-1.17531851346969
"LGALS3","P17931",1.31194366276352,0.00136501040613258,"Cancer Up",0.510034944622856,-0.646899671803641,0.300758440187291,0.206749720315746,1.1569346164265,0.107525236411516,1.1569346164265
"CAT","P04040",2.83923717796864,3.21202209182339e-07,"Cancer Up",0.215468472851587,-0.940231125080025,0.709009072067884,0.122842770300826,1.15569959793161,0.170724899069214,1.15569959793161
"EPS15","P42566",1.08966382422759,0.0334255972212743,"Cancer Up",0.45972824994503,-0.695843822493245,0.0929497475906442,0.0715039754734638,1.15557207243828,0.0192256422990483,1.15557207243827
"HSP90B1","P14625",0.781622365790913,0.00545085254432686,"Cancer Up",0.565403889484507,-0.585569149336258,0.105917584756886,0.10562843835864,1.15097303882077,0.0251575398903853,1.15097303882077
"MYO6","Q9UM54",-1.55615361356475,3.37526557561479e-05,"Cancer Down",0.0297789328254972,1.17521802035598,0.94277605896963,0.00988202707347673,-1.14543908753048,0.0627522217495966,-1.14543908753048
"MYH10","P35580",1.75687723292394,0.0159982340451203,"Cancer Up",0.491725377079796,-0.65270904579203,0.157672201304995,0.0817390361877714,1.14443442287183,0.0292834382425574,1.14443442287183
"CA2","P00918",1.83649618159424,6.82407003882802e-05,"Cancer Up",0.155153950257414,-0.984137541905792,0.768575940189955,0.0790051284092497,1.13929149216321,0.140456810295339,1.13929149216321
"CTBP1","Q13363",-0.42943263059087,0.0452859222751197,"Cancer Down",0.0279464273992396,1.16698177900923,0.911946873957567,0.00875770128511603,-1.13903535160999,0.0257842844259855,-1.13903535160999
"LPCAT3","Q6P1A2",-1.55123393461878,0.00180853829787558,"Cancer Down",0.334665968234543,1.46400730909968,0.457519288069528,0.0297725475854449,-1.12934134086514,0.151404490194529,-1.12934134086514
"YAP1","P46937",1.99598538005602,0.0003608774747879,"Cancer Up",0.187036350832104,-0.941849753719161,0.732305219074835,0.22374316855824,1.12888610455127,0.237761198485447,1.12888610455127
"FECH","P22830",-0.610215244112712,0.0303146462288632,"Cancer Down",-0.392390373831102,0.734793636018523,0.262781360755725,0.0452449642466231,-1.12718400984962,0.0293900547520606,-1.12718400984962
