"pathway","database","contrast","NES","padj","sig_label"
"HALLMARK_MYC_TARGETS_V1","Hallmark","Baseline_Supplement",0.845634662493113,0.922417796419744,""
"HALLMARK_MYC_TARGETS_V1","Hallmark","Training_CRE",1.66714652664837,0.0190451015014317,"*"
"HALLMARK_MYC_TARGETS_V1","Hallmark","Training_PLA",1.26846681051218,0.194539153240914,""
"HALLMARK_MYC_TARGETS_V1","Hallmark","Supplement_Interaction",0.691948178042998,0.986013986013986,""
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Cancer_vs_Healthy",1.7581934730014,0.0102301431378052,"*"
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Training_CR",1.12102273961351,0.603208921256259,""
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Baseline_Supplement",-1.46531518351148,0.0929965556831228,""
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Training_CRE",1.81385234594452,0.0241979110059766,"*"
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Training_PLA",-0.690392435270977,0.998076586815877,""
"GOSLIM_CILIUM_ORGANIZATION","GOSlim","Supplement_Interaction",1.71506443243811,0.0245327102803738,"*"
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Cancer_vs_Healthy",1.53879227846778,0.0624913494809689,""
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Training_CR",1.37861629791095,0.274474691313452,""
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Baseline_Supplement",-1.51378006073898,0.100504282398143,""
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Training_CRE",1.75640110814249,0.0368439842913245,"*"
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Training_PLA",-0.728918821206041,0.90368202877347,""
"HALLMARK_MITOTIC_SPINDLE","Hallmark","Supplement_Interaction",1.25334114011685,0.334554462354337,""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Cancer_vs_Healthy",2.23653721719609,3.7165618452364e-06,"***"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Training_CR",1.45960308611834,0.171481744062389,""
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Baseline_Supplement",-2.68913411875255,2.12735582166467e-09,"***"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","Hallmark","Training_CRE",2.3489576951287,7.54606640315733e-07,"***"
