"pathway","database","size","NES_Training_CRE","NES_Training_PLA","padj_Training_CRE","padj_Training_PLA","sig_cat"
"GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT","GO:BP",68,-1.71350834097524,0.797889017506001,0.0485773168115011,0.950969281927736,"Tr.(CRE) only"
"GOBP_POSITIVE_REGULATION_OF_HYDROLASE_ACTIVITY","GO:BP",27,1.84322102848209,-1.3137351452666,0.0497850750953305,0.385389840041587,"Tr.(CRE) only"
"GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE","GO:BP",25,1.88662764237741,-1.22468704642465,0.0555044335325367,0.470808678500986,"NS"
"GOBP_DEPHOSPHORYLATION","GO:BP",29,-1.81032903837054,1.99094642384594,0.0711971638961201,0.0279329759157173,"Tr.(PLA) only"
"GOBP_NEGATIVE_REGULATION_OF_ACTIN_FILAMENT_POLYMERIZATION","GO:BP",23,1.8685327944988,-1.56789213197499,0.0711971638961201,0.212097576614141,"NS"
"GOBP_ENDOTHELIAL_CELL_PROLIFERATION","GO:BP",25,1.80434375243104,-1.27157476495415,0.10789313904068,0.423049234717831,"NS"
"GOBP_GRANULOCYTE_CHEMOTAXIS","GO:BP",21,1.80528917664392,-1.15150577419851,0.123142141783243,0.570648197938616,"NS"
"GOBP_PLATELET_AGGREGATION","GO:BP",25,1.76735613283348,-1.87745280197836,0.123142141783243,0.0744614799442859,"NS"
"GOBP_ACTIN_NUCLEATION","GO:BP",19,1.75260831243896,-1.24975942425499,0.14918425790323,0.456188306757783,"NS"
"GOBP_CELL_CELL_JUNCTION_ASSEMBLY","GO:BP",25,1.72674191302837,-1.68131323790553,0.151984262743756,0.137151499248048,"NS"
"GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT","GO:BP",71,-1.61546784786381,-0.773335943831405,0.151984262743756,0.97038954828869,"NS"
"GOBP_POLYOL_METABOLIC_PROCESS","GO:BP",23,-1.7736467822342,0.772230102357919,0.154708285933183,0.932700897366957,"NS"
"GOBP_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION","GO:BP",16,1.73770047698667,-1.06209757160842,0.154757443484411,0.689318541275418,"NS"
"GOBP_CEREBELLAR_CORTEX_DEVELOPMENT","GO:BP",10,1.76666915526671,0.842222170402092,0.154757443484411,0.877905208888695,"NS"
"GOBP_FIBROBLAST_MIGRATION","GO:BP",20,1.73306737096388,-1.45153882694586,0.154757443484411,0.292880967955853,"NS"
"GOBP_RESPONSE_TO_ESTRADIOL","GO:BP",23,1.7262212347021,-2.32889171320934,0.154757443484411,0.000753055286517878,"Tr.(PLA) only"
"GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS","GO:BP",11,-1.77108442266338,-1.23249325465645,0.159726234960258,0.51534939407661,"NS"
"GOBP_CALCIUM_MEDIATED_SIGNALING","GO:BP",44,-1.62704262914127,1.45310064748886,0.164871689449536,0.243909320924553,"NS"
"GOBP_CHOLESTEROL_EFFLUX","GO:BP",16,1.7105527485645,-1.57875840319402,0.164871689449536,0.220581933422139,"NS"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION","GO:BP",29,1.70599725153774,-1.72095675365737,0.164871689449536,0.107263317050477,"NS"
"GOBP_REGULATION_OF_T_CELL_ACTIVATION","GO:BP",47,1.64858302484534,-1.41415553002002,0.164871689449536,0.268474853897978,"NS"
"GOBP_NEUTROPHIL_CHEMOTAXIS","GO:BP",17,1.70927888451919,-1.4001255992949,0.170105000723263,0.336083915380631,"NS"
"GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS","GO:BP",26,1.70068540319702,-1.77546341718038,0.170105000723263,0.0972472106341894,"NS"
"GOBP_REGULATION_OF_STEROL_TRANSPORT","GO:BP",15,1.71449906382779,-1.81325212573784,0.171211099335196,0.0997667856838296,"NS"
"GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING","GO:BP",12,1.7300542076368,-1.06915417263226,0.179525276823148,0.689500783523618,"NS"
"GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE","GO:BP",16,1.69344400604826,-1.43446521906883,0.18218962469598,0.308126343899269,"NS"
"GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION","GO:BP",15,1.69341695732873,-1.7039267277154,0.187611876550675,0.13862463882322,"NS"
"GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM","GO:BP",15,1.67807642160636,-1.10357426213406,0.191236196893131,0.638921312879014,"NS"
"GOBP_SPERMATID_DIFFERENTIATION","GO:BP",21,-1.69842511374386,0.984913842675993,0.19161026665852,0.759650273051382,"NS"
"GOBP_AMP_BIOSYNTHETIC_PROCESS","GO:BP",11,-1.71719204671587,1.30136164394713,0.195375898402906,0.435357549043176,"NS"
"GOBP_HETEROTYPIC_CELL_CELL_ADHESION","GO:BP",10,1.69628837946669,-1.65844933251608,0.195375898402906,0.190526246897545,"NS"
"GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GO:BP",19,1.67204741848824,-1.75232448853632,0.195375898402906,0.102050113895216,"NS"
"GOBP_RECEPTOR_RECYCLING","GO:BP",11,1.69647086647229,-1.11015219886492,0.196092407902271,0.642200398997121,"NS"
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","GO:BP",17,-1.69350043819331,1.70793637422679,0.197960317779018,0.143530384456387,"NS"
"GOBP_MEMBRANE_INVAGINATION","GO:BP",13,1.67810272919945,-1.95688212858496,0.200737090328867,0.0549520153645049,"NS"
"GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GO:BP",12,1.6832552887352,-1.4993945961136,0.202299635701275,0.287415301186041,"NS"
"GOBP_SUBSTANTIA_NIGRA_DEVELOPMENT","GO:BP",25,1.63406423537771,-1.0225442328663,0.202299635701275,0.719920612318596,"NS"
"GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS","GO:BP",18,1.65657703658894,-1.05625891249497,0.206104747331364,0.69387053378467,"NS"
"GOBP_HOMOTYPIC_CELL_CELL_ADHESION","GO:BP",30,1.63676264270711,-1.41765026787529,0.207213060136598,0.293522117683991,"NS"
"GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS","GO:BP",37,-1.58104906952688,-1.07463839737565,0.219692309547933,0.657485210674057,"NS"
"GOBP_PLATELET_ACTIVATION","GO:BP",32,1.61027387774349,-1.80897809502903,0.224573990159516,0.0649463766364372,"NS"
"GOBP_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GO:BP",17,-1.6621069513296,0.885244709429036,0.224573990159516,0.845235816447563,"NS"
"GOBP_TRANSLATIONAL_INITIATION","GO:BP",58,-1.48665283735214,1.75139647494515,0.225008416680819,0.0744614799442859,"NS"
"GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING","GO:BP",12,-1.66005843083121,1.63036085102882,0.225184104820199,0.184850904869757,"NS"
"GOBP_MESODERM_DEVELOPMENT","GO:BP",10,-1.66103696529541,0.973393396719066,0.225184104820199,0.772311964428241,"NS"
"GOBP_NEGATIVE_REGULATION_OF_RNA_SPLICING","GO:BP",10,1.65368973215425,-1.02218843781058,0.225184104820199,0.727320275673906,"NS"
"GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM","GO:BP",22,1.61204957225374,-1.00564188087502,0.225184104820199,0.73987201079714,"NS"
"GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT","GO:BP",59,-1.47989435925153,-0.729743842623175,0.225184104820199,0.980374550781456,"NS"
"GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION","GO:BP",19,-1.65671765828732,1.68531303684538,0.226479612658822,0.14043526361128,"NS"
"GOBP_MIDBRAIN_DEVELOPMENT","GO:BP",28,1.60236500985457,-0.891521641806615,0.230189866390318,0.852435731861499,"NS"
"GOBP_NEGATIVE_REGULATION_OF_MRNA_METABOLIC_PROCESS","GO:BP",29,1.61060985164427,-0.69097403049026,0.231564184115205,0.977904115357447,"NS"
"GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY","GO:BP",11,1.63170048739257,-1.60477415818966,0.236828700540213,0.220581933422139,"NS"
"GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:BP",44,1.53601232402511,-1.22724639676715,0.236828700540213,0.431809736157562,"NS"
"GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY","GO:BP",27,1.60184303677688,-1.93141871187814,0.237610046746467,0.0576413199630682,"NS"
"GOBP_DNA_BIOSYNTHETIC_PROCESS","GO:BP",22,1.59121450469041,-1.05112833543663,0.238870284697892,0.691497267244073,"NS"
"GOBP_PEPTIDE_CROSS_LINKING","GO:BP",10,1.62848519543569,-1.35619747408887,0.241092240351595,0.388865940959983,"NS"
"GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION","GO:BP",56,-1.46754843532492,1.74255419485587,0.241922308948993,0.0649463766364372,"NS"
"GOBP_POLYOL_BIOSYNTHETIC_PROCESS","GO:BP",14,-1.64124135675154,-0.890983121187648,0.241922308948993,0.840867992766727,"NS"
"GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE","GO:BP",11,-1.64131445336973,0.772067640236533,0.244507153185276,0.920535762112209,"NS"
"GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS","GO:BP",16,1.61521141617595,-1.7242144279531,0.244530577268301,0.132123411978221,"NS"
"GOBP_INTERLEUKIN_8_PRODUCTION","GO:BP",16,1.6114409024291,-1.83430808865148,0.245382178539518,0.0900181488203267,"NS"
"GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:BP",40,1.53639636293823,-1.3029190998474,0.245382178539518,0.369289429685609,"NS"
"GOBP_NEGATIVE_REGULATION_OF_VASCULATURE_DEVELOPMENT","GO:BP",20,1.58482545194552,-1.1816966082654,0.254100583892732,0.53753008423586,"NS"
"GOBP_QUINONE_METABOLIC_PROCESS","GO:BP",11,-1.63311350024546,1.76979800855619,0.254100583892732,0.0983056675272813,"NS"
"GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS","GO:BP",16,1.60208206839748,-0.938123661185342,0.254100583892732,0.801933418663689,"NS"
"GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION","GO:BP",25,1.57079786454214,-1.71945005659732,0.259291576081634,0.124101307189542,"NS"
"GOBP_REGULATION_OF_CELL_MORPHOGENESIS","GO:BP",44,1.51430207537907,-1.83649811754908,0.25938245540772,0.0549520153645049,"NS"
"GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION","GO:BP",19,1.58824209349821,-1.63089002656584,0.263626949478268,0.176559724109102,"NS"
"GOBP_ANTIMICROBIAL_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_ANTIMICROBIAL_PEPTIDE","GO:BP",13,1.60984859980526,-0.959168251029855,0.263678733256984,0.781662492384756,"NS"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION","GO:BP",10,1.59466645578924,-1.17231342568692,0.272992189112766,0.577093360068207,"NS"
"GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE","GO:BP",14,1.59039666745529,-0.943659013288496,0.272992189112766,0.789842581759255,"NS"
"GOBP_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS","GO:BP",26,1.55716400129554,-1.37386586035314,0.274779903447451,0.328737899437248,"NS"
"GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS","GO:BP",21,-1.5711103439808,0.911218939538771,0.275870697197003,0.831755050505051,"NS"
"GOBP_STEM_CELL_DIFFERENTIATION","GO:BP",30,-1.51607739543722,-0.904153022977741,0.279179377070214,0.843248930365605,"NS"
"GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS","GO:BP",32,-1.51663835712752,-1.79556757250185,0.286962675874686,0.0679158306582735,"NS"
"GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT","GO:BP",91,-1.3877082478883,-0.821312734949708,0.287115305035965,0.951806121788649,"NS"
"GOBP_MEIOTIC_CELL_CYCLE_PROCESS","GO:BP",13,1.5719808481467,-0.52610335499303,0.293853132612444,0.999195369204614,"NS"
"GOBP_DEFENSE_RESPONSE_TO_GRAM_NEGATIVE_BACTERIUM","GO:BP",14,1.56376095705854,-0.745435150619488,0.296795233001879,0.939002106329485,"NS"
"GOBP_POSITIVE_REGULATION_OF_LIPID_LOCALIZATION","GO:BP",22,1.53043814331821,-1.85972569450374,0.296795233001879,0.0789940423073131,"NS"
"GOBP_UBIQUINONE_METABOLIC_PROCESS","GO:BP",10,-1.58193273455023,1.7898575982574,0.296795233001879,0.0972472106341894,"NS"
"GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_PROLIFERATION","GO:BP",15,1.56321763700769,-1.34861026590739,0.300693007622315,0.385682633445821,"NS"
"GOBP_KETONE_BIOSYNTHETIC_PROCESS","GO:BP",16,-1.54919343739277,1.48006986699515,0.305171863309167,0.285653111717313,"NS"
"GOBP_PROTEIN_N_LINKED_GLYCOSYLATION","GO:BP",13,1.55900921197813,0.831206620537235,0.305171863309167,0.887866265321215,"NS"
"GOBP_REGULATION_OF_DNA_REPAIR","GO:BP",31,-1.48404140391209,1.12110366481365,0.305171863309167,0.603837783572184,"NS"
"GOBP_IMP_METABOLIC_PROCESS","GO:BP",15,-1.56210561039969,1.19956906507237,0.306861713037813,0.538417734390889,"NS"
"GOBP_ODONTOGENESIS","GO:BP",12,1.53734322238552,-1.82169069192494,0.306861713037813,0.0983056675272813,"NS"
"GOBP_COMPLEMENT_ACTIVATION_CLASSICAL_PATHWAY","GO:BP",19,1.52752867565964,-0.704465189461113,0.308103203802095,0.966189665316403,"NS"
"GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING","GO:BP",20,1.5312866249221,-1.16083510694706,0.310841742284474,0.564850266026019,"NS"
"GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT","GO:BP",33,1.47579190502788,-1.244155820982,0.315083255999245,0.431809736157562,"NS"
"GOBP_RECEPTOR_METABOLIC_PROCESS","GO:BP",15,1.53539351169991,-0.898813277919681,0.315815714269987,0.832270134902449,"NS"
"GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN","GO:BP",20,1.52219710265671,-0.835530095076637,0.316621507873604,0.894481573067615,"NS"
"GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS","GO:BP",15,1.52961655848747,-1.51698866531567,0.318230659025788,0.264948236991101,"NS"
"GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX","GO:BP",10,1.54526438608365,-1.54963108831833,0.318230659025788,0.268474853897978,"NS"
"GOBP_PURINE_NUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS","GO:BP",14,-1.53059084904883,1.05128889679979,0.321294232858794,0.700439988106395,"NS"
"GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION","GO:BP",21,1.50418971916895,-0.891044593291556,0.32265950403341,0.847895693481286,"NS"
"GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY","GO:BP",20,1.50414172400571,-1.25780595656588,0.334277546038572,0.445884217529309,"NS"
"GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE","GO:BP",52,1.41802091379943,-1.21769907144835,0.336743898228817,0.445884217529309,"NS"
"GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION","GO:BP",11,-1.5364132072142,1.61200761330902,0.338645649962047,0.209287250189729,"NS"
"GOBP_REGULATION_OF_FIBROBLAST_MIGRATION","GO:BP",12,1.50350716482125,-1.19632841837131,0.339959158058892,0.549059756556841,"NS"
"GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS","GO:BP",12,1.49935327424729,-0.914727750908215,0.345051521480228,0.821220744030404,"NS"
"GOBP_ARTERY_DEVELOPMENT","GO:BP",14,1.5039819700602,-1.18369016141962,0.346416352336213,0.548063756236294,"NS"
"GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY","GO:BP",23,1.48686763222547,-0.559236783429563,0.346416352336213,0.999195369204614,"NS"
"GOBP_REGULATION_OF_EMBRYONIC_DEVELOPMENT","GO:BP",11,1.51431062683544,-0.845999450254814,0.348046226208146,0.869873573851372,"NS"
"GOBP_POSITIVE_REGULATION_OF_SMOOTH_MUSCLE_CELL_PROLIFERATION","GO:BP",10,1.51479356875622,0.899661317055279,0.350009101691492,0.828826418643536,"NS"
"GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION","GO:BP",15,-1.50848711587007,1.5381543882564,0.351965045515953,0.238386902427589,"NS"
"GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING","GO:BP",13,1.49493591285279,-1.27767798104138,0.352333132651013,0.447157271392211,"NS"
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GO:BP",31,1.44432581606296,-1.12508157043879,0.354168583080367,0.580421168687982,"NS"
"GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:BP",17,1.48314057966635,-1.34607374042126,0.354168583080367,0.37993265993266,"NS"
"GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS","GO:BP",10,-1.51234771785601,-0.760036554299101,0.354168583080367,0.921025798432119,"NS"
"GOBP_TELOMERE_ORGANIZATION","GO:BP",37,1.43178186789698,0.693198532718145,0.355817798963945,0.97596712418865,"NS"
"GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE","GO:BP",13,1.48927478213775,1.06695383926245,0.356432466043305,0.692270917799781,"NS"
"GOBP_SPHINGOLIPID_BIOSYNTHETIC_PROCESS","GO:BP",10,-1.5057285441992,0.990857447623274,0.359164039130083,0.75636187767517,"NS"
"GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY","GO:BP",15,1.4787694706172,-1.07336373677388,0.363873145429136,0.672969060087258,"NS"
"GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING","GO:BP",15,1.48016412365312,-1.72157783449868,0.363873145429136,0.131672372258146,"NS"
"GOBP_SMOOTH_MUSCLE_CELL_PROLIFERATION","GO:BP",26,1.45557918064635,1.23543258180687,0.36472625163695,0.469489175957058,"NS"
"GOBP_REGULATION_OF_CELL_SHAPE","GO:BP",30,1.43610318443133,-2.00064101686988,0.36564513361697,0.0298888778884082,"Tr.(PLA) only"
"GOBP_T_CELL_MEDIATED_CYTOTOXICITY","GO:BP",12,1.47809963849856,-1.93625540920368,0.36564513361697,0.0794865912687166,"NS"
"GOBP_GMP_BIOSYNTHETIC_PROCESS","GO:BP",10,-1.48705208453681,0.73763613302641,0.371009993269697,0.93568120528079,"NS"
"GOBP_TISSUE_REMODELING","GO:BP",18,1.45783196543809,-0.742512091906839,0.371009993269697,0.950963713510694,"NS"
"GOBP_APICAL_JUNCTION_ASSEMBLY","GO:BP",14,1.46649568498903,-1.47487699021046,0.377428985878031,0.289008683774027,"NS"
"GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT","GO:BP",10,1.47687604750584,-0.763336278847433,0.377428985878031,0.920535762112209,"NS"
"GOBP_INTERLEUKIN_6_PRODUCTION","GO:BP",16,1.46051945763528,-1.49572629232388,0.377428985878031,0.27233353982868,"NS"
"GOBP_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS","GO:BP",26,-1.41388308845497,-1.42165807643274,0.377428985878031,0.292880967955853,"NS"
"GOBP_POSITIVE_REGULATION_OF_NON_CANONICAL_NF_KAPPAB_SIGNAL_TRANSDUCTION","GO:BP",11,1.47321094595436,-0.963762820354806,0.377428985878031,0.778858447402266,"NS"
"GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE","GO:BP",20,1.4477222752703,-0.939919615267324,0.377428985878031,0.79999953318977,"NS"
"GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","GO:BP",13,1.45607774138138,-1.34208237093061,0.381557789093756,0.388865940959983,"NS"
"GOBP_ACTIN_FILAMENT_SEVERING","GO:BP",10,1.46471050151126,-0.800543991592957,0.387841926334644,0.905859407121535,"NS"
"GOBP_MACROPHAGE_ACTIVATION","GO:BP",14,1.44989006935965,-0.796258398967874,0.387841926334644,0.918485384125152,"NS"
"GOBP_POSITIVE_REGULATION_OF_HORMONE_SECRETION","GO:BP",25,-1.40795324293982,0.825468946897265,0.387841926334644,0.90642440946013,"NS"
"GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT","GO:BP",15,1.45252452839358,-1.71418437408456,0.387841926334644,0.137151499248048,"NS"
"GOBP_POSITIVE_REGULATION_OF_TRANSPORTER_ACTIVITY","GO:BP",14,-1.45144952063807,-0.799637603084297,0.387841926334644,0.913866156198209,"NS"
"GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA","GO:BP",44,1.37516766535864,-0.744702400688401,0.387841926334644,0.966431820193744,"NS"
"GOBP_POSITIVE_REGULATION_OF_INSULIN_SECRETION","GO:BP",23,-1.41550482696253,0.743473926236082,0.390754221596507,0.950969281927736,"NS"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","GO:BP",14,1.44316500601414,-1.25990650741858,0.393919830747751,0.45943378301349,"NS"
"GOBP_PEPTIDYL_TYROSINE_MODIFICATION","GO:BP",13,1.43838622517744,1.26578671193605,0.394926469353367,0.471874310174388,"NS"
"GOBP_ENDOCYTIC_RECYCLING","GO:BP",25,1.41893563831964,-1.42546016677578,0.395592163846839,0.292880967955853,"NS"
"GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY","GO:BP",50,1.35502762922572,-0.806265540842036,0.395592163846839,0.93883343116833,"NS"
"GOBP_STEROL_TRANSPORT","GO:BP",29,1.39637363288536,-1.42734394197318,0.395592163846839,0.290080157885271,"NS"
"GOBP_POSITIVE_REGULATION_OF_PROTEIN_UBIQUITINATION","GO:BP",26,-1.38546751011781,-0.548334794690016,0.399389195906819,0.999461400359066,"NS"
"GOBP_MUSCLE_CELL_PROLIFERATION","GO:BP",36,1.37230659859638,0.958050213720948,0.402499794086154,0.787428929074997,"NS"
"GOBP_REGULATION_OF_LIPID_LOCALIZATION","GO:BP",39,1.36437321202809,-1.33579959488152,0.409069981583794,0.340725392540775,"NS"
"GOBP_SPROUTING_ANGIOGENESIS","GO:BP",20,1.4028892945162,-1.27952459515297,0.409069981583794,0.428741524535655,"NS"
"GOBP_POSITIVE_REGULATION_OF_PEPTIDE_SECRETION","GO:BP",25,-1.3751945500861,0.729431686257038,0.411607847587996,0.958740503872554,"NS"
"GOBP_BIOMINERAL_TISSUE_DEVELOPMENT","GO:BP",12,1.41738216784256,-1.0907106754558,0.41239613770547,0.663510731816519,"NS"
"GOBP_CARDIAC_MUSCLE_CONTRACTION","GO:BP",51,-1.293147193885,1.36157590144945,0.41239613770547,0.305952152791087,"NS"
"GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GO:BP",52,-1.30531657984797,1.34982211698819,0.41239613770547,0.306273644975928,"NS"
"GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION","GO:BP",11,1.4277418609664,-0.877982706816946,0.41239613770547,0.846178774795102,"NS"
"GOBP_REGULATION_OF_HEART_CONTRACTION","GO:BP",52,-1.30641141589073,0.960380135666919,0.41239613770547,0.789842581759255,"NS"
"GOBP_T_CELL_MEDIATED_IMMUNITY","GO:BP",21,1.39355507653844,-1.5915779502348,0.41239613770547,0.192505078141193,"NS"
"GOBP_PURINE_RIBONUCLEOSIDE_METABOLIC_PROCESS","GO:BP",10,1.4247338974488,0.717874751276406,0.412672974004207,0.949528353838747,"NS"
"GOBP_RIBONUCLEOSIDE_METABOLIC_PROCESS","GO:BP",10,1.4247338974488,0.717874751276406,0.412672974004207,0.949528353838747,"NS"
"GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION","GO:BP",28,-1.35990349633983,1.35717786992485,0.415826369498902,0.347206453651555,"NS"
"GOBP_NEGATIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT","GO:BP",10,1.42208108559671,-1.46501840594364,0.415826369498902,0.31735680589947,"NS"
"GOBP_COMPLEMENT_ACTIVATION","GO:BP",27,1.37419431312146,-0.785051702458092,0.416965581257322,0.932700897366957,"NS"
"GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION","GO:BP",30,-1.35731495877458,1.489899117574,0.416965581257322,0.238920393001415,"NS"
