"pathway","database","size","NES_Cancer_vs_Healthy","NES_Training_CR","padj_Cancer_vs_Healthy","padj_Training_CR","sig_cat"
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GO:BP",25,1.87338626595677,-1.08653529983378,0.00929155576570268,0.987684035646262,"CR vs H only"
"GOBP_TRIGLYCERIDE_METABOLIC_PROCESS","GO:BP",20,1.90147134473223,-0.84599450709833,0.0101529534716941,1,"CR vs H only"
"GOBP_UBIQUINONE_METABOLIC_PROCESS","GO:BP",10,-1.96520802070361,1.06134091103216,0.0103493045166936,1,"CR vs H only"
"GOBP_LIPID_LOCALIZATION","GO:BP",85,1.70065240260275,0.892816427249255,0.0104717822052991,1,"CR vs H only"
"GOBP_EMBRYONIC_ORGAN_MORPHOGENESIS","GO:BP",16,1.88422159529395,-1.06958969997555,0.0108703811232187,1,"CR vs H only"
"GOBP_REGULATION_OF_CELL_PROJECTION_ASSEMBLY","GO:BP",38,1.8492039740976,-0.919013853375758,0.0114971489913202,1,"CR vs H only"
"GOBP_ACYL_COA_METABOLIC_PROCESS","GO:BP",44,-1.80332933113182,0.835891360540477,0.0129220930339925,1,"CR vs H only"
"GOBP_POSITIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS","GO:BP",12,1.85637980454119,0.82609158858165,0.0164218206730498,1,"CR vs H only"
"GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY","GO:BP",11,1.86565088011504,0.731439119864647,0.0171370738313062,1,"CR vs H only"
"GOBP_T_CELL_MEDIATED_IMMUNITY","GO:BP",21,1.86291925294499,-0.990739077078547,0.0211939030012431,1,"CR vs H only"
"GOBP_TISSUE_REMODELING","GO:BP",18,1.911233435493,1.08903515279702,0.0212865400459556,0.993241779530139,"CR vs H only"
"GOBP_HETEROTYPIC_CELL_CELL_ADHESION","GO:BP",10,1.85418226189887,0.753731715727623,0.0233364419578783,1,"CR vs H only"
"GOBP_SHORT_CHAIN_FATTY_ACID_METABOLIC_PROCESS","GO:BP",10,-1.8490147291505,0.596106210900686,0.023890015127487,1,"CR vs H only"
"GOBP_PHOSPHOLIPID_TRANSPORT","GO:BP",15,1.84570340357476,-1.15083336310087,0.0241694885383754,0.957149206196861,"CR vs H only"
"GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ORGANIZATION","GO:BP",12,1.82766505548573,1.24119005874322,0.0247716719875109,0.894028328863077,"CR vs H only"
"GOBP_RETINA_DEVELOPMENT_IN_CAMERA_TYPE_EYE","GO:BP",16,1.8508332205103,-0.973608589369623,0.0250800338381409,1,"CR vs H only"
"GOBP_CYTOPLASMIC_TRANSLATIONAL_INITIATION","GO:BP",28,-1.76680619356852,0.981380226852238,0.0275755084021135,1,"CR vs H only"
"GOBP_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS","GO:BP",19,1.82069097451684,-0.730959589584511,0.0278393566015363,1,"CR vs H only"
"GOBP_POSITIVE_REGULATION_BY_HOST_OF_VIRAL_PROCESS","GO:BP",10,1.8110121539585,-1.0232377126955,0.0287718475463938,1,"CR vs H only"
"GOBP_RESPONSE_TO_ACTIVITY","GO:BP",27,1.76383877059803,-1.31761171704541,0.0306678782371649,0.803285622184819,"CR vs H only"
"GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT","GO:BP",13,1.80687162763486,0.660726819909464,0.0312810732180378,1,"CR vs H only"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","GO:BP",24,1.76430057335965,0.837503335545887,0.0329934700423874,1,"CR vs H only"
"GOBP_RECEPTOR_CLUSTERING","GO:BP",12,1.77458599941108,0.860945188368964,0.0354130906218406,1,"CR vs H only"
"GOBP_T_CELL_MEDIATED_CYTOTOXICITY","GO:BP",12,1.76102385278586,-1.09101681871867,0.0385291246339082,0.99108773732984,"CR vs H only"
"GOBP_MITOCHONDRION_LOCALIZATION","GO:BP",14,-1.84925062691884,0.774831964108791,0.0391711609423787,1,"CR vs H only"
"GOBP_T_CELL_MIGRATION","GO:BP",14,1.75917920630615,-1.37951993920674,0.0395916755964131,0.782189084999288,"CR vs H only"
"GOBP_DIGESTION","GO:BP",15,1.77347035539622,-0.747054664503755,0.0410173041751989,1,"CR vs H only"
"GOBP_MULTICELLULAR_ORGANISMAL_LEVEL_CHEMICAL_HOMEOSTASIS","GO:BP",13,1.77262625698457,0.668420414405377,0.0414895186962846,1,"CR vs H only"
"GOBP_NUCLEIC_ACID_CATABOLIC_PROCESS","GO:BP",62,-1.59675828622663,1.11979390872958,0.0456035252030698,0.957265676855895,"CR vs H only"
"GOBP_TISSUE_REGENERATION","GO:BP",16,1.74612332138627,-0.708662577568358,0.0460221144072123,1,"CR vs H only"
"GOBP_NUCLEOBASE_METABOLIC_PROCESS","GO:BP",19,1.72078117837487,0.846190117513825,0.0497588707720112,1,"CR vs H only"
"GOBP_INTRACELLULAR_IRON_ION_HOMEOSTASIS","GO:BP",21,1.7238224948507,1.14903146889125,0.0511520145387422,0.957265676855895,"NS"
"GOBP_MODULATION_BY_HOST_OF_VIRAL_PROCESS","GO:BP",15,1.727238257747,-1.29987942887763,0.0515482369787005,0.828122854967739,"NS"
"GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_IMMUNITY","GO:BP",13,1.73448368372531,0.610183731530878,0.0516189327030327,1,"NS"
"GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION","GO:BP",31,1.66971256040259,0.851008715841996,0.0535313944089433,1,"NS"
"GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE","GO:BP",16,1.71519202295891,-0.753199921652268,0.0535667233264274,1,"NS"
"GOBP_REGULATION_OF_BLOOD_PRESSURE","GO:BP",29,1.67372135443169,-1.29460808081532,0.0552233886619766,0.813100817501639,"NS"
"GOBP_MITOCHONDRIAL_DEPOLARIZATION","GO:BP",12,1.71790382207196,0.900346203580789,0.0554569483879882,1,"NS"
"GOBP_PROTEIN_DEPOLYMERIZATION","GO:BP",36,1.6375985315099,0.825887450191414,0.0599489071813795,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT","GO:BP",30,1.66865370483215,0.809185123616362,0.0604413811385778,1,"NS"
"GOBP_MUSCLE_CELL_MIGRATION","GO:BP",14,1.70906921765385,-0.729220813644294,0.0609743188025321,1,"NS"
"GOBP_DIGESTIVE_SYSTEM_PROCESS","GO:BP",14,1.70593520858298,0.641575646676223,0.0616508981710957,1,"NS"
"GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS","GO:BP",26,1.65778366665379,-0.854426315451402,0.062169741697417,1,"NS"
"GOBP_REGULATION_OF_CELL_KILLING","GO:BP",16,1.67968977660886,-1.16679585497215,0.0639255550498154,0.937121012776657,"NS"
"GOBP_NEPHRON_EPITHELIUM_DEVELOPMENT","GO:BP",12,1.68119601068806,0.823666056057555,0.0678790827808528,1,"NS"
"GOBP_REGULATION_OF_FIBROBLAST_MIGRATION","GO:BP",12,1.6778849841699,0.741780410326123,0.0692213879687483,1,"NS"
"GOBP_IRON_ION_TRANSPORT","GO:BP",15,1.67601011135207,1.67040123600778,0.0723919861522905,0.307415490884279,"NS"
"GOBP_ENDOCRINE_PROCESS","GO:BP",12,1.67031060802114,-0.787339143922214,0.0726114985796079,1,"NS"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN","GO:BP",19,1.65960592600558,-0.913663272770377,0.0742872300529604,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY","GO:BP",10,1.68494131798429,1.23796540831107,0.0762376842454337,0.909554618244209,"NS"
"GOBP_MYELOID_LEUKOCYTE_ACTIVATION","GO:BP",30,1.62276569801092,0.9821999837876,0.0776639750889137,1,"NS"
"GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS","GO:BP",16,-1.71276351659726,1.23898434326507,0.0780896203976786,0.893084579550119,"NS"
"GOBP_TRANSITION_METAL_ION_TRANSPORT","GO:BP",18,1.65042852274899,1.72297896200374,0.0784326937654768,0.280659240497454,"NS"
"GOBP_NEGATIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS","GO:BP",17,1.65325503684754,-0.986071076020118,0.0804577404468293,1,"NS"
"GOBP_REGULATION_OF_T_CELL_MIGRATION","GO:BP",10,1.67512140933372,-1.60142014996762,0.0806222314925103,0.541564499561804,"NS"
"GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY","GO:BP",21,1.63420679446727,0.739793657467888,0.0832635078692765,1,"NS"
"GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION","GO:BP",19,1.63443209548275,0.793542089275823,0.085398773006135,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GO:BP",18,1.63707789782179,0.562243333089092,0.085398773006135,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_MIGRATION","GO:BP",12,1.6449110384141,0.67180373329529,0.0872292227992352,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION","GO:BP",14,1.63436904052168,0.507404869604631,0.0876134462302895,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_SECRETION","GO:BP",23,1.62277455851395,-1.05863441172923,0.0883308118180057,1,"NS"
"GOBP_PROTEIN_NEDDYLATION","GO:BP",17,-1.6864186311356,0.972038087169067,0.088582433170669,1,"NS"
"GOBP_POSTSYNAPSE_ORGANIZATION","GO:BP",38,1.56459362965543,-0.856307054783432,0.0899195572588248,1,"NS"
"GOBP_LUNG_MORPHOGENESIS","GO:BP",15,1.63253368776389,-0.649692624893488,0.0909699883933013,1,"NS"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN","GO:BP",12,1.63861224016639,-0.93669893760805,0.0924503399104626,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS","GO:BP",22,1.61233147615659,-0.939269224984473,0.0924503399104626,1,"NS"
"GOBP_REGULATION_OF_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION","GO:BP",10,1.64507150673235,-1.18782239287082,0.0924503399104626,0.933894296516773,"NS"
"GOBP_VIRAL_TRANSLATION","GO:BP",12,-1.69932843541367,1.01057726221831,0.0939680851706616,1,"NS"
"GOBP_KERATINOCYTE_DIFFERENTIATION","GO:BP",18,1.61906921036636,-0.963933313432972,0.0945472184860979,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_GTPASE_ACTIVITY","GO:BP",15,1.62341867715059,0.650351467594042,0.0958425443913571,1,"NS"
"GOBP_CORTICAL_ACTIN_CYTOSKELETON_ORGANIZATION","GO:BP",15,1.62064469749745,0.944873061824563,0.0963090514337052,1,"NS"
"GOBP_PROTEIN_METHYLATION","GO:BP",16,-1.66799068347593,0.927208248695078,0.0967625217526146,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT","GO:BP",14,1.62184034229468,0.962569050611563,0.096861148619819,1,"NS"
"GOBP_REGULATION_OF_GTPASE_ACTIVITY","GO:BP",23,1.60688832011846,-1.1192651189822,0.0992750253057205,0.958981962304543,"NS"
"GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_CYTOCHROME_C_TO_OXYGEN","GO:BP",13,-1.68197268837934,1.69582665462279,0.0993175548134166,0.280659240497454,"NS"
"GOBP_KETONE_BIOSYNTHETIC_PROCESS","GO:BP",16,-1.66243653668698,0.698840007595484,0.0993772092240364,1,"NS"
"GOBP_EPIDERMIS_DEVELOPMENT","GO:BP",39,1.53993439921194,-0.941914664186998,0.10244114102049,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_ACTIVATION","GO:BP",13,1.6152615493192,-0.885682961981051,0.10464735163358,1,"NS"
"GOBP_MITOCHONDRIAL_FISSION","GO:BP",12,-1.6721272965173,1.47655802378088,0.108401196179675,0.688275580551524,"NS"
"GOBP_MACROPHAGE_MIGRATION","GO:BP",11,1.6145687175509,-0.841904256205273,0.109081040004342,1,"NS"
"GOBP_REGULATION_OF_RECEPTOR_INTERNALIZATION","GO:BP",11,1.61525437771814,-0.775002812569871,0.109081040004342,1,"NS"
"GOBP_STRESS_FIBER_ASSEMBLY","GO:BP",29,1.55456929536142,0.62604217591752,0.109081040004342,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION","GO:BP",23,1.58501137278786,0.848939160335592,0.109879693388571,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE","GO:BP",15,1.59020570278198,-0.958183553416521,0.110180956918828,1,"NS"
"GOBP_ACETYL_COA_METABOLIC_PROCESS","GO:BP",21,-1.63600287853371,0.698356392611196,0.110222592654804,1,"NS"
"GOBP_REGULATION_OF_THE_FORCE_OF_HEART_CONTRACTION","GO:BP",14,-1.64264008187813,1.69121310592163,0.110222592654804,0.280659240497454,"NS"
"GOBP_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE_MEDIATED_BY_A_CHEMICAL_SIGNAL","GO:BP",11,1.6105184192496,-0.802132929550333,0.111467470954313,1,"NS"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II","GO:BP",11,1.60962669086489,-1.06176245345746,0.111876916557289,1,"NS"
"GOBP_NUCLEOSIDE_MONOPHOSPHATE_METABOLIC_PROCESS","GO:BP",31,1.5515461666293,-0.929836453799536,0.112917551481725,1,"NS"
"GOBP_PYRUVATE_METABOLIC_PROCESS","GO:BP",56,-1.45654042107661,1.09421466737607,0.113802240714053,0.972586330082651,"NS"
"GOBP_RESPONSE_TO_MUSCLE_ACTIVITY","GO:BP",12,1.59828559889643,-1.01262976065218,0.113802240714053,1,"NS"
"GOBP_NADH_METABOLIC_PROCESS","GO:BP",28,-1.53910815409166,-1.09750266164352,0.11432448712534,0.970802371629438,"NS"
"GOBP_PRESYNAPTIC_ENDOCYTOSIS","GO:BP",26,1.55574748875962,0.823063662214479,0.116098308152893,1,"NS"
"GOBP_PENTOSE_PHOSPHATE_SHUNT","GO:BP",10,1.59218907615925,-1.57560972623335,0.119493217454824,0.583160568052244,"NS"
"GOBP_MYELOID_CELL_DEVELOPMENT","GO:BP",13,1.57598161230206,-1.09254095483384,0.122430814943397,0.992138612915579,"NS"
"GOBP_LYMPHOCYTE_MIGRATION","GO:BP",16,1.56038644005065,-1.06356369545455,0.126907889389119,1,"NS"
"GOBP_INFLAMMATORY_RESPONSE_TO_ANTIGENIC_STIMULUS","GO:BP",13,1.56266305757091,-1.23424431167071,0.129875465231292,0.893084579550119,"NS"
"GOBP_ALDEHYDE_METABOLIC_PROCESS","GO:BP",31,1.5208004317328,-1.86974600701555,0.132446081881028,0.188546676484107,"NS"
"GOBP_ENSHEATHMENT_OF_NEURONS","GO:BP",31,1.52259755835151,-0.715375394102642,0.132446081881028,1,"NS"
"GOBP_NUCLEAR_TRANSPORT","GO:BP",83,1.4207644901359,-1.02375083814852,0.132446081881028,1,"NS"
"GOBP_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","GO:BP",30,1.51568659406002,0.655497931653936,0.132446081881028,1,"NS"
"GOBP_REGULATION_OF_GLUCONEOGENESIS","GO:BP",12,-1.6121118677376,1.2086329610233,0.132448132780083,0.912673459485687,"NS"
"GOBP_VESICLE_MEDIATED_TRANSPORT_TO_THE_PLASMA_MEMBRANE","GO:BP",37,1.49821626738819,-0.885321243712225,0.132664716743003,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS","GO:BP",10,1.56876776944704,-1.35795000212168,0.133456171809887,0.814455906564271,"NS"
"GOBP_PROTEIN_QUALITY_CONTROL_FOR_MISFOLDED_OR_INCOMPLETELY_SYNTHESIZED_PROTEINS","GO:BP",10,-1.60533937753002,1.59713102111518,0.134188727303789,0.431440270607086,"NS"
"GOBP_POSITIVE_REGULATION_OF_CELL_KILLING","GO:BP",11,1.5642995633441,-1.16401800301623,0.134200142798091,0.952634646436659,"NS"
"GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS","GO:BP",24,1.53664259941492,0.452391676713155,0.134334650033568,1,"NS"
"GOBP_REGULATED_EXOCYTOSIS","GO:BP",26,1.52401151306841,-1.20507344060903,0.135881016452086,0.884228943769608,"NS"
"GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM","GO:BP",10,1.56351263074545,-1.66112441694706,0.136733888646908,0.431440270607086,"NS"
"GOBP_CELLULAR_RESPONSE_TO_METAL_ION","GO:BP",40,1.48728698729076,0.957730797311541,0.136927660312961,1,"NS"
"GOBP_CELLULAR_COMPONENT_DISASSEMBLY","GO:BP",109,1.38829665612402,1.00330862054314,0.138446783391769,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_NF_KAPPAB_TRANSCRIPTION_FACTOR_ACTIVITY","GO:BP",20,1.53467603452797,0.908385397798458,0.140938981495642,1,"NS"
"GOBP_RECEPTOR_METABOLIC_PROCESS","GO:BP",15,1.53740049624716,0.722646932641186,0.144144144144144,1,"NS"
"GOBP_REGULATION_OF_PHOSPHORYLATION","GO:BP",80,1.4118277077371,0.961653457479399,0.144144144144144,1,"NS"
"GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","GO:BP",15,-1.56063569260243,0.560376426997375,0.145873976562733,1,"NS"
"GOBP_BONE_MINERALIZATION","GO:BP",10,1.54932219000222,-0.746386818286378,0.145873976562733,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION","GO:BP",15,1.53435323273266,-1.1928590973364,0.146352881862542,0.91096863908053,"NS"
"GOBP_REGULATION_OF_LYMPHOCYTE_MIGRATION","GO:BP",13,1.53179453963195,-1.21151633641761,0.146409534422771,0.91096863908053,"NS"
"GOBP_VIRAL_GENE_EXPRESSION","GO:BP",21,-1.53222741197359,0.957174973132184,0.147116863404255,1,"NS"
"GOBP_REGULATION_OF_TRANSPORTER_ACTIVITY","GO:BP",24,-1.5055437258739,-1.09305493136555,0.149871816129485,0.987684035646262,"NS"
"GOBP_AMYLOID_FIBRIL_FORMATION","GO:BP",20,1.5196977016934,-1.30477663670235,0.150222825193747,0.814455906564271,"NS"
"GOBP_NADPH_REGENERATION","GO:BP",14,1.52473354313735,-1.62023465414711,0.152011940180486,0.431440270607086,"NS"
"GOBP_PURINE_NUCLEOBASE_METABOLIC_PROCESS","GO:BP",11,1.53609843101014,-0.712843212353802,0.152011940180486,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT","GO:BP",19,1.51704931962058,-1.39296171023658,0.152379032766027,0.745775324906534,"NS"
"GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY","GO:BP",56,1.44123537696858,-0.946740379039439,0.153491689966465,1,"NS"
"GOBP_POSITIVE_REGULATION_OF_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GO:BP",17,1.50697074941652,-0.704917798421555,0.159369753162975,1,"NS"
"GOBP_BASEMENT_MEMBRANE_ORGANIZATION","GO:BP",15,1.51140682107585,-1.12187347443976,0.160304179417057,0.970802371629438,"NS"
"GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS","GO:BP",16,1.50670038441763,0.83185842454176,0.160304179417057,1,"NS"
"GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY","GO:BP",28,1.48076501196794,-1.16411558247406,0.163640105758118,0.91096863908053,"NS"
"GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION","GO:BP",24,1.48844660899787,-0.681676177082792,0.164766707632326,1,"NS"
"GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY","GO:BP",23,1.48468848864877,0.939546036249605,0.166815742663643,1,"NS"
"GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY","GO:BP",37,1.44586106415671,1.02403550476346,0.171444677148608,1,"NS"
"GOBP_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS","GO:BP",11,-1.54188414454662,1.16215998100797,0.172878102289867,0.958093308722804,"NS"
