method,contrast,criterion,n_up,n_down,n_total
rlr_mix_bpca_MinDet,Supplement_Interaction,nominal_p05,55,56,111
rlr_mix_bpca_MinDet,Supplement_Interaction,FDR_05,2,0,2
rlr_mix_bpca_MinDet,Supplement_Interaction,FDR_10,2,0,2
rlr_mix_bpca_MinDet,Supplement_Interaction,pi_score_05,38,53,91
cycloess_mix_bpca_MinProb,Training_CR,nominal_p05,176,146,322
cycloess_mix_bpca_MinProb,Training_CR,FDR_05,3,2,5
cycloess_mix_bpca_MinProb,Training_CR,FDR_10,23,14,37
cycloess_mix_bpca_MinProb,Training_CR,pi_score_05,61,30,91
cycloess_mix_bpca_MinProb,Cancer_vs_Healthy,nominal_p05,366,282,648
cycloess_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_05,268,175,443
cycloess_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_10,334,242,576
cycloess_mix_bpca_MinProb,Cancer_vs_Healthy,pi_score_05,86,5,91
cycloess_mix_bpca_MinProb,Supplement_Interaction,nominal_p05,52,59,111
cycloess_mix_bpca_MinProb,Supplement_Interaction,FDR_05,0,0,0
cycloess_mix_bpca_MinProb,Supplement_Interaction,FDR_10,0,0,0
cycloess_mix_bpca_MinProb,Supplement_Interaction,pi_score_05,42,49,91
vsn_mix_bpca_MinProb,Training_CR,nominal_p05,162,205,367
vsn_mix_bpca_MinProb,Training_CR,FDR_05,10,13,23
vsn_mix_bpca_MinProb,Training_CR,FDR_10,38,53,91
vsn_mix_bpca_MinProb,Training_CR,pi_score_05,53,38,91
vsn_mix_bpca_MinProb,Cancer_vs_Healthy,nominal_p05,325,355,680
vsn_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_05,246,227,473
vsn_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_10,298,305,603
vsn_mix_bpca_MinProb,Cancer_vs_Healthy,pi_score_05,85,6,91
vsn_mix_bpca_MinProb,Supplement_Interaction,nominal_p05,69,60,129
vsn_mix_bpca_MinProb,Supplement_Interaction,FDR_05,1,0,1
vsn_mix_bpca_MinProb,Supplement_Interaction,FDR_10,1,0,1
vsn_mix_bpca_MinProb,Supplement_Interaction,pi_score_05,49,42,91
rlr_mix_bpca_MinProb,Training_CR,nominal_p05,176,174,350
rlr_mix_bpca_MinProb,Training_CR,FDR_05,7,3,10
rlr_mix_bpca_MinProb,Training_CR,FDR_10,32,28,60
rlr_mix_bpca_MinProb,Training_CR,pi_score_05,57,34,91
rlr_mix_bpca_MinProb,Cancer_vs_Healthy,nominal_p05,326,345,671
rlr_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_05,239,214,453
rlr_mix_bpca_MinProb,Cancer_vs_Healthy,FDR_10,289,294,583
rlr_mix_bpca_MinProb,Cancer_vs_Healthy,pi_score_05,84,7,91
rlr_mix_bpca_MinProb,Supplement_Interaction,nominal_p05,55,57,112
rlr_mix_bpca_MinProb,Supplement_Interaction,FDR_05,0,1,1
rlr_mix_bpca_MinProb,Supplement_Interaction,FDR_10,3,2,5
rlr_mix_bpca_MinProb,Supplement_Interaction,pi_score_05,43,48,91
