gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
DTD1,-0.1233,0.2104,0.942038,0.724921,NS
PREB,-0.1192,0.2174,0.942067,0.716761,NS
TPI1,-0.0879,0.291,0.942799,0.635911,NS
UQCC2,-0.1129,0.2245,0.943292,0.707086,NS
DDX17,0.086,0.2941,0.943421,0.632869,NS
CCT6A,0.0841,0.2992,0.943717,0.627954,NS
NQO2,-0.1378,0.182,0.943905,0.758127,NS
NIPSNAP3B,-0.1609,0.1551,0.944148,0.791747,NS
CHMP4B,-0.1014,0.2447,0.944455,0.686613,NS
BAX,0.1586,0.1562,0.944548,0.790539,NS
NRBP1,-0.1269,0.1939,0.94492,0.747113,NS
SET,0.1033,0.2326,0.946165,0.699112,NS
PDK2,0.1565,0.153,0.946354,0.793027,NS
LYRM7,0.1243,0.1921,0.94648,0.748499,NS
PPP3CA,-0.0873,0.271,0.946948,0.657339,NS
YARS1,-0.0978,0.2416,0.947054,0.690149,NS
MTHFD1,0.0809,0.2911,0.947193,0.635911,NS
S100A1,0.1425,0.1653,0.947221,0.779142,NS
MTR,-0.1656,0.1405,0.947813,0.808689,NS
PSMC3,-0.0761,0.3052,0.947895,0.62148,NS
RO60,0.122,0.189,0.948282,0.750706,NS
AGMAT,0.1614,0.142,0.948572,0.806599,NS
EIF4A1,0.0954,0.2367,0.949342,0.695408,NS
PDZK1IP1,0.1729,0.1283,0.950235,0.825089,NS
SARNP,0.1279,0.1724,0.950509,0.769438,NS
GMPPB,0.094,0.2343,0.950546,0.697356,NS
ECHDC3,0.1269,0.1735,0.950548,0.768069,NS
TIGAR,0.1176,0.1872,0.950576,0.752434,NS
TMEM126A,-0.1258,0.1744,0.950756,0.766949,NS
TMPO,0.1138,0.1904,0.951358,0.749885,NS
VBP1,-0.0898,0.2378,0.952018,0.694518,NS
PPP2R1A,-0.0839,0.2529,0.952333,0.678487,NS
ANXA3,0.1042,0.2031,0.952433,0.735107,NS
PSMA6,-0.0998,0.2118,0.952509,0.724126,NS
DCAF6,-0.0905,0.2328,0.952667,0.699112,NS
ESD,0.0749,0.2796,0.952948,0.649865,NS
PDLIM5,-0.1335,0.1557,0.953259,0.791009,NS
GORASP2,0.0929,0.2222,0.953575,0.710231,NS
NIPSNAP3A,0.1239,0.1657,0.953843,0.778844,NS
ACP1,0.0817,0.2437,0.955172,0.687935,NS
UTRN,0.1102,0.1797,0.955439,0.760465,NS
TIMM10,-0.1364,0.1445,0.955623,0.803807,NS
PPIL1,-0.0936,0.2105,0.955631,0.724921,NS
PGP,-0.0977,0.2011,0.955791,0.737397,NS
RPS16,-0.0892,0.22,0.955805,0.713099,NS
HSP90AB1,-0.0724,0.271,0.955815,0.657339,NS
PDXP,0.1236,0.1562,0.956516,0.790539,NS
SMAP1,0.1015,0.1901,0.95654,0.749885,NS
DNM2,-0.0752,0.256,0.956623,0.675499,NS
SNX6,0.1133,0.1689,0.956895,0.775172,NS
PSMB6,-0.0827,0.2305,0.957058,0.700776,NS
