module_color,pathway,database,pval,padj,overlap,size,odds_ratio
turquoise,REACTOME_PROTEASOME_ASSEMBLY,Reactome,0.003765537681518423,0.018139364315271543,18,33,2.7302752293577983
turquoise,KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT,KEGG,0.0020764699743905973,0.018371499113842588,9,12,6.787330316742081
turquoise,KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION,KEGG,0.0028321451854282143,0.018371499113842588,17,30,2.9747504403992955
turquoise,KEGG_MEDICUS_REFERENCE_RETROGRADE_AXONAL_TRANSPORT,KEGG,0.005153037397636149,0.018371499113842588,8,11,6.024096385542169
turquoise,KEGG_MEDICUS_REFERENCE_RAB7_REGULATED_MICROTUBULE_MINUS_END_DIRECTED_TRANSPORT,KEGG,0.005511449734152776,0.018371499113842588,13,22,3.274658573596358
turquoise,GOBP_HOMEOSTASIS_OF_NUMBER_OF_CELLS,GO:BP,9.365103634823239e-4,0.01841036481760229,30,59,2.3751208507895587
turquoise,GOBP_VESICLE_ORGANIZATION,GO:BP,9.726308563608365e-4,0.01841036481760229,42,90,2.0208333333333335
turquoise,GOBP_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT,GO:BP,9.877354110754773e-4,0.01841036481760229,17,28,3.5203331020124913
turquoise,GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT,GO:BP,9.877354110754773e-4,0.01841036481760229,17,28,3.5203331020124913
turquoise,GOBP_ENDOSOMAL_TRANSPORT,GO:BP,9.887279541744261e-4,0.01841036481760229,37,77,2.1311417322834645
turquoise,REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS,Reactome,0.00398104428501747,0.018973487656253472,20,38,2.5306748466257667
turquoise,GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR,GO:BP,0.0010512300307256065,0.01932949218996709,20,35,3.042944785276074
turquoise,REACTOME_RECYCLING_PATHWAY_OF_L1,Reactome,0.0045098493749356865,0.021267500210223025,10,15,4.525679758308157
turquoise,GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,GO:BP,0.0011948297393445573,0.021434079836290774,22,40,2.792307692307692
turquoise,GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:BP,0.0012391984084338624,0.02144542186830837,19,33,3.094618245460512
turquoise,GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,GO:BP,0.0012391984084338624,0.02144542186830837,19,33,3.094618245460512
turquoise,GOBP_MESENCHYME_DEVELOPMENT,GO:BP,0.0012996015053095074,0.0219737220035665,15,24,3.7899543378995433
turquoise,REACTOME_MAPK6_MAPK4_SIGNALING,Reactome,0.004779447325785122,0.02200598030597068,19,36,2.5433744707683994
turquoise,REACTOME_MRNA_SPLICING,Reactome,0.004813808191931087,0.02200598030597068,23,46,2.280431432973806
turquoise,REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,Reactome,0.004813808191931087,0.02200598030597068,23,46,2.280431432973806
turquoise,REACTOME_TURBULENT_OSCILLATORY_DISTURBED_FLOW_SHEAR_STRESS_ACTIVATES_SIGNALING_BY_PIEZO1_AND_INTEGRINS_IN_ENDOTHELIAL_CELLS,Reactome,0.005153037397636149,0.02331879549637368,8,11,6.024096385542169
