pathway,pval,padj,foldEnrichment,overlap,size,database,odds_ratio,module,Description,geneID,Count,p.adjust,ID
GOBP_STRIATED_MUSCLE_CONTRACTION,1.644777797649664e-4,0.0135345827270884,1.7803184713375797,33,75,GO:BP,2.4707082833133254,blue,Striated Muscle Contraction,ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/BIN1/C12orf57/CACNA1S/CACNA2D1/CAMK2D/CASQ1/CASQ2/CSRP3/DMD/DTNA/GPD1L/HRC/JPH1/JPH2/JSRP1/MAP2K3/MAP2K6/MYH14/MYLK2/PGAM2/PLN/PRKACA/RCSD1/RYR1/SGCD/SNTA1/STAC3/TMEM38A,33,0.0135345827270884,GOBP_STRIATED_MUSCLE_CONTRACTION
GOBP_TORC1_SIGNALING,1.690414162417369e-4,0.0135345827270884,2.2928343949044585,17,30,GO:BP,4.066473624575098,blue,Torc1 Signaling,CASTOR2/CUL3/DEPTOR/LARS1/MAT2A/OTUB1/PRKAA1/PRKAA2/PRKACA/PRMT1/RPS6KA3/SAR1B/SEC13/SESN1/UBE2D1/UBE3A/USP7,17,0.0135345827270884,GOBP_TORC1_SIGNALING
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT,1.943603379109275e-4,0.014589172864438997,2.697452229299363,12,18,GO:BP,6.191558441558442,blue,Regulation Of Sodium Ion Transport,AHCYL1/ANK3/ATP1A1/ATP1B1/CAMK2D/CHP1/DMD/FXYD1/GPD1L/SLMAP/SNTA1/UTRN,12,0.014589172864438997,GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT
REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER,5.37321866497385e-4,0.016600480698268166,2.6181153990258523,11,17,Reactome,5.666396542409508,blue,DNA Damage Recognition In Gg Ner,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/CUL4A/CUL4B/DDB1/GPS1/PARP1,11,0.016600480698268166,REACTOME_DNA_DAMAGE_RECOGNITION_IN_GG_NER
GOBP_REGULATION_OF_BLOOD_CIRCULATION,2.9753128091114837e-4,0.01809835588042261,1.8516409370614269,27,59,GO:BP,2.6407549916805326,blue,Regulation Of Blood Circulation,ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/BIN1/CACNA2D1/CAMK2D/CASQ2/CSRP3/DMD/FXYD1/GPD1L/HRC/HSPB7/JPH1/JPH2/MAP2K1/PLN/PRKACA/SMTNL1/SNTA1/STUB1/TMEM38A,27,0.01809835588042261,GOBP_REGULATION_OF_BLOOD_CIRCULATION
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL,3.096061540591965e-4,0.01809835588042261,2.504777070063694,13,21,GO:BP,5.033536585365853,blue,Cardiac Muscle Cell Action Potential,ANK3/ATP1A1/ATP1A2/ATP1B1/ATP2A2/BIN1/CACNA2D1/CAMK2D/CASQ2/DMD/GPD1L/SLMAP/SNTA1,13,0.01809835588042261,GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL
GOBP_CARDIAC_CONDUCTION,3.164575133129682e-4,0.01809835588042261,2.3343336599706026,15,26,GO:BP,4.2310544268129915,blue,Cardiac Conduction,ATP1A1/ATP1A2/ATP1B1/ATP2A1/ATP2A2/ATP2A3/ATP2B1/ATP2B2/BIN1/CACNA2D1/CAMK2D/CASQ2/HRC/PLN/PRKACA,15,0.01809835588042261,GOBP_CARDIAC_CONDUCTION
REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER,7.614045949548165e-4,0.02114361990605298,2.265859872611465,14,25,Reactome,3.9425525614450696,blue,Global Genome Nucleotide Excision Repair Gg Ner,COPS2/COPS3/COPS4/COPS5/COPS6/COPS7A/CUL4A/CUL4B/DDB1/GPS1/PARP1/RPA1/RPA3/UBE2V2,14,0.02114361990605298,REACTOME_GLOBAL_GENOME_NUCLEOTIDE_EXCISION_REPAIR_GG_NER
GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION,5.325232463645279e-4,0.024545616889652285,1.8992265696087351,23,49,GO:BP,2.7591226954863317,blue,Regulation Of Microtubule Cytoskeleton Organization,CHMP1B/CHMP2A/CHMP6/CLASP2/CLIP1/DCTN1/EML2/FKBP4/GSK3B/MAP1S/MAPRE2/MAPRE3/MAPT/MECP2/PAFAH1B1/PPP2CA/PRKAA1/PRKAA2/PRUNE1/RPS3/TPPP/TRIM54/VPS4B,23,0.024545616889652285,GOBP_REGULATION_OF_MICROTUBULE_CYTOSKELETON_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING,5.37321866497385e-4,0.024545616889652285,2.6181153990258523,11,17,GO:BP,5.666396542409508,blue,Negative Regulation Of Torc1 Signaling,CASTOR2/DEPTOR/PRKAA1/PRKAA2/PRKACA/SAR1B/SEC13/SESN1/UBE2D1/UBE3A/USP7,11,0.024545616889652285,GOBP_NEGATIVE_REGULATION_OF_TORC1_SIGNALING
