gene,quadrant,sig_cat,pathway,logFC_Cancer_vs_Healthy,logFC_Training_CR
CLIC4,Concordant Up,CvH,Cytoskeleton & Motility,0.6417,0.2539
ANXA1,Concordant Up,CvH,DNA & Cell Cycle,2.434,0.1193
S100A11,Concordant Up,CvH,DNA & Cell Cycle,2.0999,0.1497
MYH10,Concordant Up,CvH,DNA & Cell Cycle,1.6546,0.0303
GPNMB,Concordant Up,CvH,DNA & Cell Cycle,1.6428,0.8207
TUBB6,Concordant Up,CvH,DNA & Cell Cycle,1.6338,8e-4
SPTBN1,Concordant Up,CvH,DNA & Cell Cycle,1.5811,0.0744
FLNA,Concordant Up,CvH,DNA & Cell Cycle,1.263,0.1286
PTMS,Concordant Up,CvH,DNA & Cell Cycle,0.9371,0.0881
MYH9,Concordant Up,CvH,DNA & Cell Cycle,0.8617,0.1666
IQGAP1,Concordant Up,CvH,DNA & Cell Cycle,0.8357,0.4406
TTLL12,Concordant Up,CvH,DNA & Cell Cycle,0.7663,0.0424
SEPTIN11,Concordant Up,CvH,DNA & Cell Cycle,0.6697,0.211
ACTR3,Concordant Up,CvH,DNA & Cell Cycle,0.6036,0.1956
ACTR2,Concordant Up,CvH,DNA & Cell Cycle,0.5962,0.1916
PRELP,Concordant Up,CvH,Development,2.5189,0.2424
TAGLN,Concordant Up,CvH,Development,2.3728,0.1313
OGN,Concordant Up,CvH,Development,1.9299,0.5247
CRIP2,Concordant Up,CvH,Development,1.54,0.1692
DDAH2,Concordant Up,CvH,Development,1.5024,0.0182
BGN,Concordant Up,CvH,Development,1.4844,0.7133
ASPN,Concordant Up,CvH,Development,1.4483,0.8303
MYL12B,Concordant Up,CvH,Development,0.7446,0.2263
COMP,Concordant Up,CvH,ECM & Adhesion,3.6044,0.0372
COL1A2,Concordant Up,CvH,ECM & Adhesion,2.7781,0.4375
THY1,Concordant Up,Both,ECM & Adhesion,2.4008,1.0753
SPARC,Concordant Up,CvH,ECM & Adhesion,2.2954,0.1503
SERPINF2,Concordant Up,CvH,ECM & Adhesion,2.1849,0.0973
FBLN1,Concordant Up,CvH,ECM & Adhesion,1.9354,0.2146
COL6A1,Concordant Up,CvH,ECM & Adhesion,1.8917,0.0993
LRG1,Concordant Up,CvH,ECM & Adhesion,1.8608,0.1681
LUM,Concordant Up,CvH,ECM & Adhesion,1.8171,0.3197
AEBP1,Concordant Up,CvH,ECM & Adhesion,1.7758,0.7853
LCP1,Concordant Up,CvH,ECM & Adhesion,1.7758,0.1436
ADD1,Concordant Up,CvH,ECM & Adhesion,1.7371,0.0849
CORO1C,Concordant Up,CvH,ECM & Adhesion,1.7286,0.3424
CD34,Concordant Up,CvH,ECM & Adhesion,1.6936,0.045
LGALS3BP,Concordant Up,CvH,ECM & Adhesion,1.6744,0.0938
CLIC1,Concordant Up,CvH,ECM & Adhesion,1.5694,0.0884
CNN2,Concordant Up,CvH,ECM & Adhesion,1.3494,0.1983
CNN3,Concordant Up,CvH,ECM & Adhesion,1.2504,0.3449
LAMB2,Concordant Up,CvH,ECM & Adhesion,1.2292,0.192
COL6A3,Concordant Up,CvH,ECM & Adhesion,1.2123,0.6351
NID1,Concordant Up,CvH,ECM & Adhesion,1.2012,0.0129
TGFBI,Concordant Up,CvH,ECM & Adhesion,1.1941,0.1331
CORO1B,Concordant Up,CvH,ECM & Adhesion,1.1899,0.1569
CTSG,Concordant Up,CvH,ECM & Adhesion,0.9987,0.6425
TNXB,Concordant Up,CvH,ECM & Adhesion,0.9907,0.4086
DBNL,Concordant Up,CvH,ECM & Adhesion,0.93,0.1399
YWHAZ,Concordant Up,CvH,ECM & Adhesion,0.8579,0.0575
LPP,Concordant Up,CvH,ECM & Adhesion,0.7303,0.115
CAST,Concordant Up,CvH,ECM & Adhesion,0.616,0.0038
APOL1,Concordant Up,CvH,Immune & Inflammation,2.9638,0.1593
PPBP,Concordant Up,CvH,Immune & Inflammation,2.8164,0.2124
FN1,Concordant Up,CvH,Immune & Inflammation,2.5662,0.0507
CD44,Concordant Up,CvH,Immune & Inflammation,1.7712,0.7346
CD58,Concordant Up,CvH,Immune & Inflammation,1.3528,0.0215
ZYX,Concordant Up,CvH,Immune & Inflammation,0.5306,0.0477
ACLY,Concordant Up,CvH,Lipid Metabolism,1.926,0.0729
SULT1A1,Concordant Up,CvH,Lipid Metabolism,1.2924,0.0665
ECHDC1,Concordant Up,CvH,Lipid Metabolism,0.7885,0.0823
DCN,Concordant Up,CvH,Mitochondria & Energy,1.8629,0.3304
VAT1,Concordant Up,CvH,Mitochondria & Energy,1.5271,0.1962
MARCKS,Concordant Up,CvH,Mitochondria & Energy,1.3805,0.1767
TMOD3,Concordant Up,CvH,Muscle & Contractile,1.763,0.5775
TPM4,Concordant Up,CvH,Muscle & Contractile,1.4733,0.3414
CNN1,Concordant Up,CvH,Muscle & Contractile,1.4255,0.4797
CALD1,Concordant Up,CvH,Muscle & Contractile,1.3596,0.4606
TMOD1,Concordant Up,CvH,Muscle & Contractile,1.222,0.2497
MYL9,Concordant Up,CvH,Muscle & Contractile,0.8092,0.4732
MYOZ1,Concordant Up,Tr.(CR),Muscle & Contractile,0.4609,1.3136
GYPC,Concordant Up,CvH,Other,0.9901,0.2927
GNG12,Concordant Up,CvH,Other,0.9578,0.0385
NUBP2,Concordant Up,CvH,Other,0.8492,0.6347
LRRC59,Concordant Up,CvH,Other,0.7687,0.3764
BOLA2,Concordant Up,CvH,Other,0.7244,0.1061
FTL,Concordant Up,Tr.(CR),Other,0.6608,1.8828
PBDC1,Concordant Up,Tr.(CR),Other,0.4126,0.9709
CLU,Concordant Up,CvH,Protein Homeostasis,3.0334,0.1291
THBS1,Concordant Up,CvH,Protein Homeostasis,2.6373,0.2439
HPR,Concordant Up,CvH,Protein Homeostasis,2.1732,0.1783
RCN3,Concordant Up,CvH,Protein Homeostasis,2.121,0.8169
FBXO7,Concordant Up,CvH,Protein Homeostasis,1.7214,0.3016
CLEC3B,Concordant Up,CvH,Protein Homeostasis,1.6677,0.4155
F13A1,Concordant Up,CvH,Protein Homeostasis,1.5272,0.3197
CAPG,Concordant Up,CvH,Protein Homeostasis,1.4803,0.635
SPTAN1,Concordant Up,CvH,Protein Homeostasis,1.4741,0.075
MUSTN1,Concordant Up,CvH,Protein Homeostasis,1.1201,0.4342
CST3,Concordant Up,CvH,Protein Homeostasis,1.0859,0.2233
PPIB,Concordant Up,CvH,Protein Homeostasis,1.056,0.2503
RAB1A,Concordant Up,CvH,Protein Homeostasis,1.0462,0.0674
KCTD12,Concordant Up,CvH,Protein Homeostasis,1.0347,0.1176
PDIA3,Concordant Up,CvH,Protein Homeostasis,0.9163,0.1461
STEAP4,Concordant Up,CvH,Protein Homeostasis,0.9077,0.4476
CTSZ,Concordant Up,CvH,Protein Homeostasis,0.7654,0.0899
HSP90B1,Concordant Up,CvH,Protein Homeostasis,0.7305,0.0651
DNAJB1,Concordant Up,CvH,Protein Homeostasis,0.7152,0.2385
PSMD9,Concordant Up,CvH,Protein Homeostasis,0.563,0.027
TBCA,Concordant Up,CvH,Protein Homeostasis,0.5576,0.0047
VIM,Concordant Up,CvH,Transcription & Chromatin,2.7301,0.2005
ANXA2,Concordant Up,CvH,Transcription & Chromatin,1.8988,0.0431
EFEMP1,Concordant Up,CvH,Transcription & Chromatin,1.6515,0.217
S100A10,Concordant Up,CvH,Transcription & Chromatin,1.539,0.2695
PTBP1,Concordant Up,CvH,Transcription & Chromatin,1.5359,0.2435
ACTB,Concordant Up,CvH,Transcription & Chromatin,1.4593,0.2171
LGALS3,Concordant Up,CvH,Transcription & Chromatin,1.22,0.0388
ANXA4,Concordant Up,CvH,Transcription & Chromatin,1.0049,0.2133
SH3BGRL,Concordant Up,CvH,Translation & Ribosome,1.8418,0.2707
RPL14,Concordant Up,CvH,Translation & Ribosome,0.8257,0.0486
RPL27A,Concordant Up,CvH,Translation & Ribosome,0.6727,0.1288
CYBRD1,Concordant Up,CvH,Transport,1.7897,0.0234
APOD,Concordant Up,CvH,Transport,1.769,0.1526
SFXN3,Concordant Up,CvH,Transport,1.7662,0.1382
LASP1,Concordant Up,CvH,Transport,1.7333,0.072
AZGP1,Concordant Up,CvH,Transport,1.723,0.0223
PEA15,Concordant Up,CvH,Transport,1.6053,0.1755
ACTN4,Concordant Up,CvH,Transport,1.5546,0.3315
ARHGAP1,Concordant Up,CvH,Transport,1.3198,0.2218
AP2A2,Concordant Up,CvH,Transport,1.1363,0.0925
PICALM,Concordant Up,CvH,Transport,1.0089,0.2915
AGFG1,Concordant Up,CvH,Transport,0.9642,0.1369
DPYSL2,Concordant Up,CvH,Transport,0.9392,0.1254
AP1B1,Concordant Up,CvH,Transport,0.8675,0.6735
NCLN,Concordant Up,CvH,Transport,0.8179,0.1314
UBE2O,Concordant Up,CvH,Transport,0.808,0.194
CLTC,Concordant Up,CvH,Transport,0.6825,0.1566
S100A13,Concordant Up,Tr.(CR),Transport,0.5179,0.7255
AP2B1,Concordant Up,CvH,Transport,0.4955,0.0659
DBT,Concordant Down,CvH,Amino Acid & Cofactor Metabolism,-0.818,-0.0501
MPC2,Concordant Down,CvH,Amino Acid & Cofactor Metabolism,-0.8569,-0.2344
ACAD8,Concordant Down,CvH,Amino Acid & Cofactor Metabolism,-0.9041,-0.293
LANCL2,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-0.6351,-0.1682
PFKL,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-0.7,-0.0219
SLC37A4,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-0.7618,-0.0032
ARPP19,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-0.7679,-0.2166
DMAC2L,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-0.8638,-0.0592
SDHD,Concordant Down,CvH,Carbohydrate & Energy Metabolism,-1.0092,-3e-4
PLN,Concordant Down,CvH,Circulatory System,-1.0908,-0.1151
SMTNL1,Concordant Down,CvH,Circulatory System,-1.1348,-0.4411
FYCO1,Concordant Down,CvH,Cytoskeleton & Motility,-0.6213,-0.0979
ADPRHL1,Concordant Down,CvH,Cytoskeleton & Motility,-1.0321,-0.0296
CLASP2,Concordant Down,CvH,DNA & Cell Cycle,-0.6229,-0.1478
KPNA1,Concordant Down,CvH,DNA & Cell Cycle,-0.672,-0.1232
ENDOG,Concordant Down,CvH,DNA & Cell Cycle,-0.7455,-0.2339
XPNPEP1,Concordant Down,CvH,Development,-0.599,-0.0599
PTER,Concordant Down,CvH,Development,-0.6445,-0.1123
DIABLO,Concordant Down,CvH,Development,-0.7204,-0.1411
AKAP1,Concordant Down,CvH,Immune & Inflammation,-0.6426,-0.1421
KYAT1,Concordant Down,Tr.(CR),Lipid Metabolism,-0.1406,-0.7365
IMPA2,Concordant Down,CvH,Lipid Metabolism,-0.7852,-0.1068
COQ3,Concordant Down,CvH,Lipid Metabolism,-0.9198,-0.0828
CACNB1,Concordant Down,CvH,Muscle & Contractile,-0.6826,-0.0636
RYR1,Concordant Down,CvH,Muscle & Contractile,-0.7014,-0.0898
JSRP1,Concordant Down,CvH,Muscle & Contractile,-0.8307,-0.095
PRKAR2A,Concordant Down,CvH,Other,-0.54,-0.0204
ISOC1,Concordant Down,CvH,Other,-0.6075,-0.1938
C11orf54,Concordant Down,CvH,Other,-0.6956,-0.0773
TXLNB,Concordant Down,CvH,Other,-0.9005,-0.135
ADPRH,Concordant Down,CvH,Other,-1.5589,-0.1408
PRMT1,Concordant Down,CvH,Transcription & Chromatin,-0.6298,-0.0691
NEK9,Concordant Down,CvH,Transcription & Chromatin,-0.6594,-0.2788
CAND2,Concordant Down,CvH,Transcription & Chromatin,-0.696,-0.1671
USO1,Concordant Down,CvH,Transport,-0.7177,-0.0013
STX4,Concordant Down,CvH,Transport,-0.7653,-0.4917
HBG2,Discordant,CvH,Amino Acid & Cofactor Metabolism,3.9358,-0.3296
MGST1,Discordant,CvH,Amino Acid & Cofactor Metabolism,3.1785,-0.5135
SLC2A1,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.8494,-0.1016
CAT,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.7986,-0.2923
S100A9,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.6709,-0.2349
RBP4,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.2264,-0.244
EPB41,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.1874,-0.2739
AKR1C1,Discordant,CvH,Amino Acid & Cofactor Metabolism,2.0501,-0.1708
PRDX2,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.9971,-0.2167
SOD3,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.764,-0.3842
AKR1C2,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.6863,-0.393
GPX3,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.6484,-0.2195
TYMP,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.459,-0.0763
GGT5,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.3662,-0.4684
FAH,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.3157,-0.3358
CD36,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.2644,-0.2579
CCS,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.2236,-0.2906
GCLC,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.221,-0.2188
BTD,Discordant,CvH,Amino Acid & Cofactor Metabolism,1.0728,-0.0223
CLIC2,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.9626,-0.0146
GCLM,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.9336,-0.0222
PDXK,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.839,-0.1228
LDHB,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.8169,-0.1998
TXN,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.672,-0.1702
GSS,Discordant,CvH,Amino Acid & Cofactor Metabolism,0.5211,-0.1547
ACOT9,Discordant,CvH,Amino Acid & Cofactor Metabolism,-0.599,0.2136
NNT,Discordant,CvH,Amino Acid & Cofactor Metabolism,-0.6277,0.2251
ALDH5A1,Discordant,CvH,Amino Acid & Cofactor Metabolism,-0.7432,0.2176
ATP1A2,Discordant,CvH,Amino Acid & Cofactor Metabolism,-0.785,0.0377
PDHX,Discordant,CvH,Amino Acid & Cofactor Metabolism,-0.8807,0.1794
LPCAT3,Discordant,CvH,Amino Acid & Cofactor Metabolism,-1.5605,0.8983
CAVIN3,Discordant,CvH,Carbohydrate & Energy Metabolism,2.811,-0.5832
PNP,Discordant,CvH,Carbohydrate & Energy Metabolism,2.7885,-0.0194
TKT,Discordant,CvH,Carbohydrate & Energy Metabolism,2.4232,-0.1708
BPGM,Discordant,CvH,Carbohydrate & Energy Metabolism,2.1045,-0.1524
FBN1,Discordant,CvH,Carbohydrate & Energy Metabolism,1.9893,-0.2451
HPRT1,Discordant,CvH,Carbohydrate & Energy Metabolism,1.666,-0.2588
G6PD,Discordant,CvH,Carbohydrate & Energy Metabolism,1.3056,-0.3419
MPP1,Discordant,CvH,Carbohydrate & Energy Metabolism,1.2964,-0.0322
PGD,Discordant,CvH,Carbohydrate & Energy Metabolism,1.1772,-0.1546
GUK1,Discordant,CvH,Carbohydrate & Energy Metabolism,1.0669,-0.141
GMPR2,Discordant,CvH,Carbohydrate & Energy Metabolism,0.9763,-0.4786
NME1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.9239,-0.2203
PYGL,Discordant,CvH,Carbohydrate & Energy Metabolism,0.8307,-0.379
ABHD14B,Discordant,CvH,Carbohydrate & Energy Metabolism,0.7772,-0.1035
TALDO1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.7729,-0.2679
GPD1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.7464,-0.3501
IDH1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.6768,-0.2476
CMPK1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.6206,-0.0821
PGAM1,Discordant,CvH,Carbohydrate & Energy Metabolism,0.6034,-0.2916
DLAT,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.5844,0.1667
ATP5PD,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.6336,0.2316
SLC35A4,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.6936,0.0207
FBP1,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.8488,0.4776
ALDH1B1,Discordant,Both,Carbohydrate & Energy Metabolism,-0.8578,0.6999
SLC25A11,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.8918,0.2226
AMPD3,Discordant,CvH,Carbohydrate & Energy Metabolism,-0.9029,0.1591
MT-ND3,Discordant,CvH,Carbohydrate & Energy Metabolism,-1.0566,0.2835
NDUFA4,Discordant,CvH,Carbohydrate & Energy Metabolism,-1.1154,0.1566
SDHC,Discordant,CvH,Carbohydrate & Energy Metabolism,-1.6832,0.1789
SRI,Discordant,CvH,Circulatory System,1.3987,-0.2218
ITGA1,Discordant,CvH,Circulatory System,1.1619,-0.299
SCN1B,Discordant,Tr.(CR),Circulatory System,0.2794,-0.7563
SLC16A1,Discordant,CvH,Circulatory System,-0.8084,0.4148
ANK1,Discordant,CvH,Cytoskeleton & Motility,2.6257,-0.1969
EHD2,Discordant,CvH,Cytoskeleton & Motility,1.7261,-0.2343
DYNC1LI2,Discordant,CvH,Cytoskeleton & Motility,1.3074,-0.2513
RAP1B,Discordant,CvH,Cytoskeleton & Motility,1.2814,-0.0647
EHD1,Discordant,CvH,Cytoskeleton & Motility,1.2553,-0.2138
AP3B1,Discordant,CvH,Cytoskeleton & Motility,1.2541,-0.1006
EPB41L2,Discordant,CvH,Cytoskeleton & Motility,1.1867,-0.0383
MAP1B,Discordant,Both,Cytoskeleton & Motility,1.1559,-0.777
SOD1,Discordant,CvH,Cytoskeleton & Motility,1.0552,-0.4036
RHOG,Discordant,CvH,Cytoskeleton & Motility,0.9784,-0.0234
ARHGDIB,Discordant,CvH,Cytoskeleton & Motility,0.9358,-0.0444
FLOT2,Discordant,CvH,Cytoskeleton & Motility,0.9169,-0.2197
CSPG4,Discordant,CvH,Cytoskeleton & Motility,0.9011,-0.1398
RRAS,Discordant,CvH,Cytoskeleton & Motility,0.8525,-0.379
ILK,Discordant,CvH,Cytoskeleton & Motility,0.7749,-0.0702
SORD,Discordant,CvH,Cytoskeleton & Motility,0.7742,-0.5199
DSTN,Discordant,CvH,Cytoskeleton & Motility,0.756,-0.0209
CTNNA1,Discordant,CvH,Cytoskeleton & Motility,0.6869,-0.4225
ITGB1,Discordant,CvH,Cytoskeleton & Motility,0.684,-0.145
KRT19,Discordant,Tr.(CR),Cytoskeleton & Motility,0.5696,-1.1726
SYNJ2BP,Discordant,CvH,Cytoskeleton & Motility,-0.6071,0.2943
MAPT,Discordant,CvH,Cytoskeleton & Motility,-0.7387,0.2262
SYNE2,Discordant,CvH,Cytoskeleton & Motility,-0.7598,0.3005
CLIP2,Discordant,CvH,Cytoskeleton & Motility,-0.7844,0.0564
TUBB2B,Discordant,Both,DNA & Cell Cycle,2.6616,-1.3614
TUBA1C,Discordant,CvH,DNA & Cell Cycle,2.257,-0.3177
TNKS1BP1,Discordant,CvH,DNA & Cell Cycle,1.9252,-0.3182
TUBB4A,Discordant,CvH,DNA & Cell Cycle,1.6803,-0.9463
CAV2,Discordant,CvH,DNA & Cell Cycle,1.5126,-0.0034
GNAI1,Discordant,CvH,DNA & Cell Cycle,1.3088,-0.0296
SAMHD1,Discordant,CvH,DNA & Cell Cycle,1.2775,-0.2235
RANBP1,Discordant,CvH,DNA & Cell Cycle,0.9656,-0.0774
HNRNPA2B1,Discordant,CvH,DNA & Cell Cycle,0.9144,-0.054
ARF1,Discordant,CvH,DNA & Cell Cycle,0.8727,-0.0924
PTPA,Discordant,CvH,DNA & Cell Cycle,0.8345,-0.4283
SEPTIN10,Discordant,CvH,DNA & Cell Cycle,0.8044,-0.4183
CALM1,Discordant,CvH,DNA & Cell Cycle,0.771,-0.1213
HNRNPA1,Discordant,CvH,DNA & Cell Cycle,0.7638,-0.1067
TUBB,Discordant,CvH,DNA & Cell Cycle,0.7502,-0.0642
SDCBP,Discordant,CvH,DNA & Cell Cycle,0.736,-0.2174
CFL1,Discordant,CvH,DNA & Cell Cycle,0.6458,-0.0953
RPS3,Discordant,CvH,DNA & Cell Cycle,-0.4808,0.1995
DYNC1LI1,Discordant,CvH,DNA & Cell Cycle,-0.5361,0.1322
EML1,Discordant,CvH,DNA & Cell Cycle,-0.7345,0.0492
MYH14,Discordant,CvH,DNA & Cell Cycle,-1.0193,0.0719
ANK3,Discordant,CvH,DNA & Cell Cycle,-1.0496,0.1222
S100A4,Discordant,CvH,Development,2.2061,-0.1028
BLVRB,Discordant,CvH,Development,1.6815,-0.3754
GNB1,Discordant,CvH,Development,1.0843,-0.2642
MCAM,Discordant,CvH,ECM & Adhesion,2.4077,-0.4783
S100B,Discordant,CvH,ECM & Adhesion,2.2824,-0.4112
COL6A2,Discordant,CvH,ECM & Adhesion,2.1367,-0.3134
SPTB,Discordant,CvH,ECM & Adhesion,2.127,-0.2293
SNCG,Discordant,CvH,ECM & Adhesion,2.1203,-0.0933
PROS1,Discordant,CvH,ECM & Adhesion,2.073,-0.4146
MFAP4,Discordant,CvH,ECM & Adhesion,1.9884,-0.1295
CD9,Discordant,CvH,ECM & Adhesion,1.883,-0.1345
DMTN,Discordant,CvH,ECM & Adhesion,1.8653,-0.3675
CSRP1,Discordant,CvH,ECM & Adhesion,1.7054,-0.0817
AHNAK,Discordant,CvH,ECM & Adhesion,1.3803,-0.0111
ANXA5,Discordant,CvH,ECM & Adhesion,1.375,-0.0826
LAMC1,Discordant,CvH,ECM & Adhesion,1.13,-1e-4
TLN1,Discordant,CvH,ECM & Adhesion,1.1297,-0.006
FBLN2,Discordant,CvH,ECM & Adhesion,1.0334,-2e-4
GNAQ,Discordant,CvH,ECM & Adhesion,0.9394,-0.5506
CYFIP1,Discordant,CvH,ECM & Adhesion,0.9138,-0.2281
TNS1,Discordant,CvH,ECM & Adhesion,0.8873,-0.316
RSU1,Discordant,CvH,ECM & Adhesion,0.6675,-0.1241
ENPP4,Discordant,Tr.(CR),ECM & Adhesion,-0.3568,0.9014
AOC3,Discordant,CvH,Immune & Inflammation,2.8604,-0.3669
JCHAIN,Discordant,CvH,Immune & Inflammation,2.7423,-0.1083
FASN,Discordant,CvH,Immune & Inflammation,2.6715,-0.8253
SAA4,Discordant,CvH,Immune & Inflammation,2.5683,-0.0357
FABP4,Discordant,CvH,Immune & Inflammation,2.4376,-0.1986
LXN,Discordant,CvH,Immune & Inflammation,2.4295,-0.2292
DEFA3,Discordant,CvH,Immune & Inflammation,2.3109,-0.2871
LTF,Discordant,CvH,Immune & Inflammation,1.7067,-0.3179
CRIP1,Discordant,CvH,Immune & Inflammation,1.6176,-0.1119
CD163,Discordant,CvH,Immune & Inflammation,1.448,-0.2978
MGLL,Discordant,CvH,Immune & Inflammation,1.4072,-0.1451
LYZ,Discordant,CvH,Immune & Inflammation,1.1907,-0.1378
LGALS1,Discordant,CvH,Immune & Inflammation,1.1829,-0.3828
DDT,Discordant,CvH,Immune & Inflammation,0.9839,-0.3034
IFITM1,Discordant,CvH,Immune & Inflammation,0.9474,-0.1164
HLA-B,Discordant,CvH,Immune & Inflammation,0.7523,-0.012
GNAS,Discordant,CvH,Immune & Inflammation,0.6407,-0.232
IL18,Discordant,Tr.(CR),Immune & Inflammation,-0.0322,0.894
ENDOD1,Discordant,CvH,Immune & Inflammation,-0.8191,0.178
DHRS7B,Discordant,CvH,Immune & Inflammation,-0.8294,0.0278
NLRX1,Discordant,CvH,Immune & Inflammation,-0.8305,0.1216
G3BP2,Discordant,Both,Immune & Inflammation,-0.9666,0.955
PLIN1,Discordant,CvH,Lipid Metabolism,3.9076,-0.5612
SNCA,Discordant,CvH,Lipid Metabolism,3.6997,-0.0981
RETSAT,Discordant,Both,Lipid Metabolism,3.031,-1.374
CAV1,Discordant,CvH,Lipid Metabolism,1.8741,-0.2743
ACAT2,Discordant,CvH,Lipid Metabolism,1.8448,-0.5934
ADH1B,Discordant,CvH,Lipid Metabolism,1.5706,-0.534
ACADL,Discordant,CvH,Lipid Metabolism,1.4315,-0.7271
AOX1,Discordant,CvH,Lipid Metabolism,1.3939,-0.6186
PTGDS,Discordant,CvH,Lipid Metabolism,1.3249,-0.0715
ADH1C,Discordant,CvH,Lipid Metabolism,1.2628,-0.4351
KDSR,Discordant,CvH,Lipid Metabolism,1.1326,-0.3189
HDLBP,Discordant,CvH,Lipid Metabolism,1.0768,-0.0197
