uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
Q8IWW8,-0.24257265574786757,-0.9871628532605683,0.5020175417648332,19.35189419767775,-0.6592183606181199,-4.68677043697821,0.5136780730368249,0.966088170901145,-0,-0,0.8507883889244414,0,Training_CRE,ADHFE1,HOT_HUMAN,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial"
P17568,0.08895813272410891,-0.47664333184333196,0.6545595972915498,19.417358588669792,0.3182371243666343,-4.730129765995054,0.7520208140538482,0.9755112100065604,0,0,0.9749663788027115,0,Training_CRE,NDUFB7,NDUB7_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 7
Q8IVF2,1.2447892864844867,0.279318121369159,2.2102604515998143,17.830323156905166,2.610181412600826,-3.967340564365093,0.012882509164759448,0.9158559636931725,1,0,0.0044396508937270965,1,Training_CRE,AHNAK2,AHNK2_HUMAN,Protein AHNAK2
A6NCE7,-0.26728322637180923,-0.806141819744375,0.2715753670007566,19.51689728201372,-1.0036276102778414,-4.613761192621039,0.3218094985862062,0.9642948015626768,-0,-0,0.7385662097080559,0,Training_CRE,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2
P13473,0.2126769383871796,-0.2517042219612589,0.6770580987356181,19.501289476128303,0.9266623452781783,-4.632523242801169,0.35986081500211187,0.9642948015626768,0,0,0.8046371073360086,0,Training_CRE,LAMP2,LAMP2_HUMAN,Lysosome-associated membrane glycoprotein 2
Q13554,-0.004897986284227329,-0.4814874142921608,0.47169144172370614,19.43781723886482,-0.020794518508059454,-4.743376762913303,0.9835167102503897,0.998706818537175,-0,-0,0.9999185955943444,0,Training_CRE,CAMK2B,KCC2B_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit beta
Q99873,-0.08481119618785016,-0.5352580859657523,0.365635693590052,19.447901545127973,-0.38096519871600854,-4.724386989981834,0.7053181948766378,0.9725743787986779,-0,-0,0.9708259085805145,0,Training_CRE,PRMT1,ANM1_HUMAN,Protein arginine N-methyltransferase 1
Q16881,-0.20797707046902048,-0.5400237987404888,0.12406965780244789,19.543336130308138,-1.2673365486540766,-4.539361891233488,0.21262889909403507,0.9158559636931725,-0,-0,0.7247043259586261,0,Training_CRE,TXNRD1,TRXR1_HUMAN,"Thioredoxin reductase 1, cytoplasmic"
P98160,0.11895975193064601,-0.7438506617395718,0.9817701656008638,19.111981777786923,0.27906403890341164,-4.733195595970852,0.7817008598332882,0.9758821040563126,0,0,0.9711272374939978,0,Training_CRE,HSPG2,PGBM_HUMAN,Basement membrane-specific heparan sulfate proteoglycan core protein
Q9BXW7,-0.2627104767359185,-0.8647721284582308,0.3393511749863938,19.353945275118807,-0.8829012574183831,-4.642574348274321,0.3827562268947161,0.9642948015626768,-0,-0,0.7770148328224994,0,Training_CRE,HDHD5,HDHD5_HUMAN,Haloacid dehalogenase-like hydrolase domain-containing 5
Q9H2U2,-0.024405111354745657,-0.45839150475512264,0.4095812820456313,19.516721103733694,-0.11378378820538507,-4.741729559708168,0.9099990548004251,0.9944753360776685,-0,-0,0.997700958869082,0,Training_CRE,PPA2,IPYR2_HUMAN,"Inorganic pyrophosphatase 2, mitochondrial"
Q14956,1.1171928708143994,-0.08860454836575182,2.322990289994551,18.26449844850581,1.8760399021303407,-4.314602480879669,0.06839731723862935,0.9158559636931725,1,0,0.04994752254496929,1,Training_CRE,GPNMB,GPNMB_HUMAN,Transmembrane glycoprotein NMB
