"uniprot_id","protein","gene","description","CR6_T1","CR6_T2","CR7_T2","CR8_T1","CR8_T2","CR10_T2","CR12_T1","CR12_T2","CR15_T1","CR17_T1","CR17_T2","CR18_T1","CR18_T2","CR22_T1","CR22_T2","CR25_T1","CR25_T2","CR72_T1","CR72_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","logFC_Baseline_Supplement","CI.L_Baseline_Supplement","CI.R_Baseline_Supplement","average_intensity_Baseline_Supplement","t_Baseline_Supplement","B_Baseline_Supplement","P.Value_Baseline_Supplement","adj.P.Val_Baseline_Supplement","sig.PVal_Baseline_Supplement","sig.FDR_Baseline_Supplement","logFC_Training_CRE","CI.L_Training_CRE","CI.R_Training_CRE","average_intensity_Training_CRE","t_Training_CRE","B_Training_CRE","P.Value_Training_CRE","adj.P.Val_Training_CRE","sig.PVal_Training_CRE","sig.FDR_Training_CRE","logFC_Training_PLA","CI.L_Training_PLA","CI.R_Training_PLA","average_intensity_Training_PLA","t_Training_PLA","B_Training_PLA","P.Value_Training_PLA","adj.P.Val_Training_PLA","sig.PVal_Training_PLA","sig.FDR_Training_PLA","logFC_Supplement_Interaction","CI.L_Supplement_Interaction","CI.R_Supplement_Interaction","average_intensity_Supplement_Interaction","t_Supplement_Interaction","B_Supplement_Interaction","P.Value_Supplement_Interaction","adj.P.Val_Supplement_Interaction","sig.PVal_Supplement_Interaction","sig.FDR_Supplement_Interaction"
"P60709","ACTB_HUMAN","ACTB","Actin, cytoplasmic 1",26.8355837779872,30.3381436809754,27.0992726818536,26.2360468036216,25.8895975866923,26.999800956265,27.1891923921805,28.6487115074075,29.3527486075411,26.9580967231876,28.7716581169085,28.3165656347498,27.1732859383998,28.5006291191619,27.2940361573078,27.8319258188139,29.5859566689995,27.3578886465643,29.201801575226,27.415212713215,27.6270571856389,26.9115433629297,27.0790977157088,26.9223478747587,28.500360087053,-0.456428940585255,-1.76616500796134,0.853307126790828,27.7614624533259,-0.717733194090196,-4.63083281267378,0.47957659678661,0.996799643733751,0,0,0.56160951245721,-0.424170759513179,1.5473897844276,27.7614624533259,1.17335108246639,-4.78022025183591,0.251715096415857,0.973043054736961,0,0,0.663428094470003,-0.482618070104615,1.80947425904462,27.7614624533259,1.19224467785843,-4.94056588077164,0.244361577242713,0.904370561109697,0,0,-0.101818582012793,-1.61350127224319,1.4098641082176,27.7614624533259,-0.13872030979711,-4.84201093837842,0.890782746399583,0.998923118989502,0,0
"P32119","PRDX2_HUMAN","PRDX2","Peroxiredoxin-2",27.2338793785109,27.1840179692474,27.772934057703,26.8155279292249,27.2429427424693,26.8025895153753,26.7299430462092,27.4961751907782,28.9318876460085,27.6736734632785,27.6011043266159,26.4733409207679,28.6315847209412,29.4827117187646,28.2142494996336,28.7616797498988,27.3670884385198,27.6786184481619,29.3808466618525,28.5141994591224,27.1188576676223,26.948876642797,27.3192020846536,26.6707902949466,28.6070257693338,-0.271585544751808,-1.35841720081642,0.815246111312808,27.7061498936975,-0.514657157238969,-4.64736892589721,0.611313703930869,0.996799643733751,0,0,0.10347248704171,-0.714537516796541,0.921482490879961,27.7061498936975,0.260519309602558,-5.27853800627789,0.796597450404552,0.986728853361037,0,0,0.0789002168883677,-0.872099974674257,1.02990040845099,27.7061498936975,0.17087213202446,-5.53764453336634,0.865699982515192,0.994135012624574,0,0,0.0245722701533424,-1.2298366467201,1.27898118702679,27.7061498936975,0.0403440779790444,-4.84562206340982,0.968139335880074,0.998923118989502,0,0
"P14618","KPYM_HUMAN","PKM","Pyruvate kinase PKM",27.7793156573277,27.8464986346531,27.5494711170507,28.0182542738301,27.7997018633866,27.9206334127857,27.3693812077319,27.7628398838054,27.5910646935943,27.6944845087694,27.8470565458167,27.8878189848037,28.1179302825781,27.6829866310097,28.0914521543003,27.9245320283183,28.1259532446767,27.8913244517165,28.3257512911021,27.8399049914508,28.1960576921249,27.7051499582581,27.5871471460723,27.5680914313424,27.7070949637559,0.0139569836316689,-0.30604893329572,0.333962900559058,27.8331958820105,0.0898270642751861,-4.66465836394884,0.929140557361851,0.996799643733751,0,0,0.199466764437577,-0.0413875020657468,0.440321030940902,27.8331958820105,1.70564971040158,-4.23471619234295,0.100471567906769,0.973043054736961,0,0,0.146800171578398,-0.133211628410087,0.426811971566884,27.8331958820105,1.07975164781572,-5.04741797813849,0.290561794665733,0.914956239447764,0,0,0.052666592859179,-0.316680650024325,0.422013835742683,27.8331958820105,0.293679754093032,-4.82831258369927,0.771427342171591,0.998923118989502,0,0
"P60174","TPIS_HUMAN","TPI1","Triosephosphate isomerase",28.057405830697,27.8454034791805,27.3675103009335,27.9176525741393,27.9338259329568,28.0502082045938,27.5862202511356,27.2540679221748,27.5924078657422,27.5534377290699,27.6120176955146,27.7112690286943,27.6795251232588,27.7770557091031,27.8155147890052,27.3980217474719,27.5358610425121,27.7920345691151,27.8641053759479,27.3730088137574,27.7042278525441,27.8892272497109,27.7414612857522,27.9547484995581,27.3571117464856,0.152350954953995,-0.168656766070403,0.473358675978393,27.6945332247622,0.977469799539248,-4.60246550563362,0.337702772371011,0.996799643733751,0,0,-0.0235142924277127,-0.265122572460793,0.218093987605367,27.6945332247622,-0.200444316630592,-5.28942914513334,0.84275507974327,0.986728853361037,0,0,-0.0305530134783112,-0.3114414127845,0.250335385827877,27.6945332247622,-0.224023663015362,-5.52836170605483,0.824559905875642,0.986115982957835,0,0,0.00703872105059844,-0.363464792894055,0.377542234995252,27.6945332247622,0.0391268664991286,-4.8456419044527,0.969100078353168,0.998923118989502,0,0
"P09104","ENOG_HUMAN","ENO2","Gamma-enolase",27.7649135332938,28.1234949584743,27.5346735629474,28.3350846389299,27.7590597196524,28.0432005439568,26.6332541672643,27.193087345318,27.607044194567,27.7491073603988,27.4802719412775,28.1781292882416,27.7382552979469,27.1021288201528,27.633673106822,27.899029423588,27.1271023042576,27.7767049315184,27.8741141332417,27.3153302560703,27.764738664129,27.0255801181952,27.0565322149579,27.4336436023494,27.563469871109,-0.215210113344416,-0.719484923865218,0.289064697176387,27.5884649599464,-0.878959869491734,-4.61413737072828,0.387794815511538,0.996799643733751,0,0,0.0381025797519392,-0.341442713567278,0.417647873071156,27.5884649599464,0.206758996785139,-5.2884172254489,0.837873119117405,0.986728853361037,0,0,-0.00605484406641921,-0.447305739482901,0.435196051350063,27.5884649599464,-0.0282612267116229,-5.55021845681071,0.977678240327055,0.999685644567527,0,0,0.0441574238183584,-0.537870910875596,0.626185758512313,27.5884649599464,0.156254756430536,-4.84095143390376,0.877087381230627,0.998923118989502,0,0
"P18669","PGAM1_HUMAN","PGAM1","Phosphoglycerate mutase 1",27.3997002739722,27.3829139466073,26.9472234841292,27.5087934340552,27.0570473329577,27.7422924679763,27.3865453753157,27.3748546786374,28.2219519370236,27.9712846163417,27.5141539249774,27.6056858467935,27.2748587382408,27.8909897357198,27.3506893636697,27.5646163986456,27.6504180703685,27.5523909397835,28.0304607671878,27.8163523718203,27.8107360369315,27.2102040098229,27.2139738485831,27.3785100216862,27.7317828445695,-0.27036276720882,-0.66244671428306,0.121721179865421,27.5435372186327,-1.42017370413101,-4.53765041354593,0.167910803021597,0.996799643733751,0,0,-0.031541169183452,-0.326645373465157,0.263563035098253,27.5435372186327,-0.220128379637838,-5.2861716952926,0.827559134999856,0.986728853361037,0,0,-0.312155047534283,-0.655236615590913,0.0309265205223473,27.5435372186327,-1.87390090594073,-4.10934557304361,0.0726803628998118,0.829631176753896,-1,0,0.280613878350831,-0.171925019120905,0.733152775822567,27.5435372186327,1.2771058004271,-4.52802218152875,0.213301224738166,0.998923118989502,0,0
"P31415","CASQ1_HUMAN","CASQ1","Calsequestrin-1",27.3403560228088,27.4015078461596,27.5577369655724,27.3404116180298,27.0771229077406,27.7951002367732,27.8193616771347,27.8172587556921,27.0506222939892,27.6112526498073,27.5151973803074,27.4567871173886,27.3998174222932,27.1982355445724,27.7346127240548,27.3187119755443,27.6802581726241,27.3160761506098,26.8081807824335,27.2302825645237,27.0651369082778,27.5097175191575,27.2162265878026,27.6375037099751,27.0391808285689,0.130921852044274,-0.246493776571553,0.508337480660102,27.3974662544737,0.714440236908384,-4.63114161318109,0.481574396126013,0.996799643733751,0,0,-0.0106345569730237,-0.294698568257485,0.273429454311438,27.3974662544737,-0.0771039864221071,-5.30291329937415,0.939154697076004,0.997798077317106,0,0,-0.0239301027108958,-0.354176588548479,0.306316383126688,27.3974662544737,-0.14923820037688,-5.54070928411623,0.882563262686752,0.994135012624574,0,0,0.0132955457378721,-0.422313342962866,0.44890443443861,27.3974662544737,0.0628612598787331,-4.84514544312857,0.950376973135144,0.998923118989502,0,0
"P00558","PGK1_HUMAN","PGK1","Phosphoglycerate kinase 1",27.3667974991015,27.2927465129864,26.9500585922617,27.679992834766,27.2977066232548,27.6601270532827,27.6136770556493,27.1652036683799,27.6777218310205,27.4701241760155,27.3620640887558,27.4566742553818,27.4291004819807,27.8419674149595,27.7904333343538,27.4262529539205,27.1925782072575,27.4111119189395,27.9553855442789,27.3385705100004,27.2774243536705,27.3274616256029,27.3218426422676,27.4310258056639,27.4451618017611,0.0973785612335476,-0.231314470806452,0.426071593273547,27.4472484314205,0.610163889291771,-4.64023340963049,0.547261104401108,0.996799643733751,0,0,-0.065554079192772,-0.312946752106102,0.181838593720558,27.4472484314205,-0.545740939536022,-5.18866972737405,0.590081809338749,0.981669133564692,0,0,-0.138203928976722,-0.425817134472786,0.149409276519342,27.4472484314205,-0.989658167020941,-5.12612590827029,0.331825268503428,0.930355695096914,0,0,0.0726498497839501,-0.306723964002562,0.452023663570462,27.4472484314205,0.394403732083638,-4.814205312252,0.696628009790399,0.998923118989502,0,0
"P04792","HSPB1_HUMAN","HSPB1","Heat shock protein beta-1",27.3527961613479,27.1028634721665,27.6017592512692,26.1914939302357,26.6252531649141,27.8119038067934,27.659265913592,27.5016168930235,27.3765071753905,27.3517924432076,27.6215134578038,27.1367284969097,27.2052181693713,27.5313526750231,27.4313219524814,27.446432802748,27.1071228746785,26.7964816191607,27.9503092020344,27.0417381370611,27.6028346547965,26.7580907317091,27.3274064230039,27.6560397617091,27.5316346879764,-0.0997953537098191,-0.59247450788717,0.392883800467532,27.3087791143363,-0.417176446335536,-4.65344680203949,0.680110705007166,0.996799643733751,0,0,0.250170922609268,-0.120646834262989,0.620988679481525,27.3087791143363,1.3894724923858,-4.57856747141904,0.176943127294826,0.973043054736961,0,0,0.181723776803338,-0.249380679334915,0.612828232941591,27.3087791143363,0.868166228681869,-5.22228831448652,0.393562563907569,0.941466088681899,0,0,0.0684471458059299,-0.500197612293563,0.637091903905423,27.3087791143363,0.247906519845288,-4.83337381154098,0.806231976951462,0.998923118989502,0,0
"P05976","MYL1_HUMAN","MYL1","Myosin light chain 1/3, skeletal muscle isoform",26.5954657365201,29.7471127871631,27.4729814869282,25.8129820678574,25.1398246101959,26.5838832582173,26.9475399742323,27.9456905907618,26.1183849788932,26.293564276856,27.9085407780934,28.0304128913058,26.6380404674971,27.0107706522413,26.1284302045702,27.0452899937978,28.9924685095056,26.7133243036066,26.0884037339611,26.0476931830983,27.0122584484641,25.9841146371231,26.8010561844834,27.684166679695,26.0307337785332,0.214449608744463,-1.00725437937714,1.43615359686607,26.910925368544,0.361520486123728,-4.65636112491152,0.72074845750805,0.996799643733751,0,0,0.135077575159059,-0.784444853577727,1.05460000389584,26.910925368544,0.302548200786233,-5.26924259564007,0.764737605749523,0.986728853361037,0,0,0.930376464560286,-0.13863980880026,1.99939273792083,26.910925368544,1.7924541064168,-4.22369133072513,0.0851731941366365,0.829631176753896,1,0,-0.795298889401227,-2.20537594036676,0.614778161564311,26.910925368544,-1.16161223352512,-4.58064953732158,0.256365685636573,0.998923118989502,0,0
"P11217","PYGM_HUMAN","PYGM","Glycogen phosphorylase, muscle form",27.2510006338386,27.5630340337694,27.1682636639801,27.0595003523412,26.693922501443,27.2613181086095,26.6718919818128,27.0473228901601,27.1490839423241,27.3995217549875,27.2810543787016,27.7605157273756,27.6430903766424,27.5133642284382,27.6790752646409,27.0095536525909,27.2513409709122,26.632643600831,27.0352632761165,27.1871157548673,27.1048740151151,27.4860438283979,27.02386402176,26.8312579511227,26.7419246226386,-0.270382667529422,-0.668698033107122,0.127932698048278,27.1778336613367,-1.39805878808517,-4.54132370774142,0.174379146584509,0.996799643733751,0,0,0.0945486791591144,-0.205245637565938,0.394342995884167,27.1778336613367,0.649539723731866,-5.14060524918393,0.521914307136573,0.979417537152848,0,0,-0.0660528040806057,-0.414586992289979,0.282481384128767,27.1778336613367,-0.390318844702418,-5.48330620558487,0.699607331142162,0.969119024742657,0,0,0.16060148323972,-0.299129647630714,0.620332614110154,27.1778336613367,0.719480925115711,-4.74150451217294,0.478518219984221,0.998923118989502,0,0
"P02511","CRYAB_HUMAN","CRYAB","Alpha-crystallin B chain",27.2424263631654,27.3343441719851,27.1924207386708,26.411549793113,26.698238359068,26.9909954815602,27.175529619176,27.149341744103,27.2616126120993,26.9788104619193,26.62542904985,26.8242032137797,27.2981804816023,27.0569252185034,26.9189538135331,27.0892428667678,26.702823649628,26.7657146885244,27.2271320986953,26.3163030455001,26.6389067114143,26.8182429135548,27.0301390358525,27.5363656784477,26.9701034351706,0.0468632590793518,-0.354878953673436,0.44860547183214,26.9701574098274,0.240247383464615,-4.66128981640157,0.812097929570645,0.996799643733751,0,0,0.0103982469623496,-0.291975305705275,0.312771799629974,26.9701574098274,0.0708255524806947,-5.30327945462351,0.944100226314424,0.997798077317106,0,0,0.0982160073926686,-0.253316743015164,0.449748757800501,26.9701574098274,0.575426858524331,-5.40497002293082,0.570147083039893,0.961114249355917,0,0,-0.087817760430319,-0.551504119904195,0.375868599043557,26.9701574098274,-0.390060239247888,-4.81489740727155,0.699796111441167,0.998923118989502,0,0
"P00338","LDHA_HUMAN","LDHA","L-lactate dehydrogenase A chain",26.8404405443026,26.8818586755901,26.4087972005023,26.6311778950676,26.8540834816855,28.1714308253664,25.794685210547,26.1996882781105,27.3412077431773,26.6874050406249,26.7200440867502,27.1210452046177,27.4251396345328,27.0074164915292,27.1930403065334,27.0138674699885,26.9305506401142,27.0519264646441,27.5012791531112,27.3079023949386,27.2884155571147,27.2876231128046,27.0796440368922,26.6541770409664,27.3237432565152,-0.201922808563431,-0.733662807848726,0.329817190721863,26.9886635898411,-0.782095331097884,-4.62453545746003,0.441504796023606,0.996799643733751,0,0,0.289685056716369,-0.110532066542005,0.689902179974743,26.9886635898411,1.49074744128718,-4.47445067638083,0.1485404390511,0.973043054736961,0,0,-0.00829237878645728,-0.473575882777217,0.456991125204303,26.9886635898411,-0.0367058361930831,-5.54997539067146,0.971011132505886,0.998812499585553,0,0,0.297977435502826,-0.315750912249767,0.91170578325542,26.9886635898411,0.999955884040349,-4.64721969496908,0.326914444532059,0.998923118989502,0,0
"P10916","MLRV_HUMAN","MYL2","Myosin regulatory light chain 2, ventricular/cardiac muscle isoform",26.4000673814672,28.2681106236905,27.4265257003712,24.6193406171925,24.3109735109549,25.598154197485,27.1363378792876,27.9241362713749,27.9573899322655,26.762852882722,27.102771918754,27.2477831523548,26.2797546620322,27.7363905573313,25.7582047786258,27.3113683106295,27.5040180830348,26.545491084753,25.8678045979186,27.3400894405718,26.4714698151946,26.3458847204371,26.713376527519,27.0267908587582,26.6707032198722,-0.496734785747485,-1.55649645663661,0.563026885141641,26.7330316289839,-0.965361582850504,-4.60395826459688,0.343611493785484,0.996799643733751,0,0,-0.378655180106005,-1.17629080622555,0.418980446013543,26.7330316289839,-0.977716635893057,-4.93700836944076,0.337583042402889,0.973043054736961,0,0,-0.0477317922473404,-0.975045186554993,0.879581602060312,26.7330316289839,-0.106011957671686,-5.5455941482296,0.916419079432222,0.994135012624574,0,0,-0.330923387858665,-1.55408843122669,0.892241655509361,26.7330316289839,-0.557206336485583,-4.78289533404103,0.582342219537256,0.998923118989502,0,0
