pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOBP_UBIQUINONE_METABOLIC_PROCESS,Ubiquinone Metabolic Process,GO:BP,-1.582,1.79,0.2968,0.09725,NS,10
GOBP_REGULATION_OF_MONONUCLEAR_CELL_MIGRATION,Regulation Of Mononuclear Cell Migration,GO:BP,1.669,-1.696,0.1839,0.1317,NS,28
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,Cell Substrate Junction Organization,GO:BP,1.611,-1.748,0.2061,0.09831,NS,35
GOBP_ODONTOGENESIS,Odontogenesis,GO:BP,1.537,-1.822,0.3069,0.09831,NS,12
GOBP_HETEROTYPIC_CELL_CELL_ADHESION,Heterotypic Cell Cell Adhesion,GO:BP,1.696,-1.658,0.1954,0.1905,NS,10
REACTOME_CDC42_GTPASE_CYCLE,Cdc42 Gtpase Cycle,Reactome,1.587,-1.767,0.1594,0.0628,NS,18
GOBP_CELLULAR_RESPONSE_TO_TYPE_II_INTERFERON,Cellular Response To Type Ii Interferon,GO:BP,1.858,-1.494,0.1223,0.2449,NS,26
GOBP_REGULATION_OF_CELL_MORPHOGENESIS,Regulation Of Cell Morphogenesis,GO:BP,1.514,-1.836,0.2594,0.05495,NS,44
GOBP_SYMBIONT_ENTRY_INTO_HOST,Symbiont Entry Into Host,GO:BP,1.452,-1.896,0.3542,0.05764,NS,30
GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Regulation Of Establishment Of Protein Localization To Mitochondrion,GO:BP,-1.657,1.685,0.2265,0.1404,NS,19
GOBP_HYDROGEN_PEROXIDE_CATABOLIC_PROCESS,Hydrogen Peroxide Catabolic Process,GO:BP,1.615,-1.724,0.2445,0.1321,NS,16
PID_INTEGRIN3_PATHWAY,Pid Integrin3 Pathway,PID,1.603,-1.732,0.1506,0.1184,NS,13
GOBP_REGULATION_OF_BODY_FLUID_LEVELS,Regulation Of Body Fluid Levels,GO:BP,1.622,-1.71,0.152,0.06166,NS,69
GOBP_PROTEIN_DEPOLYMERIZATION,Protein Depolymerization,GO:BP,1.765,-1.563,0.1253,0.1801,NS,37
REACTOME_PLASMA_LIPOPROTEIN_CLEARANCE,Plasma Lipoprotein Clearance,Reactome,1.652,-1.675,0.136,0.1426,NS,12
WP_ALLOGRAFT_REJECTION,Wp Allograft Rejection,WikiPathways,1.738,-1.589,0.1085,0.2311,NS,18
GOBP_MEMBRANE_RAFT_ORGANIZATION,Membrane Raft Organization,GO:BP,1.645,-1.678,0.225,0.1664,NS,14
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS,Olefinic Compound Metabolic Process,GO:BP,-1.517,-1.796,0.287,0.06792,NS,32
REACTOME_MET_ACTIVATES_PTK2_SIGNALING,Met Activates Ptk2 Signaling,Reactome,1.647,-1.65,0.1392,0.1511,NS,11
GOBP_CHOLESTEROL_EFFLUX,Cholesterol Efflux,GO:BP,1.711,-1.579,0.1649,0.2206,NS,16
GOBP_DNA_INTEGRITY_CHECKPOINT_SIGNALING,DNA Integrity Checkpoint Signaling,GO:BP,-1.66,1.63,0.2252,0.1849,NS,12
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,1.571,-1.719,0.2593,0.1241,NS,25
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS,Thrombin Signalling Through Proteinase Activated Receptors Pars,Reactome,1.596,-1.682,0.1795,0.1276,NS,10
PID_MYC_REPRESS_PATHWAY,Pid MYC Repress Pathway,PID,1.387,-1.884,0.3164,0.06248,NS,15
GOBP_POSITIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,Positive Regulation Of Plasma Membrane Bounded Cell Projection Assembly,GO:BP,1.618,-1.652,0.225,0.1624,NS,22
GOBP_HYDROGEN_PEROXIDE_METABOLIC_PROCESS,Hydrogen Peroxide Metabolic Process,GO:BP,1.362,-1.908,0.4351,0.05764,NS,23
GOBP_REGULATION_OF_PROTEIN_DEPOLYMERIZATION,Regulation Of Protein Depolymerization,GO:BP,1.848,-1.42,0.06889,0.2901,NS,32
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,Regulation Of Leukocyte Migration,GO:BP,1.758,-1.51,0.1154,0.2125,NS,39
REACTOME_SENSORY_PROCESSING_OF_SOUND_BY_OUTER_HAIR_CELLS_OF_THE_COCHLEA,Sensory Processing Of Sound By Outer Hair Cells Of The Cochlea,Reactome,1.672,-1.587,0.1209,0.1756,NS,14
REACTOME_SARS_COV_1_ACTIVATES_MODULATES_INNATE_IMMUNE_RESPONSES,Sars Cov 1 Activates Modulates Innate Immune Responses,Reactome,1.713,-1.545,0.1127,0.2006,NS,12
GOBP_REGULATION_OF_PROTEIN_TARGETING,Regulation Of Protein Targeting,GO:BP,-1.709,1.543,0.1712,0.2134,NS,26
GOBP_FOCAL_ADHESION_ASSEMBLY,Focal Adhesion Assembly,GO:BP,1.437,-1.811,0.3774,0.08712,NS,27
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing Complex Assembly,GO:BP,1.462,-1.785,0.3052,0.05764,NS,45
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY,Positive Regulation Of Protein Localization To Cell Periphery,GO:BP,1.75,-1.488,0.14,0.2619,NS,24
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organization,GO:BP,1.648,-1.59,0.1701,0.1626,NS,43
GOBP_TRANSLATIONAL_INITIATION,Translational Initiation,GO:BP,-1.487,1.751,0.225,0.07446,NS,58
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,Establishment Or Maintenance Of Bipolar Cell Polarity,GO:BP,1.632,-1.605,0.2368,0.2206,NS,11
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN,Antigen Processing And Presentation Of Exogenous Peptide Antigen,GO:BP,1.407,-1.83,0.4304,0.08712,NS,11
WP_COMPLEMENT_SYSTEM,Wp Complement System,WikiPathways,1.614,-1.623,0.177,0.1471,NS,29
GOBP_CELL_CELL_JUNCTION_ORGANIZATION,Cell Cell Junction Organization,GO:BP,1.664,-1.567,0.1867,0.1903,NS,33
GOBP_REGULATION_OF_CELL_SUBSTRATE_ADHESION,Regulation Of Cell Substrate Adhesion,GO:BP,1.394,-1.837,0.371,0.05764,NS,48
GOBP_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.34,-1.889,0.462,0.08904,NS,20
REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE,Plasma Lipoprotein Assembly Remodeling And Clearance,Reactome,1.546,-1.676,0.1978,0.1121,NS,19
GOBP_CORTICAL_CYTOSKELETON_ORGANIZATION,Cortical Cytoskeleton Organization,GO:BP,1.588,-1.631,0.2636,0.1766,NS,19
REACTOME_SENSORY_PROCESSING_OF_SOUND,Sensory Processing Of Sound,Reactome,1.676,-1.542,0.114,0.1728,NS,19
REACTOME_RHO_GTPASES_ACTIVATE_IQGAPS,Rho Gtpases Activate Iqgaps,Reactome,1.41,-1.807,0.3549,0.05764,NS,16
GOBP_TAXIS,Taxis,GO:BP,1.658,-1.556,0.1404,0.1317,NS,64
GOBP_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Mitochondrial Membrane Organization,GO:BP,-1.468,1.743,0.2419,0.06495,NS,56
WP_OPIOID_RECEPTOR_PATHWAYS,Wp Opioid Receptor Pathways,WikiPathways,1.619,-1.584,0.2279,0.2475,NS,11
GOBP_COLLAGEN_METABOLIC_PROCESS,Collagen Metabolic Process,GO:BP,1.86,-1.342,0.0712,0.3757,NS,20
GOBP_POSITIVE_REGULATION_OF_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING,Positive Regulation Of Substrate Adhesion Dependent Cell Spreading,GO:BP,1.48,-1.722,0.3639,0.1317,NS,15
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.581,-1.61,0.1974,0.1317,NS,48
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE,Negative Regulation Of Cell Cycle,GO:BP,-1.522,1.667,0.2775,0.1317,NS,32
GOBP_FIBROBLAST_MIGRATION,Fibroblast Migration,GO:BP,1.733,-1.452,0.1548,0.2929,NS,20
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_METABOLIC_PROCESS,Positive Regulation Of Nitric Oxide Metabolic Process,GO:BP,1.683,-1.499,0.2023,0.2874,NS,12
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN,Antigen Processing And Presentation Of Peptide Antigen,GO:BP,1.417,-1.764,0.3927,0.09831,NS,21
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Positive Regulation Of Cytosolic Calcium Ion Concentration,GO:BP,-1.795,-1.378,0.1492,0.3748,NS,14
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT,Negative Regulation Of Intracellular Transport,GO:BP,1.272,-1.901,0.5119,0.08631,NS,19
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,Wp Prostaglandin Synthesis And Regulation,WikiPathways,1.452,-1.718,0.3614,0.1471,NS,16
GOBP_POSITIVE_REGULATION_OF_LIPID_TRANSPORT,Positive Regulation Of Lipid Transport,GO:BP,1.453,-1.714,0.3878,0.1372,NS,15
GOBP_EPIBOLY,Epiboly,GO:BP,1.484,-1.682,0.3728,0.1766,NS,11
GOBP_REGULATION_OF_MITOCHONDRIAL_GENE_EXPRESSION,Regulation Of Mitochondrial Gene Expression,GO:BP,-1.657,1.506,0.2252,0.2768,NS,12
PID_S1P_S1P3_PATHWAY,Pid S1p S1p3 Pathway,PID,1.769,-1.384,0.1011,0.4868,NS,11
GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION,Positive Regulation Of Autophagy Of Mitochondrion,GO:BP,-1.536,1.612,0.3386,0.2093,NS,11
REACTOME_RHOH_GTPASE_CYCLE,Rhoh Gtpase Cycle,Reactome,1.442,-1.699,0.30620000000000003,0.1007,NS,19
GOBP_NEGATIVE_REGULATION_OF_CELL_ADHESION,Negative Regulation Of Cell Adhesion,GO:BP,1.46,-1.68,0.3147,0.09725,NS,42
GOBP_EMBRYO_IMPLANTATION,Embryo Implantation,GO:BP,1.271,-1.866,0.5159,0.08712,NS,15
REACTOME_AMYLOID_FIBER_FORMATION,Amyloid Fiber Formation,Reactome,1.688,-1.441,0.1115,0.2737,NS,16
GOBP_NEGATIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Negative Regulation Of Supramolecular Fiber Organization,GO:BP,1.365,-1.763,0.3878,0.06772,NS,52
GOBP_MODIFICATION_OF_SYNAPTIC_STRUCTURE,Modification Of Synaptic Structure,GO:BP,1.232,-1.896,0.5655,0.08904,NS,13
REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES,Recruitment Of Numa To Mitotic Centrosomes,Reactome,1.267,-1.861,0.4952,0.05105,NS,26
GOBP_ANTIBACTERIAL_HUMORAL_RESPONSE,Antibacterial Humoral Response,GO:BP,1.693,-1.434,0.1822,0.3081,NS,16
BIOCARTA_KERATINOCYTE_PATHWAY,Biocarta Keratinocyte Pathway,BioCarta,-1.718,1.395,0.1615,0.5149,NS,13
GOBP_ANTIMICROBIAL_HUMORAL_RESPONSE,Antimicrobial Humoral Response,GO:BP,1.887,-1.225,0.0555,0.4708,NS,25
GOBP_PLASMA_LIPOPROTEIN_PARTICLE_CLEARANCE,Plasma Lipoprotein Particle Clearance,GO:BP,1.38,-1.732,0.4388,0.1317,NS,13
WP_THYROID_HORMONES_PRODUCTION_AND_PERIPHERAL_DOWNSTREAM_SIGNALING_EFFECTS,Wp Thyroid Hormones Production And Peripheral Downstream Signaling Effects,WikiPathways,-1.855,1.255,0.06815,0.5078,NS,13
GOBP_NEUTROPHIL_CHEMOTAXIS,Neutrophil Chemotaxis,GO:BP,1.709,-1.4,0.1701,0.3361,NS,17
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,1.586,-1.523,0.1758,0.1664,NS,55
GOBP_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS_VIA_THE_MULTIVESICULAR_BODY_SORTING_PATHWAY,Ubiquitin Dependent Protein Catabolic Process Via The Multivesicular Body Sorting Pathway,GO:BP,-1.773,1.334,0.1597,0.3857,NS,19
BIOCARTA_UCALPAIN_PATHWAY,Biocarta Ucalpain Pathway,BioCarta,1.68,-1.425,0.1615,0.5149,NS,12
GOBP_INNER_MITOCHONDRIAL_MEMBRANE_ORGANIZATION,Inner Mitochondrial Membrane Organization,GO:BP,-1.385,1.719,0.3956,0.1199,NS,28
GOBP_REGULATION_OF_CHOLESTEROL_EFFLUX,Regulation Of Cholesterol Efflux,GO:BP,1.545,-1.55,0.3182,0.2685,NS,10
GOBP_MYELOID_CELL_HOMEOSTASIS,Myeloid Cell Homeostasis,GO:BP,1.549,-1.543,0.225,0.1866,NS,42
GOBP_SUPEROXIDE_METABOLIC_PROCESS,Superoxide Metabolic Process,GO:BP,1.197,-1.894,0.587,0.08712,NS,19
REACTOME_SARS_COV_1_HOST_INTERACTIONS,Sars Cov 1 Host Interactions,Reactome,1.645,-1.445,0.0515,0.1728,NS,53
REACTOME_LYSOSOME_VESICLE_BIOGENESIS,Lysosome Vesicle Biogenesis,Reactome,1.657,-1.429,0.121,0.279,NS,16
WP_ENERGY_METABOLISM,Wp Energy Metabolism,WikiPathways,-1.706,1.376,0.1434,0.3596,NS,14
GOBP_CALCIUM_MEDIATED_SIGNALING,Calcium Mediated Signaling,GO:BP,-1.627,1.453,0.1649,0.2439,NS,44
KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_DCTN1_TO_RETROGRADE_AXONAL_TRANSPORT,Variant Mutation Caused Aberrant Dctn1 To Retrograde Axonal Transport,KEGG,1.458,-1.62,0.29,0.07068,NS,11
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,Regulation Of Leukocyte Differentiation,GO:BP,1.278,-1.799,0.4856,0.08631,NS,31
GOBP_ENDOTHELIAL_CELL_PROLIFERATION,Endothelial Cell Proliferation,GO:BP,1.804,-1.272,0.1079,0.423,NS,25
GOBP_PROTEIN_TARGETING_TO_MITOCHONDRION,Protein Targeting To Mitochondrion,GO:BP,-1.498,1.577,0.2302,0.1386,NS,53
GOBP_REGULATION_OF_HEMOPOIESIS,Regulation Of Hemopoiesis,GO:BP,1.309,-1.764,0.4512,0.06243,NS,44
GOBP_ONE_CARBON_METABOLIC_PROCESS,One Carbon Metabolic Process,GO:BP,1.325,-1.746,0.4893,0.1317,NS,11
GOBP_LATE_ENDOSOME_TO_VACUOLE_TRANSPORT,Late Endosome To Vacuole Transport,GO:BP,-1.713,1.357,0.1981,0.3757,NS,18
GOBP_MYELOID_LEUKOCYTE_MIGRATION,Myeloid Leukocyte Migration,GO:BP,1.509,-1.561,0.2737,0.1808,NS,40
GOBP_REGULATION_OF_T_CELL_ACTIVATION,Regulation Of T Cell Activation,GO:BP,1.649,-1.414,0.1649,0.2685,NS,47
REACTOME_MATURATION_OF_TCA_ENZYMES_AND_REGULATION_OF_TCA_CYCLE,Maturation Of Tca Enzymes And Regulation Of Tca Cycle,Reactome,-1.547,1.515,0.2473,0.2029,NS,12
GOBP_CEREBRAL_CORTEX_DEVELOPMENT,Cerebral Cortex Development,GO:BP,1.271,-1.79,0.5094,0.08749,NS,21
GOBP_HOMOTYPIC_CELL_CELL_ADHESION,Homotypic Cell Cell Adhesion,GO:BP,1.637,-1.418,0.2072,0.2935,NS,30
GOBP_PROTEIN_LOCALIZATION_TO_LYSOSOME,Protein Localization To Lysosome,GO:BP,1.165,-1.886,0.6292,0.08712,NS,14
GOBP_ICOSANOID_BIOSYNTHETIC_PROCESS,Icosanoid Biosynthetic Process,GO:BP,1.53,-1.517,0.3182,0.2649,NS,15
GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Positive Regulation Of Establishment Of Protein Localization To Mitochondrion,GO:BP,-1.508,1.538,0.352,0.2384,NS,15
GOBP_POSTSYNAPSE_ORGANIZATION,Postsynapse Organization,GO:BP,1.456,-1.587,0.3182,0.1718,NS,40
GOBP_CELL_KILLING,Cell Killing,GO:BP,1.415,-1.627,0.352,0.1206,NS,45
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS,Positive Regulation Of Hemopoiesis,GO:BP,1.341,-1.699,0.462,0.1317,NS,20
REACTOME_SIGNAL_AMPLIFICATION,Signal Amplification,Reactome,1.336,-1.7,0.4467,0.1262,NS,12
WP_G13_SIGNALING,Wp G13 Signaling,WikiPathways,1.756,-1.279,0.1287,0.4698,NS,15
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,Regulation Of Epithelial Cell Proliferation,GO:BP,1.36,-1.674,0.4091,0.09725,NS,41
GOBP_REGULATION_OF_PROTEIN_MATURATION,Regulation Of Protein Maturation,GO:BP,1.549,-1.482,0.3069,0.2874,NS,14
REACTOME_SIGNALING_BY_PDGF,Signaling By Pdgf,Reactome,1.383,-1.647,0.3681,0.1298,NS,19
GOBP_KETONE_BIOSYNTHETIC_PROCESS,Ketone Biosynthetic Process,GO:BP,-1.549,1.48,0.3052,0.2857,NS,16
GOBP_SKIN_DEVELOPMENT,Skin Development,GO:BP,1.438,-1.589,0.3523,0.1655,NS,35
GOBP_PROTEIN_LOCALIZATION_TO_MITOCHONDRION,Protein Localization To Mitochondrion,GO:BP,-1.271,1.751,0.4252,0.05495,NS,67
GOBP_AMP_BIOSYNTHETIC_PROCESS,Amp Biosynthetic Process,GO:BP,-1.717,1.301,0.1954,0.4354,NS,11
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS,Negative Regulation Of Cell Cycle Process,GO:BP,-1.27,1.748,0.4956,0.1018,NS,26
WP_NRF2_PATHWAY,Wp Nrf2 Pathway,WikiPathways,1.389,-1.629,0.3737,0.1471,NS,34
GOBP_KIDNEY_EPITHELIUM_DEVELOPMENT,Kidney Epithelium Development,GO:BP,1.411,-1.605,0.4124,0.2121,NS,14
GOBP_MEMBRANE_DOCKING,Membrane Docking,GO:BP,1.503,-1.512,0.3182,0.2498,NS,22
REACTOME_CELL_CELL_COMMUNICATION,Cell Cell Communication,Reactome,1.508,-1.507,0.194,0.1668,NS,32
GOBP_ACTIN_NUCLEATION,Actin Nucleation,GO:BP,1.753,-1.25,0.1492,0.4562,NS,19
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS,Amino Acid Betaine Metabolic Process,GO:BP,-1.771,-1.232,0.1597,0.5153,NS,11
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,Anchoring Of The Basal Body To The Plasma Membrane,Reactome,1.296,-1.705,0.459,0.08693,NS,22
GOBP_REGULATION_OF_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,Regulation Of Biological Process Involved In Symbiotic Interaction,GO:BP,1.093,-1.904,0.6884,0.06602,NS,10
PID_AJDISS_2PATHWAY,Pid Ajdiss 2pathway,PID,1.441,-1.555,0.3141,0.2755,NS,16
GOBP_G_PROTEIN_COUPLED_DOPAMINE_RECEPTOR_SIGNALING_PATHWAY,G Protein Coupled Dopamine Receptor Signaling Pathway,GO:BP,1.241,-1.747,0.5596,0.1317,NS,11
GOBP_POSITIVE_REGULATION_OF_CHEMOTAXIS,Positive Regulation Of Chemotaxis,GO:BP,1.496,-1.492,0.3343,0.2723,NS,19
BIOCARTA_NDKDYNAMIN_PATHWAY,Biocarta Ndkdynamin Pathway,BioCarta,1.567,-1.42,0.2142,0.5149,NS,11
GOBP_T_CELL_MEDIATED_IMMUNITY,T Cell Mediated Immunity,GO:BP,1.394,-1.592,0.4124,0.1925,NS,21
GOBP_PEPTIDE_CROSS_LINKING,Peptide Cross Linking,GO:BP,1.628,-1.356,0.2411,0.3889,NS,10
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_RADICAL,Cellular Response To Oxygen Radical,GO:BP,1.024,-1.959,0.7495,0.07302,NS,12
GOBP_BASEMENT_MEMBRANE_ORGANIZATION,Basement Membrane Organization,GO:BP,1.329,-1.645,0.4803,0.1843,NS,16
PID_HDAC_CLASSI_PATHWAY,Pid Hdac Classi Pathway,PID,-1.724,1.245,0.1011,0.5816,NS,15
GOBP_ENDODERM_DEVELOPMENT,Endoderm Development,GO:BP,1.273,-1.695,0.5228,0.1545,NS,12
GOBP_PROTEIN_K48_LINKED_UBIQUITINATION,Protein K48 Linked Ubiquitination,GO:BP,-1.625,1.342,0.2356,0.3799,NS,21
GOBP_LEUKOCYTE_CHEMOTAXIS,Leukocyte Chemotaxis,GO:BP,1.833,-1.132,0.05645,0.5759,NS,36
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Cellular Response To Molecule Of Bacterial Origin,GO:BP,1.705,-1.26,0.1649,0.4187,NS,34
REACTOME_SMOOTH_MUSCLE_CONTRACTION,Smooth Muscle Contraction,Reactome,1.682,-1.281,0.08767,0.3909,NS,26
GOBP_POSITIVE_REGULATION_OF_MAPK_CASCADE,Positive Regulation Of Mapk Cascade,GO:BP,1.269,-1.693,0.4731,0.07949,NS,52
WP_NUCLEOTIDE_EXCISION_REPAIR_IN_XERODERMA_PIGMENTOSUM,Wp Nucleotide Excision Repair In Xeroderma Pigmentosum,WikiPathways,-1.671,1.291,0.1901,0.4698,NS,12
WP_NEURODEGENERATION_WITH_BRAIN_IRON_ACCUMULATION_NBIA_SUBTYPES_PATHWAY,Wp Neurodegeneration With Brain Iron Accumulation Nbia Subtypes Pathway,WikiPathways,1.554,1.406,0.2922,0.3364,NS,11
WP_CELL_LINEAGE_MAP_FOR_NEURONAL_DIFFERENTIATION,Wp Cell Lineage Map For Neuronal Differentiation,WikiPathways,1.252,-1.708,0.5674,0.1471,NS,14
GOBP_GRANULOCYTE_CHEMOTAXIS,Granulocyte Chemotaxis,GO:BP,1.805,-1.152,0.1231,0.5706,NS,21
GOBP_INTERLEUKIN_6_PRODUCTION,Interleukin 6 Production,GO:BP,1.461,-1.496,0.3774,0.2723,NS,16
GOBP_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Regulation Of Supramolecular Fiber Organization,GO:BP,1.596,-1.358,0.1337,0.2206,NS,112
REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE,Myd88 Independent Tlr4 Cascade,Reactome,-1.352,1.602,0.3518,0.1147,NS,31
GOBP_INTERMEDIATE_FILAMENT_ORGANIZATION,Intermediate Filament Organization,GO:BP,1.335,-1.618,0.482,0.2034,NS,10
PID_A6B1_A6B4_INTEGRIN_PATHWAY,Pid A6b1 A6b4 Integrin Pathway,PID,1.254,-1.698,0.4197,0.1184,NS,19
GOBP_FIBROBLAST_PROLIFERATION,Fibroblast Proliferation,GO:BP,1.085,-1.866,0.6837,0.06697,NS,22
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Regulation Of Rho Protein Signal Transduction,GO:BP,1.286,-1.664,0.503,0.1719,NS,15
