gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
CRYL1,0.4159,-0.5385,0.488127,0.209754,NS,Discordant (Cancer Up / Training Down),TRUE
NADK2,-0.4398,0.514,0.261154,0.255572,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFB11,-0.5577,0.3948,0.221316,0.421326,NS,Discordant (Cancer Down / Training Up),FALSE
SIRT5,-0.6723,0.2782,0.136819,0.72756,NS,Discordant (Cancer Down / Training Up),TRUE
ENO3,-0.6277,0.321,0.136201,0.593699,NS,Discordant (Cancer Down / Training Up),FALSE
RPL8,0.6366,-0.309,0.148051,0.631731,NS,Discordant (Cancer Up / Training Down),TRUE
CTPS1,-0.3746,0.5663,0.575881,0.18489,NS,Discordant (Cancer Down / Training Up),TRUE
FERMT3,0.8758,0.0614,0.433198,0.990922,NS,Concordant Up,TRUE
TNNI1,-0.57,0.367,0.480125,0.710254,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFA9,-0.4204,0.5159,0.434378,0.161323,NS,Discordant (Cancer Down / Training Up),FALSE
ACAA1,-0.5211,-0.4107,0.186976,0.304442,NS,Concordant Down,TRUE
RPL37A,0.7312,-0.1975,0.052428,0.866977,NS,Discordant (Cancer Up / Training Down),TRUE
MCU,-0.6299,0.2971,0.089892,0.598825,NS,Discordant (Cancer Down / Training Up),TRUE
COX7A1,-0.5209,0.405,0.220933,0.337519,NS,Discordant (Cancer Down / Training Up),FALSE
HNRNPC,0.7872,0.1322,0.101861,0.942805,NS,Concordant Up,TRUE
RPL27,-0.4618,0.4563,0.212854,0.143557,NS,Discordant (Cancer Down / Training Up),TRUE
GLRX5,-0.5867,0.3305,0.185251,0.58776,NS,Discordant (Cancer Down / Training Up),TRUE
SNRNP70,0.8615,-0.0547,0.207833,0.994394,NS,Discordant (Cancer Up / Training Down),TRUE
BCAP31,0.6934,-0.2211,0.079016,0.807911,NS,Discordant (Cancer Up / Training Down),TRUE
LONP1,-0.5584,0.3546,0.070792,0.316059,NS,Discordant (Cancer Down / Training Up),FALSE
ATP5MG,-0.5959,0.3148,0.131882,0.565355,NS,Discordant (Cancer Down / Training Up),FALSE
CES2,-0.5684,0.3422,0.185537,0.552461,NS,Discordant (Cancer Down / Training Up),TRUE
TPM2,-0.1972,0.7132,0.933217,0.193736,NS,Discordant (Cancer Down / Training Up),FALSE
ENO1,0.5322,-0.3778,0.19595,0.391419,NS,Discordant (Cancer Up / Training Down),FALSE
ARPC2,0.4904,0.4175,0.187361,0.236191,NS,Concordant Up,TRUE
NID2,0.8873,0.0198,0.361047,0.999062,NS,Concordant Up,TRUE
TMEM65,-0.6242,0.2791,0.102217,0.756899,NS,Discordant (Cancer Down / Training Up),TRUE
PRKAA1,-0.6573,0.2459,0.147261,0.784744,NS,Discordant (Cancer Down / Training Up),TRUE
PRKAG1,-0.6172,0.2859,0.136474,0.662899,NS,Discordant (Cancer Down / Training Up),FALSE
NDUFS3,-0.4728,0.4283,0.278257,0.262453,NS,Discordant (Cancer Down / Training Up),FALSE
GSTM1,0.6184,-0.2814,0.546558,0.874129,NS,Discordant (Cancer Up / Training Down),TRUE
NDUFA2,-0.5683,0.3303,0.149771,0.510571,NS,Discordant (Cancer Down / Training Up),FALSE
ADI1,-0.6076,0.2908,0.226426,0.740309,NS,Discordant (Cancer Down / Training Up),TRUE
DRG1,-0.2069,0.6911,0.892186,0.115494,NS,Discordant (Cancer Down / Training Up),TRUE
MSRB2,-0.4742,0.4232,0.3245,0.446211,NS,Discordant (Cancer Down / Training Up),TRUE
UBE3A,-0.4955,-0.4012,0.066242,0.170814,NS,Concordant Down,TRUE
EMD,0.5812,-0.3125,0.22233,0.659704,NS,Discordant (Cancer Up / Training Down),TRUE
CLINT1,0.5354,-0.3558,0.238863,0.488343,NS,Discordant (Cancer Up / Training Down),TRUE
COPE,0.5526,0.3381,0.128048,0.414557,NS,Concordant Up,TRUE
OBSCN,-0.4806,0.4074,0.406671,0.473066,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFB3,-0.5294,0.3584,0.196736,0.434279,NS,Discordant (Cancer Down / Training Up),FALSE
GAA,-0.4512,0.4336,0.108523,0.075496,NS,Discordant (Cancer Down / Training Up),TRUE
TUBB2A,0.7392,-0.1439,0.070999,0.927097,NS,Discordant (Cancer Up / Training Down),FALSE
C20orf27,0.7133,0.1686,0.191339,0.909375,NS,Concordant Up,TRUE
HDDC2,-0.6334,0.2449,0.244732,0.849816,NS,Discordant (Cancer Down / Training Up),TRUE
LSS,-0.5361,-0.3396,0.07448,0.327935,NS,Concordant Down,TRUE
GYS1,-0.5752,0.2999,0.151565,0.598925,NS,Discordant (Cancer Down / Training Up),TRUE
RNF181,-0.82,0.0531,0.080283,0.993413,NS,Discordant (Cancer Down / Training Up),TRUE
