gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
MYBPC1,0.1197,0.2174,0.96268,0.83844,NS,Concordant Up,TRUE
RTN4,-0.1894,-0.1476,0.745374,0.807628,NS,Concordant Down,FALSE
FKBP5,0.0834,0.2535,0.97675,0.811927,NS,Concordant Up,TRUE
DGLUCY,-0.2409,-0.0959,0.838042,0.971066,NS,Concordant Down,TRUE
ARAF,-0.2376,0.0989,0.736302,0.959127,NS,Discordant (Cancer Down / Training Up),TRUE
FLNB,-0.2422,0.093,0.745339,0.957086,NS,Discordant (Cancer Down / Training Up),FALSE
TMCO1,0.2673,0.0678,0.778499,0.989771,NS,Concordant Up,TRUE
COPB1,0.0608,0.2734,0.990298,0.725499,NS,Concordant Up,FALSE
DDAH1,-0.2094,0.1245,0.874719,0.947325,NS,Discordant (Cancer Down / Training Up),TRUE
GPHN,-0.2329,-0.1004,0.661124,0.939849,NS,Concordant Down,TRUE
ANXA7,0.1387,-0.1941,0.780144,0.473446,NS,Discordant (Cancer Up / Training Down),FALSE
PPP1R3A,-0.0486,-0.2841,0.992899,0.683043,NS,Concordant Down,TRUE
MSI2,-0.1673,-0.1652,0.828544,0.803024,NS,Concordant Down,TRUE
PGM2L1,0.2991,-0.0334,0.571046,0.994349,NS,Discordant (Cancer Up / Training Down),FALSE
KRT2,-0.2556,0.0768,0.88209,0.988136,NS,Discordant (Cancer Down / Training Up),TRUE
IPO5,-0.2895,0.0428,0.455511,0.986908,NS,Discordant (Cancer Down / Training Up),FALSE
STX12,-0.3085,-0.0238,0.876586,0.998904,NS,Concordant Down,TRUE
ALDH3A2,-0.2307,0.1011,0.687288,0.929827,NS,Discordant (Cancer Down / Training Up),FALSE
JUP,-0.0349,0.2969,0.995929,0.598921,NS,Discordant (Cancer Down / Training Up),TRUE
MRPS21,0.2242,-0.1073,0.892093,0.975243,NS,Discordant (Cancer Up / Training Down),TRUE
MRPL21,-0.3293,0.0014,0.691751,0.999996,NS,Discordant (Cancer Down / Training Up),TRUE
OTUB1,-0.168,0.1621,0.838036,0.809783,NS,Discordant (Cancer Down / Training Up),FALSE
RPSA,0.2042,-0.1257,0.648287,0.835607,NS,Discordant (Cancer Up / Training Down),FALSE
USP14,0.2766,-0.0529,0.481442,0.978869,NS,Discordant (Cancer Up / Training Down),FALSE
CPNE3,0.1629,-0.1663,0.805296,0.742705,NS,Discordant (Cancer Up / Training Down),FALSE
DDX1,-0.1774,0.1517,0.806809,0.823809,NS,Discordant (Cancer Down / Training Up),FALSE
SRSF6,0.2728,0.0562,0.643769,0.983009,NS,Concordant Up,TRUE
COPG1,0.2327,0.0951,0.765664,0.955074,NS,Concordant Up,FALSE
TMEM109,-0.3144,0.0131,0.394001,0.998899,NS,Discordant (Cancer Down / Training Up),FALSE
HGS,0.2364,-0.0908,0.640563,0.943396,NS,Discordant (Cancer Up / Training Down),TRUE
PCBP1,-0.3003,0.0268,0.381526,0.994652,NS,Discordant (Cancer Down / Training Up),FALSE
CPNE1,0.1171,0.2099,0.928906,0.694518,NS,Concordant Up,TRUE
COQ10A,-0.1892,0.137,0.904389,0.940769,NS,Discordant (Cancer Down / Training Up),TRUE
MTHFD1,0.0809,-0.244,0.947193,0.383666,NS,Discordant (Cancer Up / Training Down),FALSE
ACAD9,-0.1809,0.1436,0.865831,0.899855,NS,Discordant (Cancer Down / Training Up),TRUE
API5,0.1934,0.1309,0.739015,0.875069,NS,Concordant Up,TRUE
ILF2,-0.1242,0.1998,0.933972,0.792149,NS,Discordant (Cancer Down / Training Up),TRUE
DCTN4,-0.2628,0.0607,0.583766,0.976859,NS,Discordant (Cancer Down / Training Up),TRUE
NLN,-0.0455,0.2777,0.992573,0.617034,NS,Discordant (Cancer Down / Training Up),TRUE
USP7,-0.2228,0.1004,0.753109,0.941991,NS,Discordant (Cancer Down / Training Up),TRUE
TMEM143,-0.2987,0.0244,0.706974,0.997994,NS,Discordant (Cancer Down / Training Up),TRUE
PPA2,-0.2147,0.1082,0.750972,0.925782,NS,Discordant (Cancer Down / Training Up),FALSE
SZRD1,-0.2253,-0.0968,0.847509,0.978955,NS,Concordant Down,TRUE
ATPAF2,-0.3122,-0.009,0.627255,0.999715,NS,Concordant Down,TRUE
COASY,0.1949,-0.126,0.798578,0.898697,NS,Discordant (Cancer Up / Training Down),FALSE
ACSL1,0.1978,-0.123,0.811133,0.91249,NS,Discordant (Cancer Up / Training Down),FALSE
RNF123,-0.2982,0.0225,0.523309,0.997187,NS,Discordant (Cancer Down / Training Up),FALSE
DDX6,-0.1942,0.1257,0.719829,0.915091,NS,Discordant (Cancer Down / Training Up),TRUE
PSMD2,-0.2182,0.1015,0.555619,0.882825,NS,Discordant (Cancer Down / Training Up),FALSE
RAB2B,0.1753,-0.1435,0.905364,0.929898,NS,Discordant (Cancer Up / Training Down),TRUE
DHX9,0.0219,0.2956,0.99842,0.576777,NS,Concordant Up,TRUE
UTRN,0.1102,-0.2068,0.955439,0.793127,NS,Discordant (Cancer Up / Training Down),TRUE
UBA1,0.2487,-0.0672,0.5071,0.958862,NS,Discordant (Cancer Up / Training Down),FALSE
PPP2CB,0.1134,0.2018,0.931043,0.742459,NS,Concordant Up,TRUE
HNRNPDL,0.1561,-0.1583,0.850834,0.805329,NS,Discordant (Cancer Up / Training Down),FALSE
PDK2,0.1565,-0.1576,0.946354,0.938668,NS,Discordant (Cancer Up / Training Down),TRUE
DYNC1I2,0.1923,0.1217,0.708802,0.858127,NS,Concordant Up,FALSE
NIPSNAP3B,-0.1609,-0.1528,0.944148,0.939646,NS,Concordant Down,TRUE
PCBP2,-0.1639,0.1495,0.862763,0.857086,NS,Discordant (Cancer Down / Training Up),FALSE
RPS26,-0.1696,-0.1437,0.812246,0.832532,NS,Concordant Down,TRUE
ETFA,-0.1763,0.1362,0.815987,0.864828,NS,Discordant (Cancer Down / Training Up),FALSE
UBA3,-0.2108,0.1015,0.794128,0.94458,NS,Discordant (Cancer Down / Training Up),FALSE
ARMC1,-0.2325,-0.0794,0.735589,0.969414,NS,Concordant Down,TRUE
DHRS11,0.2827,0.0285,0.616119,0.997415,NS,Concordant Up,TRUE
KPNA6,-0.1829,-0.128,0.765929,0.86144,NS,Concordant Down,TRUE
PDLIM2,0.1096,-0.2007,0.967733,0.909546,NS,Discordant (Cancer Up / Training Down),TRUE
UBXN4,-0.2786,-0.0317,0.659616,0.995923,NS,Concordant Down,TRUE
DNAAF5,-0.3024,0.0077,0.587784,0.999785,NS,Discordant (Cancer Down / Training Up),TRUE
UFSP2,0.1653,-0.1439,0.878013,0.909497,NS,Discordant (Cancer Up / Training Down),TRUE
ATP5F1A,-0.2421,0.0668,0.687033,0.973799,NS,Discordant (Cancer Down / Training Up),FALSE
SETD7,-0.2056,0.1025,0.761091,0.930774,NS,Discordant (Cancer Down / Training Up),TRUE
LRRC57,-0.1767,-0.1314,0.928698,0.962541,NS,Concordant Down,TRUE
TRAPPC3,0.0369,0.271,0.991847,0.404216,NS,Concordant Up,TRUE
PABPC1,-0.1518,0.1561,0.773489,0.69626999999999994,NS,Discordant (Cancer Down / Training Up),FALSE
DDX3X,0.1724,0.1346,0.783813,0.830708,NS,Concordant Up,TRUE
MAPKAPK3,0.0943,-0.2126,0.975971,0.874329,NS,Discordant (Cancer Up / Training Down),TRUE
HSP90AA1,0.2416,-0.0645,0.573213,0.966209,NS,Discordant (Cancer Up / Training Down),FALSE
GART,-0.2659,-0.0398,0.618329,0.99102,NS,Concordant Down,TRUE
GALK1,-0.2994,0.0063,0.585835,0.999831,NS,Discordant (Cancer Down / Training Up),TRUE
NUDT2,0.0203,0.2854,0.998648,0.726756,NS,Concordant Up,TRUE
BPNT1,-0.245,0.0604,0.631869,0.975599,NS,Discordant (Cancer Down / Training Up),FALSE
PPP3R1,0.1746,-0.1298,0.771614,0.845083,NS,Discordant (Cancer Up / Training Down),TRUE
TFG,0.2111,0.0933,0.805717,0.956427,NS,Concordant Up,FALSE
GNA11,0.2615,0.0429,0.598986,0.988947,NS,Concordant Up,TRUE
NDUFAB1,0.0314,0.2729,0.996081,0.564007,NS,Concordant Up,FALSE
GSTK1,-0.2755,0.0286,0.579117,0.995342,NS,Discordant (Cancer Down / Training Up),FALSE
ASS1,0.0136,-0.2903,0.999506,0.668864,NS,Discordant (Cancer Up / Training Down),FALSE
HIBADH,-0.2138,-0.089,0.736667,0.94789,NS,Concordant Down,FALSE
KRT10,-0.0389,-0.2633,0.99795,0.872236,NS,Concordant Down,FALSE
PCBD2,-0.2247,-0.0774,0.776422,0.970336,NS,Concordant Down,TRUE
LAMTOR3,0.2539,0.0477,0.703328,0.990311,NS,Concordant Up,TRUE
BTF3L4,-0.2653,-0.0363,0.447294,0.988905,NS,Concordant Down,FALSE
COX19,0.2642,0.0371,0.67896,0.993581,NS,Concordant Up,TRUE
GAPDH,0.2049,0.0962,0.566781,0.884446,NS,Concordant Up,FALSE
COPS8,-0.2819,0.0183,0.497541,0.997852,NS,Discordant (Cancer Down / Training Up),FALSE
SMYD2,-0.0953,-0.2039,0.965428,0.859981,NS,Concordant Down,TRUE
DEPTOR,-0.1797,-0.119,0.84241,0.919425,NS,Concordant Down,TRUE
RPLP0,0.0728,0.2257,0.959705,0.471939,NS,Concordant Up,FALSE
XRCC6,0.2021,0.096,0.707961,0.923272,NS,Concordant Up,FALSE
VAMP3,0.1811,-0.1169,0.828361,0.917278,NS,Discordant (Cancer Up / Training Down),TRUE
PSMD13,-0.2909,0.0067,0.55188,0.999768,NS,Discordant (Cancer Down / Training Up),FALSE
DAD1,-0.0714,0.2257,0.975908,0.686164,NS,Discordant (Cancer Down / Training Up),TRUE
RBM38,-0.1343,-0.1626,0.93025,0.913123,NS,Concordant Down,TRUE
PGPEP1,-0.2434,-0.0522,0.804465,0.992054,NS,Concordant Down,TRUE
TPD52L1,0.2861,0.009,0.714609,0.999726,NS,Concordant Up,TRUE
PSMC5,-0.1958,0.0991,0.651009,0.893576,NS,Discordant (Cancer Down / Training Up),FALSE
TRMT112,-0.2633,0.0282,0.598841,0.99563,NS,Discordant (Cancer Down / Training Up),TRUE
FKBP3,-0.1735,0.1178,0.834448,0.907982,NS,Discordant (Cancer Down / Training Up),FALSE
ERP44,0.2722,0.0189,0.526617,0.997693,NS,Concordant Up,FALSE
LYRM7,0.1243,-0.1659,0.94648,0.882411,NS,Discordant (Cancer Up / Training Down),TRUE
RAB2A,-0.0469,-0.243,0.982217,0.348678,NS,Concordant Down,FALSE
SRSF2,0.2109,-0.0787,0.753519,0.961495,NS,Discordant (Cancer Up / Training Down),FALSE
ACOT13,-0.0511,0.2382,0.990716,0.709016,NS,Discordant (Cancer Down / Training Up),FALSE
XRCC5,0.0137,0.2756,0.998985,0.390898,NS,Concordant Up,FALSE
AP1M1,0.0013,0.2832,0.999993,0.565262,NS,Concordant Up,TRUE
AHCYL2,-0.2348,-0.0487,0.739736,0.989087,NS,Concordant Down,TRUE
PPP1CA,-0.0579,0.2252,0.984029,0.650277,NS,Discordant (Cancer Down / Training Up),FALSE
MAGT1,0.2053,-0.0777,0.868369,0.983173,NS,Discordant (Cancer Up / Training Down),TRUE
CCDC43,0.2792,0.0034,0.769446,0.999972,NS,Concordant Up,TRUE
CAMK2A,-0.2174,0.0651,0.810068,0.981749,NS,Discordant (Cancer Down / Training Up),TRUE
COPS2,-0.2155,0.0669,0.742304,0.972767,NS,Discordant (Cancer Down / Training Up),FALSE
SNX3,0.2549,0.0274,0.577449,0.995046,NS,Concordant Up,FALSE
SCRN3,-0.2388,0.0434,0.804243,0.993369,NS,Discordant (Cancer Down / Training Up),TRUE
HSPA9,-0.2411,0.0409,0.587736,0.987622,NS,Discordant (Cancer Down / Training Up),FALSE
ASPH,0.2368,-0.0451,0.716629,0.989153,NS,Discordant (Cancer Up / Training Down),FALSE
UQCRH,-0.0089,0.2727,0.999754,0.654171,NS,Discordant (Cancer Down / Training Up),FALSE
RPN2,-0.1936,0.0879,0.748339,0.940582,NS,Discordant (Cancer Down / Training Up),FALSE
PAFAH1B1,-0.2796,0.0012,0.492374,0.999991,NS,Discordant (Cancer Down / Training Up),FALSE
UBFD1,0.1424,0.1381,0.937908,0.928961,NS,Concordant Up,TRUE
PITRM1,-0.1684,-0.1119,0.852551,0.921956,NS,Concordant Down,FALSE
ATP2B1,-0.081,-0.1984,0.96529,0.732017,NS,Concordant Down,TRUE
MT-ND2,-0.0708,-0.2083,0.982661,0.801319,NS,Concordant Down,TRUE
RBM8A,0.2662,0.0128,0.717198,0.999417,NS,Concordant Up,TRUE
SNRPE,0.2134,-0.0652,0.829171,0.984601,NS,Discordant (Cancer Up / Training Down),TRUE
GGPS1,0.1173,-0.1611,0.964455,0.938099,NS,Discordant (Cancer Up / Training Down),TRUE
BUB3,0.2544,0.0239,0.667415,0.997109,NS,Concordant Up,TRUE
COMT,-0.2661,0.0116,0.740206,0.999499,NS,Discordant (Cancer Down / Training Up),FALSE
SHMT1,0.024,-0.2535,0.997196,0.527469,NS,Discordant (Cancer Up / Training Down),FALSE
FDX1,0.1585,-0.1187,0.931073,0.964121,NS,Discordant (Cancer Up / Training Down),TRUE
ESD,0.0749,-0.2021,0.952948,0.525694,NS,Discordant (Cancer Up / Training Down),FALSE
SKP1,0.248,-0.0285,0.661767,0.995471,NS,Discordant (Cancer Up / Training Down),FALSE
OSBPL1A,-0.006,0.2699,0.999892,0.68204,NS,Discordant (Cancer Down / Training Up),TRUE
RNPEP,-0.158,0.1178,0.902846,0.934334,NS,Discordant (Cancer Down / Training Up),FALSE
RAB6A,0.1476,0.1277,0.872541,0.881258,NS,Concordant Up,FALSE
RPL35A,0.242,0.0325,0.783692,0.996623,NS,Concordant Up,TRUE
ESYT2,0.1299,0.1443,0.907818,0.863041,NS,Concordant Up,TRUE
NUDCD2,0.1566,0.1167,0.896328,0.930121,NS,Concordant Up,FALSE
TATDN1,0.0331,-0.239,0.995489,0.66189,NS,Discordant (Cancer Up / Training Down),TRUE
PAK2,-0.1263,0.1452,0.87153,0.780132,NS,Discordant (Cancer Down / Training Up),FALSE
PSMC1,0.184,-0.0872,0.799002,0.948227,NS,Discordant (Cancer Up / Training Down),FALSE
HLA-DRB1,0.1758,-0.0945,0.934137,0.979543,NS,Discordant (Cancer Up / Training Down),TRUE
OSBP,-0.1995,0.0706,0.7828,0.969881,NS,Discordant (Cancer Down / Training Up),TRUE
FAM185A,-0.2674,-0.0025,0.780124,0.999985,NS,Concordant Down,TRUE
HP1BP3,-0.0737,-0.1958,0.981746,0.83483,NS,Concordant Down,TRUE
CLCC1,0.0728,-0.1961,0.975465,0.761127,NS,Discordant (Cancer Up / Training Down),TRUE
ACSS2,-0.0441,-0.2243,0.989503,0.596117,NS,Concordant Down,FALSE
PTCD3,0.0327,-0.2356,0.997706,0.873971,NS,Discordant (Cancer Up / Training Down),TRUE
TSC22D1,0.2333,-0.0345,0.767755,0.994879,NS,Discordant (Cancer Up / Training Down),TRUE
MIEN1,0.2029,-0.0644,0.766117,0.975492,NS,Discordant (Cancer Up / Training Down),TRUE
CHMP6,-0.1703,-0.097,0.774399,0.917259,NS,Concordant Down,TRUE
ACSS1,-0.1794,-0.0878,0.852313,0.96312,NS,Concordant Down,TRUE
LCMT1,-0.1576,-0.1095,0.886588,0.936611,NS,Concordant Down,TRUE
COPS6,-0.2301,-0.0356,0.688604,0.99235,NS,Concordant Down,TRUE
PHYKPL,0.1818,-0.0836,0.80314700000000006,0.95592,NS,Discordant (Cancer Up / Training Down),TRUE
NCL,0.1721,-0.0932,0.802516,0.932629,NS,Discordant (Cancer Up / Training Down),FALSE
HIBCH,0.011,0.254,0.999562,0.639463,NS,Concordant Up,FALSE
MAT2B,-0.2418,-0.0228,0.628565,0.996807,NS,Concordant Down,TRUE
TSG101,-0.2332,-0.0313,0.677381,0.994375,NS,Concordant Down,TRUE
ILF3,-0.0805,0.1833,0.971948,0.801672,NS,Discordant (Cancer Down / Training Up),TRUE
VPS36,-0.1363,0.1269,0.863644,0.863472,NS,Discordant (Cancer Down / Training Up),TRUE
ARF4,0.2217,-0.0414,0.792333,0.99236,NS,Discordant (Cancer Up / Training Down),FALSE
UBE2N,0.1121,-0.1509,0.896406,0.751499,NS,Discordant (Cancer Up / Training Down),FALSE
MAP4,0.1176,-0.1449,0.923416,0.84852,NS,Discordant (Cancer Up / Training Down),FALSE
TSN,-0.242,0.02,0.65884,0.997695,NS,Discordant (Cancer Down / Training Up),FALSE
HSPA5,0.2334,0.0284,0.663362,0.994982,NS,Concordant Up,FALSE
HARS2,-0.0893,-0.1717,0.984427,0.93706,NS,Concordant Down,TRUE
UBE2I,0.254,-0.0065,0.715025,0.999814,NS,Discordant (Cancer Up / Training Down),FALSE
LSM2,0.0882,0.172,0.964324,0.817928,NS,Concordant Up,TRUE
DCTPP1,-0.0468,-0.2132,0.99471,0.845499,NS,Concordant Down,TRUE
TPP2,-0.1495,0.1104,0.870804,0.917273,NS,Discordant (Cancer Down / Training Up),TRUE
PHYHD1,0.0418,-0.218,0.996721,0.898706,NS,Discordant (Cancer Up / Training Down),TRUE
SRP14,-0.0992,0.1603,0.965262,0.881755,NS,Discordant (Cancer Down / Training Up),TRUE
NUDT16,0.1439,-0.1154,0.898856,0.923288,NS,Discordant (Cancer Up / Training Down),TRUE
MRPS23,-0.1011,-0.1581,0.966486,0.904134,NS,Concordant Down,TRUE
LNPK,-0.1773,0.0803,0.819955,0.95804,NS,Discordant (Cancer Down / Training Up),FALSE
PIN4,-0.0575,-0.199,0.986436,0.766251,NS,Concordant Down,TRUE
RPL13,0.1309,0.1256,0.940131,0.931209,NS,Concordant Up,FALSE
DYNC1H1,-0.0952,0.1608,0.918251,0.682996,NS,Discordant (Cancer Down / Training Up),FALSE
SNF8,-0.206,0.0499,0.77735,0.988882,NS,Discordant (Cancer Down / Training Up),TRUE
REEP5,-0.0757,0.18,0.971677,0.774559,NS,Discordant (Cancer Down / Training Up),FALSE
CDV3,0.2141,-0.041,0.754284,0.991809,NS,Discordant (Cancer Up / Training Down),TRUE
DNPH1,-0.1718,0.0832,0.855029,0.962994,NS,Discordant (Cancer Down / Training Up),TRUE
CRYAB,0.0395,-0.2152,0.993755,0.724474,NS,Discordant (Cancer Up / Training Down),FALSE
SYNC,0.0034,-0.251,0.999966,0.761495,NS,Discordant (Cancer Up / Training Down),TRUE
NUBPL,-0.1447,-0.1096,0.932267,0.959236,NS,Concordant Down,TRUE
MDH1,-0.0173,-0.2368,0.998117,0.452728,NS,Concordant Down,FALSE
PYCARD,-0.108,0.146,0.977799,0.925243,NS,Discordant (Cancer Down / Training Up),TRUE
RALA,0.1813,-0.0724,0.784686,0.961681,NS,Discordant (Cancer Up / Training Down),FALSE
C9orf64,0.0373,-0.2162,0.99215,0.6314,NS,Discordant (Cancer Up / Training Down),TRUE
PSMA7,0.1455,-0.1071,0.845556,0.898396,NS,Discordant (Cancer Up / Training Down),FALSE
SRSF3,0.1722,0.0802,0.835996,0.960829,NS,Concordant Up,TRUE
UBE4A,-0.1592,-0.0931,0.888356,0.969502,NS,Concordant Down,TRUE
TECR,-0.1873,0.0649,0.870925,0.984169,NS,Discordant (Cancer Down / Training Up),TRUE
SGTA,-0.1774,0.0745,0.830808,0.966442,NS,Discordant (Cancer Down / Training Up),FALSE
PSMA1,-0.2464,-0.0052,0.509234,0.999793,NS,Concordant Down,FALSE
PPP2R1A,-0.0839,0.1675,0.952333,0.73509,NS,Discordant (Cancer Down / Training Up),FALSE
SMAP1,0.1015,0.1499,0.95654,0.917696,NS,Concordant Up,TRUE
SMPX,-0.1239,-0.1272,0.95762100000000006,0.948182,NS,Concordant Down,TRUE
THAP4,0.1245,-0.1262,0.963408,0.957638,NS,Discordant (Cancer Up / Training Down),TRUE
THOP1,-0.0347,-0.216,0.99374,0.643865,NS,Concordant Down,TRUE
CHCHD4,-0.145,-0.1046,0.924556,0.95617,NS,Concordant Down,TRUE
PHB2,-0.194,0.0555,0.7314,0.976529,NS,Discordant (Cancer Down / Training Up),FALSE
NUDT3,-0.0818,-0.1671,0.962279,0.790704,NS,Concordant Down,TRUE
VTA1,-0.1958,0.053,0.786745,0.983813,NS,Discordant (Cancer Down / Training Up),TRUE
CYCS,0.0876,0.161,0.973453,0.879596,NS,Concordant Up,FALSE
WDR77,-0.2115,-0.037,0.724977,0.991372,NS,Concordant Down,FALSE
UQCRFS1,-0.1244,0.1237,0.937982,0.923048,NS,Discordant (Cancer Down / Training Up),FALSE
COPS4,-0.1893,0.0588,0.781073,0.977101,NS,Discordant (Cancer Down / Training Up),FALSE
RPS3A,-0.2039,-0.0434,0.644743,0.983349,NS,Concordant Down,FALSE
VPS13C,-0.1836,-0.063,0.792359,0.978494,NS,Concordant Down,TRUE
HSP90AB1,-0.0724,0.174,0.955815,0.637403,NS,Discordant (Cancer Down / Training Up),FALSE
CCT2,0.2281,0.0177,0.583183,0.997589,NS,Concordant Up,FALSE
RPL23A,0.1461,-0.0995,0.877321,0.931779,NS,Discordant (Cancer Up / Training Down),FALSE
EEF1D,-0.1068,-0.1387,0.9064,0.791156,NS,Concordant Down,FALSE
TBC1D4,-0.1473,-0.0978,0.854545,0.937628,NS,Concordant Down,TRUE
SEC13,-0.0887,0.1561,0.963316,0.869449,NS,Discordant (Cancer Down / Training Up),TRUE
PEPD,0.1758,0.0689,0.791691,0.964483,NS,Concordant Up,FALSE
ANKRD2,-0.108,-0.1364,0.962461,0.923428,NS,Concordant Down,TRUE
SLK,-0.081,0.163,0.978843,0.906993,NS,Discordant (Cancer Down / Training Up),TRUE
CPPED1,0.0884,-0.155,0.96838,0.871861,NS,Discordant (Cancer Up / Training Down),TRUE
PFDN5,-0.1852,-0.0575,0.770651,0.97619,NS,Concordant Down,FALSE
NT5C,0.1969,-0.0457,0.848145,0.991231,NS,Discordant (Cancer Up / Training Down),TRUE
OSTC,-0.0678,0.1743,0.982032,0.849771,NS,Discordant (Cancer Down / Training Up),TRUE
NDUFC2,-0.0215,-0.22,0.998279,0.737903,NS,Concordant Down,TRUE
PUDP,0.0768,0.1641,0.984724,0.908558,NS,Concordant Up,TRUE
RAB5C,0.226,0.0147,0.732651,0.998887,NS,Concordant Up,FALSE
STK38,-0.2042,0.0361,0.834549,0.996325,NS,Discordant (Cancer Down / Training Up),TRUE
TFRC,0.1441,-0.0958,0.936452,0.971687,NS,Discordant (Cancer Up / Training Down),TRUE
SH3GLB1,-0.1762,0.0635,0.818261,0.97402,NS,Discordant (Cancer Down / Training Up),FALSE
U2AF2,-0.0651,0.1739,0.986329,0.891722,NS,Discordant (Cancer Down / Training Up),TRUE
THTPA,-0.045,0.1927,0.991681,0.798633,NS,Discordant (Cancer Down / Training Up),TRUE
PRDX5,0.1883,-0.0486,0.743962,0.982083,NS,Discordant (Cancer Up / Training Down),FALSE
KPNA4,-0.1277,-0.1089,0.904902,0.914729,NS,Concordant Down,FALSE
GSTP1,0.0493,-0.1872,0.984736,0.671349,NS,Discordant (Cancer Up / Training Down),FALSE
PSMC6,0.1032,-0.1327,0.921774,0.82882,NS,Discordant (Cancer Up / Training Down),FALSE
QDPR,0.0606,-0.1751,0.972197,0.660403,NS,Discordant (Cancer Up / Training Down),FALSE
NIT2,-0.227,-0.0083,0.678116,0.999591,NS,Concordant Down,FALSE
MTCH2,-0.1541,0.0809,0.857272,0.954629,NS,Discordant (Cancer Down / Training Up),FALSE
SNRPD2,-0.2009,-0.0337,0.802289,0.994979,NS,Concordant Down,TRUE
CCT7,0.1276,0.1068,0.873188,0.89011,NS,Concordant Up,FALSE
SUCLG2,-0.1689,0.0655,0.879864,0.979757,NS,Discordant (Cancer Down / Training Up),FALSE
SSBP1,-0.2204,-0.0139,0.796266,0.999182,NS,Concordant Down,FALSE
TIGAR,0.1176,0.1163,0.950576,0.951613,NS,Concordant Up,TRUE
RPN1,0.2065,0.0273,0.646806,0.993922,NS,Concordant Up,FALSE
DPP3,0.114,-0.1195,0.922822,0.891776,NS,Discordant (Cancer Up / Training Down),FALSE
GDI1,-0.1723,0.0608,0.786136,0.970975,NS,Discordant (Cancer Down / Training Up),FALSE
LTA4H,0.1328,-0.1,0.817318,0.873564,NS,Discordant (Cancer Up / Training Down),FALSE
HAGH,-0.2241,0.0085,0.722973,0.999614,NS,Discordant (Cancer Down / Training Up),FALSE
LAMP2,0.1666,-0.0658,0.838204,0.971958,NS,Discordant (Cancer Up / Training Down),FALSE
ATP5F1B,-0.1329,0.0991,0.893986,0.928623,NS,Discordant (Cancer Down / Training Up),FALSE
PLCD4,-0.1885,-0.0435,0.829073,0.9906,NS,Concordant Down,TRUE
HSPA8,0.2159,-0.0158,0.625838,0.998081,NS,Discordant (Cancer Up / Training Down),FALSE
CHCHD10,0.1626,0.0691,0.916976,0.98318,NS,Concordant Up,TRUE
HEBP2,-0.0347,-0.1957,0.992157,0.615198,NS,Concordant Down,FALSE
PURA,-0.0443,0.1858,0.992117,0.80103,NS,Discordant (Cancer Down / Training Up),TRUE
RAD23B,0.0963,-0.1324,0.926024,0.81298,NS,Discordant (Cancer Up / Training Down),FALSE
CASQ1,-0.1971,0.0303,0.740338,0.993874,NS,Discordant (Cancer Down / Training Up),TRUE
KLC1,0.0548,-0.1726,0.985089,0.803847,NS,Discordant (Cancer Up / Training Down),TRUE
TOM1L2,-0.1909,0.0363,0.853122,0.995227,NS,Discordant (Cancer Down / Training Up),TRUE
PSMA4,-0.1561,0.0708,0.85003,0.965181,NS,Discordant (Cancer Down / Training Up),FALSE
MAP2K1,-0.1535,0.0729,0.882838,0.969854,NS,Discordant (Cancer Down / Training Up),FALSE
CLTB,0.1711,0.0552,0.875376,0.986146,NS,Concordant Up,TRUE
TMEM126A,-0.1258,-0.1001,0.950756,0.963218,NS,Concordant Down,TRUE
TOMM5,0.0648,-0.1599,0.989204,0.897819,NS,Discordant (Cancer Up / Training Down),TRUE
ISYNA1,0.181,0.0434,0.8657,0.992271,NS,Concordant Up,TRUE
EEF1B2,-0.1058,0.1176,0.928117,0.885373,NS,Discordant (Cancer Down / Training Up),FALSE
HDHD5,-0.1751,0.0478,0.904417,0.992191,NS,Discordant (Cancer Down / Training Up),TRUE
HSD17B12,0.1703,-0.0526,0.847596,0.984234,NS,Discordant (Cancer Up / Training Down),FALSE
CHMP4B,-0.1014,0.1212,0.944455,0.897044,NS,Discordant (Cancer Down / Training Up),FALSE
ARPC5L,0.0614,-0.1602,0.982171,0.834431,NS,Discordant (Cancer Up / Training Down),TRUE
SRP9,-0.2133,-0.0083,0.722283,0.999641,NS,Concordant Down,TRUE
ACP1,0.0817,-0.1394,0.955172,0.820605,NS,Discordant (Cancer Up / Training Down),FALSE
SND1,0.1876,0.0333,0.796032,0.993896,NS,Concordant Up,TRUE
CISD2,-0.2127,0.0079,0.883747,0.999855,NS,Discordant (Cancer Down / Training Up),TRUE
PARP1,-0.2165,-0.0035,0.711421,0.999932,NS,Concordant Down,TRUE
NDUFB10,-0.0503,0.1697,0.990545,0.846094,NS,Discordant (Cancer Down / Training Up),FALSE
PARVB,-0.1468,-0.0725,0.917252,0.977089,NS,Concordant Down,TRUE
SARNP,0.1279,0.0914,0.950509,0.955227,NS,Concordant Up,TRUE
NDUFV3,-0.0379,0.1812,0.996046,0.884062,NS,Discordant (Cancer Down / Training Up),TRUE
PPP3CC,0.18,-0.0388,0.886842,0.995288,NS,Discordant (Cancer Up / Training Down),TRUE
PGM3,0.1219,-0.0967,0.925012,0.947901,NS,Discordant (Cancer Up / Training Down),TRUE
RPL9,-0.1459,-0.0726,0.90056,0.9729,NS,Concordant Down,TRUE
CD38,0.0435,-0.1747,0.993797,0.877656,NS,Discordant (Cancer Up / Training Down),TRUE
