gene,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_CvH,pi_score_TR,significance,quadrant,imputed
MYLK2,-0.8039,-0.3785,0.055995,0.547644,NS,Concordant Down,TRUE
DES,-0.4069,0.7717,0.75909,0.209547,NS,Discordant (Cancer Down / TR Up),TRUE
ASAH1,0.6696,-0.5057,0.076455,0.179147,NS,Discordant (Cancer Up / TR Down),FALSE
MRC2,0.6795,0.4958,0.235466,0.302703,NS,Concordant Up,TRUE
ECM1,0.8233,-0.3505,0.274708,0.512519,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFS5,-0.7025,0.4645,0.097282,0.323637,NS,Discordant (Cancer Down / TR Up),FALSE
LMOD3,0.5683,-0.5952,0.263215,0.177999,NS,Discordant (Cancer Up / TR Down),TRUE
TRA2B,0.6026,0.5463,0.412811,0.470569,NS,Concordant Up,TRUE
TPSB2,0.8615,0.2871,0.070929,0.779647,NS,Concordant Up,TRUE
DHX15,-0.6804,0.4645,0.416384,0.52414,NS,Discordant (Cancer Down / TR Up),TRUE
CPT1A,-0.7811,-0.3625,0.052375,0.565804,NS,Concordant Down,TRUE
PRXL2A,0.7495,-0.394,0.105367,0.532091,NS,Discordant (Cancer Up / TR Down),FALSE
MYH8,-0.5666,0.5758,0.519911,0.447959,NS,Discordant (Cancer Down / TR Up),TRUE
SLK,-0.5331,0.6073,0.232608,0.1244,NS,Discordant (Cancer Down / TR Up),TRUE
LAMB1,1.0096,-0.1273,0.152421,0.965494,NS,Discordant (Cancer Up / TR Down),TRUE
ANP32E,0.6268,0.5033,0.348563,0.427019,NS,Concordant Up,TRUE
MYL1,-0.5389,0.5865,0.39031,0.219268,NS,Discordant (Cancer Down / TR Up),TRUE
MYL6B,-0.8127,0.3122,0.205257,0.802735,NS,Discordant (Cancer Down / TR Up),TRUE
GSTM4,0.7005,-0.4233,0.349991,0.67937,NS,Discordant (Cancer Up / TR Down),TRUE
TNNT3,0.3923,0.7306,0.734385,0.180709,NS,Concordant Up,TRUE
EMD,0.6758,-0.4405,0.093201,0.35789,NS,Discordant (Cancer Up / TR Down),TRUE
VASP,0.9464,0.1641,0.122768,0.922459,NS,Concordant Up,TRUE
SERPINA5,0.8473,-0.263,0.314598,0.778981,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFB4,-0.7096,0.4002,0.118028,0.492578,NS,Discordant (Cancer Down / TR Up),FALSE
CAPRIN1,0.2731,-0.8344,0.907746,0.104236,NS,Discordant (Cancer Up / TR Down),TRUE
DYNLT1,-0.5692,0.536,0.200588,0.204737,NS,Discordant (Cancer Down / TR Up),TRUE
TTN,0.5086,0.5766,0.553324,0.355903,NS,Concordant Up,TRUE
TPM2,-0.2664,0.8159,0.87722,0.105583,NS,Discordant (Cancer Down / TR Up),FALSE
PFDN1,-0.4917,-0.5801,0.205086,0.070838,NS,Concordant Down,TRUE
CKAP4,0.4394,0.6199,0.700692,0.25585,NS,Concordant Up,TRUE
FCGRT,0.8649,-0.1931,0.340484,0.928299,NS,Discordant (Cancer Up / TR Down),TRUE
COL15A1,0.5725,0.4844,0.345847,0.448391,NS,Concordant Up,TRUE
RHOC,0.5613,0.4904,0.218015,0.226914,NS,Concordant Up,TRUE
SLC25A42,-0.3338,0.7161,0.740045,0.140534,NS,Discordant (Cancer Down / TR Up),TRUE
LAMA2,-0.3532,0.6916,0.759797,0.210262,NS,Discordant (Cancer Down / TR Up),TRUE
RPL8,0.6859,-0.3562,0.107932,0.535408,NS,Discordant (Cancer Up / TR Down),TRUE
SYNM,0.305,0.734,0.754466,0.059093,NS,Concordant Up,TRUE
FXYD1,-0.5581,-0.4783,0.201592,0.265016,NS,Concordant Down,TRUE
PITPNB,0.502,-0.5288,0.427749,0.233691,NS,Discordant (Cancer Up / TR Down),TRUE
MYBPC2,0.9189,-0.1114,0.105918,0.975158,NS,Discordant (Cancer Up / TR Down),TRUE
WBP2,0.6627,-0.3659,0.052622,0.403257,NS,Discordant (Cancer Up / TR Down),TRUE
MRPL1,0.3725,-0.6518,0.519222,0.061233,NS,Discordant (Cancer Up / TR Down),TRUE
ALYREF,0.7669,-0.2489,0.158854,0.863922,NS,Discordant (Cancer Up / TR Down),TRUE
RPL31,-0.5831,0.4318,0.119482,0.258138,NS,Discordant (Cancer Down / TR Up),FALSE
CTBP1,-0.4229,0.59,0.268179,0.055614,NS,Discordant (Cancer Down / TR Up),TRUE
ATP5IF1,0.2812,-0.7295,0.932483,0.465497,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFA12,-0.6821,0.3219,0.153048,0.663045,NS,Discordant (Cancer Down / TR Up),FALSE
HHATL,-0.4309,-0.5725,0.453564,0.139868,NS,Concordant Down,TRUE
HYI,0.8823,0.1155,0.259563,0.970132,NS,Concordant Up,TRUE
NDUFAF5,-0.2778,0.7141,0.71335,0.069097,NS,Discordant (Cancer Down / TR Up),TRUE
MRPS27,-0.5154,0.4752,0.291402,0.366372,NS,Discordant (Cancer Down / TR Up),TRUE
RPL27,-0.4946,0.4957,0.16814,0.099044,NS,Discordant (Cancer Down / TR Up),TRUE
MRPS17,-0.6966,-0.2896,0.171106,0.761748,NS,Concordant Down,TRUE
UBE2D1,-0.5511,-0.4316,0.242553,0.378574,NS,Concordant Down,TRUE
SMS,-0.4969,0.4858,0.247855,0.192925,NS,Discordant (Cancer Down / TR Up),TRUE
PAIP1,0.3946,-0.5843,0.606609,0.240331,NS,Discordant (Cancer Up / TR Down),TRUE
BDH1,-0.6742,-0.303,0.184943,0.709256,NS,Concordant Down,TRUE
UQCRQ,-0.6385,0.3387,0.11615,0.541801,NS,Discordant (Cancer Down / TR Up),FALSE
MAPK9,-0.6218,0.3546,0.100846,0.521663,NS,Discordant (Cancer Down / TR Up),TRUE
GMFB,0.4971,0.4749,0.411642,0.377708,NS,Concordant Up,TRUE
EMC2,-0.5523,0.4187,0.210831,0.513649,NS,Discordant (Cancer Down / TR Up),TRUE
MAPK12,-0.4232,-0.5445,0.399483,0.112079,NS,Concordant Down,TRUE
ATE1,0.3997,0.5638,0.638862,0.343132,NS,Concordant Up,TRUE
MYH7,-0.79,0.1718,0.21787,0.939706,NS,Discordant (Cancer Down / TR Up),TRUE
CTPS1,-0.3862,0.5742,0.549838,0.170914,NS,Discordant (Cancer Down / TR Up),TRUE
TIMM8A,-0.6899,0.2703,0.14622,0.770939,NS,Discordant (Cancer Down / TR Up),TRUE
CES2,-0.5901,0.3673,0.168995,0.506871,NS,Discordant (Cancer Down / TR Up),TRUE
VWF,0.6873,-0.266,0.106509,0.713643,NS,Discordant (Cancer Up / TR Down),TRUE
THEM6,-0.7617,0.1914,0.314248,0.942053,NS,Discordant (Cancer Down / TR Up),TRUE
ACAA1,-0.6034,-0.3469,0.085138,0.445606,NS,Concordant Down,TRUE
NRP1,0.5782,-0.3702,0.206594,0.515542,NS,Discordant (Cancer Up / TR Down),TRUE
STMN1,0.6654,-0.2814,0.185482,0.749397,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFS4,-0.5999,0.3459,0.198624,0.568063,NS,Discordant (Cancer Down / TR Up),TRUE
ADI1,-0.6329,0.3106,0.186469,0.698235,NS,Discordant (Cancer Down / TR Up),TRUE
HNRNPC,0.6879,0.2554,0.179894,0.769087,NS,Concordant Up,TRUE
CRYL1,0.4036,-0.536,0.51032,0.210396,NS,Discordant (Cancer Up / TR Down),TRUE
APOBEC2,-0.6383,-0.2981,0.140151,0.660551,NS,Concordant Down,TRUE
FERMT3,0.8796,0.0565,0.430885,0.992362,NS,Concordant Up,TRUE
ALDH1A1,0.5827,-0.3519,0.128913,0.451612,NS,Discordant (Cancer Up / TR Down),FALSE
FTH1,-0.3752,0.5559,0.513961,0.099782,NS,Discordant (Cancer Down / TR Up),FALSE
TNNI1,-0.5551,0.3723,0.498679,0.699423,NS,Discordant (Cancer Down / TR Up),TRUE
RPL24,0.5326,-0.3944,0.177148,0.386226,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFA8,-0.5471,0.3791,0.219839,0.447111,NS,Discordant (Cancer Down / TR Up),TRUE
CPA3,0.3791,-0.5431,0.566331,0.168628,NS,Discordant (Cancer Up / TR Down),TRUE
TMEM65,-0.6336,0.2833,0.091318,0.747159,NS,Discordant (Cancer Down / TR Up),TRUE
NID2,0.8755,0.0374,0.383862,0.996703,NS,Concordant Up,TRUE
COL4A2,0.9069,0.0047,0.162656,0.999966,NS,Concordant Up,TRUE
NADK2,-0.4204,0.4895,0.322027,0.309086,NS,Discordant (Cancer Down / TR Up),TRUE
RPL32,-0.4294,0.4768,0.445912,0.380903,NS,Discordant (Cancer Down / TR Up),TRUE
AUH,-0.5408,0.3635,0.22842,0.491541,NS,Discordant (Cancer Down / TR Up),TRUE
GSTM1,0.6299,-0.2741,0.531951,0.880109,NS,Discordant (Cancer Up / TR Down),TRUE
GAA,-0.4613,0.4409,0.10227,0.072753,NS,Discordant (Cancer Down / TR Up),TRUE
ARPC2,0.54990000000000006,0.352,0.103072,0.378114,NS,Concordant Up,TRUE
UBE3A,-0.4978,-0.4024,0.059945,0.160954,NS,Concordant Down,TRUE
PRKAG1,-0.6152,0.2843,0.135429,0.662601,NS,Discordant (Cancer Down / TR Up),FALSE
MAOA,0.4884,-0.4098,0.291692,0.34374,NS,Discordant (Cancer Up / TR Down),FALSE
ALDH2,0.6399,-0.256,0.125143,0.736632,NS,Discordant (Cancer Up / TR Down),FALSE
CSRP2,0.6459,-0.2481,0.466366,0.886491,NS,Discordant (Cancer Up / TR Down),TRUE
OBSCN,-0.4815,0.4118,0.404363,0.46245000000000003,NS,Discordant (Cancer Down / TR Up),TRUE
HSPA2,-0.6625,-0.2306,0.07609,0.764511,NS,Concordant Down,TRUE
SLC25A4,-0.4615,0.4294,0.483449,0.447413,NS,Discordant (Cancer Down / TR Up),FALSE
MSRB2,-0.4695,0.4203,0.354387,0.466868,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFB1,-0.3753,0.5141,0.512206,0.158156,NS,Discordant (Cancer Down / TR Up),TRUE
CAPZA1,0.5975,0.29,0.159568,0.653334,NS,Concordant Up,FALSE
CKMT2,-0.5862,0.3005,0.220601,0.668107,NS,Discordant (Cancer Down / TR Up),FALSE
MT-ATP8,-0.7442,0.142,0.121111,0.942642,NS,Discordant (Cancer Down / TR Up),TRUE
ITGA6,0.5108,-0.3749,0.451725,0.587051,NS,Discordant (Cancer Up / TR Down),TRUE
PSAP,0.6271,-0.2579,0.089547,0.688833,NS,Discordant (Cancer Up / TR Down),FALSE
TNNI2,0.4802,0.4025,0.620856,0.666012,NS,Concordant Up,TRUE
SAMM50,-0.6477,0.235,0.09912,0.764542,NS,Discordant (Cancer Down / TR Up),FALSE
COPE,0.539,0.3436,0.137064,0.389525,NS,Concordant Up,TRUE
NDUFA3,-0.5354,0.3459,0.49494,0.737581,NS,Discordant (Cancer Down / TR Up),TRUE
LSS,-0.5555,-0.3242,0.064572,0.381995,NS,Concordant Down,TRUE
SNX9,0.6221,-0.2547,0.243275,0.813774,NS,Discordant (Cancer Up / TR Down),TRUE
PDHB,-0.6073,0.2653,0.076656,0.634932,NS,Discordant (Cancer Down / TR Up),FALSE
PFKM,-0.6003,0.2714,0.159192,0.696953,NS,Discordant (Cancer Down / TR Up),FALSE
MVP,0.4737,0.3938,0.388861,0.449048,NS,Concordant Up,TRUE
DARS2,0.2589,0.6081,0.742997,0.073948,NS,Concordant Up,TRUE
GYS1,-0.5654,0.301,0.151197,0.582401,NS,Discordant (Cancer Down / TR Up),TRUE
MAPK14,-0.5709,0.2937,0.115904,0.606825,NS,Discordant (Cancer Down / TR Up),TRUE
UBE2F,-0.4172,0.4467,0.529043,0.413194,NS,Discordant (Cancer Down / TR Up),TRUE
YBX3,-0.674,0.1889,0.077263,0.849058,NS,Discordant (Cancer Down / TR Up),FALSE
SNU13,-0.6343,0.228,0.15944,0.826741,NS,Discordant (Cancer Down / TR Up),TRUE
TOMM7,0.7496,-0.1049,0.176947,0.973937,NS,Discordant (Cancer Up / TR Down),TRUE
OSTF1,0.5649,0.2895,0.322734,0.651393,NS,Concordant Up,TRUE
SLMAP,-0.5027,-0.35,0.150755,0.362714,NS,Concordant Down,TRUE
NDUFA13,-0.3855,0.4663,0.547094,0.284353,NS,Discordant (Cancer Down / TR Up),FALSE
TPP1,0.6855,-0.1658,0.078062,0.883519,NS,Discordant (Cancer Up / TR Down),TRUE
SH3BGR,-0.6741,-0.177,0.09657,0.877862,NS,Concordant Down,TRUE
HSPB3,-0.584,-0.2652,0.098224,0.641879,NS,Concordant Down,TRUE
MYL6,0.6908,0.1581,0.157723,0.923462,NS,Concordant Up,FALSE
RWDD1,-0.6554,-0.1921,0.061608,0.83118,NS,Concordant Down,TRUE
UNC45B,-0.5736,0.2722,0.112361,0.623579,NS,Discordant (Cancer Down / TR Up),TRUE
CCDC93,-0.4107,0.4351,0.687312,0.486618,NS,Discordant (Cancer Down / TR Up),TRUE
SMYD5,0.2628,-0.5789,0.674783,0.076273,NS,Discordant (Cancer Up / TR Down),TRUE
S100A16,0.507,-0.3334,0.667579,0.601985,NS,Discordant (Cancer Up / TR Down),TRUE
HSPH1,0.2632,0.576,0.770717,0.300929,NS,Concordant Up,TRUE
RNF181,-0.2546,-0.5832,0.851442,0.303033,NS,Concordant Down,TRUE
DNAJB4,0.5019,0.3325,0.282641,0.576659,NS,Concordant Up,TRUE
APOO,-0.6766,0.1576,0.088626,0.902215,NS,Discordant (Cancer Down / TR Up),TRUE
CNP,0.6757,-0.1572,0.051495,0.890996,NS,Discordant (Cancer Up / TR Down),TRUE
HMGB2,0.5101,-0.3228,0.19907,0.479031,NS,Discordant (Cancer Up / TR Down),TRUE
ABHD16A,-0.5833,-0.249,0.242089,0.849108,NS,Concordant Down,TRUE
STARD10,0.206,-0.6255,0.894858,0.296209,NS,Discordant (Cancer Up / TR Down),TRUE
ATP5ME,-0.5802,0.2504,0.119108,0.691074,NS,Discordant (Cancer Down / TR Up),FALSE
EDF1,-0.6179,-0.2114,0.172523,0.865419,NS,Concordant Down,TRUE
COL18A1,0.5177,-0.3112,0.227304,0.573762,NS,Discordant (Cancer Up / TR Down),TRUE
NDUFB9,-0.5282,0.2999,0.261556,0.640739,NS,Discordant (Cancer Down / TR Up),TRUE
HLA-DRA,0.5433,-0.2848,0.085565,0.542694,NS,Discordant (Cancer Up / TR Down),TRUE
NPTN,-0.2577,0.57,0.856669,0.346494,NS,Discordant (Cancer Down / TR Up),TRUE
CAMK2D,-0.4658,0.3592,0.081025,0.170704,NS,Discordant (Cancer Down / TR Up),FALSE
NDUFS6,-0.6412,0.1835,0.121153,0.865683,NS,Discordant (Cancer Down / TR Up),FALSE
OPTN,-0.6423,0.1823,0.05153,0.832409,NS,Discordant (Cancer Down / TR Up),TRUE
CCDC22,0.2821,0.542,0.798802,0.383739,NS,Concordant Up,TRUE
CSDE1,-0.6108,0.2118,0.086311,0.776396,NS,Discordant (Cancer Down / TR Up),FALSE
MYH11,0.3683,0.4542,0.668876,0.407548,NS,Concordant Up,TRUE
ACTA1,0.2599,0.5619,0.859805,0.316119,NS,Concordant Up,FALSE
RPL23,0.5527,-0.2682,0.073546,0.554596,NS,Discordant (Cancer Up / TR Down),FALSE
MCCC2,-0.6789,-0.1395,0.07148,0.920001,NS,Concordant Down,TRUE
TPM1,-0.0977,0.72,0.985082,0.20792,NS,Discordant (Cancer Down / TR Up),FALSE
NUDT19,-0.3535,0.4639,0.605823,0.417093,NS,Discordant (Cancer Down / TR Up),TRUE
TNNC2,0.2263,0.5909,0.905498,0.324788,NS,Concordant Up,TRUE
MLIP,-0.5172,0.2997,0.444708,0.766237,NS,Discordant (Cancer Down / TR Up),TRUE
TMX4,-0.3659,-0.4507,0.349212,0.096073,NS,Concordant Down,TRUE
RPS11,-0.4466,-0.3684,0.320402,0.430552,NS,Concordant Down,TRUE
PNPO,-0.3213,-0.4936,0.542743,0.098964,NS,Concordant Down,TRUE
GLRX5,-0.5336,0.2778,0.268191,0.705568,NS,Discordant (Cancer Down / TR Up),TRUE
DTNA,-0.5694,-0.2391,0.206026,0.773423,NS,Concordant Down,TRUE
RPS13,-0.3741,0.4339,0.420221,0.195497,NS,Discordant (Cancer Down / TR Up),TRUE
MCM3AP,-0.7437,-0.0628,0.142792,0.990483,NS,Concordant Down,TRUE
PLIN5,-0.6379,0.1684,0.193146,0.910724,NS,Discordant (Cancer Down / TR Up),TRUE
ACYP2,-0.6723,0.1339,0.097246,0.931832,NS,Discordant (Cancer Down / TR Up),FALSE
DCD,0.4753,0.3304,0.682509,0.85008,NS,Concordant Up,TRUE
SNRNP70,0.6129,0.1868,0.471797,0.92686,NS,Concordant Up,TRUE
GLS,-0.6824,-0.1158,0.076869,0.952768,NS,Concordant Down,TRUE
BDH2,0.3741,0.4233,0.489907,0.315419,NS,Concordant Up,TRUE
GNA13,0.5698,-0.2276,0.222155,0.797946,NS,Discordant (Cancer Up / TR Down),TRUE
PPIF,-0.5763,0.221,0.274484,0.835599,NS,Discordant (Cancer Down / TR Up),FALSE
SEPTIN9,0.4572,0.3397,0.399245,0.564207,NS,Concordant Up,TRUE
BAG6,-0.7394,0.0571,0.20155,0.993242,NS,Discordant (Cancer Down / TR Up),TRUE
RDH11,0.5773,-0.2181,0.170562,0.833876,NS,Discordant (Cancer Up / TR Down),TRUE
SNRPB,-0.4793,0.316,0.124796,0.433994,NS,Discordant (Cancer Down / TR Up),TRUE
MYOM1,-0.4873,0.306,0.417234,0.689766,NS,Discordant (Cancer Down / TR Up),TRUE
TPM3,-0.28,0.5123,0.872756,0.506757,NS,Discordant (Cancer Down / TR Up),FALSE
SNX2,0.5744,0.2164,0.139193,0.778116,NS,Concordant Up,FALSE
BCAT2,-0.4946,-0.2961,0.198776,0.554732,NS,Concordant Down,TRUE
NDUFAF3,-0.5845,0.206,0.081998,0.78096,NS,Discordant (Cancer Down / TR Up),TRUE
TGM2,0.565,0.2247,0.18215,0.779652,NS,Concordant Up,FALSE
NAPRT,0.4833,-0.3061,0.226311,0.507047,NS,Discordant (Cancer Up / TR Down),TRUE
SVIL,0.4666,0.3226,0.40224,0.709898,NS,Concordant Up,TRUE
CRK,0.6184,0.1708,0.107453,0.871642,NS,Concordant Up,TRUE
COQ6,-0.5382,-0.2505,0.275215,0.759692,NS,Concordant Down,TRUE
ACADSB,-0.5733,-0.2141,0.132449,0.778435,NS,Concordant Down,TRUE
SSR4,0.5281,0.2592,0.247511,0.677236,NS,Concordant Up,TRUE
RPS23,0.4214,-0.3647,0.649121,0.699989,NS,Discordant (Cancer Up / TR Down),TRUE
RGN,0.6856,0.0997,0.060417,0.966463,NS,Concordant Up,TRUE
NUP93,-0.5509,-0.2331,0.260638,0.842706,NS,Concordant Down,TRUE
PDIA4,0.5268,0.2554,0.16575,0.672218,NS,Concordant Up,TRUE
KLHL40,-0.5699,0.2109,0.315706,0.861412,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFB11,-0.4705,0.3102,0.355402,0.604625,NS,Discordant (Cancer Down / TR Up),FALSE
CARS1,0.5506,-0.2267,0.091686,0.702378,NS,Discordant (Cancer Up / TR Down),TRUE
FITM2,-0.4112,0.3652,0.290067,0.40431,NS,Discordant (Cancer Down / TR Up),TRUE
GOT2,-0.4711,0.3033,0.402383,0.656613,NS,Discordant (Cancer Down / TR Up),FALSE
PSMB3,0.4849,-0.2892,0.095285,0.415919,NS,Discordant (Cancer Up / TR Down),FALSE
CACNB3,-0.544,-0.2288,0.129709,0.718902,NS,Concordant Down,TRUE
PRPS1,0.43120000000000003,-0.3405,0.291795,0.398192,NS,Discordant (Cancer Up / TR Down),FALSE
PM20D2,-0.7075,0.0636,0.118923,0.988205,NS,Discordant (Cancer Down / TR Up),TRUE
MRPL37,-0.6085,0.1602,0.257715,0.937443,NS,Discordant (Cancer Down / TR Up),TRUE
FAM114A1,0.697,-0.0717,0.196507,0.983327,NS,Discordant (Cancer Up / TR Down),TRUE
LNPEP,-0.3929,0.3756,0.331779,0.311072,NS,Discordant (Cancer Down / TR Up),TRUE
MICU1,-0.6079,0.1594,0.255899,0.929879,NS,Discordant (Cancer Down / TR Up),TRUE
ENO1,0.4972,-0.2681,0.266201,0.672387,NS,Discordant (Cancer Up / TR Down),FALSE
RAB1B,0.5062,-0.2589,0.136725,0.597402,NS,Discordant (Cancer Up / TR Down),FALSE
CACNA1S,-0.3887,-0.3764,0.243564,0.196149,NS,Concordant Down,TRUE
ARIH2,-0.2839,-0.481,0.636395,0.1595,NS,Concordant Down,TRUE
MRPL46,-0.7517,0.013,0.059337,0.999486,NS,Discordant (Cancer Down / TR Up),TRUE
RRAD,-0.6595,0.1052,0.062083,0.953759,NS,Discordant (Cancer Down / TR Up),TRUE
SLC25A13,-0.5792,0.1844,0.135047,0.841513,NS,Discordant (Cancer Down / TR Up),TRUE
PMM2,0.5064,0.2561,0.097611,0.558908,NS,Concordant Up,FALSE
COQ5,-0.6743,-0.087,0.103951,0.973342,NS,Concordant Down,TRUE
COX7C,-0.6898,0.0708,0.135611,0.984808,NS,Discordant (Cancer Down / TR Up),FALSE
PLP2,0.4096,0.3501,0.585894,0.655806,NS,Concordant Up,TRUE
IDH3G,-0.5591,0.1986,0.178824,0.824525,NS,Discordant (Cancer Down / TR Up),TRUE
NDUFB3,-0.46,0.2965,0.30353,0.578811,NS,Discordant (Cancer Down / TR Up),FALSE
VKORC1L1,0.337,-0.4183,0.582669,0.332054,NS,Discordant (Cancer Up / TR Down),TRUE
NANS,0.5045,0.2505,0.251527,0.712301,NS,Concordant Up,TRUE
TIMM50,-0.6425,0.1119,0.090256,0.953381,NS,Discordant (Cancer Down / TR Up),TRUE
DCTN3,0.4981,-0.2562,0.182443,0.663687,NS,Discordant (Cancer Up / TR Down),TRUE
PHKB,-0.4815,0.2721,0.315686,0.685536,NS,Discordant (Cancer Down / TR Up),TRUE
ACO1,0.4753,-0.2777,0.084074,0.415876,NS,Discordant (Cancer Up / TR Down),FALSE
MYH3,0.7397,-0.0132,0.36867,0.999758,NS,Discordant (Cancer Up / TR Down),TRUE
CNPY2,0.4294,0.3235,0.311374,0.493288,NS,Concordant Up,TRUE
NDUFA2,-0.4914,0.2613,0.249472,0.669247,NS,Discordant (Cancer Down / TR Up),FALSE
MARS1,-0.2822,-0.4701,0.841419,0.618374,NS,Concordant Down,TRUE
ABCA8,0.6747,-0.0774,0.128363,0.979384,NS,Discordant (Cancer Up / TR Down),TRUE
RPL29,0.5559,-0.1959,0.652156,0.948953,NS,Discordant (Cancer Up / TR Down),TRUE
ISCA1,0.3619,-0.3895,0.627116,0.537507,NS,Discordant (Cancer Up / TR Down),TRUE
FLNC,-0.466,0.285,0.33281,0.640888,NS,Discordant (Cancer Down / TR Up),TRUE
ACTN2,0.0202,0.7292,0.999622,0.427028,NS,Concordant Up,TRUE
CBR4,-0.4628,-0.2848,0.351726,0.66009,NS,Concordant Down,TRUE
MAP2K4,-0.5385,0.2077,0.080429,0.724914,NS,Discordant (Cancer Down / TR Up),TRUE
ART3,-0.2096,-0.5364,0.82138,0.093602,NS,Concordant Down,TRUE
GCN1,0.3984,0.3467,0.547556,0.646351,NS,Concordant Up,TRUE
MXRA7,0.5276,0.2168,0.262699,0.821499,NS,Concordant Up,TRUE
