"gene","cv_t1","cv_t2","delta_cv","group"
"YWHAZ",92.6394709796855,79.5321083925707,-13.1073625871149,"CR (pooled)"
"HSPA2",44.7923101668164,56.6615135473371,11.8692033805207,"CR (pooled)"
"HSPD1",58.314354097556,28.7992016207681,-29.5151524767879,"CR (pooled)"
"ATP5PB",48.9753996527217,43.2001402101943,-5.77525944252742,"CR (pooled)"
"FLNA",98.2473338221434,54.7175986179689,-43.5297352041745,"CR (pooled)"
"KRT1",197.627464194718,80.2607677981081,-117.36669639661,"CR (pooled)"
"ARL6IP5",40.6150318201904,14.4624732551456,-26.1525585650448,"CR (pooled)"
"PDHB",60.1846597917115,33.4133825636316,-26.7712772280799,"CR (pooled)"
"ACTN1",82.4334716039877,129.064414553907,46.6309429499193,"CR (pooled)"
"COX6B1",44.6510361184459,52.2735003974936,7.6224642790477,"CR (pooled)"
"TUFM",29.066139422651,23.7469572801689,-5.31918214248205,"CR (pooled)"
"HAGH",33.2776601974855,22.3533526430001,-10.9243075544854,"CR (pooled)"
"TAGLN",115.721163545686,79.5176150759661,-36.2035484697199,"CR (pooled)"
"NDUFS1",38.6124676197239,24.0263442046538,-14.5861234150701,"CR (pooled)"
"DLD",31.9026201335013,20.0501140772565,-11.8525060562448,"CR (pooled)"
"OGDH",39.4377996029918,35.649229357244,-3.78857024574776,"CR (pooled)"
"COQ9",55.8710435839369,40.8745288188961,-14.9965147650408,"CR (pooled)"
"DLAT",48.7374820333017,26.1639739512293,-22.5735080820724,"CR (pooled)"
"COQ8A",33.7566809105748,35.1247215105794,1.36804060000459,"CR (pooled)"
"SLC25A12",40.1327467423876,25.9693817372363,-14.1633650051513,"CR (pooled)"
"FKBP3",24.66901298327,21.9429769487739,-2.72603603449608,"CR (pooled)"
"EEF2",17.4852612072184,11.8880518274508,-5.59720937976765,"CR (pooled)"
"ACTN4",83.3151108642976,97.8568118535254,14.5417009892278,"CR (pooled)"
"PDHA1",49.1757734618408,39.0403316454336,-10.1354418164073,"CR (pooled)"
"MSN",88.0772139577443,71.8973257762972,-16.1798881814471,"CR (pooled)"
"GSTO1",38.8992627620354,54.0748829013876,15.1756201393522,"CR (pooled)"
"BPGM",79.3419506853285,86.4823088706024,7.1403581852739,"CR (pooled)"
"GPD1L",44.5451458719908,40.0622454435769,-4.48290042841395,"CR (pooled)"
"SUCLA2",52.3257985313692,40.3543873734041,-11.9714111579652,"CR (pooled)"
"UBA1",22.5113757726784,30.3235881786223,7.81221240594392,"CR (pooled)"
"ACADM",48.3932476817754,39.6647076695056,-8.72854001226983,"CR (pooled)"
"COMP",158.214556767614,120.614826163302,-37.5997306043116,"CR (pooled)"
"SDHB",34.0751658172861,30.7480258717179,-3.32713994556819,"CR (pooled)"
"ALDH9A1",27.0448153051906,28.4888256550762,1.44401034988554,"CR (pooled)"
"FBP1",62.3495599788671,44.9040609271614,-17.4454990517057,"CR (pooled)"
"PRELP",184.284300979538,117.940960902718,-66.3433400768195,"CR (pooled)"
"GAMT",30.8878592296093,31.6141926206069,0.72633339099762,"CR (pooled)"
"SAR1A",43.1820309021041,47.9740112349813,4.79198033287722,"CR (pooled)"
"AOC3",132.584197631046,103.039681931665,-29.5445156993804,"CR (pooled)"
"GSTM3",55.1612570398358,44.4696769510138,-10.691580088822,"CR (pooled)"
"P4HB",57.1229960983336,34.2297087914194,-22.8932873069142,"CR (pooled)"
"FTL",145.609019679241,80.071575259044,-65.5374444201967,"CR (pooled)"
"LRRC20",33.3627097128807,33.3564525655372,-0.00625714734355398,"CR (pooled)"
"COX7C",61.13553118084,46.7591975673915,-14.3763336134485,"CR (pooled)"
"EHD1",99.4705217309919,90.251733598753,-9.21878813223883,"CR (pooled)"
"SNCA",83.3729062873214,95.9899048571789,12.6169985698575,"CR (pooled)"
"RAP1B",97.0831872669736,73.3994810404163,-23.6837062265573,"CR (pooled)"
"YWHAB",50.0474038804462,67.4988309753736,17.4514270949273,"CR (pooled)"
"H3-3A",117.901624349918,147.644474328201,29.7428499782837,"CR (pooled)"
"PPP3CA",20.7099995275737,20.0477052492956,-0.662294278278111,"CR (pooled)"
"NDUFB10",45.626782460118,23.8352363502243,-21.7915461098938,"CR (pooled)"
"S100A10",129.812365644238,87.8322900019574,-41.9800756422808,"CR (pooled)"
"ARHGDIA",60.3186005028341,60.1050991052485,-0.213501397585603,"CR (pooled)"
"GPT",42.3847676572449,45.8354591889554,3.45069153171045,"CR (pooled)"
"REEP5",31.9951753439734,27.7110112743052,-4.28416406966825,"CR (pooled)"
"ACADS",44.3557373842309,54.7220151290812,10.3662777448503,"CR (pooled)"
"ACTC1",61.1285375183041,91.7389141826998,30.6103766643957,"CR (pooled)"
"DDB1",17.584945226848,11.3251262500503,-6.25981897679767,"CR (pooled)"
"ALDH2",89.3155224813823,79.2136288687963,-10.101893612586,"CR (pooled)"
"ALDH1A1",52.6357374320414,46.7364153220054,-5.89932211003603,"CR (pooled)"
"ACOT2",26.2012814374299,26.7557529342345,0.554471496804602,"CR (pooled)"
"GDI2",29.5876830892167,31.0931404645792,1.50545737536253,"CR (pooled)"
"PSMC1",52.3170640773615,27.6251678171513,-24.6918962602102,"CR (pooled)"
"GSTM1",76.4970094865006,94.3887206217486,17.891711135248,"CR (pooled)"
"S100B",154.71267560974,82.2881574765397,-72.4245181332004,"CR (pooled)"
"UQCRQ",62.505299107959,40.110097455877,-22.3952016520821,"CR (pooled)"
"FKBP1A",44.3146114525295,16.0987604989189,-28.2158509536106,"CR (pooled)"
"OLA1",22.0750963250703,18.2231645272043,-3.85193179786601,"CR (pooled)"
"PHB2",26.1509097206485,21.875354036092,-4.27555568455642,"CR (pooled)"
"ANXA7",16.1190950492656,16.2975536552711,0.178458606005517,"CR (pooled)"
"GRHPR",20.9086364734376,17.4610426949616,-3.447593778476,"CR (pooled)"
"NDUFV2",38.995799248651,23.6396359713727,-15.3561632772783,"CR (pooled)"
"PCBP1",23.1983112190533,17.1655273846516,-6.0327838344017,"CR (pooled)"
"CES1",129.205752144821,117.520425139018,-11.685327005803,"CR (pooled)"
"WDR1",18.901758150823,14.5948945036867,-4.30686364713627,"CR (pooled)"
"ETFB",35.7683761861095,41.9056224094453,6.13724622333583,"CR (pooled)"
"DUSP3",27.0905384526119,25.4205923460157,-1.66994610659621,"CR (pooled)"
"AMPD1",53.8821986880782,42.138903478677,-11.7432952094012,"CR (pooled)"
"PFN2",43.0134334632675,28.1070538851313,-14.9063795781362,"CR (pooled)"
"EIF4A1",26.6847313488345,33.2021942607083,6.51746291187378,"CR (pooled)"
"HSPB2",32.4887403401547,22.7393558960834,-9.74938444407129,"CR (pooled)"
"CRYM",60.317014780847,32.2279187472723,-28.0890960335747,"CR (pooled)"
"MYO6",75.6488493104972,37.2639082433987,-38.3849410670985,"CR (pooled)"
"SLC25A13",43.5188304497598,31.3947134715213,-12.1241169782385,"CR (pooled)"
"PLN",51.7719384276859,38.1993267628201,-13.5726116648658,"CR (pooled)"
"PFKL",48.4887878750768,34.0083043880169,-14.4804834870598,"CR (pooled)"
"STOM",80.3746550273503,83.3633008072686,2.98864577991836,"CR (pooled)"
"PPP3R1",15.7557433853884,22.1682285711425,6.41248518575411,"CR (pooled)"
"HSPA9",32.5711364750449,26.645683998956,-5.92545247608889,"CR (pooled)"
"UBE2D3",34.6305216582302,37.4560806724536,2.82555901422339,"CR (pooled)"
"PRKAR1A",30.191450878829,17.6288299895039,-12.5626208893251,"CR (pooled)"
"ARF1",58.887783148489,40.9817849837753,-17.9059981647137,"CR (pooled)"
"SUCLG1",52.7275801914212,39.1206356915547,-13.6069444998665,"CR (pooled)"
"TALDO1",54.8203598935982,52.5738915056814,-2.24646838791678,"CR (pooled)"
"HSDL2",33.125220836842,46.0871491584561,12.9619283216141,"CR (pooled)"
"FABP5",128.13353258573,38.4068171064984,-89.7267154792319,"CR (pooled)"
"CZIB",28.2462609701857,26.1700968379368,-2.07616413224896,"CR (pooled)"
"S100A13",101.400974174411,54.2029607845377,-47.1980133898733,"CR (pooled)"
"SMPX",35.0263335276516,55.6691081361425,20.6427746084909,"CR (pooled)"
"PCBD2",35.2763666938871,27.0483205335181,-8.22804616036901,"CR (pooled)"
"PREP",33.2083279481331,26.4524834351397,-6.7558445129934,"CR (pooled)"
"SKP1",30.9280789124538,34.3406913283925,3.41261241593874,"CR (pooled)"
"RPL7",42.8671554854285,34.7538920256642,-8.1132634597643,"CR (pooled)"
"HIBADH",36.501519338066,28.9177401797818,-7.58377915828424,"CR (pooled)"
"EEF1D",25.4343607985033,20.3732882618473,-5.06107253665603,"CR (pooled)"
"FMOD",149.51265614208,128.14032285759,-21.3723332844897,"CR (pooled)"
"VCP",28.7556241686883,29.1027293107398,0.347105142051493,"CR (pooled)"
"PNP",89.61057727233,65.4264574003321,-24.1841198719979,"CR (pooled)"
"PBXIP1",28.7658200400349,30.8439069904639,2.07808695042903,"CR (pooled)"
"MYOZ1",139.549389932249,164.704200641585,25.1548107093361,"CR (pooled)"
