gene,cv_cr,cv_h,delta_cv,is_plasma,protein_class,subcellular_main
FABP4,163.5979831775252,28.220840515344946,135.37714266218026,TRUE,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Nucleoplasm, Cytosol"
FABP3,42.30797944486614,22.007330205312666,20.300649239553476,TRUE,"Candidate cardiovascular disease genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Focal adhesion sites
ATP2A1,32.39786569464252,42.68523224649734,-10.287366551854824,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Endoplasmic reticulum
CA2,106.93243768727673,29.115023327965268,77.81741435931147,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
MDH1,20.239416346815744,10.310702528657922,9.928713818157823,TRUE,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Centrosome, Cytosol"
SERPINA1,114.28071030179854,42.69221056421958,71.58849973757896,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Vesicles
MYH7,88.04329311361,29.507471933298806,58.5358211803112,TRUE,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Focal adhesion sites
IGHG2,119.36874378621718,78.463764837509,40.90497894870818,FALSE,"FDA approved drug targets, Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",
PGAM2,21.485706514702283,16.74618543038344,4.739521084318842,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Nucleoplasm
PYGB,32.62146870284905,12.247472863830481,20.37399583901857,TRUE,"Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
PRDX6,43.06539749478364,18.330075686874604,24.735321807909035,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
IDH2,51.39573991447025,21.823107404941435,29.572632509528813,TRUE,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Mitochondria
MYH2,77.61409733965895,41.74286408261011,35.87123325704884,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Focal adhesion sites
ATP2A2,37.09264654571705,28.468944369517885,8.623702176199167,TRUE,"Disease related genes, Enzymes, Essential proteins, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","Nucleoplasm, Plasma membrane"
TF,116.24975050490376,40.72360718535551,75.52614331954825,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",
ATP5F1B,40.60170926937608,18.57342005008523,22.02828921929085,TRUE,"Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",Mitochondria
MDH2,43.44813188392501,17.401567671128067,26.04656421279694,TRUE,"Citric acid cycle related proteins, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Mitochondria
HP,119.37944745787999,59.44957656281355,59.92987089506644,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins",Vesicles
ATP5F1A,48.90302587137904,25.292997772151903,23.61002809922714,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Mitochondria
IGLC2,115.82092036252003,67.04012764514735,48.78079271737268,FALSE,"Immunoglobulin genes, Predicted intracellular proteins, Predicted secreted proteins",
MYH1,113.71270649874094,73.76980429482836,39.94290220391258,TRUE,"Plasma proteins, Predicted intracellular proteins",Focal adhesion sites
PFKM,39.629307605606364,21.153047158593402,18.47626044701296,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Endoplasmic reticulum
S100A1,43.17727538401883,33.731953899811984,9.445321484206843,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters",Cytosol
HSPB6,30.803419130691644,25.138495369118978,5.664923761572666,FALSE,Predicted intracellular proteins,"Mitochondria, Cytosol"
EEF1A1,44.721738353198546,14.98653051568156,29.735207837516988,TRUE,"Cancer-related genes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
FBP2,37.652903357069135,54.83479910862484,-17.181895751555707,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Plasma membrane, Cytosol"
ARF4,56.95205775142437,34.7243764556222,22.22768129580217,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins",
SLC25A4,52.087070436928265,33.08094986461646,19.006120572311808,FALSE,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted membrane proteins, Transporters",Mitochondria
TNNC2,58.3661907658052,39.98741402658503,18.37877673922017,FALSE,"Human disease related genes, Predicted intracellular proteins",Nucleoplasm
PGM1,26.657356726603425,17.35196671144899,9.305390015154433,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Cytosol
YWHAE,39.67467565437034,15.867655945051157,23.807019709319185,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transporters",Cytosol
GOT1,44.35176849688843,15.734732358296252,28.61703613859218,TRUE,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
CKMT2,64.4404497036815,36.71866439015609,27.7217853135254,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
MYL6,102.35320721070622,18.228459156725076,84.12474805398114,TRUE,"Plasma proteins, Predicted intracellular proteins",
ATP2A3,33.33371681743433,37.330460902997054,-3.9967440855627245,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins",
RPS27A,68.00131347985021,25.1649175816965,42.83639589815371,FALSE,"Essential proteins, Predicted intracellular proteins, Ribosomal proteins","Nucleoli, Endoplasmic reticulum, Cytosol"
PDLIM3,40.04749370079252,26.150044910614064,13.897448790178458,TRUE,"Plasma proteins, Predicted intracellular proteins",Cytosol
PEBP1,28.70943327431621,20.774853614125345,7.934579660190867,TRUE,"Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
TPM2,109.66411257513802,47.73337095623015,61.930741618907874,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",
SOD1,36.85697379335212,24.87283268370416,11.984141109647958,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Nucleoplasm
ORM1,136.23856110852435,27.154414371994527,109.08414673652982,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins",Vesicles
GPI,17.448103466859532,12.854881378697167,4.593222088162365,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Cytosol
TUBB,82.01509178447148,9.870356493869897,72.14473529060159,TRUE,"Disease related genes, Essential proteins, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Microtubules
PARK7,17.437775522335578,17.827644076093467,-0.3898685537578892,TRUE,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Nucleoplasm, Cytosol"
GOT2,59.75990334078709,28.704887577640143,31.055015763146947,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",
MYL3,80.67839836316368,30.212069081173816,50.466329281989864,TRUE,"Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Nucleoli, Mitochondria"
MT-CO2,42.8234566023245,25.8704363716973,16.9530202306272,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",
IGHA1,149.53834418011104,65.84607943981764,83.6922647402934,FALSE,"Disease related genes, Immunoglobulin genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",
PRDX1,33.537795869793555,21.348067756650373,12.189728113143182,TRUE,"Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Mitochondria
ALDOC,30.69969569965546,27.183495513513282,3.5162001861421786,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Nucleoplasm, Nucleoli fibrillar center"
CYCS,38.725517501871074,31.79517475597317,6.930342745897903,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Mitochondria
TPM1,113.4993118625795,43.46297293748583,70.03633892509367,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Actin filaments
PPIA,81.58461578585784,27.008128671920662,54.576487113937176,TRUE,"Enzymes, Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",
GPD1,55.94540747993656,26.201008811232796,29.744398668703766,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",
CFL1,59.273563312063175,18.413727898552455,40.85983541351072,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Plasma membrane
VIM,167.42980293563036,21.112720552438592,146.31708238319177,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Intermediate filaments
CS,36.05949912742859,16.17417559239864,19.885323535029947,TRUE,"Citric acid cycle related proteins, Enzymes, Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Mitochondria
DECR1,51.682759730490524,36.945199089414125,14.7375606410764,TRUE,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
HSPA8,22.21772360784909,11.192033110718027,11.025690497131064,TRUE,"Cancer-related genes, Enzymes, Essential proteins, Plasma proteins, Predicted intracellular proteins","Vesicles, Flagellar centriole, Annulus"
HADHA,29.229047072565738,23.145858786392314,6.083188286173424,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
ACO2,43.67086563755001,14.950324353913372,28.720541283636635,TRUE,"Citric acid cycle related proteins, Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
LGALS1,50.82791446260755,58.11842431349685,-7.2905098508893005,TRUE,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Cytosol
BLVRB,80.43553548300987,37.1561622009494,43.27937328206047,TRUE,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
ACAT1,22.248234298313946,16.862879073565722,5.385355224748224,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Mitochondria
ANXA2,125.24701109108281,16.05620203436722,109.1908090567156,TRUE,"Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, Transporters",Plasma membrane
CSRP3,44.59478206955744,37.906476816590065,6.688305252967375,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Cytosol
LDB3,28.602354904173605,18.476100290372056,10.12625461380155,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Focal adhesion sites, Cytosol"
AKR1A1,42.03643628587847,18.44499175950108,23.591444526377394,TRUE,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
GSTM2,34.31334409411209,39.07332098456202,-4.759976890449927,FALSE,"Enzymes, Metabolic proteins, Predicted intracellular proteins",Cytosol
MYBPC1,51.5119386356413,57.09583623624055,-5.583897600599251,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins",
TNNI2,88.87703408976935,54.9439505117287,33.93308357804065,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Plasma membrane
ANXA6,36.643066241776715,13.782284457972176,22.86078178380454,TRUE,"Plasma proteins, Predicted intracellular proteins, Transporters",Cytosol
C3,99.41198992074217,55.05369346085389,44.35829645988828,TRUE,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",
CFL2,32.21625584826316,14.35806176062355,17.85819408763961,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Plasma membrane
TTR,103.17096307873766,54.534365635421764,48.63659744331589,TRUE,"Cancer-related genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Golgi apparatus
VDAC1,31.08083334118188,15.024811450455283,16.056021890726598,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins",
TXN,52.71227989413144,15.75151383451798,36.96076605961346,TRUE,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","Nucleoplasm, Cytosol"
FLNC,49.52615398239106,37.68005418791412,11.846099794476935,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters","Plasma membrane, Cytosol"
A2M,97.91521022171597,74.81415887962942,23.10105134208655,TRUE,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins",
CALM1,77.62671733354325,11.206342577253935,66.42037475628932,FALSE,"Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, RAS pathway related proteins",Cytosol
TNNT3,101.14748321027291,48.08401558520581,53.0634676250671,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins",
LDHB,55.33574992064527,56.06977965462083,-0.7340297339755608,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
S100A6,123.23220120328781,66.5449096594723,56.68729154381552,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","Plasma membrane, Cytosol"
BIN1,37.90449559634395,12.504506702140047,25.3999888942039,FALSE,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Cytosol
ACADVL,33.91054742628212,21.357813866029243,12.552733560252879,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
AKR1B1,32.59906773351901,23.68403953186293,8.915028201656078,TRUE,"Cancer-related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
PRDX3,24.535025123847383,14.563139924604313,9.97188519924307,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins","Vesicles, Mitochondria"
HADHB,33.78726742447976,21.347362101604396,12.439905322875362,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
CAT,99.48817392042977,59.576578347658504,39.91159557277127,TRUE,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Vesicles
S100A4,93.09623720229962,26.921861359827194,66.17437584247243,TRUE,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Nucleoplasm
UQCRC2,51.22289938623841,22.628360872673607,28.594538513564803,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
TUBA1B,72.92542357435859,10.773997666585643,62.151425907772946,FALSE,"Essential proteins, Predicted intracellular proteins",Microtubules
SLC25A6,55.79587507141878,21.831394752288325,33.96448031913045,TRUE,"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Mitochondria
SLC25A5,41.57912124175371,17.949385858158887,23.629735383594824,TRUE,"Essential proteins, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters",Mitochondria
ANXA5,122.42585612646594,29.44852432474805,92.9773318017179,TRUE,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Transporters",Nuclear membrane
H2BC4,122.3813814700601,74.76474027589128,47.61664119416882,TRUE,"Essential proteins, Plasma proteins, Predicted intracellular proteins",Nucleoplasm
TUBA4A,38.78202959696066,24.0771679452979,14.70486165166276,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Microtubules
DCN,184.52761962857474,27.664647682610493,156.86297194596426,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",
APOBEC2,31.336696286392375,28.970215341990173,2.366480944402202,FALSE,"Enzymes, Predicted intracellular proteins",Nucleoplasm
HSP90AA1,28.446124542022027,10.738007965395438,17.708116576626587,TRUE,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins",Cytosol
EEF1A2,32.34541524653085,16.087468788821358,16.25794645770949,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Cytosol
ATP5MF,41.24058889275358,27.007419120419012,14.233169772334566,FALSE,"Essential proteins, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Mitochondria
TTN,89.3855900146966,36.57102641789539,52.814563596801214,TRUE,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",
SRL,26.521837999990723,14.298919792342677,12.222918207648046,FALSE,Predicted intracellular proteins,
HSPA1A,23.47873057557718,20.635661924324207,2.843068651252974,FALSE,"Disease related genes, Predicted intracellular proteins","Vesicles, Flagellar centriole, Annulus"
COX5B,49.43371348103221,19.724689985853903,29.709023495178304,FALSE,"Metabolic proteins, Predicted intracellular proteins, Transporters",Mitochondria
TNNC1,85.45551972019327,51.878091966710926,33.57742775348234,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins","Nucleoplasm, Actin filaments, Mitochondria"
SELENBP1,70.65223685327823,21.50830128315264,49.143935570125585,TRUE,"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Nucleoli
ECHS1,37.75887669306422,19.461708799983562,18.297167893080655,TRUE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Mitochondria
NDUFA4,50.75318809240247,22.17907456259162,28.574113529810848,FALSE,"Disease related genes, Essential proteins, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Mitochondria
ATP5MG,46.23781927309951,27.96860012419623,18.269219148903282,FALSE,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Mitochondria
PFN1,41.97605188536899,15.251732210292982,26.724319675076007,TRUE,"Disease related genes, Essential proteins, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Cytosol
ATP5F1C,53.62672479053573,22.22773363792261,31.39899115261312,TRUE,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters",
ANKRD2,45.30601697165334,36.19841252468029,9.107604446973049,FALSE,Predicted intracellular proteins,Vesicles
UQCRC1,44.01970238705799,20.543341151182972,23.476361235875018,FALSE,"Disease related genes, Enzymes, Essential proteins, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
HADH,20.871148325904194,12.720538916095245,8.150609409808949,FALSE,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Mitochondria
PDLIM5,41.09031198000863,44.23975299292382,-3.14944101291519,TRUE,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Plasma membrane
YWHAG,25.789263865159246,15.040228025161756,10.74903583999749,TRUE,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Cytosol
PLIN1,127.68733890911525,41.68232665712754,86.00501225198772,TRUE,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Peroxisomes
COX7A1,48.852822584314964,24.510498641265404,24.34232394304956,FALSE,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters",
DBI,29.289182423018072,20.98217409777011,8.307008325247963,TRUE,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",
SOD2,33.2027821879151,18.69976612084887,14.503016067066227,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Mitochondria
TPM3,136.3465366360741,54.40040213962924,81.94613449644484,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Actin filaments
