gene,logFC_CvH,logFC_TCR,t_CvH,t_TCR,pi_CvH,pi_TCR,sig_class,is_sig,quadrant
TXNL1,0.244877637796659,-0.222497598882633,2.27898978699148,-2.60294414511061,0.4203308130605304,0.3841743417587168,NS,FALSE,Reversed (Cancer Up / Training Down)
MAP3K20,-0.133215593540928,-0.34094889573961,-0.631556726082393,-2.03185568048297,0.919335150982002,0.3600911629610038,NS,FALSE,Exacerbated Down
YWHAH,0.326882396780206,0.144166696315828,2.35200879192223,1.30394304489331,0.2977524806039089,0.7934756195552062,NS,FALSE,Exacerbated Up
CSE1L,-0.647585306241186,-7.9037411933846e-4,-5.15494849466574,-0.00790872225589488,6.028431852436677e-4,0.9999950333763118,Sig Cancer only,TRUE,Exacerbated Down
TFG,0.0683298952758875,0.205126407682574,0.281473714015257,1.06217220252224,0.9831697639121332,0.7788053171202405,NS,FALSE,Exacerbated Up
SNX2,0.394568063722925,0.319322811106773,1.58347334081481,1.61088685601537,0.4367575113578612,0.5031986285548753,NS,FALSE,Exacerbated Up
PDCD6IP,0.138084314913527,-0.0352096896600926,1.40369553760867,-0.449921798996398,0.7825923674996615,0.9852446486972426,NS,FALSE,Reversed (Cancer Up / Training Down)
RPS19,0.00998686689342776,0.0902137110348082,0.0663514196547137,0.753424562984236,0.9994614078441092,0.9316746946575548,NS,FALSE,Exacerbated Up
PTPA,0.778108138002395,-0.425440311988075,3.63331683704985,-2.49717064492937,0.00429849182925584,0.17884256696118625,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
ARPC4,0.358351462663983,0.25485760730184,1.49521089572535,1.33670982991079,0.4993859233210096,0.6550439071612366,NS,FALSE,Exacerbated Up
CTBP1,-0.36847203995173,0.581875637218225,-1.8485680828976,3.01768471604248,0.38583290442332496,0.04832457327395359,Sig Training only,TRUE,Reversed (Cancer Down / Training Up)
TFAM,-0.38782112498949,-0.227867695321063,-1.69089379585923,-1.24656229028319,0.4097957834558264,0.7091472598035086,NS,FALSE,Exacerbated Down
PGRMC1,-0.129128542921549,0.193167069638646,-0.620125886745473,1.16610315605985,0.9233584985485734,0.766040977437982,NS,FALSE,Reversed (Cancer Down / Training Up)
RPL12,0.267274216763234,0.175937716835925,1.2856416205045,1.06381982253016,0.6565901246425392,0.8066544760567191,NS,FALSE,Exacerbated Up
GGCT,-0.0788502570372813,-0.240672698455246,-0.469682091831497,-1.8020796574284,0.9656080211622896,0.5450926658909976,NS,FALSE,Exacerbated Down
NAGK,0.00585967863911208,0.167090073789545,0.032472309611591,1.16395529372143,0.9998473543995156,0.7945560337662292,NS,FALSE,Exacerbated Up
LPP,0.583269655848973,0.185110607125589,2.44903638526578,0.970538869713334,0.10142050653983782,0.8184412494101505,NS,FALSE,Exacerbated Up
PAFAH1B3,0.764274438112512,-0.205921925644175,2.53907214095254,-0.859952701955679,0.0420675625177829,0.82625279537193,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
ARPC5,2.00577147954471,0.198220065516924,4.48252929504972,0.665578190872662,1.3827872779805872e-8,0.875491566441238,Sig Cancer only,TRUE,Exacerbated Up
PFDN2,-0.34917108535366,-0.108092470682797,-2.13688073742243,-0.831541107658983,0.32456259186500064,0.9084674779774838,NS,FALSE,Exacerbated Down
RPL23,0.601232851745142,-0.31627342307743,2.81572299900823,-1.86189931942057,0.05495502937045494,0.4336446034665643,NS,FALSE,Reversed (Cancer Up / Training Down)
RPL35,0.0671174083638562,0.0970500510901235,0.359318475737858,0.63323270349119,0.978362225130779,0.9404771887741096,NS,FALSE,Exacerbated Up
ACSF2,-0.0502604151466208,-0.109192694274224,-0.290176384731866,-0.7924572533172212,0.9871703894309602,0.9127848440402112,NS,FALSE,Exacerbated Down
NDUFA7,-0.148393685056686,-0.0628550609782756,-0.388743775484643,-0.206982938913431,0.9484232206466198,0.9888970892261696,NS,FALSE,Exacerbated Down
ENOPH1,-0.16329784488158,-0.156677558022897,-1.2317086470171,-1.48552717143562,0.7846445352992949,0.740180787466169,NS,FALSE,Exacerbated Down
PSMD2,-0.0859438847293568,-0.0284267240585088,-0.848683730550873,-0.352861258655981,0.924660075117331,0.990952848523282,NS,FALSE,Exacerbated Down
PPME1,0.518326247795038,-0.202584673773941,2.77761816323691,-1.33311556577579,0.08671827492177779,0.7155052991817962,NS,FALSE,Reversed (Cancer Up / Training Down)
FDPS,0.306060451800256,-0.189262624367776,2.55978538359927,-1.98979101922589,0.2769115741159279,0.576887016774172,NS,FALSE,Reversed (Cancer Up / Training Down)
COPS2,0.0745853951757383,-0.149944006308186,0.702685545154309,-1.77575319117399,0.9477523998756158,0.6905981672773857,NS,FALSE,Reversed (Cancer Up / Training Down)
DDX17,0.102593945852284,0.103027503158078,0.734385160032148,0.927046679001316,0.9250022233555464,0.9001956650320578,NS,FALSE,Exacerbated Up
SGCG,-0.546968212643581,0.0340375994253233,-2.30247919560787,0.149392880084458,0.14472898774261014,0.995748564281274,NS,FALSE,Reversed (Cancer Down / Training Up)
CBR4,-0.360767334671021,-0.364085897634434,-1.31857543045265,-1.63953939928708,0.5564144471373832,0.44939997707595225,NS,FALSE,Exacerbated Down
UBL5,-0.479716111172252,0.17620567481481,-2.52139402827978,1.08333897981547,0.14321254387769333,0.8028168078047944,NS,FALSE,Reversed (Cancer Down / Training Up)
CAB39L,0.232775980918138,-0.269304505255127,0.766658499697203,-1.13913726420952,0.8305559046377775,0.6995830415070307,NS,FALSE,Reversed (Cancer Up / Training Down)
MYH11,0.386640009981807,0.420779023050606,0.951560733022496,1.34055649364504,0.6650476126375762,0.49626727486402133,NS,FALSE,Exacerbated Up
HHATL,-0.408924687471448,-0.598592232996671,-1.40840636147417,-2.54757043144211,0.4828831314457646,0.08358020719472166,NS,FALSE,Exacerbated Down
FN3K,0.697022439693875,-0.114333732416398,3.56899236375251,-0.718894418152152,0.00875601932276271,0.918900778488366,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
SH3BGRL,1.51414933325377,0.493783112197331,4.46852947815294,1.8318015359918,6.529078741826706e-7,0.27959966604384895,Sig Cancer only,TRUE,Exacerbated Up
UTRN,0.350944183346108,-0.406697203699704,1.4476576472554,-2.07526672809257,0.5222744117549691,0.285320590916205,NS,FALSE,Reversed (Cancer Up / Training Down)
MAT2A,-0.0831192426551404,-0.0584335406609586,-0.658234481492515,-0.581684541561068,0.9463055420890476,0.9671484930119648,NS,FALSE,Exacerbated Down
PSMD13,-0.185811105378349,-0.134921298418332,-1.23521513353977,-1.12745110756576,0.75803724745849,0.8369755750423737,NS,FALSE,Exacerbated Down
CAPN3,0.211582080257664,0.135400466948843,1.23317340291716,0.992000057311241,0.7299788549125856,0.8599619833869145,NS,FALSE,Exacerbated Up
RPL13A,0.03542685061662,0.155912688596993,0.190514706372065,1.05395893269397,0.9942603695558764,0.8285472681196722,NS,FALSE,Exacerbated Up
PSMD12,-0.146989038154125,-0.138919974334428,-1.25250231691041,-1.48800555635629,0.799871230405463,0.7653813845704825,NS,FALSE,Exacerbated Down
COMT,-0.108932956859711,-0.172343410472596,-0.420044629758182,-0.835366578500464,0.9584097513367192,0.8573146731335854,NS,FALSE,Exacerbated Down
ALDH6A1,-0.106649763408438,-0.362577891267499,-0.365405806839598,-1.56157603625898,0.9651504766811848,0.4740248904613802,NS,FALSE,Exacerbated Down
IMPDH2,-0.320623474468434,-0.259671859109694,-3.02563172660473,-3.07462385882762,0.18012305178598226,0.24141851171217257,NS,FALSE,Exacerbated Down
MYOF,-0.375569168217346,0.28932222709436,-2.65940400440584,2.57526813506946,0.1889094138714217,0.29386952306708436,NS,FALSE,Reversed (Cancer Down / Training Up)
PSMD5,0.78244433057171,-0.146491720156696,3.27872716119733,-0.725611463297622,0.00957603185412667,0.8963123938877124,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
TXLNB,-0.656590782430097,-0.111263075007969,-2.67242008505714,-0.569255548897885,0.05316225652425566,0.9399040258873248,NS,FALSE,Exacerbated Down
ATP5F1E,0.111906231883982,-0.168099605412269,0.372074036126812,-0.710896906220176,0.9627432298265428,0.8846287900892578,NS,FALSE,Reversed (Cancer Up / Training Down)
CARM1,-0.214026978498602,-0.0149327977291396,-1.40807873783121,-0.108951562066987,0.6837947180761187,0.9986574547270064,NS,FALSE,Exacerbated Down
SH3BGRL3,1.27841659147799,0.531269478871945,3.77400781197288,2.10137709028001,8.487186723660885e-5,0.18914971749262055,Sig Cancer only,TRUE,Exacerbated Up
SGCB,-0.120360336099953,-0.270761027189211,-0.754627414645644,-2.07267115611178,0.909846873099344,0.4358524378207336,NS,FALSE,Exacerbated Down
MYOM3,-0.435133381290537,0.342608323241304,-0.721767382312552,0.682207008312547,0.7239766427470821,0.7887967476286627,NS,FALSE,Reversed (Cancer Down / Training Up)
FBXO7,1.62880516298692,0.341190140580078,4.03009157740763,1.12867018264356,2.7326431586598695e-6,0.6385444335541938,Sig Cancer only,TRUE,Exacerbated Up
MAP2K1,0.0869745264249104,-0.115010780854991,0.561010675136844,-0.932532278355489,0.9535054206014776,0.8884565505854477,NS,FALSE,Reversed (Cancer Up / Training Down)
DYNLL1,-0.2976045011211,-0.166348272125068,-1.38058775704722,-0.970038754149192,0.5966652664060219,0.8352486089852554,NS,FALSE,Exacerbated Down
SQOR,0.07031354524187,-0.0468649976699584,0.284584437514068,-0.235688347684482,0.9824958003716546,0.9904739460753296,NS,FALSE,Reversed (Cancer Up / Training Down)
PSME2,0.614954181516961,-0.0700505675840883,2.80890017844852,-0.402208712503162,0.05197991314905397,0.9743451165766974,NS,FALSE,Reversed (Cancer Up / Training Down)
CPNE3,0.223407597307204,-0.184376269984126,1.49592336593697,-1.55189631298696,0.6484417149705562,0.6863872888844483,NS,FALSE,Reversed (Cancer Up / Training Down)
ECHDC1,0.457232824532401,0.333890593931736,1.96126634235416,1.75023343407184,0.273192426263192,0.4468879985425878,NS,FALSE,Exacerbated Up
ASPH,0.0802265372381292,0.0945724818127776,0.412961385385258,0.611930995284783,0.9697862614536276,0.9441536268305396,NS,FALSE,Exacerbated Up
CAMK2G,-0.255805800065247,-0.0453442991856807,-1.33769811600006,-0.298068917822513,0.6537326539600786,0.9880702037828916,NS,FALSE,Exacerbated Down
APOO,-0.487782946803694,0.130149830226584,-2.15130296377219,0.721547351750097,0.20445299037268047,0.9077762097508396,NS,FALSE,Reversed (Cancer Down / Training Up)
JPH2,-0.133848458149657,0.0553237866400664,-0.624200870278992,0.324316588855569,0.9200649197231432,0.9840412606715346,NS,FALSE,Reversed (Cancer Down / Training Up)
PTMS,0.820169116214387,0.158567906194767,3.5580521249092,0.863118732372941,0.00388573667076142,0.862790857571646,Sig Cancer only,TRUE,Exacerbated Up
ART3,-0.194849091415808,-0.549265359201131,-0.842729130314802,-2.98619455966487,0.8386152567406706,0.05561235133864801,NS,FALSE,Exacerbated Down
LAMC1,0.860188549222059,0.277348080768439,1.820368606237,0.701147392713343,0.112623022275187,0.8199219268685105,NS,FALSE,Exacerbated Up
SRSF2,0.19473524846709,-0.0795700820680612,0.981487172729951,-0.504122560793084,0.8073581614789611,0.9623563034970076,NS,FALSE,Reversed (Cancer Up / Training Down)
ENDOG,-0.768662862829945,-0.203130030311881,-2.74997393732557,-0.904405013249765,0.0283430065985514,0.8182448060861074,Sig Cancer only,TRUE,Exacerbated Down
SYNGR2,0.0189390929680862,-0.0365970864348331,0.0941240105221573,-0.219998777523846,0.9985367138643144,0.9930839689036938,NS,FALSE,Reversed (Cancer Up / Training Down)
XRCC5,0.0634589261659997,0.186912737340609,0.420166509358875,1.55565711740908,0.9755489608045846,0.6819594924532375,NS,FALSE,Exacerbated Up
TMEM38A,-0.256360237503909,-0.190153343940747,-0.747542837073698,-0.685905527975789,0.8194921586251327,0.875690070520564,NS,FALSE,Exacerbated Down
SDR39U1,-0.0625289488102965,0.0271804733527308,-0.1647272452589,0.0898437105649416,0.9913411569768504,0.9979988394318292,NS,FALSE,Reversed (Cancer Down / Training Up)
TMLHE,-0.131486847344799,-0.38659915241003,-0.736599024405395,-2.66810333576624,0.9046985820267224,0.18085655266576975,NS,FALSE,Exacerbated Down
SYNJ2BP,-0.487883379577411,0.262385441474921,-2.92403863351058,1.97675609219186,0.08303912236244536,0.4697985445926869,NS,FALSE,Reversed (Cancer Down / Training Up)
PLCD4,-0.170234990606431,-0.0648659888558285,-0.89421603886402,-0.428308739236638,0.8471661187798409,0.9744620725207276,NS,FALSE,Exacerbated Down
SNRPD1,-0.411656250589001,-0.050047583421458,-1.17097690755542,-0.19504660263902,0.5699976071168547,0.991741775472602,NS,FALSE,Exacerbated Down
PRKG1,-0.283689161851338,-0.0878881295330736,-1.45487460498472,-0.565534881834514,0.5893658783543815,0.952602676350939,NS,FALSE,Exacerbated Down
OPA1,-0.359098036293641,-0.0326424446605724,-2.24221736702895,-0.25620855495167,0.28904083550727105,0.9927151805749264,NS,FALSE,Exacerbated Down
SEC22B,0.378588613138234,0.103085301277586,2.36116328931662,0.808167698085588,0.2438705584275207,0.9154790782033309,NS,FALSE,Exacerbated Up
OXCT1,-0.789428314758052,0.0812685378071905,-2.23804201838762,0.289617133787007,0.06579705456073873,0.9793810513590592,NS,FALSE,Reversed (Cancer Down / Training Up)
PFDN6,-0.321718066535219,-0.131005226484183,-2.09385905064836,-1.07178304987401,0.3654392712493033,0.8508069584249499,NS,FALSE,Exacerbated Down
TSPO,-0.031220909425425,0.396074850560742,-0.11864228509604,1.89198412942383,0.9969314417649352,0.342775895998978,NS,FALSE,Reversed (Cancer Down / Training Up)
ALDH7A1,0.308054918279648,0.0685793739933303,1.52912989284971,0.427913528102086,0.5401634616348473,0.9730483241922632,NS,FALSE,Exacerbated Up
PSMD11,-0.181440803795994,-0.081800653112154,-1.51457228572706,-0.85833749490074,0.6991169784242883,0.9271555919101264,NS,FALSE,Exacerbated Down
DNM1L,-0.334497091664414,0.0679653344555522,-1.80111702357422,0.460026989268228,0.4305410321701435,0.970984491714952,NS,FALSE,Reversed (Cancer Down / Training Up)
NID1,0.897628890986983,0.308930808832022,2.07281241742518,0.898989470295556,0.06524854898508424,0.7395367928087924,NS,FALSE,Exacerbated Up
HSD17B8,-0.52441140721027,-0.00605878124088655,-2.00317457147013,-0.0290923101729474,0.2145809851214918,0.9998587834344111,NS,FALSE,Exacerbated Down
SORBS1,0.92297851403983,-0.0743818859337608,2.19770319078745,-0.228047455975902,0.04730021540163058,0.9854648091000442,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
PDAP1,-0.177837374169361,0.110427673476934,-1.25024985379333,0.975883480084451,0.7637528122435295,0.8865264211523857,NS,FALSE,Reversed (Cancer Down / Training Up)
HNRNPA3,0.92926025304838,-0.435185136491089,2.28002678474798,-1.34221753989381,0.03720983463340491,0.4836141215984284,Sig Cancer only,TRUE,Reversed (Cancer Up / Training Down)
H1-0,0.150772033691869,-0.0144081319334699,0.483725467400123,-0.0567646164970867,0.9331009103628112,0.9993379157191205,NS,FALSE,Reversed (Cancer Up / Training Down)
PARVA,0.615511596131554,0.230314412321809,2.75512961257072,1.2659564978498,0.05674532170708492,0.7013677452563196,NS,FALSE,Exacerbated Up
LACTB,-0.610547135899367,-0.140883308640054,-2.914690608512,-0.845432763834675,0.04507241169472304,0.8800505585255134,Sig Cancer only,TRUE,Exacerbated Down
FSCN1,1.27875027559068,0.743273155077507,4.1604699526948,3.0398444821632,1.8905666911195355e-5,0.01807237937581192,Sig Both,TRUE,Exacerbated Up
JPH1,-0.0703808601448515,-0.271069427221422,-0.267485282619702,-1.29500703636107,0.983608091929812,0.6499202311016647,NS,FALSE,Exacerbated Down
RPS13,-0.319988746851131,0.423236661663006,-1.33755332615919,2.18189751900343,0.5884813944238891,0.247106643258933,NS,FALSE,Reversed (Cancer Down / Training Up)
RPL31,-0.399639421772328,0.362618535866002,-1.79349268401297,2.04563222329437,0.3676026450039422,0.3338768844079588,NS,FALSE,Reversed (Cancer Down / Training Up)
TGFBI,0.984094315356465,0.22074129562175,2.22691182554734,0.616743579771448,0.03491550910502863,0.8734481969752418,Sig Cancer only,TRUE,Exacerbated Up
NSF,0.143500231723838,-0.109420173162862,0.80510221588238,-0.771688602489644,0.8848462762936986,0.915351013100736,NS,FALSE,Reversed (Cancer Up / Training Down)
PRMT5,-0.244004551906215,-0.215908200523462,-1.86365609846222,-2.07292339526872,0.5244097417775899,0.5138569551754791,NS,FALSE,Exacerbated Down
TOM1,-0.356806262516777,-0.0376710121808905,-1.8974317282511,-0.251818277050095,0.3796461010287669,0.9917545694250404,NS,FALSE,Exacerbated Down
SELENOW,-0.0506855528097425,-0.146344482033527,-0.235154222068994,-0.844969618627953,0.989720592370852,0.8758982667215615,NS,FALSE,Exacerbated Down
COPS5,-0.228603186206932,-0.00128253440490234,-2.2661650152357,-0.0159817577851356,0.44821670107602624,0.999983662017732,NS,FALSE,Exacerbated Down
DAG1,0.208525973282303,-0.604280521903979,1.09158857656774,-3.97634162516478,0.7683706102923821,0.00807764848350501,Sig Training only,TRUE,Reversed (Cancer Up / Training Down)
SRP9,-0.120139021107438,-0.116784336096357,-0.745318239440264,-0.830751078289511,0.9115730539863434,0.9020400764322004,NS,FALSE,Exacerbated Down
PREB,0.0737096404812618,0.104392971438056,0.364099989440394,0.667527180089333,0.9758861257462788,0.9319401185222168,NS,FALSE,Exacerbated Up
DCTN2,-0.0854075352621031,-0.074217848960723,-0.686455940074643,-0.749844327227658,0.9420430370323428,0.9437649395401526,NS,FALSE,Exacerbated Down
PSMD4,-0.01665928779585,-0.0291693838476128,-0.143951706412023,-0.316835554184452,0.9979928227575904,0.9917704281369988,NS,FALSE,Exacerbated Down
LONP1,-0.266031689377336,0.109075504232646,-1.846285825634,0.951566317853303,0.49938540103338935,0.8912451637481794,NS,FALSE,Reversed (Cancer Down / Training Up)
FUS,0.39300582603753,-0.0203613086624408,2.42888564580276,-0.15818308308122,0.21724378175301604,0.9972904658681376,NS,FALSE,Reversed (Cancer Up / Training Down)
CNN3,0.993031584689312,0.500305016228147,2.38418682870226,1.68621374050023,0.02499419476649766,0.32102738594739294,Sig Cancer only,TRUE,Exacerbated Up
COBL,-0.248932397581044,-0.30013490713646,-1.19138692311528,-1.78765646853732,0.7025989050978911,0.4742132154896265,NS,FALSE,Exacerbated Down
RTCB,-0.0355302324840565,0.109981524831081,-0.349111162753446,1.35841256977818,0.9888394780724816,0.8297428762302242,NS,FALSE,Reversed (Cancer Down / Training Up)
SEPTIN9,0.23554428296617,0.460775753428171,0.82901241340599,1.99145251449879,0.811978501621526,0.26215142031748945,NS,FALSE,Exacerbated Up
RPL38,0.0781718247469705,-0.068213652015368,0.354504299780544,-0.38885602054207,0.975189161509499,0.9759439413942012,NS,FALSE,Reversed (Cancer Up / Training Down)
EIF2S1,-0.227915731962291,-0.00115420963717128,-2.19531135666845,-0.0139750311738842,0.4658538951669398,0.9999871530802286,NS,FALSE,Exacerbated Down
SLC25A20,-0.442168135547821,0.176235997823772,-2.37255786119159,1.18869452050428,0.19018813681607788,0.7791908655268828,NS,FALSE,Reversed (Cancer Down / Training Up)
ARHGAP1,1.18175007297504,0.299136664543816,4.58676961484913,1.45947682940644,9.853083817905076e-6,0.570938255921615,Sig Cancer only,TRUE,Exacerbated Up
COPS7A,-0.390950918857204,-0.00587378344065748,-3.14198192927255,-0.0593397406589215,0.10907529407732304,0.9997174407134384,NS,FALSE,Exacerbated Down
ELOC,-0.186394117991959,-0.0632439693990001,-1.53189048544938,-0.65337257918302,0.6882580815188314,0.959239615387093,NS,FALSE,Exacerbated Down
