gene,uniprot_id,set,test,t_cancer,t_training,logFC_Cancer_vs_Healthy,logFC_Training_CR,pi_score_Cancer_vs_Healthy,pi_score_Training_CR
ADH1C,P00326,cancer_up,cancer_on_training,3.50244414447238,-1.25211874745521,1.26282349695436,-0.435088012123707,3.1189317593629954e-4,NA
EPS15,P42566,cancer_up,cancer_on_training,2.56033917434441,-1.06174997276318,1.17439417528768,-0.238376374366329,0.01159723185639604,NA
UBA5,Q9GZZ9,cancer_up,cancer_on_training,3.00658014284264,-1.06176485936464,1.13624019125831,-0.2851483821623,0.00337420505912202,NA
GMPR2,Q9P2T1,cancer_up,cancer_on_training,2.44755360949075,-1.34130815761042,0.976288430855625,-0.478627792415816,0.02343670099617203,NA
SEPTIN10,Q9P0V9,cancer_up,cancer_on_training,2.77133122573324,-1.3722650892199,0.804366707339621,-0.418312009957496,0.02946477225265635,NA
CSPG4,Q6UVK1,cancer_up,cancer_on_training,2.63238727478732,-0.550488842011814,0.901070120648882,-0.139793217487567,0.02592307025158382,NA
PTGDS,P41222,cancer_up,cancer_on_training,2.02245337034568,-0.198540199453246,1.32492204657901,-0.0714964355520449,0.02304248290624775,NA
STAM,Q92783,cancer_up,cancer_on_training,3.74876153035087,-0.351751337342393,0.777332929702027,-0.0601087608573101,0.00362887324517916,NA
C20orf27,Q9GZN8,cancer_up,cancer_on_training,2.46193934650195,-0.187016198335404,0.881266336962426,-0.0473370147599672,0.03367439207937158,NA
AP3B1,O00203,cancer_up,cancer_on_training,2.56597497741114,-0.260973130493417,1.25407807426084,-0.10063422223781,0.00803531007550592,NA
EIPR1,Q53HC9,cancer_up,cancer_on_training,3.17056022983942,-1.94205110389936,0.69387764255999,-0.383469225997745,0.02157357045487815,NA
ACADL,P28330,cancer_up,cancer_on_training,3.35420940344768,-1.95827142542051,1.43145698326939,-0.727060472407861,3.042142261563232e-4,NA
ARFIP1,P53367,cancer_up,cancer_on_training,2.87801350769065,-0.222967716182526,0.768041538478139,-0.0633968094921,0.02988993163306068,NA
CLIC2,O15247,cancer_up,cancer_on_training,2.98997685676818,-0.0502747548646949,0.962629384721106,-0.0146057850674204,0.00976150483853773,NA
CSRP3,P50461,cancer_down,cancer_on_training,-3.03225820830499,1.98577519092132,-0.757505838585423,0.408250361399007,0.01659710798078159,NA
HADHB,P55084,cancer_down,cancer_on_training,-3.19232933266662,1.03999084624245,-0.554802855611985,0.148275894749592,0.03886647617554108,NA
SLC25A6,P12236,cancer_down,cancer_on_training,-2.77919316113588,1.20778933087466,-0.9754096779779,0.347751934139236,0.0095535141003658,NA
NDUFA4,O00483,cancer_down,cancer_on_training,-5.03136861158517,0.860888108323513,-1.1153582078078,0.156561501457803,3.445734528295304e-6,NA
SLC25A3,Q00325,cancer_down,cancer_on_training,-3.2931509164262,2.02985474486167,-0.556249536498644,0.281276226360925,0.03307187485230431,NA
ATP5PD,O75947,cancer_down,cancer_on_training,-2.87002450682882,1.27898135692932,-0.633599543578448,0.231634637385167,0.04207028599666657,NA
NNT,Q13423,cancer_down,cancer_on_training,-3.04384009506019,1.33049698022236,-0.627740845899744,0.225103623187575,0.03256089338474893,NA
CYB5R1,Q9UHQ9,cancer_down,cancer_on_training,-3.30335210281959,0.790107505141368,-0.626889984138476,0.123007810478972,0.02107695176401034,NA
ATP5F1D,P30049,cancer_down,cancer_on_training,-3.20376431080897,2.14220937477411,-0.796092679574791,0.436691787061834,0.00923518640225388,NA
CISD1,Q9NZ45,cancer_down,cancer_on_training,-3.62548259416428,1.78175625203788,-0.679125500572017,0.274668716541075,0.00841753246364569,NA
SYPL2,Q5VXT5,cancer_down,cancer_on_training,-4.49814743438908,0.306809422092665,-0.873948293578536,0.0490565992534258,2.2863292500167396e-4,NA
DLAT,P10515,cancer_down,cancer_on_training,-2.93573039186566,1.02058932537405,-0.584383093254814,0.166664280965778,0.048707891099964117,NA
COQ8A,Q8NI60,cancer_down,cancer_on_training,-3.19613384318725,0.0775946314066196,-0.673511958698978,0.0134563948181317,0.01948439083118432,NA
FBP1,P09467,cancer_down,cancer_on_training,-2.40724619485155,1.62199014513632,-0.848801384237699,0.477564376672616,0.03835031656519445,NA
HSPB2,Q16082,cancer_down,cancer_on_training,-3.21479782250187,1.21846834925543,-0.546135889377371,0.170348375858408,0.03992102714204913,NA
MYO6,Q9UM54,cancer_down,cancer_on_training,-4.56568574024494,1.90582350550058,-1.43797453325444,0.492422507930115,7.110398471850935e-7,NA
SLC25A11,Q02978,cancer_down,cancer_on_training,-2.86470015712568,0.871591047768262,-0.891799625760576,0.222592697287057,0.01170970605877611,NA
AMPD3,Q01432,cancer_down,cancer_on_training,-2.63643180483512,0.556436564685918,-0.902935645540037,0.159123107643905,0.01896736975658874,NA
SDHC,Q99643,cancer_down,cancer_on_training,-4.53135036417924,0.560905697126176,-1.68316750475575,0.178915881960716,1.2975238700189617e-7,NA
ALDH5A1,P51649,cancer_down,cancer_on_training,-2.90847074001428,1.03786061229776,-0.743183186060165,0.217560598178039,0.02258736729998298,NA
FIS1,Q9Y3D6,cancer_down,cancer_on_training,-3.26104832874009,1.18648218657046,-0.58113914453692,0.173457927967178,0.02988220357634546,NA
PDHX,O00330,cancer_down,cancer_on_training,-2.88187632951419,0.715658480213062,-0.880669410964028,0.1794128029211,0.01190396978876187,NA
DYSF,O75923,cancer_down,cancer_on_training,-3.58934499939066,1.60224092183334,-0.716609258004858,0.262424916571977,0.00683902813129647,NA
ACACA,Q13085,cancer_down,cancer_on_training,-3.06925638380789,0.993981639540544,-1.28273440772138,0.340794028371194,8.379061190505267e-4,NA
ECI2,O75521,cancer_down,cancer_on_training,-3.1067476318748,0.22947364845258,-0.823861253121102,0.0500792269040105,0.00985256071797844,NA
ATP1A2,P50993,cancer_down,cancer_on_training,-3.24532694690319,0.189517021536451,-0.784980420368289,0.0377246556226503,0.00914717902038265,NA
FAM162A,Q96A26,cancer_down,cancer_on_training,-3.4486827948917,1.88591077421563,-0.998272611734354,0.44784433470835,0.00143223006626677,NA
RPS3,P23396,cancer_down,cancer_on_training,-3.3965596240575,1.71805931330611,-0.480798725117701,0.199513485188493,0.04577301423498831,NA
CAVIN4,Q5BKX8,cancer_down,cancer_on_training,-2.73496510813935,0.828497143071007,-0.681036182919872,0.169779833906839,0.04225616997002424,NA
FHOD1,Q9Y613,cancer_down,cancer_on_training,-3.16108090164137,0.727949479337824,-0.695862689502746,0.133803204702629,0.01847350582165053,NA
CPT2,P23786,cancer_down,cancer_on_training,-2.94676203048038,0.747552257965239,-0.691933723116602,0.144002830036021,0.02737847824695892,NA
STBD1,O95210,cancer_down,cancer_on_training,-3.38952216515692,1.44173304939135,-0.996222331787159,0.347626348043969,0.00171090723241777,NA
NOL3,O60936,cancer_down,cancer_on_training,-2.91893350511163,0.130402816247903,-0.707146794547651,0.0259985447463098,0.02686716179871734,NA
FARSB,Q9NSD9,cancer_down,cancer_on_training,-6.09296214435792,0.815941041021217,-0.792992612892839,0.0883811762758846,1.0268287466996297e-5,NA
RPS9,P46781,cancer_down,cancer_on_training,-4.21454467069445,0.740474129893468,-0.642401162369097,0.0925924517993817,0.00354379691422653,NA
TMEM11,P17152,cancer_down,cancer_on_training,-3.18530960101282,1.26263441973914,-0.647028339763793,0.218822683189057,0.02401947852235568,NA
ATP1B1,P05026,cancer_down,cancer_on_training,-3.04403098246901,0.548280049863085,-0.781033472137814,0.115770981370503,0.0142634164793416,NA
CLIC5,Q9NZA1,cancer_down,cancer_on_training,-3.16902666179254,0.30093372895037,-0.747321258423359,0.0592556334556598,0.01353582657559103,NA
DHRS7C,A6NNS2,cancer_down,cancer_on_training,-3.22611683238157,1.30262604871265,-0.89060199918833,0.300262204106568,0.0051773240565543,NA
ACOT9,Q9Y305,cancer_down,cancer_on_training,-3.66610679552099,1.58769357177138,-0.598997261217395,0.21355265236331,0.01380403235184214,NA
MAPT,P10636,cancer_down,cancer_on_training,-3.2704277882925,1.22053342222175,-0.738660007173106,0.226151636774775,0.01132224138945023,NA
BZW2,Q9Y6E2,cancer_down,cancer_on_training,-2.67343786787095,1.43273936259453,-0.988581641995644,0.441232379804037,0.01178290593626061,NA
MT-ND5,P03915,cancer_down,cancer_on_training,-2.68840759493793,0.524765521189455,-0.758150768455529,0.121787425999052,0.03225424760875093,NA
COQ7,Q99807,cancer_down,cancer_on_training,-3.05577322112362,0.458506501837914,-0.683384343317766,0.085618327059235,0.02400707365343521,NA
MYH14,Q7Z406,cancer_down,cancer_on_training,-4.35516545396284,0.360622300695811,-1.0192712948951,0.0719219701852065,1.0119269658752643e-4,NA
DARS1,P14868,cancer_down,cancer_on_training,-3.74811964085795,0.239736910649311,-0.50049210392131,0.0262620562258853,0.02449510036975028,NA
ALDH1B1,P30837,cancer_down,cancer_on_training,-2.92049395105396,2.89555805883939,-0.85776523859543,0.699876000976181,0.01239224979375432,NA
RPS2,P15880,cancer_down,cancer_on_training,-4.40934249437203,3.11286722502451,-0.561431162356257,0.32515715495572,0.00519270909139209,NA
LRRC47,Q8N1G4,cancer_down,cancer_on_training,-3.43728720772805,0.154749955159807,-0.707767551171802,0.0261405905823207,0.00984984802507598,NA
ECPAS,Q5VYK3,cancer_down,cancer_on_training,-4.15175967387175,0.84315293013203,-0.797790567566917,0.132914720368431,0.0010511660722016,NA
ELOB,Q15370,cancer_down,cancer_on_training,-3.34093733465196,1.19644671715503,-0.596988235132873,0.175388390448571,0.02381796854621132,NA
KPNA3,O00505,cancer_down,cancer_on_training,-2.612276803718,1.36201558604978,-0.745737858838549,0.319982161598782,0.03925488989474524,NA
DHRS7B,Q6IAN0,cancer_down,cancer_on_training,-3.72864128055526,0.146885982455443,-0.829385053981536,0.0277790804989522,0.0024051293262674,NA
BCL2L13,Q9BXK5,cancer_down,cancer_on_training,-2.98153538480842,0.260866468094599,-0.652670821662007,0.0469947323991295,0.03192166519290326,NA
KARS1,Q15046,cancer_down,cancer_on_training,-3.75441118297553,0.51766450477802,-0.514302809872333,0.0583582342098552,0.02221782577757736,NA
CAMK2B,Q13554,cancer_down,cancer_on_training,-4.24895972136854,0.90150590686851,-0.93814493032599,0.169234074607374,2.6905390937014543e-4,NA
ACSL3,O95573,cancer_down,cancer_on_training,-3.58746125933711,0.978676159080941,-0.759868976205581,0.170595352527572,0.00517561185423542,NA
CSE1L,P55060,cancer_down,cancer_on_training,-4.99431799214217,0.524076211110025,-0.803597065458714,0.0691777823067721,1.2713185191061809e-4,NA
SYNJ2BP,P57105,cancer_down,cancer_on_training,-3.20597738127147,1.89469933672872,-0.607071211143758,0.294326607347802,0.02798591724924323,NA
LACTB,P83111,cancer_down,cancer_on_training,-3.42674719298928,0.0138277888891318,-0.820538171886511,0.00271631105776038,0.00483288107541994,NA
SLC25A20,O43772,cancer_down,cancer_on_training,-2.71055107302927,1.4593724872057,-0.677961291100793,0.299449432985353,0.04437418496826092,NA
DNPEP,Q9ULA0,cancer_down,cancer_on_training,-3.27557342053907,0.467456267625947,-0.527192751800168,0.061721023147479,0.04053552227341003,NA
DIAPH2,O60879,cancer_down,cancer_on_training,-4.42495987808792,2.2972006201740802,-1.53805304055013,0.733478438622285,1.9221878069004503e-6,NA
SCCPDH,Q8NBX0,cancer_down,cancer_on_training,-2.98313742296661,1.68670721753115,-0.593516150481641,0.275301781411248,0.04316144268506187,NA
ENDOD1,O94919,cancer_down,cancer_on_training,-3.64602863497174,0.965762532851252,-0.819108269906458,0.177992468283634,0.00293673434268562,NA
EPRS1,P07814,cancer_down,cancer_on_training,-3.88305210900768,1.55707851272684,-0.600021554243604,0.197385016309823,0.00926049067915499,NA
VARS1,P26640,cancer_down,cancer_on_training,-3.5768836221082,1.4861103931769,-0.536460989710442,0.183426086770861,0.02471860202091766,NA
NDUFB5,O43674,cancer_down,cancer_on_training,-2.64253733679313,1.82768505651863,-0.926265959865042,0.540319246711045,0.01673297617549663,NA
SLC16A1,P53985,cancer_down,cancer_on_training,-2.48150450785267,1.55224783283818,-0.808379502615814,0.414831115170909,0.03839042971506574,NA
CYB5B,O43169,cancer_down,cancer_on_training,-5.89563552391471,0.314479817066397,-1.48272411903394,0.0648832417991159,1.0051638454247942e-9,NA
GARS1,P41250,cancer_down,cancer_on_training,-3.26768344152824,1.25548338836402,-0.587734543263661,0.185251719276806,0.02841036781945922,NA
RPL30,P62888,cancer_down,cancer_on_training,-3.07729087675163,2.63093741938323,-0.604528498363091,0.424002858900151,0.03502195918579162,NA
PTRHD1,Q6GMV3,cancer_down,cancer_on_training,-2.71342657720862,0.664121325384164,-0.877836870870041,0.187421224193386,0.01848490129322958,NA
HINT3,Q9NQE9,cancer_down,cancer_on_training,-3.98389117145541,1.15583830199075,-0.993438319897383,0.24085370965765,3.425608322928378e-4,NA
COA3,Q9Y2R0,cancer_down,cancer_on_training,-2.76923762226917,0.39540533269786,-0.8421162557303,0.105716133849699,0.01915886564099901,NA
CNIH4,Q9P003,cancer_down,cancer_on_training,-3.26510930569872,2.28978494861099,-0.616132080814403,0.361071832336405,0.02457355138715046,NA
EIF3B,P55884,cancer_down,cancer_on_training,-4.05028668451031,0.4829883101537,-0.504302612264674,0.0494901495546038,0.01551872039846479,NA
MT-ND3,P03897,cancer_down,cancer_on_training,-2.26275175014814,0.737635832556279,-1.05664722423096,0.283473069019713,0.02437803741849605,NA
RARS1,P54136,cancer_down,cancer_on_training,-3.95333107016795,1.21208304585351,-0.658764486517363,0.16621723842653,0.00522198413012886,NA
CUL4A,Q13619,cancer_down,cancer_on_training,-2.55109154777135,1.58451308301477,-0.721688971033004,0.368889715148134,0.04852590186979128,NA
EML1,O00423,cancer_down,cancer_on_training,-3.38146312327792,0.270002978074341,-0.734491286912892,0.0491576320088356,0.0097120988911249,NA
MT-ND4,P03905,cancer_down,cancer_on_training,-2.7828882797431,0.664460115526855,-1.20968205236301,0.257340284083259,0.00344429178741797,NA
EHBP1L1,Q8N3D4,cancer_down,cancer_on_training,-3.77063109105957,0.318919100649003,-0.71995612551563,0.0516244660619023,0.00489410231886466,NA
OPLAH,O14841,cancer_down,cancer_on_training,-3.15205688333778,0.167174459968848,-0.615194794305211,0.0268512944801316,0.02947242829434666,NA
MTM1,Q13496,cancer_down,cancer_on_training,-3.44360133485898,1.19192387616189,-0.958583060913451,0.333262367007874,0.00282667090283934,NA
C19orf12,Q9NSK7,cancer_down,cancer_on_training,-3.24148174821062,2.44062248402035,-0.8521663080477,0.630991821428275,0.01103719549305049,NA
LPCAT3,Q6P1A2,cancer_down,cancer_on_training,-3.68622426559017,2.26160157029024,-1.5605195768592,0.898257544161881,4.6166453469791995e-5,NA
G3BP2,Q9UN86,cancer_down,cancer_on_training,-2.26223709065494,2.56266492978113,-0.966609841309985,0.954960466854776,0.03650388054594145,NA
DYNC1LI1,Q9Y6G9,cancer_down,cancer_on_training,-3.38006801994931,0.998661785639217,-0.53605625794571,0.132218414470685,0.03446011064864879,NA
MFN2,O95140,cancer_down,cancer_on_training,-4.10139054129276,0.553900280473073,-0.833477143053273,0.092634091597386,9.028212090437692e-4,NA
CLPP,Q16740,cancer_down,cancer_on_training,-3.45740107892952,3.54122409457699,-0.663114331844502,0.630836319214058,0.01373246300980199,NA
MAVS,Q7Z434,cancer_down,cancer_on_training,-4.90137279664214,0.0854216021871754,-0.785608756315572,0.0116017859096313,2.252747998934475e-4,NA
SLC25A46,Q96AG3,cancer_down,cancer_on_training,-3.67495788001028,0.918199717632232,-1.07912994689198,0.319745907096811,7.774338238744313e-4,NA
SYNE2,Q8WXH0,cancer_down,cancer_on_training,-2.81052511579184,1.05200939618216,-0.759840154416045,0.300540699443971,0.02940955867513603,NA
TSFM,P43897,cancer_down,cancer_on_training,-3.00382710066522,1.40002200419602,-0.690548505631305,0.303117489318915,0.02621734683222815,NA
ZBTB9,Q96C00,cancer_down,cancer_on_training,-2.78157865793095,1.36996780228527,-0.890026567644094,0.369631124488178,0.01742132875238102,NA
LARS1,Q9P2J5,cancer_down,cancer_on_training,-3.41758369084954,1.30588299549442,-0.521645586917341,0.177889404591173,0.03786367054099498,NA
SLC35A4,L0R6Q1,cancer_down,cancer_on_training,-2.7775013315866,0.0909057695141203,-0.693643796529001,0.0206980411068622,0.04097195778803759,NA
NLRX1,Q86UT6,cancer_down,cancer_on_training,-3.15141585763861,0.516558736398966,-0.830465176055224,0.121621677942279,0.0098417798038388,NA
CLIP2,Q9UDT6,cancer_down,cancer_on_training,-3.87974567176026,0.302039290081079,-0.784393907258526,0.0564147651591158,0.00277260580545109,NA
ANK3,Q12955,cancer_down,cancer_on_training,-5.45851067890373,0.618595613638561,-1.04960809042462,0.122243442830823,5.5509344870756146e-6,NA
MRPL49,Q13405,cancer_down,cancer_on_training,-3.40526967859879,1.48440292126613,-1.06309839468735,0.393566711432415,0.00127036966743063,NA
VPS28,Q9UK41,cancer_down,cancer_on_training,-3.63561949678333,0.200158884986326,-0.830290734400926,0.0432502878112713,0.00360604807972641,NA
SCFD1,Q8WVM8,cancer_down,cancer_on_training,-3.376658496979,1.24919829289087,-0.494624256819485,0.15505586844073,0.04440312649423106,NA
MRPL13,Q9BYD1,cancer_down,cancer_on_training,-2.72628718525056,3.41694565483745,-0.955960106046028,1.2963038763409,0.01860176123842973,NA
PIP4K2B,P78356,cancer_down,cancer_on_training,-3.66513754766512,1.08217012632591,-0.777313917241043,0.215856963701371,0.00433458701707468,NA
MRPL38,Q96DV4,cancer_down,cancer_on_training,-2.50679275159354,1.90451267131507,-0.946441185274441,0.751835276753232,0.02932749215207506,NA
MARCHF5,Q9NX47,cancer_down,cancer_on_training,-4.13001888130641,2.56843447127405,-1.07294269441843,0.752233734743872,5.19942146289004e-4,NA
TMOD4,Q9NZQ9,training_up,training_on_cancer,-0.319499287076524,2.11048861550784,-0.160646123434162,0.976508714791544,NA,0.04789727460980505
ALDH1B1,P30837,training_up,training_on_cancer,-2.92049395105396,2.89555805883939,-0.85776523859543,0.699876000976181,NA,0.02908860334889641
ERP29,P30040,training_up,training_on_cancer,-0.713639890466263,3.69900752927458,-0.107314679555479,0.470079445732299,NA,0.03363595388691685
RPL4,P36578,training_up,training_on_cancer,-2.55782877927826,3.78243116175064,-0.342345334081543,0.415311554388113,NA,0.04419352930287224
TMEM70,Q9BUB7,training_up,training_on_cancer,-0.749450322823908,2.50732055747789,-0.317815470569499,1.12013075345102,NA,0.01881427524792513
SLC41A3,Q96GZ6,training_up,training_on_cancer,-1.13132546811951,2.40687474663451,-0.725544556874755,1.50356359051791,NA,0.00550560793778625
IL18,Q14116,training_up,training_on_cancer,-0.094095292129714,2.70686348581614,-0.0321945708633322,0.894026216462475,NA,0.01859605498345214
ARCN1,P48444,training_up,training_on_cancer,-0.588630850163396,4.50145297468891,-0.0718408806337152,0.470785831642901,NA,0.01140313474243065
G3BP2,Q9UN86,training_up,training_on_cancer,-2.26223709065494,2.56266492978113,-0.966609841309985,0.954960466854776,NA,0.02012767682808408
CLPP,Q16740,training_up,training_on_cancer,-3.45740107892952,3.54122409457699,-0.663114331844502,0.630836319214058,NA,0.0146619793243797
SELENOO,Q9BVL4,training_up,training_on_cancer,-0.776382750438978,2.90558459216044,-0.376516175573698,1.54716460947327,NA,9.839705003685695e-4
MRPL13,Q9BYD1,training_up,training_on_cancer,-2.72628718525056,3.41694565483745,-0.955960106046028,1.2963038763409,NA,7.202166218004775e-4
ENPP4,Q9Y6X5,training_up,training_on_cancer,-1.07463318948864,3.49094894062253,-0.356799611200234,0.901435426537261,NA,0.00395048682403118
KRT19,P08727,training_down,training_on_cancer,1.06710539989716,-2.737609487329,0.569560577303047,-1.17260340368376,NA,0.00574290826090164
ATL3,Q6DD88,training_down,training_on_cancer,5.39590585392737,-2.87416280952605,3.46950811796762,-1.04223157549914,NA,0.00793204854200662
RETSAT,Q6NUM9,training_down,training_on_cancer,3.31742525089452,-2.45975964091329,3.0310061320009,-1.37401300456026,NA,0.00621703105019358
MAP1B,P46821,training_down,training_on_cancer,2.1330543585092,-3.065385275071,1.15593398735556,-0.777007545829781,NA,0.02293809881195161
CNRIP1,Q96F85,training_down,training_on_cancer,1.7991965686059,-2.81406675829273,1.16505964278626,-1.06321573874678,NA,0.01281339039528944
DDX19B,Q9UMR2,training_down,training_on_cancer,4.69187087822186,-2.61285809485825,1.90799533362074,-1.26908683510436,NA,0.00872505330948125
PEBP4,Q96S96,training_down,training_on_cancer,0.728979772050243,-2.77840279350189,0.156884333594423,-0.749866844468039,NA,0.03205486108460622
RBM3,P98179,training_down,training_on_cancer,1.76529056807984,-3.44042252668781,0.799386880779718,-1.84518774260413,NA,2.6580271691311196e-5
TUBB2B,Q9BVA1,training_down,training_on_cancer,4.85409138480192,-3.32240305515851,2.66155648284639,-1.36141054620826,NA,6.530118890417647e-4
SCN1B,Q07699,training_down,training_on_cancer,1.17657164533243,-3.15309605911532,0.279434157851298,-0.756312446250416,NA,0.01702352812327688
