pathway,pathway_label,database,NES_Cancer_vs_Healthy,NES_Training_CR,padj_Cancer_vs_Healthy,padj_Training_CR,significance,set_size
GOSLIM_PROTEIN_LOCALIZATION_TO_PLASMA_MEMBRANE,Protein Localization To Plasma Membrane,GO Slim,1.181,-0.769,0.3069,0.9728,NS,73
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,0.957,-0.97,0.6813,0.6922,NS,40
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.164,0.715,0.3932,0.897,NS,14
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,-0.801,1.013,0.8612,0.6395,NS,34
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Mitotic Nuclear Division,GO Slim,0.741,-1.012,0.894,0.6809,NS,45
GOSLIM_DNA_RECOMBINATION,DNA Recombination,GO Slim,0.983,0.739,0.5722,0.9728,NS,35
HALLMARK_UV_RESPONSE_UP,UV Response Up,Hallmark,0.801,-0.881,0.8612,0.8303,NS,47
HALLMARK_MYC_TARGETS_V2,MYC Targets V2,Hallmark,-0.751,-0.906,0.8612,0.7121,NS,13
GOSLIM_CHROMOSOME_SEGREGATION,Chromosome Segregation,GO Slim,0.566,1.019,0.9887,0.6809,NS,56
GOSLIM_DNA_REPLICATION,DNA Replication,GO Slim,0.82,0.563,0.7842,0.9828,NS,28
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,0.622,0.751,0.9587,0.897,NS,35
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-2.878,2.109,8.322e-17,6.961e-7,Sig Both,158
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.287,1.786,8.377e-6,0.01132,Sig Both,51
GOSLIM_DETOXIFICATION,Detoxification,GO Slim,1.95,-1.906,3.352e-4,0.003816,Sig Both,52
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,1.883,-1.813,0.001762,0.01132,Sig Both,63
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Generation Of Precursor Metabolites And Energy,GO Slim,-1.979,1.641,1.559e-7,0.002953,Sig Both,234
GOSLIM_MITOCHONDRION_ORGANIZATION,Mitochondrion Organization,GO Slim,-1.732,1.69,9.847e-5,0.003365,Sig Both,182
GOSLIM_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO Slim,-1.454,1.727,0.02261,0.003816,Sig Both,116
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,2.578,-1.319,3.534e-10,0.182,Sig Cancer only,65
GOSLIM_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO Slim,-2.282,1.332,5.738e-5,0.3156,Sig Cancer only,46
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Extracellular Matrix Organization,GO Slim,2.182,1.297,5.63e-5,0.3156,Sig Cancer only,42
GOSLIM_RENAL_SYSTEM_PROCESS,Renal System Process,GO Slim,2.216,-1.181,5.738e-5,0.5001,Sig Cancer only,18
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,2.241,1.071,1.017e-5,0.6133,Sig Cancer only,50
GOSLIM_WOUND_HEALING,Wound Healing,GO Slim,2.5,0.768,3.377e-10,0.9728,Sig Cancer only,93
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.683,-1.528,0.03933,0.1554,Sig Cancer only,14
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,1.701,-1.478,0.03203,0.1644,Sig Cancer only,21
GOSLIM_CILIUM_ORGANIZATION,Cilium Organization,GO Slim,1.829,1.327,0.007229,0.3156,Sig Cancer only,35
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,Reactive Oxygen Species Pathway,Hallmark,1.748,-1.382,0.02461,0.2121,Sig Cancer only,27
HALLMARK_COMPLEMENT,Complement,Hallmark,2.137,-0.842,5.44e-5,0.8953,Sig Cancer only,50
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Establishment Or Maintenance Of Cell Polarity,GO Slim,2.135,0.844,5.738e-5,0.9406,Sig Cancer only,46
HALLMARK_INTERFERON_GAMMA_RESPONSE,Interferon Gamma Response,Hallmark,1.679,-1.289,0.03203,0.2966,Sig Cancer only,32
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.973,-0.992,0.001506,0.6602,Sig Cancer only,38
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,Amino Acid Metabolic Process,GO Slim,-1.883,-1.06,9.834e-5,0.6352,Sig Cancer only,115
HALLMARK_APOPTOSIS,Apoptosis,Hallmark,1.982,0.954,0.001762,0.6922,Sig Cancer only,41
HALLMARK_KRAS_SIGNALING_UP,KRAS Signaling Up,Hallmark,1.976,-0.95,0.002639,0.6922,Sig Cancer only,20
HALLMARK_COAGULATION,Coagulation,Hallmark,2.276,0.568,1.028e-5,0.9899,Sig Cancer only,34
HALLMARK_ANDROGEN_RESPONSE,Androgen Response,Hallmark,1.666,-1.04,0.03203,0.6133,Sig Cancer only,34
HALLMARK_HYPOXIA,Hypoxia,Hallmark,1.577,1.051,0.03558,0.6133,Sig Cancer only,59
HALLMARK_PROTEIN_SECRETION,Protein Secretion,Hallmark,1.673,-0.797,0.02461,0.897,Sig Cancer only,49
GOSLIM_DIGESTION,Digestion,GO Slim,1.71,-0.722,0.03148,0.9728,Sig Cancer only,14
GOSLIM_CYTOKINESIS,Cytokinesis,GO Slim,1.554,0.684,0.04365,0.9728,Sig Cancer only,44
HALLMARK_BILE_ACID_METABOLISM,Bile Acid Metabolism,Hallmark,1.178,-1.829,0.3932,0.0335,Sig Training only,24
GOSLIM_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO Slim,1.013,-1.603,0.5546,0.04198,Sig Training only,58
