"","uniprot_id","protein","gene","description","Ensembl","CR006_T1","CR006_T2","CR007_T2","CR008_T1","CR008_T2","CR010_T2","CR012_T1","CR012_T2","CR015_T1","CR017_T1","CR017_T2","CR018_T1","CR018_T2","CR022_T1","CR022_T2","CR025_T1","CR025_T2","CR072_T1","CR072_T2","CR149_T1","CR149_T2","CR163_T1","CR163_T2","CR383_T1","CR386_T2","PPS02","PPS20","PPS28","PPS31","PPS32","PPS37","PPS40","PPS41","PPS42","PPS44"
"P32119","P32119","PRDX2_HUMAN","PRDX2","Peroxiredoxin-2","ENSG00000167815",27.2338793785109,27.1840179692474,27.772934057703,26.8155279292249,27.2429427424693,26.8025895153753,26.7299430462092,27.4961751907782,28.9318876460085,27.6736734632785,27.6011043266159,26.4733409207679,28.6315847209412,29.4827117187646,28.2142494996336,28.7616797498988,27.3670884385198,27.6786184481619,29.3808466618525,28.5141994591224,27.1188576676223,26.948876642797,27.3192020846536,26.6707902949466,28.6070257693338,25.8794521817761,26.2352529604402,26.0327730852985,25.9627021745406,26.1239694139589,26.0943166770593,26.325421526299,26.895304400435,26.4999506826586,26.2881838974673
"P14618","P14618","KPYM_HUMAN","PKM","Pyruvate kinase PKM","ENSG00000067225",27.7793156573277,27.8464986346531,27.5494711170507,28.0182542738301,27.7997018633866,27.9206334127857,27.3693812077319,27.7628398838054,27.5910646935943,27.6944845087694,27.8470565458167,27.8878189848037,28.1179302825781,27.6829866310097,28.0914521543003,27.9245320283183,28.1259532446767,27.8913244517165,28.3257512911021,27.8399049914508,28.1960576921249,27.7051499582581,27.5871471460723,27.5680914313424,27.7070949637559,28.0543378354905,27.6909195527089,27.7848619969701,28.222652464506,27.4701079044109,27.7824272504018,28.2265917976997,27.7236041645885,27.532039604917,27.7271562267225
"P60174","P60174","TPIS_HUMAN","TPI1","Triosephosphate isomerase","ENSG00000111669",28.057405830697,27.8454034791805,27.3675103009335,27.9176525741393,27.9338259329568,28.0502082045938,27.5862202511356,27.2540679221748,27.5924078657422,27.5534377290699,27.6120176955146,27.7112690286943,27.6795251232588,27.7770557091031,27.8155147890052,27.3980217474719,27.5358610425121,27.7920345691151,27.8641053759479,27.3730088137574,27.7042278525441,27.8892272497109,27.7414612857522,27.9547484995581,27.3571117464856,27.8645468963379,27.7364158053224,27.6082273655299,27.8833692044554,27.5523278015616,27.4339722169451,28.1255754541175,27.8470797539448,27.577708947407,27.8019310808874
"P09104","P09104","ENOG_HUMAN","ENO2","Gamma-enolase","ENSG00000111674",27.7649135332938,28.1234949584743,27.5346735629474,28.3350846389299,27.7590597196524,28.0432005439568,26.6332541672643,27.193087345318,27.607044194567,27.7491073603988,27.4802719412775,28.1781292882416,27.7382552979469,27.1021288201528,27.633673106822,27.899029423588,27.1271023042576,27.7767049315184,27.8741141332417,27.3153302560703,27.764738664129,27.0255801181952,27.0565322149579,27.4336436023494,27.563469871109,27.7365040532081,27.3904762123585,27.3158177316729,28.0778088043399,26.9451503773263,27.3598065363522,28.2101385364915,27.5442296825091,27.1084089298817,26.8360520804326
"P18669","P18669","PGAM1_HUMAN","PGAM1","Phosphoglycerate mutase 1","ENSG00000171314",27.3997002739722,27.3829139466073,26.9472234841292,27.5087934340552,27.0570473329577,27.7422924679763,27.3865453753157,27.3748546786374,28.2219519370236,27.9712846163417,27.5141539249774,27.6056858467935,27.2748587382408,27.8909897357198,27.3506893636697,27.5646163986456,27.6504180703685,27.5523909397835,28.0304607671878,27.8163523718203,27.8107360369315,27.2102040098229,27.2139738485831,27.3785100216862,27.7317828445695,27.6103828062516,27.5231686416225,27.2246356896974,27.1465739630644,27.2530360947133,26.8805289692256,27.2514614450895,26.95530535654,26.8046131081424,27.6249812339596
"P31415","P31415","CASQ1_HUMAN","CASQ1","Calsequestrin-1","ENSG00000143318",27.3403560228088,27.4015078461596,27.5577369655724,27.3404116180298,27.0771229077406,27.7951002367732,27.8193616771347,27.8172587556921,27.0506222939892,27.6112526498073,27.5151973803074,27.4567871173886,27.3998174222932,27.1982355445724,27.7346127240548,27.3187119755443,27.6802581726241,27.3160761506098,26.8081807824335,27.2302825645237,27.0651369082778,27.5097175191575,27.2162265878026,27.6375037099751,27.0391808285689,26.9918503912391,27.2426039662091,26.9372533107641,27.7388031281053,27.6335288869394,27.7359003566991,27.5115344099255,28.1437772872424,27.7893011028991,27.3445492760352
"P00558","P00558","PGK1_HUMAN","PGK1","Phosphoglycerate kinase 1","ENSG00000102144",27.3667974991015,27.2927465129864,26.9500585922617,27.679992834766,27.2977066232548,27.6601270532827,27.6136770556493,27.1652036683799,27.6777218310205,27.4701241760155,27.3620640887558,27.4566742553818,27.4291004819807,27.8419674149595,27.7904333343538,27.4262529539205,27.1925782072575,27.4111119189395,27.9553855442789,27.3385705100004,27.2774243536705,27.3274616256029,27.3218426422676,27.4310258056639,27.4451618017611,27.4710299880447,27.2089887477934,27.0475538759469,27.3113523617576,26.8671002214492,27.0983405901635,27.6360482822335,27.2835576340707,27.0040659580326,27.2261004523667
"P04792","P04792","HSPB1_HUMAN","HSPB1","Heat shock protein beta-1","ENSG00000106211",27.3527961613479,27.1028634721665,27.6017592512692,26.1914939302357,26.6252531649141,27.8119038067934,27.659265913592,27.5016168930235,27.3765071753905,27.3517924432076,27.6215134578038,27.1367284969097,27.2052181693713,27.5313526750231,27.4313219524814,27.446432802748,27.1071228746785,26.7964816191607,27.9503092020344,27.0417381370611,27.6028346547965,26.7580907317091,27.3274064230039,27.6560397617091,27.5316346879764,27.7503811391875,27.5192930971915,27.3384300639086,27.0272997993397,27.6199524146696,27.284768958185,26.3548070940056,27.8099574908798,27.2845890932942,27.3404091803082
"P05976","P05976","MYL1_HUMAN","MYL1","Myosin light chain 1/3, skeletal muscle isoform","ENSG00000168530",26.5954657365201,29.7471127871631,27.4729814869282,25.8129820678574,25.1398246101959,26.5838832582173,26.9475399742323,27.9456905907618,26.1183849788932,26.293564276856,27.9085407780934,28.0304128913058,26.6380404674971,27.0107706522413,26.1284302045702,27.0452899937978,28.9924685095056,26.7133243036066,26.0884037339611,26.0476931830983,27.0122584484641,25.9841146371231,26.8010561844834,27.684166679695,26.0307337785332,26.4718086051953,27.3017227918416,27.5009886799386,26.6139499778993,26.9023856268938,26.673143988854,26.5242422329591,27.7497051518992,26.7602067060173,27.6216546617117
"P11217","P11217","PYGM_HUMAN","PYGM","Glycogen phosphorylase, muscle form","ENSG00000068976",27.2510006338386,27.5630340337694,27.1682636639801,27.0595003523412,26.693922501443,27.2613181086095,26.6718919818128,27.0473228901601,27.1490839423241,27.3995217549875,27.2810543787016,27.7605157273756,27.6430903766424,27.5133642284382,27.6790752646409,27.0095536525909,27.2513409709122,26.632643600831,27.0352632761165,27.1871157548673,27.1048740151151,27.4860438283979,27.02386402176,26.8312579511227,26.7419246226386,27.206298948946,27.0383579156057,27.2585907772041,27.5659755713107,27.0999147495742,27.3588585315501,27.2003565619101,27.4514967153163,26.9621379219399,27.1303509506684
"P02511","P02511","CRYAB_HUMAN","CRYAB","Alpha-crystallin B chain","ENSG00000109846",27.2424263631654,27.3343441719851,27.1924207386708,26.411549793113,26.698238359068,26.9909954815602,27.175529619176,27.149341744103,27.2616126120993,26.9788104619193,26.62542904985,26.8242032137797,27.2981804816023,27.0569252185034,26.9189538135331,27.0892428667678,26.702823649628,26.7657146885244,27.2271320986953,26.3163030455001,26.6389067114143,26.8182429135548,27.0301390358525,27.5363656784477,26.9701034351706,26.8821862900269,27.3358373286763,27.2607080627875,27.1924473880569,28.0970307265157,27.1658291656702,26.70872522178,27.1498664045123,26.9936282836143,27.0058268419568
"P00338","P00338","LDHA_HUMAN","LDHA","L-lactate dehydrogenase A chain","ENSG00000134333",26.8404405443026,26.8818586755901,26.4087972005023,26.6311778950676,26.8540834816855,28.1714308253664,25.794685210547,26.1996882781105,27.3412077431773,26.6874050406249,26.7200440867502,27.1210452046177,27.4251396345328,27.0074164915292,27.1930403065334,27.0138674699885,26.9305506401142,27.0519264646441,27.5012791531112,27.3079023949386,27.2884155571147,27.2876231128046,27.0796440368922,26.6541770409664,27.3237432565152,27.5813995043841,26.7235176200863,26.4946026596926,26.8142754419908,26.1501657059318,26.6285948751905,27.6342708710474,27.2176506274287,27.1337366612759,27.2938963504784
"P10916","P10916","MLRV_HUMAN","MYL2","Myosin regulatory light chain 2, ventricular/cardiac muscle isoform","ENSG00000111245",26.4000673814672,28.2681106236905,27.4265257003712,24.6193406171925,24.3109735109549,25.598154197485,27.1363378792876,27.9241362713749,27.9573899322655,26.762852882722,27.102771918754,27.2477831523548,26.2797546620322,27.7363905573313,25.7582047786258,27.3113683106295,27.5040180830348,26.545491084753,25.8678045979186,27.3400894405718,26.4714698151946,26.3458847204371,26.713376527519,27.0267908587582,26.6707032198722,26.3121616511997,26.6893742230787,27.111343073332,26.8726203932694,27.3337107238016,26.8815163494785,25.8828108873354,27.421169063586,26.8297116052054,27.561389987093
"P00568","P00568","KAD1_HUMAN","AK1","Adenylate kinase isoenzyme 1","ENSG00000106992",27.2100212017471,26.9063306273788,26.4978620501612,27.1233728547414,27.3414023691895,27.3481600624058,27.0205166137283,26.6363942946833,26.735809923751,27.0697534536146,27.1872909280885,27.0763161736381,26.9972188631546,27.2541684429949,27.5888868037094,26.9615043858908,26.9238367942007,27.3017403976443,27.3017906197722,26.5798767447072,26.6290557057748,26.8022006774396,26.9524786872938,26.8430531349776,27.094974542888,26.984311012783,27.208853580174,26.2306884630463,26.5476461967044,26.3940450705205,26.6168860835448,27.2695249902021,26.9991917693346,26.6282360228835,27.4302757374233
"P15090","P15090","FABP4_HUMAN","FABP4","Fatty acid-binding protein, adipocyte","ENSG00000170323",23.9684509973154,23.8316582205716,25.5861224392562,24.5367480304209,24.4044858300618,26.2197773191959,25.3814530158346,26.4668296604444,29.915089997139,25.0151363086847,25.534647522657,23.5633762697993,25.0538971958428,27.5095516948018,25.8477475622449,27.0091272945815,26.2125500931493,26.361836921309,27.5489849861824,25.1486250539825,25.5323033856433,23.6692681055594,24.13273297308,23.7250770920233,27.4916629144753,24.2528935144822,24.283595372826,23.2929536793329,22.9575200776935,23.979824257556,24.1061565441631,23.4871230763903,24.1242299479466,24.0904201552448,23.5634592678607
"P05413","P05413","FABPH_HUMAN","FABP3","Fatty acid-binding protein, heart","ENSG00000121769",26.8324077137341,26.7483356283487,27.1212724965484,27.3989925595077,27.5346461327996,26.8170933504196,27.4102962037398,26.9708475411264,26.0689074849838,26.8545633827514,26.2670943563229,26.2131445592379,26.7963067212189,27.0065402075409,27.044329673554,26.9153206882844,26.7843509180761,27.204822420722,26.729363194981,27.4262288258463,27.1889438381161,27.2997590067792,27.5990059985797,26.6095846953413,26.8130710422004,27.1501041395382,27.3416795815788,26.7397758297962,26.7677774049925,27.0235750754751,27.1443298773246,26.3405249640547,26.6547561882598,27.4557206390036,27.0079983653681
"O14983","O14983","AT2A1_HUMAN","ATP2A1","Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ENSG00000196296",26.6280577709838,26.6136353449039,26.1470052026291,26.2777381595066,26.2480343816538,27.0054612178828,26.9935820947563,27.0337632848996,26.8361520856003,27.1390616385361,27.232451844009,26.9309671575844,26.5048685595869,27.2152656474707,27.1906975421279,27.0537982696472,26.8618928623358,27.0215216209334,26.6411514115537,26.95991449875,26.8946909912399,26.3013932873476,25.7691633189207,26.8823873924033,26.6744436331924,26.9376698095734,26.9703413190594,26.5944786163764,26.9200086447021,26.2930473116345,26.8424093230865,26.6216945963859,27.9937608866864,26.6036316342944,27.0355726050026
"P00918","P00918","CAH2_HUMAN","CA2","Carbonic anhydrase 2","ENSG00000104267",25.9005622863202,26.2040617207237,26.5231342910403,26.0808860819825,25.5648951412721,25.701748213132,26.1079418588989,26.4118311277527,27.8064162456977,26.4167948433784,25.8582233780058,25.8700256692187,27.4909209688317,28.3020981232628,27.2099490286285,27.6857428504386,26.3002032666045,26.4181600917241,28.0025126033198,27.778852474978,25.7134340711134,25.8965401698078,25.9160641934736,25.7687903679281,27.157969617129,25.133498828585,25.2594486701119,26.0702960733308,25.3283018417395,24.8298576198315,24.6816048880199,25.2321010152133,25.3522182576843,25.3892334510918,25.2740440838181
"P40925","P40925","MDHC_HUMAN","MDH1","Malate dehydrogenase, cytoplasmic","ENSG00000014641",26.8013369450741,26.3375303983224,26.8020608715558,27.1318184333349,26.9948011829586,26.6937903579851,26.8731587698814,26.6005588960434,26.8402429790453,26.7104386393495,26.332440158727,26.4088244227843,26.6807464467469,26.5512105182358,26.4272282206601,26.670374946145,26.3081586007817,26.5380528988722,26.3545668480471,26.7109525875559,26.5742169774166,27.163760569743,27.1126078880357,26.8610942660451,26.5740889049135,26.9985533443114,26.6406211320093,26.9865350288664,26.9112495519356,27.0988280657994,26.8730659396979,26.8102842548233,26.5801179123682,26.9598562968258,26.7053973598025
"P12883","P12883","MYH7_HUMAN","MYH7","Myosin-7","ENSG00000092054",26.119668260897,29.2621129264036,27.5315363666135,24.8037012448235,23.999465726659,24.9107134192402,26.9191767175,27.9869771354787,24.6589620761622,25.5835777954715,27.2673686338839,28.0701545469649,25.3748809058008,25.3431082881204,24.8109324848436,26.7775475879346,28.4701674901378,26.0107303375442,23.9876702665604,24.8176181515717,25.8347326907789,25.6154065846274,26.4914671437888,27.2310317102467,24.1379489538088,26.014888803776,26.7060893680408,27.1056411259999,26.2105563058042,27.0747772222268,26.5437055116079,26.0984847867079,27.1397972928131,26.974953137962,26.5122970007468
"P15259","P15259","PGAM2_HUMAN","PGAM2","Phosphoglycerate mutase 2","ENSG00000164708",26.4711833806744,26.7405577850496,26.4805179527952,26.8676338273569,26.3796830366184,26.7237585541089,26.3913026850465,26.134310052367,26.3409747632339,26.9965650267159,26.6249806211802,26.7114710291912,26.8548812471185,26.3862210382127,26.5964410914365,26.9334608949159,26.7634015618407,26.647733326389,27.0525188479955,26.6691419543788,26.788419174738,26.4079705476129,26.2988204119183,26.6364143888386,26.925596072898,26.5822550483664,26.9681469255889,26.454907652639,26.6017069720147,26.1386250699076,26.349875648607,26.6126902691721,26.6479686066828,26.3664214614032,26.5385149000514
"P11216","P11216","PYGB_HUMAN","PYGB","Glycogen phosphorylase, brain form","ENSG00000100994",26.5878053085675,26.7253610807236,26.4763808641207,26.3414136626603,26.0641179596066,26.6430230827291,26.2689734765789,26.404481869102,26.9831770129677,26.6356671328129,26.5471399731991,27.3298074047239,26.5553161762488,26.6662178267472,27.0810602703233,26.5304166823984,26.5974357899657,26.2368044502013,26.6798242029422,26.7101149903094,26.5791002340218,26.8672223260963,26.5871395915008,26.1556652822507,26.3650430939438,26.4617736985793,26.3352685503263,26.5729302006748,26.7984037728667,26.3877204410194,26.6487490608582,26.4978355349709,26.692576800155,26.3336992170556,26.7020806240516
"P30041","P30041","PRDX6_HUMAN","PRDX6","Peroxiredoxin-6","ENSG00000117592",26.4270001559614,25.8622957665598,26.2487031227253,26.0842864544797,25.8003170757491,26.4150577699834,26.6619748276874,26.3012160892028,26.7336898801466,26.3725963489837,26.2188183303704,25.8345420008869,26.0557024730358,26.3640479395413,26.0908008413364,26.492020297901,25.9440898670589,26.2272608570609,26.4930377759483,26.5162013445899,26.4322434692991,25.888048371196,26.2312615644768,26.0701058810658,26.3961900511588,26.3194922526759,26.5059404724304,25.7760555467405,25.9907210370372,26.1351624416144,26.0786481691053,25.647556974023,26.3167272529322,26.3836071282098,26.1636309023919
"P48735","P48735","IDHP_HUMAN","IDH2","Isocitrate dehydrogenase [NADP], mitochondrial","ENSG00000182054",26.1133646467504,26.2002697125657,26.8547661589226,27.4975851535041,27.2492167780442,26.0903552376978,26.3964498579252,26.3959778692705,25.8260004980343,26.3602825340238,26.1998852851811,26.1096141239316,26.3289225094382,25.7849245325613,26.2421981922797,26.0407335179372,26.394838527132,26.6807653101779,26.1985105277567,26.3043186280423,26.5170044575897,27.0051210518137,26.9401644946052,26.3530909488053,26.3961632065992,26.2493020718334,26.2668666650155,26.5529902564313,27.0131821880584,26.5379562330786,26.8854305324347,27.0408542575376,26.1316770946524,26.452156775973,26.7484745075792
"Q9UKX2","Q9UKX2","MYH2_HUMAN","MYH2","Myosin-2","ENSG00000125414",25.0801645819898,29.190753855596,26.5835008088195,25.2175657036756,23.9961733527746,25.6876094186851,26.0484122038805,27.2540398146835,24.6024377805203,25.5554592383944,27.0136725398378,27.3743471082939,25.0331896210859,25.6773057085509,25.0417065999768,26.2993569315483,28.8729622970205,26.3200323644498,24.8103618174453,24.459580094179,25.3496095146784,24.939439811917,25.4140443622843,26.892248035833,24.8518279290613,25.1469751232982,26.2997682233299,26.597700169895,26.0958830561629,26.008791366505,26.1752561329682,25.9534078747803,27.2943348549621,26.254413841263,26.6490215784434
"Q96A32","Q96A32","MLRS_HUMAN","MYLPF","Myosin regulatory light chain 2, skeletal muscle isoform","ENSG00000180209",24.9990102956269,28.8047122381672,25.9567643285349,24.782582722839,23.6295400704787,25.7073048400885,25.8034401994029,27.0407745083891,27.2244463510643,25.7330268495655,26.9404316183423,27.1305133192615,25.2692273737289,27.4383089476456,25.9981271577029,26.7819682891216,28.2795265553455,26.1932803788464,26.0429393535611,25.8418200383403,25.2964454520416,24.7297833928715,25.0608254968731,26.4492096839553,26.1057869285105,25.1637358190988,25.8985336993192,26.0506422338064,25.5321256984451,25.5196791899155,25.4826346397064,25.6191527367757,26.8541387442629,25.7313008715684,26.4254859965391
"P16615","P16615","AT2A2_HUMAN","ATP2A2","Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ENSG00000174437",26.7140217686153,26.2593198820859,26.4714274832619,25.6955513912891,26.0111403240675,25.889155865138,26.8147625283704,26.7611897987747,25.9206947841533,26.5906368786987,26.528995948425,26.3910730124236,26.2076104721433,26.0729411926832,25.8817828630494,26.0101491717966,25.9649900499379,26.191921934792,25.2634596812673,26.2966332785232,26.1453110176849,26.2807479136141,25.9321700521388,26.5912327525682,25.4841624180337,26.6631067027587,26.3214541123584,26.6495933104026,26.7401896118416,27.4393364327085,26.8177397946622,26.0197834376989,27.0561664735173,26.9047427940372,26.3622099021307
"P06576","P06576","ATPB_HUMAN","ATP5F1B","ATP synthase subunit beta, mitochondrial","ENSG00000110955",26.2478268994504,26.2463776494064,26.4668883133183,27.270309942301,27.0911587210159,26.0100013949048,25.581944841487,26.0707712782431,26.3458107344072,26.0155549420029,25.9750895618108,26.0453508904185,26.3954407087488,26.0850188772814,26.2457803856832,25.7361654039863,25.9391126763479,26.2074289701098,26.0937779978776,26.582084837416,26.2821260887141,26.9922958749134,27.0421348967171,25.9395205022943,26.6869456715816,25.7258338895591,26.1294337534952,26.5162416198191,26.5470725661189,26.6229225364065,26.4024431543623,26.7119480046612,26.1037863518657,26.2601787708478,26.4491461355249
"P40926","P40926","MDHM_HUMAN","MDH2","Malate dehydrogenase, mitochondrial","ENSG00000146701",26.2920588670482,26.140752774025,26.4246751835868,27.1625726726273,27.277791709284,26.2923026321873,25.9250118414487,26.0162759019015,25.8728474134566,26.0878257212484,25.7567862392703,25.9816985156122,26.3599803127826,25.5860835019759,26.0870356495019,25.816902302341,26.1942542874733,26.4222583964289,26.1068172966665,26.3985065195143,26.2761432164904,26.7502501267022,26.8501903349425,26.1690149456684,26.2790720980154,26.1756783362937,26.2664811696904,26.5096093380642,26.5841393482428,26.3557601337517,26.4966258031486,26.8622220609835,25.9948944175148,26.1922005022475,26.6035874053277
"P25705","P25705","ATPA_HUMAN","ATP5F1A","ATP synthase subunit alpha, mitochondrial","ENSG00000152234",25.9293115738925,26.1595150065193,26.4074852881113,27.2150068204062,26.8180575892359,25.8486732050188,25.4173952245182,26.0494743933282,25.943975818894,25.9253750085814,25.4736936984917,25.9490684567612,26.055473923063,25.3645657302638,26.2003408239047,25.740654865276,26.0000952751689,26.0972426036542,25.9352268587411,26.2941795257596,25.8884564553833,26.8576418787855,26.5917407270524,25.6120158479514,26.1602823726893,25.6203522416348,25.8571481442623,26.5010671381779,26.5612349782972,26.4339072341754,26.5233849284408,26.8272116521386,25.9056952333203,26.1207871184348,26.1111545837724
