uniprot_id,gene,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
O43837,IDH3B,0,0,21.011167835799036,NA,NA,NA,NA,Complete,TRUE,NA
P62851,RPS25,0,0,20.90669019315738,NA,NA,NA,NA,Complete,TRUE,NA
P07203,GPX1,0,0,20.86113853258663,NA,NA,NA,NA,Complete,TRUE,NA
P01591,JCHAIN,5,13.157894736842104,19.786301722284406,0,0,0,0,MAR,TRUE,NA
Q13085,ACACA,0,0,20.73779858452166,NA,NA,NA,NA,Complete,TRUE,NA
P62333,PSMC6,0,0,20.934565340354037,NA,NA,NA,NA,Complete,TRUE,NA
Q9BXN1,ASPN,3,7.894736842105263,20.013875273842647,0,0,0,0,MAR,TRUE,NA
P07384,CAPN1,0,0,21.01820277651374,NA,NA,NA,NA,Complete,TRUE,NA
O14521,SDHD,1,2.631578947368421,20.796215329471263,0,0,0,0,MAR,TRUE,NA
P14314,PRKCSH,0,0,20.74059804646241,NA,NA,NA,NA,Complete,TRUE,NA
O75438,NDUFB1,3,7.894736842105263,20.908021887109253,0,0,0,0,MAR,TRUE,NA
P08123,COL1A2,14,36.84210526315789,19.250118605066927,0,0,0,0,MAR,TRUE,NA
P05386,RPLP1,0,0,20.783545577348967,NA,NA,NA,NA,Complete,TRUE,NA
P00367,GLUD1,0,0,20.84126009980899,NA,NA,NA,NA,Complete,TRUE,NA
Q99536,VAT1,0,0,20.384533492734995,NA,NA,NA,NA,Complete,TRUE,NA
P50914,RPL14,15,39.473684210526315,20.806499206088265,0,0,0,0,MAR,TRUE,NA
Q99972,MYOC,19,50,19.899462309569582,1,0,0,1,MAR,FALSE,NA
Q15056,EIF4H,0,0,20.94093320928797,NA,NA,NA,NA,Complete,TRUE,NA
P59768,GNG2,18,47.368421052631575,20.01191381957679,0,0,0,0,MAR,TRUE,NA
Q8NB12,SMYD1,1,2.631578947368421,20.899563844572764,0,0,0,0,MAR,TRUE,NA
O75521,ECI2,1,2.631578947368421,20.85925031306904,0,0,0,0,MAR,TRUE,NA
Q13404,UBE2V1,0,0,20.86568649789516,NA,NA,NA,NA,Complete,TRUE,NA
Q01518,CAP1,0,0,20.54753449285471,NA,NA,NA,NA,Complete,TRUE,NA
P02753,RBP4,1,2.631578947368421,20.126183525758904,0,0,0,0,MAR,TRUE,NA
Q7Z3D6,DGLUCY,3,7.894736842105263,20.82713036919792,0,0,0,0,MAR,TRUE,NA
P60981,DSTN,0,0,20.738257972887226,NA,NA,NA,NA,Complete,TRUE,NA
Q16134,ETFDH,0,0,20.908589339980107,NA,NA,NA,NA,Complete,TRUE,NA
P09936,UCHL1,0,0,20.67259576871033,NA,NA,NA,NA,Complete,TRUE,NA
Q08257,CRYZ,0,0,20.89916259763765,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y394,DHRS7,0,0,20.97425274948021,NA,NA,NA,NA,Complete,TRUE,NA
P60033,CD81,0,0,19.866620102167936,NA,NA,NA,NA,Complete,TRUE,NA
O00410,IPO5,0,0,20.901011252862908,NA,NA,NA,NA,Complete,TRUE,NA
P55083,MFAP4,11,28.947368421052634,19.564725136278614,0,0,0,0,MAR,TRUE,NA
O75531,BANF1,0,0,20.7820736920825,NA,NA,NA,NA,Complete,TRUE,NA
P02775,PPBP,9,23.684210526315788,20.032423421818308,0,0,0,0,MAR,TRUE,NA
P67775,PPP2CA,0,0,20.909545029717705,NA,NA,NA,NA,Complete,TRUE,NA
P43304,GPD2,0,0,20.905250548355877,NA,NA,NA,NA,Complete,TRUE,NA
Q14195,DPYSL3,0,0,20.81060739904242,NA,NA,NA,NA,Complete,TRUE,NA
O43488,AKR7A2,0,0,20.910823418747203,NA,NA,NA,NA,Complete,TRUE,NA
Q9NSE4,IARS2,0,0,20.923406865893284,NA,NA,NA,NA,Complete,TRUE,NA
Q9UNZ2,NSFL1C,0,0,20.898876589872952,NA,NA,NA,NA,Complete,TRUE,NA
