replicate,r
403,0.16283743759080405
404,0.21510235181419957
405,0.21935702664448176
406,0.2508122705126038
407,0.27131276870843296
408,0.23765170570066274
409,0.15887615031673605
410,0.21633168906009714
411,0.21854688120775792
412,0.22180307975427782
413,0.23729480181898924
414,0.1887801603102041
415,0.17621683529462256
416,0.23083989189061646
417,0.22460009719659046
418,0.2267633408529381
419,0.1778398774654669
420,0.2867684076858323
421,0.22849087663074888
422,0.26846728032248346
423,0.16989620535803932
424,0.170385864000295
425,0.22175910152427483
426,0.23936375460051554
427,0.28053465494713103
428,0.20325162946489952
429,0.14789814960121012
430,0.22133040504549686
431,0.20787871985710474
432,0.25842640285746377
433,0.21621930119639032
434,0.16298287240812487
435,0.1981479035611149
436,0.18856566146664552
437,0.19950680906203969
438,0.2297151774028605
439,0.3072336892250156
440,0.18239962302883808
441,0.3068723871720404
442,0.2384445833345268
443,0.19331079432222048
444,0.1715196707831787
445,0.21118027006585907
446,0.14848976925505242
447,0.18747467682210905
448,0.21300327539673863
449,0.2645432755884666
450,0.20633523814330426
451,0.20485898113579168
452,0.24806412831392027
453,0.26762912378946024
454,0.19371143988100278
455,0.1672443246345144
456,0.22797126028984632
457,0.19404258588546233
458,0.19357158419449294
459,0.16865563048368398
460,0.30411858070068243
461,0.2023061341463568
462,0.23215839391428914
463,0.23061488558726032
464,0.226531774768892
465,0.21884525474290004
466,0.16107572545626922
467,0.15172009023449462
468,0.22563045052611064
469,0.2527433614414426
470,0.2601226932782836
471,0.21754154867092254
472,0.22451278118289647
473,0.20396366836960933
474,0.16143532455082443
475,0.23704220410717264
476,0.1491199299947101
477,0.21901950805347717
478,0.33430123221801944
479,0.25290264063138906
480,0.26076791051635256
481,0.21081925897535925
482,0.23219632381902994
483,0.2510612597492167
484,0.2585412229641584
485,0.2394520217753217
486,0.2016485629321543
487,0.2868458896702125
488,0.23761945472449691
489,0.14840269062096734
490,0.2126256201355582
491,0.18762589206790245
492,0.2454462844018333
493,0.24914617876733333
494,0.24100661679097826
495,0.11994359814936743
496,0.16578977763025393
497,0.24278532194861469
498,0.15623580214160096
499,0.222866597808011
500,0.27436010159511803
501,0.20049669526225955
502,0.21451919454070956
503,0.1377281318708424
504,0.2154163834188736
505,0.2746080648571736
506,0.21604398943257208
507,0.22745940433226816
508,0.25283466840944757
509,0.20518049147188627
510,0.22442342631937695
511,0.1979464188373791
512,0.17842699903734424
513,0.24587992029028302
514,0.23652571790720703
515,0.2840936641161556
516,0.21416779039328426
517,0.21320825826911483
518,0.24808089713034798
519,0.23959131678910953
520,0.20194529120100072
521,0.1057702283585899
522,0.17137633954090434
523,0.21852391597874518
524,0.20259131950708825
525,0.1735773523260309
526,0.25378920489030077
527,0.21594806259208846
528,0.15919599459306302
529,0.2388035005533839
530,0.1735452758056944
531,0.2607679521171294
532,0.22984405509588804
533,0.1525308487414831
534,0.2186020933835012
535,0.1379656451143803
536,0.256696626330423
537,0.13204752986767335
538,0.18912233580458535
539,0.2001902852954573
540,0.18875875485533924
541,0.18568834999830514
542,0.2612868600157321
543,0.13613455268308702
544,0.2589319771030514
545,0.23743091455403123
546,0.2380057505736528
547,0.18235446227677352
548,0.2482240742146948
549,0.26713019215979894
550,0.2559316543786587
551,0.20750279070403313
552,0.245809010741298
553,0.22562479293150495
554,0.21369443797270496
555,0.23541387225295404
556,0.21154159542896492
557,0.22831714087264593
558,0.23554285517923448
559,0.20563357992914844
560,0.25203226892691794
561,0.2274236464798875
562,0.2619158432417924
563,0.21197998420392392
564,0.2793999668165925
565,0.19625797880026336
566,0.23719578037362585
567,0.22664855812845505
568,0.22807494593774374
569,0.16548975872571825
570,0.2537045438512623
571,0.2268774991203265
572,0.18929127109044894
573,0.2779536577771619
574,0.20402599416904005
575,0.17451218389490117
576,0.23871023050881576
577,0.1832384313577817
578,0.15638301734174162
579,0.2389818461203504
580,0.1938554633142467
581,0.19945412173339977
582,0.22110031751813983
583,0.14144652334098592
584,0.2600744535098037
585,0.21778058876550135
586,0.26693876959257096
587,0.18243269268544354
588,0.25048561482818754
589,0.1787674587757818
590,0.19557513917428823
591,0.1505774927046484
592,0.19337895543876402
593,0.16104267028437122
594,0.19495077160093746
595,0.1294137535890062
596,0.15911523018861864
597,0.21124928359486833
598,0.21936844631674507
599,0.252482263335847
600,0.20830373289256285
601,0.23561973210833176
602,0.20483960906250842
603,0.18775821607274662
604,0.2134452086357253
605,0.19754499672223988
606,0.2695911762694812
607,0.22239041967467402
608,0.22282835520777963
609,0.20048956508083976
610,0.15722856846783975
611,0.23079514200021595
612,0.2465314313916993
613,0.2245204835272957
614,0.21736428571240823
615,0.17159522288964238
616,0.18413335713083187
617,0.23752039469873554
618,0.2711698731541009
619,0.19704389734575786
620,0.18913886041619102
621,0.20667783821970015
622,0.18113641345167816
623,0.24219606047901276
624,0.2537700392868408
625,0.19307864377435857
626,0.23651966492823123
627,0.19109342022207892
628,0.27924097769846296
629,0.2649159943877607
630,0.2615937695335831
631,0.2802641871359729
632,0.14721692089754426
633,0.19011177104705376
634,0.19185697223632875
635,0.22957173647076698
636,0.23823852019490496
637,0.23534025960356683
638,0.22860234233342844
639,0.16223808505502216
640,0.19171749313877362
641,0.1829359082219384
642,0.24522036543236922
643,0.25826965051441925
644,0.2025441055627098
645,0.20750326547216177
646,0.23597059989312494
647,0.23126119875122145
648,0.2666257600229384
649,0.164448023460787
650,0.22136144543120864
651,0.1443838128511639
652,0.1814698754392327
653,0.18784256806389266
654,0.1610178054726795
655,0.14429549519987073
656,0.25945304602691266
657,0.25459351792346585
658,0.16408154574267494
659,0.25563788325448406
660,0.2306764357958876
661,0.2915740796062042
662,0.2761040986660948
663,0.2078469692221752
664,0.20449705534498056
665,0.24010263853631827
666,0.18225150900110298
667,0.2417192684565693
668,0.18507579625799295
669,0.22052642249706575
670,0.1970800130225364
671,0.20264702633344972
672,0.2028036912076978
673,0.19931116554594608
674,0.12432211358466569
675,0.19051659626853945
676,0.2062460287279187
677,0.20355471657064791
678,0.22311703271426886
679,0.2074811697641438
680,0.27787416666284626
681,0.2393165027159526
682,0.2540442350761884
683,0.1785790983088969
684,0.17844178137001535
685,0.15274457614663492
686,0.24234572218930356
687,0.2531723376149381
688,0.19975991467585916
689,0.1739239583768356
690,0.2285961560165632
691,0.232741186915377
