pathway,pathway_label,database,NES_Training_CRE,NES_Training_PLA,padj_Training_CRE,padj_Training_PLA,significance,set_size
GOSLIM_MITOTIC_NUCLEAR_DIVISION,Goslim Mitotic Nuclear Division,GOSlim,-1.351,0.753,0.2096,0.9972,NS,47
HALLMARK_ESTROGEN_RESPONSE_EARLY,Estrogen Response Early,Hallmark,0.877,-1.213,0.8459,0.3186,NS,27
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,-0.961,-1.111,0.7328,0.3783,NS,68
HALLMARK_INFLAMMATORY_RESPONSE,Inflammatory Response,Hallmark,-1.038,-1.017,0.7141,0.5905,NS,12
HALLMARK_CHOLESTEROL_HOMEOSTASIS,Cholesterol Homeostasis,Hallmark,-0.739,-1.288,0.9702,0.309,NS,21
HALLMARK_G2M_CHECKPOINT,G2M Checkpoint,Hallmark,1.066,0.96,0.6955,0.6596,NS,34
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,-0.878,-1.147,0.8956,0.3186,NS,101
HALLMARK_SPERMATOGENESIS,Spermatogenesis,Hallmark,-1.27,-0.747,0.4435,0.8778,NS,12
GOSLIM_MICROTUBULE-BASED_MOVEMENT,Goslim Microtubule-Based Movement,GOSlim,1.123,-0.873,0.4293,0.975,NS,54
GOSLIM_RIBOSOME_BIOGENESIS,Goslim Ribosome Biogenesis,GOSlim,1.128,0.866,0.4293,0.975,NS,59
HALLMARK_P53_PATHWAY,p53 Pathway,Hallmark,-0.828,-1.16,0.8956,0.3783,NS,31
HALLMARK_DNA_REPAIR,DNA Repair,Hallmark,-1.02,-0.956,0.7141,0.6596,NS,36
GOSLIM_VITAMIN_METABOLIC_PROCESS,Goslim Vitamin Metabolic Process,GOSlim,1.185,-0.788,0.4293,0.9972,NS,26
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,-0.794,-1.165,0.9702,0.309,NS,117
HALLMARK_KRAS_SIGNALING_DN,KRAS Signaling Dn,Hallmark,-1.182,0.758,0.5414,0.8778,NS,13
GOSLIM_CHROMOSOME_SEGREGATION,Goslim Chromosome Segregation,GOSlim,0.778,1.148,0.917,0.4675,NS,57
HALLMARK_E2F_TARGETS,E2F Targets,Hallmark,1.047,0.808,0.7048,0.8778,NS,41
GOSLIM_DNA_REPLICATION,Goslim DNA Replication,GOSlim,0.938,0.832,0.6511,0.975,NS,28
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.961,0.719,0.731,0.9025,NS,35
HALLMARK_MTORC1_SIGNALING,mTORC1 Signaling,Hallmark,0.779,-0.826,0.9702,0.8862,NS,101
HALLMARK_TNFA_SIGNALING_VIA_NFKB,TNFa Signaling Via Nfkb,Hallmark,-0.621,0.957,0.9702,0.6596,NS,17
GOSLIM_GLYCOPROTEIN_METABOLIC_PROCESS,Goslim Glycoprotein Metabolic Process,GOSlim,1.017,0.477,0.6129,0.9972,NS,31
GOSLIM_DNA_RECOMBINATION,Goslim DNA Recombination,GOSlim,0.973,0.481,0.6237,0.9972,NS,35
GOSLIM_EXTRACELLULAR_MATRIX_ORGANIZATION,Goslim Extracellular Matrix Organization,GOSlim,2.337,-1.623,5.494e-6,0.03553,Sig Both,51
HALLMARK_IL2_STAT5_SIGNALING,IL2 Stat5 Signaling,Hallmark,1.703,-1.993,0.03752,0.005425,Sig Both,39
HALLMARK_APICAL_JUNCTION,Apical Junction,Hallmark,1.901,-1.648,0.00708,0.0359,Sig Both,52
HALLMARK_COAGULATION,Coagulation,Hallmark,1.671,-1.668,0.04716,0.0359,Sig Both,53
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,Epithelial Mesenchymal Transition,Hallmark,2.365,-1.499,1.36e-6,0.0867,Sig CRE only,61
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,1.672,1.266,0.00708,0.1905,Sig CRE only,135
GOSLIM_CILIUM_ORGANIZATION,Goslim Cilium Organization,GOSlim,1.81,-0.69,0.01599,0.9972,Sig CRE only,37
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,1.76,-0.726,0.02177,0.9025,Sig CRE only,42
HALLMARK_COMPLEMENT,Complement,Hallmark,1.573,-2.004,0.07523,7.622e-4,Sig PLA only,64
HALLMARK_INTERFERON_ALPHA_RESPONSE,Interferon Alpha Response,Hallmark,1.466,-1.919,0.2742,0.01623,Sig PLA only,16
GOSLIM_ESTABLISHMENT_OR_MAINTENANCE_OF_CELL_POLARITY,Goslim Establishment Or Maintenance Of Cel...,GOSlim,1.648,-1.685,0.05789,0.02592,Sig PLA only,46
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,-0.787,2.491,0.9702,2.457e-12,Sig PLA only,161
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,Goslim Generation Of Precursor Metabolites...,GOSlim,-0.888,2.344,0.9084,1.468e-12,Sig PLA only,236
GOSLIM_MITOCHONDRION_ORGANIZATION,Goslim Mitochondrion Organization,GOSlim,-1.074,2.086,0.4293,5.943e-7,Sig PLA only,183
GOSLIM_WOUND_HEALING,Goslim Wound Healing,GOSlim,1.422,-1.687,0.1114,0.01177,Sig PLA only,98
GOSLIM_DETOXIFICATION,Goslim Detoxification,GOSlim,0.669,-2.084,0.9651,1.386e-4,Sig PLA only,57
HALLMARK_XENOBIOTIC_METABOLISM,Xenobiotic Metabolism,Hallmark,0.633,-1.877,0.9856,0.00464,Sig PLA only,67
GOSLIM_TRNA_METABOLIC_PROCESS,Goslim Trna Metabolic Process,GOSlim,0.684,1.625,0.9651,0.03393,Sig PLA only,49
