"gene","cv_t1","cv_t2","delta_cv","supplement"
"PITPNA",52.5705111488106,63.4187204319014,10.8482092830908,"Creatine"
"ATP5ME",57.6045338406955,55.1355517602288,-2.46898208046667,"Creatine"
"UQCRB",50.1819210384622,27.0771350545307,-23.1047859839315,"Creatine"
"PHPT1",39.4427772148732,26.8291952783504,-12.6135819365229,"Creatine"
"VBP1",29.7195359655729,12.9600486778463,-16.7594872877266,"Creatine"
"CP",80.5873941974451,96.1689008857807,15.5815066883357,"Creatine"
"C1QBP",35.4584740346654,25.6925462480754,-9.76592778659,"Creatine"
"ADH1B",118.538619911803,137.479566037352,18.9409461255492,"Creatine"
"AGL",32.7282929963081,46.8439784105572,14.1156854142491,"Creatine"
"ESD",18.7572505079282,18.0147570670268,-0.74249344090142,"Creatine"
"LMCD1",21.7625000640018,36.3871860043348,14.6246859403331,"Creatine"
"EIF5A",35.7875367983503,33.340843503115,-2.44669329523528,"Creatine"
"ATP5F1D",57.5603301427382,44.6505721991859,-12.9097579435523,"Creatine"
"CD36",49.3419820721425,116.799738812811,67.4577567406683,"Creatine"
"PLIN4",63.2610519733543,105.499376000375,42.2383240270204,"Creatine"
"TPT1",8.83968672985827,9.07441848989092,0.23473176003265,"Creatine"
"CYC1",44.5250573187098,45.8394628031517,1.31440548444189,"Creatine"
"KLHL41",51.6991012287865,68.4043034409537,16.7052022121672,"Creatine"
"CISD1",46.7700496689103,23.9524337918785,-22.8176158770318,"Creatine"
"SDHA",41.0391809058819,52.674440316497,11.6352594106152,"Creatine"
"UQCRH",51.7775838403096,98.3210570209446,46.5434731806349,"Creatine"
"NPEPPS",16.215689597098,22.6909976094614,6.47530801236335,"Creatine"
"MACROD1",31.5066884606232,41.135624598911,9.6289361382878,"Creatine"
"SERPINA3",87.4556058377094,66.8155982778469,-20.6400075598625,"Creatine"
"NDRG2",22.0605047094455,27.0322053334741,4.97170062402857,"Creatine"
"RAB1B",32.6845477793391,38.8072932779693,6.1227454986301,"Creatine"
"EHD2",60.7344431299492,111.162872934149,50.4284298042001,"Creatine"
"ADIRF",69.2227702479286,118.854821796227,49.632051548298,"Creatine"
"NUTF2",26.4699615261279,35.3828597725866,8.91289824645868,"Creatine"
"FLNB",37.1757837330919,41.6004926026858,4.42470886959389,"Creatine"
"VCL",14.5600545585299,42.5697230393909,28.009668480861,"Creatine"
"CAV1",87.5317189185398,130.945179761951,43.4134608434112,"Creatine"
"NEB",48.0918645344668,152.548973646064,104.457109111597,"Creatine"
"PYGL",31.0279624075576,23.9419009700438,-7.08606143751376,"Creatine"
"CRAT",32.6547152381076,54.4867125493526,21.831997311245,"Creatine"
"ST13",23.5698557819584,31.2032594432306,7.63340366127217,"Creatine"
"AKR1C1",100.865350604166,86.7909795374475,-14.0743710667185,"Creatine"
"UBE2N",15.5605959849128,16.1135324684491,0.55293648353635,"Creatine"
"HSP90B1",28.5870200736042,68.528508207786,39.9414881341818,"Creatine"
"NME2",37.3196844606818,49.2490633166592,11.9293788559774,"Creatine"
"RTN4",27.8890907708649,29.3482710816467,1.45918031078178,"Creatine"
"DLST",48.6050390174575,48.3518189531389,-0.253220064318612,"Creatine"
"SYPL2",35.5849170626965,22.3585766791491,-13.2263403835473,"Creatine"
"RAN",25.766091027547,36.8652086183948,11.0991175908478,"Creatine"
"GYG1",38.6031047346409,34.0655270899372,-4.53757764470369,"Creatine"
"RNH1",16.5023613768179,36.0295646683941,19.5272032915761,"Creatine"
"ADH5",24.0575675887879,37.735014712874,13.6774471240861,"Creatine"
"ACAA2",16.6034217286363,31.2507634168963,14.64734168826,"Creatine"
"YWHAZ",58.3562913842266,81.97383728316,23.6175458989335,"Creatine"
"HSPA2",32.9023714313119,59.0521479009628,26.1497764696508,"Creatine"
"HSPD1",30.9216351435324,40.9644928795521,10.0428577360197,"Creatine"
"CLU",100.293715189109,93.3695786659994,-6.92413652310925,"Creatine"
"ATP5PB",58.0082761404824,65.7735614680127,7.76528532753033,"Creatine"
"FLNA",36.1921531853414,57.3569105982683,21.1647574129269,"Creatine"
"KRT1",64.5114220374281,94.3523737475801,29.840951710152,"Creatine"
"ARL6IP5",37.1828758373711,11.6529098074434,-25.5299660299277,"Creatine"
