gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
RBM3,-1.6207,1.0371,0.02085,0.464871,Down
CD163,-1.0987,1.5295,0.020869,0.382621,Down
KRT8,-1.5558,1.0777,0.021053,0.460412,Down
GPX4,-0.7071,2.3657,0.021245,0.36577,Down
BCAP31,-0.9702,1.7161,0.021634,0.372321,Down
DYNC1LI2,-1.0781,1.5438,0.021663,0.382621,Down
FDXR,1.0572,1.5699,0.021891,0.377611,Up
G6PD,-0.994,1.6471,0.023056,0.376841,Down
MYOZ1,1.6249,1.0049,0.023287,0.473421,Up
TMX4,-0.7381,2.1802,0.024593,0.36577,Down
ENO1,-0.8806,1.814,0.025264000000000002,0.36577,Down
AKR1C2,-1.1381,1.3948,0.025856,0.393324,Down
NDUFS5,0.9777,1.617,0.026244,0.377116,Up
CNRIP1,-1.3619,1.1598,0.026325,0.442954,Down
NDUFB1,0.8875,1.7788,0.026381,0.372321,Up
AP1B1,0.9089,1.7355,0.02646,0.372321,Up
ITGA6,-1.0861,1.4416,0.027179,0.38845,Down
FITM2,0.8959,1.7408,0.027564,0.372321,Up
TIMM44,0.9227,1.6903,0.027569,0.374701,Up
DHRS7,0.6015,2.5903,0.027669,0.363641,Up
MSRB2,1.1141,1.3919,0.028139,0.393324,Up
CYC1,0.8456,1.8291,0.028397,0.36577,Up
HNRNPDL,-0.6377,2.4248,0.028419,0.36577,Down
UBE3A,-0.7588,2.0374,0.028451,0.36577,Down
PRXL2A,-1.1066,1.3951,0.028588,0.393324,Down
DCUN1D1,-0.7667,2.011,0.028716,0.36577,Down
PFDN1,-0.9214,1.6689,0.028989,0.375798,Down
PCYT1A,0.8325,1.8451,0.029098,0.36577,Up
PIP4K2B,0.8547,1.7864,0.029732,0.372321,Up
PLP2,1.0914,1.3972,0.029869,0.393324,Up
CNIH4,0.7277,2.0882,0.030225,0.36577,Up
SMS,0.8978,1.673,0.031476,0.375486,Up
ADH1B,-1.2653,1.1824,0.031906,0.432942,Down
RRBP1,-1.2331,1.2081,0.032386,0.4225,Down
C19orf12,1.1557,1.2875,0.032516,0.415551,Up
CD58,-0.9816,1.5055,0.033289,0.382621,Down
CALM1,-0.9601,1.5359,0.033534,0.382621,Down
ALDH1B1,0.8406,1.7449,0.034136,0.372321,Up
FAH,-0.8797,1.6625,0.034473,0.375798,Down
LAMA4,-1.2935,1.1293,0.034619,0.44552,Down
RPS2,0.5375,2.7142,0.034763,0.356836,Up
CAVIN1,-1.1462,1.2697,0.035045,0.415551,Down
KYAT1,-0.9646,1.5083,0.035085,0.382621,Down
LMOD3,-0.9619,1.5052,0.035664,0.382621,Down
SFXN3,-0.7756,1.8641,0.03583,0.36577,Down
BZW2,1.0626,1.3494,0.036829,0.408738,Up
CD74,-1.4542,0.9805,0.037509,0.482319,Down
RBBP4,0.8171,1.718,0.039476,0.372321,Up
YWHAE,-0.6412,2.1803,0.039984,0.36577,Down
ISCA2,1.44,0.9653,0.040736,0.484145,Up
SELENBP1,-0.8756,1.5854,0.040908,0.377611,Down
VAPB,0.7357,1.8816,0.041289,0.36577,Up
LAMB1,-1.0697,1.2926,0.041423,0.415551,Down
RHOA,-0.6732,2.0488,0.04175,0.36577,Down
ADHFE1,0.9645,1.4256,0.042173,0.393324,Up
SNU13,1.0353,1.3212,0.042867,0.415551,Up
SCP2,-0.6579,2.0771,0.042997,0.36577,Down
ISOC2,0.7669,1.7702,0.043894,0.372321,Up
GNAI3,-0.8685,1.5631,0.043894,0.377611,Down
MCTS1,0.7508,1.806,0.044064,0.36577,Up
MAPT,0.7686,1.7582,0.04454,0.372321,Up
ME2,0.6889,1.9459,0.04566,0.36577,Up
SERPINH1,-0.9251,1.4477,0.045788,0.38845,Down
CKM,0.8487,1.5658,0.046901,0.377611,Up
TXN,-0.7109,1.8689,0.046924,0.36577,Down
CRIP1,-1.1133,1.1909,0.047223,0.430787,Down
UQCR11,0.8288,1.5938,0.047758,0.377274,Up
MRPL12,1.1243,1.1744,0.04782,0.435996,Up
UBE2D3,0.7955,1.6362,0.049937,0.377116,Up
SAMHD1,-0.9346,1.391,0.050114,0.393324,NS
ALB,-1.3876,0.9344,0.05052,0.49984,NS
DBI,-0.6426,2.0091,0.051155,0.36577,NS
NLN,0.7865,1.6396,0.05133,0.377116,NS
ALDH9A1,-0.5175,2.4883,0.051568,0.363855,NS
B2M,-0.9944,1.282,0.053113,0.415551,NS
NDUFA2,0.7938,1.5956,0.054134,0.377274,NS
SLC25A20,0.7881,1.6006,0.054769,0.377116,NS
SEPTIN10,-1.0931,1.15,0.055329,0.443518,NS
AGK,0.9804,1.2738,0.056381,0.415551,NS
ALDH2,-0.8488,1.4578,0.057896,0.38845,NS
VWF,-0.8588,1.4396,0.05803,0.38845,NS
TUBA8,0.9906,1.2471,0.058172,0.419836,NS
PPP1CB,0.659,1.871,0.05849,0.36577,NS
BCO2,1.1131,1.1075,0.058518,0.449225,NS
NRP1,-0.9019,1.3574,0.059666,0.405781,NS
CYB5R1,0.6978,1.7536,0.059764,0.372321,NS
HDLBP,-0.8435,1.446,0.060301,0.38845,NS
PDLIM3,0.8778,1.3893,0.060325,0.393324,NS
CAVIN2,-0.9891,1.2326,0.060383,0.419836,NS
STBD1,0.8385,1.449,0.060964,0.38845,NS
AHNAK,-1.0708,1.1339,0.061062,0.44443,NS
SOD3,-0.9817,1.2324,0.061679,0.419836,NS
SYNPO2,0.9293,1.2934,0.06282,0.415551,NS
RAB7A,-0.55,2.183,0.063019,0.36577,NS
RPL35A,-0.9555,1.2558,0.063102,0.417058,NS
HNRNPK,-0.6121,1.9566,0.063447,0.36577,NS
AGL,0.9052,1.3223,0.063539,0.415551,NS
MAOA,-0.7914,1.5064,0.064238,0.382621,NS
TUBB4B,-0.6023,1.9728,0.064817,0.36577,NS
SELENOO,1.034,1.1456,0.065378,0.443518,NS
IPO9,0.8479,1.395,0.065637,0.393324,NS
KPNA3,0.853,1.3728,0.067452,0.39912,NS
UFD1,0.6946,1.6788,0.068207,0.375486,NS
CSRP3,0.7394,1.5757,0.068373,0.377611,NS
PITPNB,-0.8718,1.3322,0.068968,0.415551,NS
IDH2,0.6816,1.7013,0.069248,0.374701,NS
FABP3,0.9474,1.2238,0.069262,0.420643,NS
UBE2K,0.5569,2.0803,0.069433,0.36577,NS
PDHB,0.7209,1.6063,0.069513,0.377116,NS
CD36,-1.0609,1.0819,0.071153,0.45849,NS
ENDOD1,0.712,1.6081,0.071613,0.377116,NS
SYNM,0.914,1.2494,0.072119,0.419836,NS
NUDT4,0.7244,1.5754,0.072235,0.377611,NS
NDUFS3,0.7364,1.5456,0.072739,0.382621,NS
SAMM50,0.8209,1.3819,0.073376,0.398516,NS
TYMP,-0.9815,1.1556,0.07341,0.442954,NS
CSTB,-0.713,1.5822,0.074468,0.377611,NS
ENO3,0.8059,1.3911,0.075674,0.393324,NS
CCDC22,1.1079,1.006,0.076819,0.473421,NS
RPL23A,-0.596,1.8527,0.078656,0.36577,NS
HHATL,-0.8468,1.3034,0.07876,0.415551,NS
RAB9A,0.7764,1.4184,0.079203,0.393324,NS
S100B,-1.5958,0.688,0.079835,0.576404,NS
GARNL3,-1.1232,0.9762,0.080078,0.483893,NS
NNT,0.6768,1.6199,0.080093,0.377116,NS
AHNAK2,-1.0816,1.005,0.08185,0.473421,NS
COL4A2,-1.2243,0.8874,0.081941,0.505277,NS
CA2,-0.9841,1.1023,0.082251,0.450568,NS
ADSS2,0.8578,1.2616,0.082754,0.415551,NS
CD81,-1.0227,1.0574,0.08291,0.464188,NS
MYH7,1.1608,0.9279,0.083718,0.501153,NS
PALMD,-0.8173,1.3177,0.083744,0.415551,NS
GALM,0.6848,1.5712,0.083957,0.377611,NS
NDUFA12,0.9023,1.191,0.084204,0.430787,NS
COL4A1,-1.1733,0.9132,0.084831,0.501944,NS
RPL21,-0.7306,1.4586,0.085969,0.38845,NS
NT5E,-0.9381,1.1346,0.086225,0.44443,NS
PLIN1,-1.437,0.7407,0.086232,0.547047,NS
FABP5,-0.7799,1.3639,0.086346,0.402637,NS
S100A4,-0.9948,1.0632,0.087557,0.464188,NS
FAHD2A,0.7168,1.4743,0.08774,0.38845,NS
IGKV3-11,-0.9891,1.068,0.087839,0.463023,NS
CNBP,0.8501,1.2405,0.0882,0.419836,NS
SYNPO,0.8686,1.2131,0.088361,0.422482,NS
AKT2,0.5758,1.8297,0.08839,0.36577,NS
RHOG,-0.9967,1.0556,0.0887,0.46467,NS
NDUFB5,0.909,1.1572,0.088739,0.442954,NS
NDRG1,-0.8241,1.2723,0.089437,0.415551,NS
ACOT9,0.5473,1.9099,0.090101,0.36577,NS
SNX9,-1.0553,0.9897,0.090291,0.477997,NS
SCRN1,-0.793,1.3159,0.090458,0.415551,NS
TNNT3,1.1164,0.9298,0.091627,0.50077,NS
RPL36,-0.8199,1.2655,0.091704,0.415551,NS
CTTN,-0.6434,1.6112,0.091918,0.377116,NS
FHL1,0.6119,1.6898,0.092475,0.374701,NS
SPR,0.7397,1.3962,0.092738,0.393324,NS
TACC2,-0.5916,1.7233,0.095596,0.372321,NS
NDUFAB1,0.6223,1.6371,0.095759,0.377116,NS
SQOR,-0.6274,1.6213,0.096115,0.377116,NS
SORBS1,-1.0384,0.9708,0.098159,0.484145,NS
NDUFB11,0.7751,1.3,0.098272,0.415551,NS
CNN1,0.9418,1.068,0.098659,0.463023,NS
KTN1,-0.749,1.3373,0.099614,0.414073,NS
SPRYD4,0.7373,1.3527,0.1006,0.407554,NS
PVALB,-1.2584,0.7906,0.101184,0.530811,NS
DHX15,0.9279,1.0679,0.1021,0.463023,NS
DCLK1,-0.8784,1.1267,0.102394,0.445655,NS
FECH,0.7348,1.3444,0.10283,0.41103,NS
EPB41L3,-0.7968,1.2355,0.103644,0.419836,NS
BZW1,0.7637,1.289,0.103654,0.415551,NS
RPS10,-0.6537,1.5046,0.103873,0.382621,NS
SCN1B,-0.8368,1.1736,0.104202,0.435996,NS
FARSA,0.5666,1.7299,0.104655,0.372321,NS
PLEKHO2,-0.9452,1.0366,0.104751,0.464871,NS
IDH1,-0.6682,1.4643,0.105086,0.38845,NS
CISD1,0.6182,1.5795,0.105591,0.377611,NS
RPS27A,-0.6928,1.4081,0.105793,0.393324,NS
HGH1,1.0385,0.9392,0.105847,0.498754,NS
GOT1,0.7672,1.2702,0.10605,0.415551,NS
MRPL45,-0.9364,1.0381,0.106627,0.464871,NS
OXSM,0.8323,1.1672,0.106806,0.44016,NS
PKM,0.498,1.9491,0.106972,0.36577,NS
SUCLA2,0.6671,1.4527,0.107377,0.38845,NS
HSDL1,-0.8664,1.1174,0.107609,0.448446,NS
BPHL,0.9756,0.9919,0.10771,0.476972,NS
PPIA,-0.8317,1.163,0.107806,0.442632,NS
PRKAA1,0.8499,1.1332,0.108875,0.44443,NS
PDAP1,0.6153,1.5642,0.109029,0.377611,NS
PRDX1,-0.5513,1.7293,0.111324,0.372321,NS
DDX19B,-1.2212,0.7757,0.112907,0.534833,NS
SLC25A11,0.8482,1.1155,0.113195,0.448446,NS
APOC1,-1.105,0.8539,0.113897,0.512441,NS
MRPL38,1.2477,0.7561,0.113916,0.544586,NS
SDCBP,-0.6245,1.5106,0.113923,0.382621,NS
SYNJ2BP,0.5803,1.6256,0.113924,0.377116,NS
MACROD1,0.7366,1.2771,0.114635,0.415551,NS
NRDC,0.937,1.0035,0.114748,0.473421,NS
VKORC1L1,-0.6618,1.4176,0.115303,0.393324,NS
AGMAT,-0.9301,1.0067,0.115792,0.473421,NS
RHCE,-1.0798,0.864,0.1167,0.508277,NS
HK1,0.5165,1.805,0.116878,0.36577,NS
MAP2K4,0.6142,1.5161,0.117178,0.382621,NS
LRP1,-0.7571,1.2298,0.117213,0.419836,NS
ACYP2,0.8502,1.0894,0.118514,0.455589,NS
NDUFV1,0.6786,1.3647,0.118537,0.402637,NS
MTHFD1,-0.4297,2.1459,0.119633,0.36577,NS
CTPS1,0.8378,1.1,0.119798,0.451964,NS
ABCE1,0.5102,1.8059,0.119849,0.36577,NS
SHMT1,-0.5109,1.8021,0.120031,0.36577,NS
RPL24,-0.7247,1.2674,0.120654,0.415551,NS
MRC1,-0.7586,1.2076,0.121333,0.4225,NS
FH,0.5511,1.6513,0.12302,0.375798,NS
ATP5F1E,0.8144,1.1111,0.124462,0.449225,NS
NDUFA8,0.7289,1.2387,0.12506,0.419836,NS
GLUL,-0.7297,1.2365,0.125226,0.419836,NS
VAMP5,0.8524,1.0585,0.125237,0.464188,NS
COL18A1,-0.6488,1.39,0.125363,0.393324,NS
MECR,0.702,1.284,0.125482,0.415551,NS
PELO,-0.6866,1.3104,0.125951,0.415551,NS
NENF,1.4785,0.6051,0.127478,0.599911,NS
S100A8,-1.0365,0.8629,0.127532,0.508277,NS
PSMF1,-0.7228,1.235,0.128048,0.419836,NS
MAP1S,0.62,1.4377,0.128439,0.38845,NS
COX7A1,0.6914,1.2888,0.128521,0.415551,NS
LMAN2,0.5763,1.5444,0.128792,0.382621,NS
STAT1,-0.8865,1.0027,0.129168,0.473421,NS
NDUFB4,0.8545,1.0402,0.129173,0.464871,NS
HSPB7,0.6422,1.3789,0.130148,0.39877,NS
CYFIP1,-0.7016,1.2614,0.1303,0.415551,NS
DDRGK1,-0.6188,1.4139,0.133364,0.393324,NS
EIPR1,-0.7293,1.1941,0.13464,0.43072,NS
LMCD1,0.7781,1.1098,0.136911,0.449225,NS
ACSL3,0.6371,1.3523,0.137544,0.407554,NS
PMPCB,0.4996,1.7185,0.138489,0.372321,NS
CAT,-0.9402,0.9107,0.139245,0.501944,NS
TSNAX,-0.5062,1.6865,0.140054,0.374781,NS
PRDX2,-0.9624,0.887,0.140086,0.505277,NS
AGFG1,-0.9785,0.8715,0.140352,0.506924,NS
RAB1B,-0.5694,1.4949,0.140851,0.38607,NS
ABCF1,0.6918,1.213,0.144814,0.422482,NS
NPLOC4,0.5513,1.5192,0.145381,0.382621,NS
MTIF2,1.1123,0.7523,0.145598,0.544586,NS
PPP2R2A,0.5673,1.4748000000000001,0.145658,0.38845,NS
MPO,-1.0783,0.7739,0.146395,0.53524,NS
MYL6B,1.0382,0.8029,0.146693,0.530807,NS
NDUFB3,0.6667,1.2497,0.146838,0.419836,NS
PBDC1,0.7937,1.0497,0.146844,0.464871,NS
NDUFS2,0.6627,1.2572,0.14685,0.41701,NS
NAMPT,0.6098,1.3624,0.147658,0.402637,NS
ABCF3,1.0303,0.8055,0.147947,0.530362,NS
PGD,-0.7135,1.1613,0.148384,0.442641,NS
YBX3,0.7258,1.138,0.14931,0.443518,NS
TPM2,0.992,0.8277,0.150965,0.525216,NS
GARS1,0.5473,1.4988,0.151247,0.385869,NS
TNNC2,0.9833,0.834,0.151325,0.523612,NS
COQ9,0.7268,1.1279,0.151443,0.44552,NS
EHD2,-0.9293,0.8804,0.151984,0.505985,NS
SIRT5,0.7808,1.0433,0.153232,0.464871,NS
HK2,0.9389,0.8644,0.154336,0.508277,NS
SLC16A3,-1.0254,0.7905,0.154668,0.530811,NS
MYBPH,1.0127,0.7942,0.156956,0.530811,NS
ARFIP1,-0.85,0.945,0.157292,0.494633,NS
SCCPDH,0.5588,1.4359,0.157634,0.38845,NS
KRT1,-1.0666,0.751,0.158093,0.544586,NS
EPS15,-0.6958,1.1457,0.159512,0.443518,NS
PRKCSH,-0.6216,1.2711,0.162134,0.415551,NS
LAP3,-0.5435,1.4529,0.16233,0.38845,NS
CHCHD3,0.6187,1.2734,0.163005,0.415551,NS
NDUFA10,0.6323,1.2411,0.164169,0.419836,NS
TALDO1,-0.6029,1.3001,0.164513,0.415551,NS
ATP5PF,0.5831,1.3415,0.165118,0.411642,NS
CSE1L,0.5241,1.4916,0.165272,0.386097,NS
PGAM2,0.7053,1.1067,0.165744,0.449225,NS
SRI,-0.7005,1.1139,0.165839,0.448446,NS
LONP1,0.5672,1.3749,0.166025,0.39877,NS
HLA-DRA,-0.6094,1.2766,0.166744,0.415551,NS
SUMO2,-0.6272,1.2338,0.168348,0.419836,NS
CPA3,-0.6342,1.2177,0.168931,0.422482,NS
SSPN,0.7908,0.9751,0.169398,0.483893,NS
DYSF,0.5848,1.3159,0.170017,0.415551,NS
HBG2,-1.1936,0.6429,0.170841,0.586806,NS
ANXA5,-0.8707,0.8773,0.172267,0.506924,NS
GET4,0.7081,1.072,0.174154,0.463023,NS
HCCS,-0.6129,1.2367,0.17458,0.419836,NS
NDUFAF5,0.9159,0.8272,0.174725,0.525216,NS
KHDRBS1,-0.63,1.2017,0.174988,0.426782,NS
PYGL,-0.4857,1.5528,0.176122,0.382376,NS
GRPEL1,0.9875,0.763,0.176412,0.539662,NS
HADHB,0.5213,1.443,0.176936,0.38845,NS
AKR1B1,0.7167,1.0414,0.179332,0.464871,NS
GYS1,0.6548,1.1385,0.179658,0.443518,NS
UQCRB,0.5803,1.2829,0.180133,0.415551,NS
ACTN2,1.2951,0.5746,0.180245,0.614082,NS
PPP5C,0.542,1.3704,0.180842,0.399836,NS
CYB5A,-0.9172,0.8091,0.181082,0.529065,NS
EIF2S3,0.4462,1.66,0.181667,0.375798,NS
UBE2M,0.5681,1.3034,0.181781,0.415551,NS
FBP1,0.7197,1.0285,0.181883,0.46689,NS
HNRNPA2B1,-0.5807,1.2679,0.183514,0.415551,NS
DES,1.0775,0.6827,0.183806,0.578593,NS
MAPK9,0.7409,0.9928,0.183833,0.476972,NS
DDX19A,0.6425,1.1377,0.185805,0.443518,NS
FNTA,0.5875,1.2421,0.186303,0.419836,NS
CUL5,0.5967,1.2128,0.188918,0.422482,NS
TIGAR,0.7483,0.9667,0.189077,0.484145,NS
MTARC2,-0.6049,1.1941,0.189547,0.43072,NS
CLINT1,-0.698,1.0322,0.190344,0.4667,NS
DNAJA2,0.5476,1.3128,0.191043,0.415551,NS
PPP1R3A,-0.7022,1.0207,0.191961,0.467767,NS
USP9X,0.4845,1.469,0.194221,0.38845,NS
MYH10,-0.6527,1.0876,0.195044,0.455589,NS
DCPS,0.5971,1.1882,0.195203,0.431831,NS
PDHX,0.6872,1.0305,0.195818,0.466706,NS
MCEE,0.7105,0.9964,0.195914,0.476623,NS
PDCL3,0.7412,0.952,0.196952,0.492451,NS
CNP,-0.6585,1.0686,0.197844,0.463023,NS
FBXO7,0.72,0.9723,0.199499,0.484145,NS
C12orf57,0.7469,0.9344,0.200509,0.49984,NS
IGLV1-51,-0.8595,0.8119,0.20053,0.527469,NS
AOC3,-1.0532,0.6623,0.200663,0.580269,NS
GAA,0.4793,1.452,0.201422,0.38845,NS
EHD1,-0.7227,0.9629,0.201436,0.484145,NS
SLC16A1,0.7039,0.9864,0.202153,0.479423,NS
VDAC3,0.6099,1.1377,0.202357,0.443518,NS
TNPO1,-0.7096,0.9777,0.202396,0.483893,NS
SNCG,-0.941,0.7331,0.204274,0.55149,NS
ARPC1B,-0.7182,0.9576,0.205238,0.489144,NS
ALDH6A1,-0.5167,1.3241,0.206923,0.415551,NS
VPS25,0.5381,1.2698,0.207357,0.415551,NS
SNTB2,0.4503,1.5097,0.209,0.382621,NS
CUL4A,0.6706,1.0086,0.210705,0.473421,NS
SLC25A3,0.4828,1.4003,0.210841,0.393324,NS
PGM5,0.607,1.1136,0.210904,0.448446,NS
MRPL24,1.0632,0.6352,0.211164,0.588997,NS
RPS5,0.5166,1.3056,0.211604,0.415551,NS
CARHSP1,-0.8231,0.8194,0.211623,0.525216,NS
ASS1,-0.5865,1.1497,0.21168,0.443518,NS
TUBB,-0.6571,1.0249,0.212088,0.467767,NS
RASA4,-0.6489,1.0343,0.213229,0.4654,NS
PPIF,0.7219,0.9261,0.214506,0.501944,NS
FKBP9,-0.9381,0.7125,0.214592,0.563132,NS
RPL37A,-0.6929,0.9631,0.215135,0.484145,NS
GMFB,0.6744,0.9873,0.215892,0.479384,NS
ARHGDIB,-0.7235,0.9195,0.216146,0.501944,NS
TPM1,0.9215,0.7213,0.216428,0.557983,NS
PDCD6,-0.4743,1.4007,0.216613,0.393324,NS
TPP2,0.506,1.3117,0.216895,0.415551,NS
MCAM,-1.0282,0.6443,0.217531,0.586806,NS
HADHA,0.4547,1.4566,0.217594,0.38845,NS
JPT2,0.5223,1.2679,0.217648,0.415551,NS
NDUFAF4,0.7116,0.9302,0.217797,0.50077,NS
GNB1,-0.6255,1.0551,0.218821,0.46467,NS
PREB,0.5454,1.2088,0.219159,0.4225,NS
SLC25A5,0.5709,1.1527,0.21974,0.443518,NS
RAB2A,-0.3774,1.7433,0.219811,0.372321,NS
MRPL48,1.0661,0.6158,0.220546,0.59601,NS
SELENOP,-0.7492,0.8751,0.220993,0.506924,NS
PFN1,-0.5553,1.1797,0.221252,0.433332,NS
