gene,cv_cr,cv_h,delta_cv,is_plasma,protein_class
COX7A1,44.748382834881994,23.387114846827924,21.36126798805407,FALSE,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
DBI,90.53378880175694,21.679804348860536,68.85398445289641,TRUE,"Cancer-related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
SOD2,51.09642693916412,18.58177273629778,32.51465420286634,TRUE,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
TPM3,118.33398151985845,54.863326079125066,63.47065544073339,TRUE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
TUBB4B,70.981339411198,12.147222966906341,58.83411644429165,TRUE,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins"
TRIM72,18.81151756441528,11.752054174142277,7.059463390273002,FALSE,"Predicted intracellular proteins, Transporters"
COX4I1,30.574401588379168,21.67998958388018,8.894412004498989,FALSE,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
UGP2,40.20778923316019,14.31526874768005,25.89252048548014,FALSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"
ATP5PO,37.354279928755545,20.79347990662213,16.560800022133414,TRUE,"Essential proteins, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Transporters"
LUM,165.99912248865377,31.19213945682044,134.80698303183334,TRUE,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
CASQ2,39.66889625174396,25.838857385667136,13.830038866076823,FALSE,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
QDPR,25.32124965989607,14.900810147624718,10.42043951227135,TRUE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
CMBL,38.13816955324318,30.389118007817395,7.749051545425786,FALSE,Predicted intracellular proteins
MYOM2,36.41054003859243,28.745731551128888,7.664808487463542,FALSE,Predicted intracellular proteins
AHNAK,171.86098747241832,16.853415768901723,155.0075717035166,TRUE,"Plasma proteins, Predicted intracellular proteins"
GLO1,22.93281862792331,22.005424656906484,0.9273939710168264,TRUE,"Cancer-related genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
VDAC3,39.3654512094508,17.137608981453305,22.227842227997492,TRUE,"Plasma proteins, Predicted intracellular proteins"
GSTP1,32.289219369940476,22.813697646086034,9.475521723854442,TRUE,"Cancer-related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"
