gene,quadrant,sig_cat,logFC_CvH,logFC_TCR,pi_CvH,pi_TCR
UROD,Reversed Up,Cancer,1.43168503969405,-0.236234521824985,1.5682752884961842e-7,0.7478239275667672
CA2,Reversed Up,Cancer,1.42927835392965,-0.207647903374127,2.4167389915051283e-6,0.8403639169779789
GPX3,Reversed Up,Cancer,1.41036670766015,-0.123517533741582,1.3947998048098504e-6,0.9430187651150302
BLVRB,Reversed Up,Cancer,1.35150450401852,-0.21940939223051,3.301929905798762e-6,0.8043088624493692
AKR1C2,Reversed Up,Cancer,1.33932289154532,-0.145492297573025,0.00128937269450078,0.941248790594538
HEBP1,Reversed Up,Cancer,1.2174436435249,-0.097163489138893,1.783456157704419e-4,0.967985971889616
CAVIN2,Reversed Up,Cancer,1.18425781188002,-0.0876304531140946,8.841794574756734e-5,0.9711489908981792
SRI,Reversed Up,Cancer,1.17432570081592,-0.161336293706915,1.7685104912212324e-5,0.8786815911500144
ADH1B,Reversed Up,Cancer,1.15558104451415,-0.34418139346714,0.00684438229782899,0.6867533610552863
PITHD1,Reversed Up,Cancer,1.14189288801539,-0.245291067776062,2.07739661860437e-5,0.6759260992552761
CCS,Reversed Up,Cancer,1.13693322894416,-0.262810405588118,7.627019529531134e-4,0.7530344099248637
GCLC,Reversed Up,Cancer,1.11907554920503,-0.205854912621735,4.747042348538358e-4,0.8341062495785085
TMEM256,Reversed Up,Cancer,1.0907703304113,-0.132539750222037,2.3220225518989803e-4,0.9117788472339208
FAH,Reversed Up,Cancer,1.06987279681037,-0.192609026609848,5.800776325078727e-5,0.8075242518238702
ADH1C,Reversed Up,Cancer,1.06896009567236,-0.335127906280924,0.00248200826287104,0.6547691363607445
DYNC1LI2,Reversed Up,Cancer,1.06111930167964,-0.00751863945954412,0.00645043420223292,0.9998342807325126
GUK1,Reversed Up,Cancer,1.06099284476107,-0.241779402724048,6.300376974544664e-4,0.7383908900504517
LGALS1,Reversed Up,Cancer,1.03382138390841,-0.285781486372711,3.856757428241703e-4,0.622313699074593
CAVIN1,Reversed Up,Cancer,1.01012702204211,-0.0325637996998633,0.00263777684851173,0.996463107463848
ATP6V1H,Reversed Up,Cancer,1.0062728956438,-0.257199867254596,2.2879626238968547e-4,0.6649477951147036
HMBS,Reversed Up,Cancer,0.985931686041411,-0.0489707869729479,0.01470743649634402,0.9927963522405404
CTTN,Reversed Up,Cancer,0.969073664436957,-0.00311590380222704,4.15071391891834e-4,0.9999598670340428
PGD,Reversed Up,Cancer,0.953724202495025,-0.0372288098595135,0.00148437245891806,0.9944849477303092
EIF4B,Reversed Up,Cancer,0.951982656192758,-0.48297163916437,0.00358272320652886,0.2226443605085987
CAND1,Reversed Up,Cancer,0.942374911425603,-0.0537959972907007,1.957013121964052e-4,0.9851185344023992
GMPR2,Reversed Up,Cancer,0.933744202928487,-0.566507392365759,0.04616518507751096,0.33138035111810926
HNRNPA3,Reversed Up,Cancer,0.92926025304838,-0.435185136491089,0.03720983463340491,0.4836141215984284
SORBS1,Reversed Up,Cancer,0.92297851403983,-0.0743818859337608,0.04730021540163058,0.9854648091000442
PLIN4,Reversed Up,Cancer,0.906315535856262,-0.254034477727672,0.01407089398018907,0.7582252528516302
SOD1,Reversed Up,Cancer,0.884887347182094,-0.356401212896367,5.472900284701848e-6,0.153102293381216
DDT,Reversed Up,Cancer,0.867148950912995,-0.299581077566895,0.00171077277580005,0.5190863268246535
RANBP1,Reversed Up,Cancer,0.86380785348063,-0.059417224600729,0.01055120703943491,0.9861891093263232
SORD,Reversed Up,Both,0.862390271596189,-0.649219863082443,0.00185927028978067,0.01480002927087467
GCLM,Reversed Up,Cancer,0.860402732839834,-0.0366472831667206,0.02079724911763504,0.9955953109269016
ANP32A,Reversed Up,Cancer,0.857096370149534,-0.121663557287185,5.7624261512995696e-5,0.8874634698625087
EMD,Reversed Up,Cancer,0.84508467904794,-0.577209229595775,0.01199194493393821,0.10326063967518057
NME1,Reversed Up,Cancer,0.844113350324097,-0.182796366083039,1.0975508504899692e-4,0.736522364970119
GNB1,Reversed Up,Cancer,0.844051168929056,-0.118754479164091,0.00536435319542645,0.9332112156433175
PYGL,Reversed Up,Cancer,0.833491913966817,-0.372943128294118,2.2925473438140497e-4,0.195099793850354
PAFAH1B2,Reversed Up,Cancer,0.832716363164646,-0.450251776951193,0.00151656967350257,0.1235450126009062
SELENBP1,Reversed Up,Cancer,0.826536178089622,-0.304933192779661,0.00446342505407777,0.5197024958342832
SDCBP,Reversed Up,Cancer,0.791132182271182,-0.300599018146071,0.01460258299735539,0.5812396564398696
GAPVD1,Reversed Up,Cancer,0.785070823792504,-0.124734446244355,0.03307491103293397,0.9442232131075458
PSMD5,Reversed Up,Cancer,0.78244433057171,-0.146491720156696,0.00957603185412667,0.8963123938877124
PTPA,Reversed Up,Cancer,0.778108138002395,-0.425440311988075,0.00429849182925584,0.17884256696118625
PSMF1,Reversed Up,Cancer,0.768335192663283,-0.222649419911146,0.04856837808707721,0.8053363161876802
PAFAH1B3,Reversed Up,Cancer,0.764274438112512,-0.205921925644175,0.0420675625177829,0.82625279537193
BLVRA,Reversed Up,Cancer,0.707665309605499,-0.0466055063796809,0.00706409787660841,0.9876234664651476
FN3K,Reversed Up,Cancer,0.697022439693875,-0.114333732416398,0.00875601932276271,0.918900778488366
DCUN1D1,Reversed Up,Cancer,0.678966152892855,-0.433149648474984,0.03271383891332249,0.2035015112296651
PDXK,Reversed Up,Cancer,0.678570687423321,-0.0357469160965103,0.01738302023825806,0.9933851302719876
HNRNPA1,Reversed Up,Cancer,0.676797191586733,-0.0514930701246943,0.02233276903537819,0.9864332422535744
ILK,Reversed Up,Cancer,0.675637591958171,-1.9050574617196e-4,0.01928689037684763,0.999999828325745
ABHD14B,Reversed Up,Cancer,0.672583169496548,-0.048269157151072,0.00984595136815473,0.9861034835551574
TNS1,Reversed Up,Cancer,0.667038548673034,-0.159623147038385,0.03052992837372664,0.8558568237753241
CMPK1,Reversed Up,Cancer,0.605032735906324,-0.0898397776013216,0.03016632496649405,0.9486106170379532
PACSIN2,Reversed Up,Cancer,0.593709848328986,-0.230436158063066,0.0421785541601035,0.656567183904542
TBCA,Reversed Up,Cancer,0.567514514164863,-0.0428062465613888,0.0445901362877221,0.9890218569097472
RAN,Reversed Up,Cancer,0.562040250730973,-0.192565378022103,0.01261290082414297,0.6435871611605807
EIF6,Reversed Up,Cancer,0.554821662841565,-0.0935785487760707,0.03434876039321385,0.9353367779671616
NUTF2,Reversed Up,Cancer,0.545721674402305,-0.177658499566368,0.00433573267259263,0.6153005671435541
GSS,Reversed Up,Cancer,0.536614264948906,-0.194120075994002,0.04532593819541161,0.6984273755545297
HNRNPH1,Reversed Up,Cancer,0.532775733817083,-0.0353788342943542,0.00750964115510009,0.988258121241711
HINT1,Reversed Up,Cancer,0.513697438043984,-0.211458917266929,0.02363834517233531,0.5546086733903932
SMYD5,Reversed Up,Tr.(CR),0.362973922456085,-0.676155255067559,0.4225236615942854,0.01678062031178499
DAG1,Reversed Up,Tr.(CR),0.208525973282303,-0.604280521903979,0.7683706102923821,0.00807764848350501
TSNAX,Reversed Up,Tr.(CR),0.0368905222414853,-0.542538064665882,0.9918565941606204,0.00734707100364583
IL18,Reversed Down,Tr.(CR),-0.0451617443934467,0.85813818290406,0.9953045776747896,0.02634046012193876
ARCN1,Reversed Down,Tr.(CR),-0.0690874073924128,0.471403467679618,0.9652404224912934,0.01454719883870073
TMOD4,Reversed Down,Tr.(CR),-0.194282285505682,1.03787201999704,0.9334867557432528,0.02265670152928338
CTBP1,Reversed Down,Tr.(CR),-0.36847203995173,0.581875637218225,0.38583290442332496,0.04832457327395359
RPL4,Reversed Down,Tr.(CR),-0.374571559147387,0.460774562112421,0.19370104516650688,0.02218483037701043
EPRS1,Reversed Down,Cancer,-0.447391601200522,0.106222072451494,0.02597489867119379,0.8578414879387197
EIF3B,Reversed Down,Cancer,-0.457517400594693,0.0211201552880862,0.02304685842120256,0.9956824604036774
RPS2,Reversed Down,Cancer,-0.474302640029165,0.287008673547344,0.02255966012980168,0.21389298978517415
DYSF,Reversed Down,Cancer,-0.48241756548556203,0.136146565930188,0.04379261708230629,0.8186258834725103
ACOT9,Reversed Down,Cancer,-0.513559601242619,0.177286690648993,0.04329299647985221,0.7227100773709778
OPLAH,Reversed Down,Cancer,-0.524903845982891,0.0186271200423498,0.04837345327529709,0.9977898903047862
DYNC1LI1,Reversed Down,Cancer,-0.537725764665868,0.148982276729301,0.02571957476980941,0.8006160839933335
RPS9,Reversed Down,Cancer,-0.543191513448587,0.0501704375066456,0.01663835043465359,0.9793567820686792
CISD1,Reversed Down,Cancer,-0.547074778019134,0.238915741437372,0.02774709713014459,0.5208625868616692
CNIH4,Reversed Down,Cancer,-0.569458760958995,0.307110540876147,0.04079973330609177,0.37661104430360065
LNPEP,Reversed Down,Cancer,-0.571404277937951,0.475132712701913,0.04596626006376525,0.08583765185707742
ENDOD1,Reversed Down,Cancer,-0.577160731834621,0.0503639614160996,0.003571801431144,0.9760447093044782
COQ8A,Reversed Down,Cancer,-0.579066635977867,0.0502689802900314,0.02575677920103858,0.9832173859974892
RARS1,Reversed Down,Cancer,-0.589679983562299,0.140077115371945,0.0102914642465034,0.8244472635305906
NOL3,Reversed Down,Cancer,-0.596117883887331,0.055979257517695,0.04053415603603908,0.9819821277019032
PRMT1,Reversed Down,Cancer,-0.600744173337098,9.8892347942047e-4,0.03024132197863534,0.9999947981977448
ATP1B1,Reversed Down,Cancer,-0.617429966506005,0.103635154303815,0.03642116064027405,0.935835058070822
HIST2H2BE,Reversed Down,Tr.(CR),-0.619687570958831,0.951991869426323,0.2821401960123332,0.01710223543675532
SLC25A6,Reversed Down,Cancer,-0.625330438463259,0.223514548494226,0.04641725421418645,0.7048637704376717
TMEM11,Reversed Down,Cancer,-0.632880782070291,0.203028822396087,0.02155698286474255,0.7209486170549001
ACSL3,Reversed Down,Cancer,-0.634897177242905,0.163992413625346,0.01077739947261153,0.7914969385144912
CPT1B,Reversed Down,Cancer,-0.652581913659127,0.0614992125582727,0.04105034038172319,0.9815209694117916
ATP1A2,Reversed Down,Cancer,-0.653176643730657,0.00810999284283298,0.02778678665915061,0.9996860908424252
DHRS7C,Reversed Down,Cancer,-0.670139182930843,0.120963908566804,0.02557870782894993,0.9175977525383824
STBD1,Reversed Down,Cancer,-0.685681654132445,0.126100132208601,0.02263523016852031,0.9116462038248772
CLIP2,Reversed Down,Cancer,-0.693804792521096,0.0622670938096661,0.00844943407411013,0.9791069479926208
CSRP3,Reversed Down,Cancer,-0.698449823731625,0.485278710649673,0.02068953792800765,0.10982029698342584
PIP4K2B,Reversed Down,Cancer,-0.702794604807123,0.180773442551335,0.01440595476215211,0.8251260902477131
EHBP1L1,Reversed Down,Cancer,-0.704101318773798,0.100560987571589,0.00164694882751726,0.9223474764297632
ECI2,Reversed Down,Cancer,-0.70981136925424,0.0789995382854585,0.01665523451506879,0.9676104911799656
ATP5MD,Reversed Down,Cancer,-0.713747436734636,0.178175687657189,0.02048215478916958,0.8268313455149129
MFN2,Reversed Down,Cancer,-0.729156469137937,0.0410666083443001,0.00352478636924139,0.9900728711682228
FAM162A,Reversed Down,Cancer,-0.732284392533678,0.319293835669013,0.01577010189359027,0.4702205897814918
MAVS,Reversed Down,Cancer,-0.734179263533203,0.015429152679042,5.393964561446204e-4,0.9984185622394084
CAMK2B,Reversed Down,Cancer,-0.75898974551265,0.0172219263583564,8.00957823395892e-4,0.9981993887480736
VPS28,Reversed Down,Cancer,-0.817930028276574,0.0327733002891888,0.00334933552769158,0.99543750970914
NLRX1,Reversed Down,Cancer,-0.823408506726048,0.114584504437933,0.00790808555025371,0.9424220989082884
ZBTB9,Reversed Down,Cancer,-0.847592763327143,0.329454755358545,0.02208983918651776,0.5835990765358763
MTM1,Reversed Down,Cancer,-0.854349982284255,0.237868298556569,0.01684826302631219,0.8047794298335976
MYH14,Reversed Down,Cancer,-0.901319545448143,0.0768556814492669,1.633046313675228e-4,0.9654231807626824
HINT3,Reversed Down,Cancer,-0.903154483245515,0.142045975514362,0.00116359309425959,0.8948044221524721
ACACA,Reversed Down,Cancer,-0.907537845862965,0.137885217052572,0.02386997080939312,0.9387934481845256
ADPRHL1,Reversed Down,Cancer,-0.907973811834832,0.0108275116313372,0.00138463060954572,0.9995111192813492
G3BP2,Reversed Down,Both,-0.994069269050257,0.997564924670992,0.02879549482624431,0.00925691916242167
NDUFA4,Reversed Down,Cancer,-1.00218085554692,0.118287242586527,4.004801430922327e-5,0.9190622675601108
MRPL49,Reversed Down,Cancer,-1.02535556355648,0.502814193549544,0.00110196250410667,0.20381863642322703
ANK3,Reversed Down,Cancer,-1.04277446979324,0.107483628254762,2.150465921028866e-6,0.9364970537884352
MYO6,Reversed Down,Cancer,-1.13217339147129,0.301214821580272,1.5070890617659211e-5,0.5443836947600895
MT-ND4,Reversed Down,Cancer,-1.2037081723126,0.230711102704285,0.00432764204899573,0.8686777403695302
SDHC,Reversed Down,Cancer,-1.70244427982617,0.197743353327674,7.809574046997346e-8,0.8777065359822208
PNP,Non-reversed,Cancer,2.51819034347308,0.104515725155236,4.8787207932690574e-17,0.9695608390389738
FN1,Non-reversed,Cancer,2.37502466771606,0.229752026472756,3.4538308937446065e-10,0.8725592200389095
CP,Non-reversed,Cancer,2.35826167255527,0.513961871241433,2.29469499415763e-13,0.3699086241584182
AGT,Non-reversed,Cancer,2.16730772013386,0.442441642324651,1.275225959676153e-12,0.448643889544993
VIM,Non-reversed,Cancer,2.10423980212575,0.638062483544655,2.5845673029259673e-7,0.3187037320883899
TAGLN,Non-reversed,Cancer,2.06570434097459,0.307566521869196,1.4423647913563772e-10,0.7281103399843101
ARPC5,Non-reversed,Cancer,2.00577147954471,0.198220065516924,1.3827872779805872e-8,0.875491566441238
THY1,Non-reversed,Both,1.98965604258509,1.43372234452827,7.335814822911587e-8,5.149817648652736e-6
TKT,Non-reversed,Cancer,1.97970399301758,0.10055480457746,2.932677465273109e-9,0.9738866560536228
PRELP,Non-reversed,Cancer,1.97286713424706,0.562071376145813,3.124132446196107e-6,0.4360100785112947
TSTA3,Non-reversed,Cancer,1.94497555210604,0.0943080539251735,1.028856924902428e-7,0.978155570807041
S100A4,Non-reversed,Cancer,1.88066737053927,0.0655095394836795,7.754772094517768e-10,0.9875619409731268
ANXA1,Non-reversed,Cancer,1.87823986697804,0.492975556844238,1.0877700262478687e-7,0.42668835951977
FABP4,Non-reversed,Cancer,1.74051144929631,0.193581989374515,3.746082464537187e-5,0.9216340163778188
FBLN1,Non-reversed,Cancer,1.6888908920267,0.382084993342779,1.881461639944498e-9,0.4726068075313295
S100A11,Non-reversed,Cancer,1.67761184269879,0.447600054118457,7.29545781572834e-6,0.4685548723955137
SNCG,Non-reversed,Cancer,1.65419535009276,0.252108434599572,4.586773293847052e-4,0.8536198502951076
FBXO7,Non-reversed,Cancer,1.62880516298692,0.341190140580078,2.7326431586598695e-6,0.6385444335541938
OGN,Non-reversed,Cancer,1.62170061704077,0.746891981132157,1.2644428877880678e-5,0.08685031566948688
ADD1,Non-reversed,Cancer,1.6114851837654,0.158296082274353,3.59966801748416e-7,0.9168898239616096
LRG1,Non-reversed,Cancer,1.57982220349227,0.327160053772948,3.4826154701551556e-6,0.680755204698696
AKR1C1,Non-reversed,Cancer,1.52478164284809,0.205492649654483,8.485606461034321e-6,0.8731963037014221
CSRP1,Non-reversed,Cancer,1.51988802045986,0.0206444302561142,6.802723959411939e-8,0.9985700830518958
SH3BGRL,Non-reversed,Cancer,1.51414933325377,0.493783112197331,6.529078741826706e-7,0.27959966604384895
COL6A1,Non-reversed,Cancer,1.47623279449063,0.485366107440402,0.00346341126375394,0.5813579916329287
PRDX2,Non-reversed,Cancer,1.44135596289873,0.0897178310573299,2.969827507621523e-6,0.9733732300253164
AZGP1,Non-reversed,Cancer,1.42266102859461,0.164763445409026,1.408043351075291e-6,0.8971910536732685
LASP1,Non-reversed,Cancer,1.41471138256022,0.304087911665595,6.290553195836357e-5,0.6845675778360478
GLIPR2,Non-reversed,Cancer,1.40359772363441,0.437088948261323,4.8343283603186646e-4,0.47240324583137144
ANXA2,Non-reversed,Cancer,1.39865705556479,0.357224291706325,9.150573814253903e-5,0.6249845878327102
CLEC3B,Non-reversed,Cancer,1.38018807796102,0.632594009109527,6.220929674394661e-6,0.0851566696980935
CAV1,Non-reversed,Cancer,1.37746356218391,0.0209204027815488,2.683769216064895e-4,0.9989451496892552
CRIP2,Non-reversed,Cancer,1.37084733976407,0.31610890165329403,4.236129633778055e-7,0.5647265337225355
LUM,Non-reversed,Cancer,1.36045665153162,0.644903714114086,9.48723366762851e-5,0.12756422509567145
LGALS3BP,Non-reversed,Cancer,1.35745033487327,0.293143731428737,1.598908995932645e-5,0.678370413225951
DCN,Non-reversed,Cancer,1.34371470542794,0.668416892665569,7.781596745165996e-4,0.16609383462153732
EFEMP1,Non-reversed,Cancer,1.34352967439699,0.438420550368427,4.301602482085555e-5,0.3895950271312698
ARPC1B,Non-reversed,Cancer,1.33755334891214,0.236862466150511,5.868803472323461e-5,0.8030290962811778
CLIC1,Non-reversed,Cancer,1.32983279851905,0.237017134724018,4.497188298689183e-7,0.7333734423791002
PEA15,Non-reversed,Cancer,1.31602284077501,0.414073865155084,5.733472759414813e-5,0.4268101613816915
TUBB6,Non-reversed,Cancer,1.30669517264117,0.224022377134515,6.872737767214614e-5,0.8252932344352601
SPTBN1,Non-reversed,Cancer,1.28866233887351,0.307068423952929,3.2807862813708615e-5,0.6454425851551496
ACTN4,Non-reversed,Cancer,1.28852774092023,0.531351717396738,0.00117012982966387,0.3408075328809409
PGM2,Non-reversed,Cancer,1.28452186383929,0.102012050393991,1.9009548992169698e-5,0.957309278212766
LCP1,Non-reversed,Cancer,1.28180765119009,0.450691729952391,6.765942268850259e-5,0.3568045144871572
FSCN1,Non-reversed,Both,1.27875027559068,0.743273155077507,1.8905666911195355e-5,0.01807237937581192
SH3BGRL3,Non-reversed,Cancer,1.27841659147799,0.531269478871945,8.487186723660885e-5,0.18914971749262055
B2M,Non-reversed,Cancer,1.26598947360319,0.0123496468599917,1.124658494883653e-4,0.9995486292893024
BGN,Non-reversed,Both,1.25575614517473,0.930923276954161,0.00479778146878193,0.01826455813786544
EHD2,Non-reversed,Cancer,1.24905948164634,0.0801055790339653,1.0530730290551684e-4,0.9786887206096658
DDAH2,Non-reversed,Cancer,1.24776514754495,0.211302673658508,7.172411938942847e-5,0.835088767529214
VAT1,Non-reversed,Cancer,1.20645026000766,0.427331829433831,2.237428721646335e-4,0.39858224951572296
AKR1C3,Non-reversed,Cancer,1.20434741123984,0.317610990581429,0.00145631339306352,0.6958198131845834
TPM4,Non-reversed,Cancer,1.19788870883936,0.505419262908813,1.5961533199642324e-4,0.2318555202551163
MARCKS,Non-reversed,Cancer,1.19324268859499,0.34615470617771,5.675402438853883e-5,0.4933708868265379
PTBP1,Non-reversed,Cancer,1.19112973162374,0.468905322175077,2.931625139954761e-4,0.31170806136754886
S100A10,Non-reversed,Cancer,1.19004834903662,0.474205659704609,0.00152183129463323,0.3863058151581332
ARHGAP1,Non-reversed,Cancer,1.18175007297504,0.299136664543816,9.853083817905076e-6,0.570938255921615
MPP1,Non-reversed,Cancer,1.17001973175675,0.0340653253542911,2.1859861068729617e-4,0.9962316752218524
AKAP12,Non-reversed,Cancer,1.16959208301349,0.502580389173724,1.2186700408155652e-4,0.2067823773550268
TMOD1,Non-reversed,Cancer,1.15756716324333,0.273020598067211,0.00270560871614028,0.7777884758311285
SPTAN1,Non-reversed,Cancer,1.15354883323317,0.322365709800305,1.9649557714668313e-4,0.5891068269283924
MUSTN1,Non-reversed,Cancer,1.14989865327652,0.539582395149139,0.00494167685260165,0.3130243681911534
ASPN,Non-reversed,Both,1.12566113841021,1.11173664987549,0.01779881148508651,0.00396951016517339
CAV2,Non-reversed,Cancer,1.09114336863118,0.279126822940325,0.01836240930230625,0.8300540351428041
GSN,Non-reversed,Cancer,1.08930891376524,0.437521846961666,4.677087918606483e-4,0.32072495604693596
GYPC,Non-reversed,Cancer,1.0682982244901,0.187754893404625,9.436812695891696e-4,0.8590619655567906
CALD1,Non-reversed,Both,1.06560333381444,0.696410518572124,0.00140367026709389,0.02329094689304463
TAGLN2,Non-reversed,Cancer,1.04951281841543,0.376418297297882,6.522124137382412e-5,0.3373285916396051
APMAP,Non-reversed,Cancer,1.04822867332659,0.159297158200722,0.00096067846918441275,0.8978673279896099
CAP1,Non-reversed,Cancer,1.04145797123845,0.236425655210914,2.1671408577079556e-4,0.7267343296481663
AHNAK,Non-reversed,Cancer,1.00977292470013,0.214819401023631,0.00571385644236247,0.837804586122876
MYO1C,Non-reversed,Cancer,0.99824622772881,0.0492149979567067,0.00466003741524012,0.992152973829452
EPB41L2,Non-reversed,Cancer,0.997505276330859,0.120883676148283,0.00118709187634701,0.9387600677850836
CNN2,Non-reversed,Cancer,0.996615055854178,0.431366184447644,0.04390933240332956,0.473389575500057
CNN3,Non-reversed,Cancer,0.993031584689312,0.500305016228147,0.02499419476649766,0.32102738594739294
TYMP,Non-reversed,Cancer,0.987888762274594,0.268445390676167,0.00455576225457524,0.7269934899131278
TGFBI,Non-reversed,Cancer,0.984094315356465,0.22074129562175,0.03491550910502863,0.8734481969752418
FLNA,Non-reversed,Cancer,0.97297544376794,0.338293200622566,4.7260924681237666e-4,0.4495674693554222
SULT1A1,Non-reversed,Cancer,0.960617462958908,0.272552313347013,0.01892847667440828,0.7485488005741078
AP2A2,Non-reversed,Cancer,0.954764969685927,0.223305981430828,0.01200139021809997,0.812195466271131
FBLN2,Non-reversed,Cancer,0.943171717613016,0.0768428156428591,0.00112918244721059,0.9737028356616352
RAP1B,Non-reversed,Cancer,0.93141202120222,0.165720665097592,0.00174877673792331,0.8696885326262903
GNAI2,Non-reversed,Cancer,0.926098558111377,0.211377618635634,0.0044746500144956,0.8076090364847633
LHPP,Non-reversed,Cancer,0.923430666226848,0.0583538436085913,0.02960322411943182,0.990296239044472
RAB1A,Non-reversed,Cancer,0.921060564120662,0.136383617194495,9.234214198447872e-5,0.881626156295906
MGLL,Non-reversed,Cancer,0.905329263680034,0.248156582664725,0.01753739294994312,0.79242414364506
TLN1,Non-reversed,Cancer,0.902862621664308,0.137567861959322,7.210760912507272e-4,0.8959675047356436
BTD,Non-reversed,Cancer,0.895929698808464,0.161117766024613,0.00797472053798043,0.8934597235707024
EHD1,Non-reversed,Cancer,0.893091886383601,0.0102005945511792,0.00166215727395925,0.999562864242325
LGALS3,Non-reversed,Cancer,0.889113519506576,0.234827602502586,0.01735651060180069,0.7941416780163477
AP1B1,Non-reversed,Cancer,0.869406283379494,0.582286972272222,0.02626763183816703,0.1528260756790267
CST3,Non-reversed,Cancer,0.843650850680671,0.337314793371283,0.01929042008336279,0.5651021340200866
UBE2O,Non-reversed,Cancer,0.842984818808967,0.0302133046233024,0.00799006179868826,0.996424041363152
ANXA4,Non-reversed,Cancer,0.826418604147015,0.315199880047928,0.00497322456281062,0.4988975004785832
MSN,Non-reversed,Cancer,0.822143331513534,0.216464033762296,0.00224982458154471,0.7201052942203165
ATG3,Non-reversed,Cancer,0.821300067136448,0.0255726692357783,0.00642235787002335,0.9972943057344889
PTMS,Non-reversed,Cancer,0.820169116214387,0.158567906194767,0.00388573667076142,0.862790857571646
PPIB,Non-reversed,Cancer,0.817302218251054,0.394913413420053,0.01733497838160951,0.3869579606127002
CD36,Non-reversed,Cancer,0.813313205744976,0.0306971987695643,0.0310305687798552,0.9968692380108076
KCTD12,Non-reversed,Cancer,0.801427794668513,0.289180999765444,0.00404468371916918,0.5421981635078835
GNG12,Non-reversed,Cancer,0.792943874137254,0.14233583136842,0.00888406670142584,0.8976291484473687
PPIA,Non-reversed,Cancer,0.789553047868058,0.113457181221502,0.00481472539240717,0.9297445633227792
DBNL,Non-reversed,Cancer,0.78315288277075,0.214661302538696,0.00385547692052125,0.7157310987186495
STEAP4,Non-reversed,Cancer,0.781197648533098,0.490966680556802,0.0236956414998145,0.3726166923064042
COL6A3,Non-reversed,Tr.(CR),0.761362435271067,1.05754533433244,0.2424955143733674,0.01258843327739084
PLS3,Non-reversed,Cancer,0.75881635644285,0.485493916644442,0.02665130331858114,0.18534556982557487
HNRNPA2B1,Non-reversed,Cancer,0.748411602003586,0.046321016336039,0.00135381770360765,0.9862562607242232
PITPNA,Non-reversed,Cancer,0.738363911856673,0.00118540892592023,0.01679827736231885,0.9999941276687294
DPYSL2,Non-reversed,Cancer,0.728041175878463,0.256867344251694,0.03059314450200613,0.6797739433786013
STAM,Non-reversed,Cancer,0.723609765875812,0.0308953348410501,0.01015590617681773,0.99515214847251
SUMO2,Non-reversed,Cancer,0.721042656383766,0.00225839468898847,0.00778223063282374,0.999975476391564
ARF1,Non-reversed,Cancer,0.710083361631121,0.0107740429433054,0.00286004672581399,0.9993169916696814
HLA-B,Non-reversed,Cancer,0.69715991520585,0.0601395243307925,0.01138592125120633,0.97969741839923985
ALDH16A1,Non-reversed,Cancer,0.688927087314369,0.0153144608366791,0.03946191294878447,0.999026080421751
NPC2,Non-reversed,Cancer,0.676696398883191,0.0495148845326607,0.02113984074231814,0.9876429703547458
PDIA3,Non-reversed,Cancer,0.66927794706741,0.302399833317963,0.03022004366632213,0.4989071942547814
NME2,Non-reversed,Cancer,0.66324180753421,0.124621691543501,0.02119582544708733,0.9066485562797852
