gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
PTBP1,0.8197,0.9984,0.151904,0.992867,NS
ARPC1B,0.7167,1.1002,0.162753,0.992867,NS
ATP2B1,-0.534,1.474,0.163257,0.992867,NS
RRAS2,-0.7542,1.0334,0.166202,0.992867,NS
SEPTIN9,0.6949,1.1213,0.166268,0.992867,NS
COL3A1,1.0401,0.7477,0.16686,0.992867,NS
LGMN,0.7785,0.9901,0.169517,0.992867,NS
MAN2C1,-0.5922,1.3006,0.169719,0.992867,NS
PTGIS,0.8401,0.9164,0.169861,0.992867,NS
RAB2B,-0.7311,1.0436,0.172616,0.992867,NS
COL6A3,0.9697,0.7856,0.173052,0.992867,NS
NUDT9,-0.6035,1.2603,0.173516,0.992867,NS
FCN3,-0.8588,0.8798,0.175555,0.992867,NS
SIRT3,-0.7272,1.0322,0.177549,0.992867,NS
TXLNB,-0.7842,0.9511,0.179545,0.992867,NS
ERI3,-0.5433,1.3673,0.180761,0.992867,NS
COL6A2,0.8997,0.8202,0.18282,0.992867,NS
UBE2G1,-0.612,1.2047,0.183107,0.992867,NS
PTGFRN,0.9016,0.817,0.183376,0.992867,NS
CALD1,0.7449,0.9889,0.183384,0.992867,NS
LHPP,-0.7289,1.0088,0.183965,0.992867,NS
EIF5B,-0.4349,1.6882,0.184386,0.992867,NS
STAMBP,-0.6546,1.1204,0.184725,0.992867,NS
HNRNPM,0.6126,1.1951,0.185319,0.992867,NS
TMOD4,0.9325,0.7792,0.187641,0.992867,NS
TIMM10,-0.7831,0.9278,0.187691,0.992867,NS
CD44,0.9504,0.757,0.19078,0.992867,NS
COQ6,-0.6956,1.0267,0.193125,0.992867,NS
ATP5F1D,0.6064,1.1562,0.198992,0.992867,NS
LPIN1,0.5614,1.2472,0.199426,0.992867,NS
MOCS3,-0.8496,0.8236,0.199647,0.992867,NS
MTRES1,-0.6476,1.0734,0.201748,0.992867,NS
MVP,0.6575,1.056,0.202119,0.992867,NS
RHCE,-0.9581,0.7238,0.202586,0.992867,NS
OGN,0.8133,0.8478,0.204405,0.992867,NS
LRRC59,0.6595,1.0415,0.20562,0.992867,NS
EMD,-0.6587,1.0426,0.205708,0.992867,NS
ASMTL,0.8451,0.8116,0.206119,0.992867,NS
NDUFAF2,1.0125,0.6766,0.206532,0.992867,NS
CORO1C,0.749,0.9058,0.209677,0.992867,NS
