uniprot_id,gene,in_sam,in_ours,set_membership
O60662,KLHL41,TRUE,TRUE,both
Q9NZ45,CISD1,TRUE,TRUE,both
P31040,SDHA,TRUE,TRUE,both
P07919,UQCRH,TRUE,TRUE,both
P55786,NPEPPS,TRUE,TRUE,both
Q9BQ69,MACROD1,TRUE,TRUE,both
Q9UN36,NDRG2,TRUE,TRUE,both
Q9H0U4,RAB1B,TRUE,TRUE,both
Q9NZN4,EHD2,TRUE,TRUE,both
P61970,NUTF2,TRUE,TRUE,both
O75369,FLNB,TRUE,TRUE,both
P18206,VCL,TRUE,TRUE,both
Q03135,CAV1,TRUE,TRUE,both
P20929,NEB,TRUE,TRUE,both
P06737,PYGL,TRUE,TRUE,both
P43155,CRAT,TRUE,TRUE,both
P50502,ST13,TRUE,TRUE,both
Q04828,AKR1C1,TRUE,TRUE,both
P61088,UBE2N,TRUE,TRUE,both
P14625,HSP90B1,TRUE,TRUE,both
P22392,NME2,TRUE,TRUE,both
Q9NQC3,RTN4,TRUE,TRUE,both
P36957,DLST,TRUE,TRUE,both
Q5VXT5,SYPL2,TRUE,TRUE,both
P62826,RAN,TRUE,TRUE,both
P46976,GYG1,TRUE,TRUE,both
P13489,RNH1,TRUE,TRUE,both
P11766,ADH5,TRUE,TRUE,both
P42765,ACAA2,TRUE,TRUE,both
P63104,YWHAZ,TRUE,TRUE,both
P54652,HSPA2,TRUE,TRUE,both
P10809,HSPD1,TRUE,TRUE,both
P24539,ATP5PB,TRUE,TRUE,both
P21333,FLNA,TRUE,TRUE,both
O75915,ARL6IP5,TRUE,TRUE,both
P11177,PDHB,TRUE,TRUE,both
P12814,ACTN1,TRUE,TRUE,both
P14854,COX6B1,TRUE,TRUE,both
P49411,TUFM,TRUE,TRUE,both
Q16775,HAGH,TRUE,TRUE,both
Q01995,TAGLN,TRUE,TRUE,both
P28331,NDUFS1,TRUE,TRUE,both
P09622,DLD,TRUE,TRUE,both
Q02218,OGDH,TRUE,TRUE,both
O75208,COQ9,TRUE,TRUE,both
P10515,DLAT,TRUE,TRUE,both
Q8NI60,COQ8A,TRUE,TRUE,both
O75746,SLC25A12,TRUE,TRUE,both
Q00688,FKBP3,TRUE,TRUE,both
Q96IX5,ATP5MD,TRUE,FALSE,sam_only
P13639,EEF2,TRUE,TRUE,both
O43707,ACTN4,TRUE,TRUE,both
P08559,PDHA1,TRUE,TRUE,both
P26038,MSN,TRUE,TRUE,both
P78417,GSTO1,TRUE,TRUE,both
P07738,BPGM,TRUE,TRUE,both
Q8N335,GPD1L,TRUE,TRUE,both
Q9P2R7,SUCLA2,TRUE,TRUE,both
P22314,UBA1,TRUE,TRUE,both
P11310,ACADM,TRUE,TRUE,both
P21912,SDHB,TRUE,TRUE,both
P49189,ALDH9A1,TRUE,TRUE,both
P09467,FBP1,TRUE,TRUE,both
P51888,PRELP,TRUE,TRUE,both
Q14353,GAMT,TRUE,TRUE,both
Q9NR31,SAR1A,TRUE,TRUE,both
Q16853,AOC3,TRUE,TRUE,both
P21266,GSTM3,TRUE,TRUE,both
P35232,PHB,TRUE,FALSE,sam_only
P07237,P4HB,TRUE,TRUE,both
P02792,FTL,TRUE,TRUE,both
Q8TCA0,LRRC20,TRUE,TRUE,both
P15954,COX7C,TRUE,TRUE,both
Q9H4M9,EHD1,TRUE,TRUE,both
P37840,SNCA,TRUE,TRUE,both
P61224,RAP1B,TRUE,TRUE,both
P31946,YWHAB,TRUE,TRUE,both
P84243,H3-3A,TRUE,TRUE,both
Q08209,PPP3CA,TRUE,TRUE,both
O96000,NDUFB10,TRUE,TRUE,both
P60903,S100A10,TRUE,TRUE,both
P52565,ARHGDIA,TRUE,TRUE,both
P24298,GPT,TRUE,TRUE,both
Q00765,REEP5,TRUE,TRUE,both
P16219,ACADS,TRUE,TRUE,both
Q16531,DDB1,TRUE,TRUE,both
P05091,ALDH2,TRUE,TRUE,both
P07339,CTSD,TRUE,TRUE,both
P00352,ALDH1A1,TRUE,TRUE,both
P49753,ACOT2,TRUE,TRUE,both
P50395,GDI2,TRUE,TRUE,both
P62191,PSMC1,TRUE,TRUE,both
P09488,GSTM1,TRUE,TRUE,both
O14949,UQCRQ,TRUE,TRUE,both
P62942,FKBP1A,TRUE,TRUE,both
Q9NTK5,OLA1,TRUE,TRUE,both
Q99623,PHB2,TRUE,TRUE,both
P20073,ANXA7,TRUE,TRUE,both
Q9UBQ7,GRHPR,TRUE,TRUE,both
P19404,NDUFV2,TRUE,TRUE,both
Q15365,PCBP1,TRUE,TRUE,both
O75083,WDR1,TRUE,TRUE,both
P38117,ETFB,TRUE,TRUE,both
P51452,DUSP3,TRUE,TRUE,both
P23109,AMPD1,TRUE,TRUE,both
P35080,PFN2,TRUE,TRUE,both
P60842,EIF4A1,TRUE,TRUE,both
Q16082,HSPB2,TRUE,TRUE,both
Q9UM54,MYO6,TRUE,TRUE,both
Q9UJS0,SLC25A13,TRUE,TRUE,both
P26678,PLN,TRUE,TRUE,both
P17858,PFKL,TRUE,TRUE,both
P27105,STOM,TRUE,TRUE,both
P63098,PPP3R1,TRUE,TRUE,both
P38646,HSPA9,TRUE,TRUE,both
P61077,UBE2D3,TRUE,TRUE,both
P10644,PRKAR1A,TRUE,TRUE,both
P01019,AGT,TRUE,FALSE,sam_only
P84077,ARF1,TRUE,TRUE,both
P53597,SUCLG1,TRUE,TRUE,both
P37837,TALDO1,TRUE,TRUE,both
Q6YN16,HSDL2,TRUE,TRUE,both
Q01469,FABP5,TRUE,TRUE,both
Q9NWV4,CZIB,TRUE,TRUE,both
Q99584,S100A13,TRUE,TRUE,both
Q9UHP9,SMPX,TRUE,TRUE,both
Q9H0N5,PCBD2,TRUE,TRUE,both
P48147,PREP,TRUE,TRUE,both
P63208,SKP1,TRUE,TRUE,both
P18124,RPL7,TRUE,TRUE,both
P31937,HIBADH,TRUE,TRUE,both
P29692,EEF1D,TRUE,TRUE,both
P55072,VCP,TRUE,TRUE,both
P00491,PNP,TRUE,TRUE,both
Q96AQ6,PBXIP1,TRUE,TRUE,both
Q9NP98,MYOZ1,TRUE,TRUE,both
P60953,CDC42,TRUE,TRUE,both
P13716,ALAD,TRUE,TRUE,both
P50213,IDH3A,TRUE,TRUE,both
P49821,NDUFV1,TRUE,TRUE,both
Q6NVY1,HIBCH,TRUE,TRUE,both
P17612,PRKACA,TRUE,TRUE,both
O95831,AIFM1,TRUE,TRUE,both
Q02978,SLC25A11,TRUE,TRUE,both
P52179,MYOM1,TRUE,TRUE,both
Q9BWH2,FUNDC2,TRUE,TRUE,both
P42330,AKR1C3,TRUE,TRUE,both
P17661,DES,TRUE,TRUE,both
P54920,NAPA,TRUE,TRUE,both
P61604,HSPE1,TRUE,TRUE,both
Q8NDY3,ADPRHL1,TRUE,TRUE,both
Q16795,NDUFA9,TRUE,TRUE,both
Q9UKS6,PACSIN3,TRUE,TRUE,both
Q13057,COASY,TRUE,TRUE,both
O95299,NDUFA10,TRUE,TRUE,both
P49368,CCT3,TRUE,TRUE,both
O14880,MGST3,TRUE,TRUE,both
P35579,MYH9,TRUE,TRUE,both
P54289,CACNA2D1,TRUE,TRUE,both
P09960,LTA4H,TRUE,TRUE,both
Q9UIJ7,AK3,TRUE,TRUE,both
P61978,HNRNPK,TRUE,TRUE,both
Q9UBF9,MYOT,TRUE,TRUE,both
P21291,CSRP1,TRUE,TRUE,both
Q9H4A4,RNPEP,TRUE,TRUE,both
P13807,GYS1,TRUE,TRUE,both
Q16718,NDUFA5,TRUE,TRUE,both
Q16891,IMMT,TRUE,TRUE,both
A8MU46,SMTNL1,TRUE,TRUE,both
Q9H0P0,NT5C3A,TRUE,TRUE,both
P16157,ANK1,TRUE,TRUE,both
P18859,ATP5PF,TRUE,TRUE,both
P24534,EEF1B2,TRUE,TRUE,both
P51148,RAB5C,TRUE,TRUE,both
Q9P0J0,NDUFA13,TRUE,TRUE,both
P28066,PSMA5,TRUE,TRUE,both
P40123,CAP2,TRUE,TRUE,both
P31949,S100A11,TRUE,TRUE,both
O43676,NDUFB3,TRUE,TRUE,both
P09429,HMGB1,TRUE,TRUE,both
P30153,PPP2R1A,TRUE,TRUE,both
P07099,EPHX1,TRUE,TRUE,both
P11166,SLC2A1,TRUE,TRUE,both
P13861,PRKAR2A,TRUE,TRUE,both
P68036,UBE2L3,TRUE,TRUE,both
Q9UHG3,PCYOX1,TRUE,TRUE,both
Q13643,FHL3,TRUE,TRUE,both
P02545,LMNA,TRUE,TRUE,both
O14561,NDUFAB1,TRUE,TRUE,both
P51668,UBE2D1,TRUE,TRUE,both
P01034,CST3,TRUE,TRUE,both
P30566,ADSL,TRUE,TRUE,both
Q16778,HIST2H2BE,TRUE,FALSE,sam_only
P16152,CBR1,TRUE,TRUE,both
P52209,PGD,TRUE,TRUE,both
P54578,USP14,TRUE,TRUE,both
Q16555,DPYSL2,TRUE,TRUE,both
P63244,RACK1,TRUE,TRUE,both
Q01432,AMPD3,TRUE,TRUE,both
Q96IU4,ABHD14B,TRUE,TRUE,both
Q8NCW5,NAXE,TRUE,TRUE,both
O15382,BCAT2,TRUE,TRUE,both
P37802,TAGLN2,TRUE,TRUE,both
P05387,RPLP2,TRUE,TRUE,both
Q6IBS0,TWF2,TRUE,TRUE,both
O14818,PSMA7,TRUE,TRUE,both
P19367,HK1,TRUE,TRUE,both
P25789,PSMA4,TRUE,TRUE,both
Q14324,MYBPC2,TRUE,TRUE,both
P56556,NDUFA6,TRUE,TRUE,both
P50995,ANXA11,TRUE,TRUE,both
Q96MF2,STAC3,TRUE,TRUE,both
Q9BS92,NIPSNAP3B,TRUE,TRUE,both
P23526,AHCY,TRUE,TRUE,both
O95168,NDUFB4,TRUE,TRUE,both
O75489,NDUFS3,TRUE,TRUE,both
P30038,ALDH4A1,TRUE,TRUE,both
P25787,PSMA2,TRUE,TRUE,both
P14649,MYL6B,TRUE,TRUE,both
Q15819,UBE2V2,TRUE,TRUE,both
O94760,DDAH1,TRUE,TRUE,both
Q99643,SDHC,TRUE,TRUE,both
P30626,SRI,TRUE,TRUE,both
P23327,HRC,TRUE,TRUE,both
P13987,CD59,TRUE,TRUE,both
O00151,PDLIM1,TRUE,TRUE,both
P31948,STIP1,TRUE,TRUE,both
P52907,CAPZA1,TRUE,TRUE,both
P20774,OGN,TRUE,TRUE,both
Q14240,EIF4A2,TRUE,TRUE,both
P04632,CAPNS1,TRUE,TRUE,both
P22626,HNRNPA2B1,TRUE,TRUE,both
Q9HB71,CACYBP,TRUE,TRUE,both
P60900,PSMA6,TRUE,TRUE,both
P25311,AZGP1,TRUE,TRUE,both
P51649,ALDH5A1,TRUE,TRUE,both
Q92530,PSMF1,TRUE,TRUE,both
Q9Y3D6,FIS1,TRUE,TRUE,both
P30101,PDIA3,TRUE,TRUE,both
P22352,GPX3,TRUE,TRUE,both
P12111,COL6A3,TRUE,TRUE,both
P27338,MAOB,TRUE,TRUE,both
P29401,TKT,TRUE,TRUE,both
O43678,NDUFA2,TRUE,TRUE,both
P13798,APEH,TRUE,TRUE,both
P61586,RHOA,TRUE,TRUE,both
O15273,TCAP,TRUE,TRUE,both
P20231,TPSB2,TRUE,TRUE,both
P11021,HSPA5,TRUE,TRUE,both
P21817,RYR1,TRUE,TRUE,both
O95810,CAVIN2,TRUE,TRUE,both
Q9BVC6,TMEM109,TRUE,TRUE,both
O00330,PDHX,TRUE,TRUE,both
O75874,IDH1,TRUE,TRUE,both
P39687,ANP32A,TRUE,TRUE,both
Q9BRX8,PRXL2A,TRUE,TRUE,both
P27824,CANX,TRUE,TRUE,both
P26641,EEF1G,TRUE,TRUE,both
Q9Y5Z4,HEBP2,TRUE,TRUE,both
P78371,CCT2,TRUE,TRUE,both
Q15746,MYLK,TRUE,TRUE,both
P51149,RAB7A,TRUE,TRUE,both
O60664,PLIN3,TRUE,TRUE,both
P28838,LAP3,TRUE,TRUE,both
P23381,WARS1,TRUE,TRUE,both
P27816,MAP4,TRUE,TRUE,both
P24666,ACP1,TRUE,TRUE,both
P12109,COL6A1,TRUE,TRUE,both
Q08043,ACTN3,TRUE,TRUE,both
Q13557,CAMK2D,TRUE,TRUE,both
P11277,SPTB,TRUE,TRUE,both
P34949,MPI,TRUE,TRUE,both
Q01484,ANK2,TRUE,TRUE,both
P61026,RAB10,TRUE,TRUE,both
Q5SSJ5,HP1BP3,TRUE,TRUE,both
O14950,MYL12B,TRUE,TRUE,both
Q15185,PTGES3,TRUE,TRUE,both
P46109,CRKL,TRUE,TRUE,both
P25788,PSMA3,TRUE,TRUE,both
O75923,DYSF,TRUE,TRUE,both
P30046,DDT,TRUE,TRUE,both
P04899,GNAI2,TRUE,TRUE,both
Q8IVN3,MUSTN1,TRUE,TRUE,both
P51970,NDUFA8,TRUE,TRUE,both
P17987,TCP1,TRUE,TRUE,both
P20618,PSMB1,TRUE,TRUE,both
Q15843,NEDD8,TRUE,TRUE,both
P62249,RPS16,TRUE,TRUE,both
Q13813,SPTAN1,TRUE,TRUE,both
Q9NY65,TUBA8,TRUE,TRUE,both
Q9Y490,TLN1,TRUE,TRUE,both
Q7Z4W1,DCXR,TRUE,TRUE,both
P51636,CAV2,TRUE,TRUE,both
Q9BTV4,TMEM43,TRUE,TRUE,both
Q9NPJ3,ACOT13,TRUE,TRUE,both
P58546,MTPN,TRUE,TRUE,both
P54819,AK2,TRUE,TRUE,both
Q92523,CPT1B,TRUE,TRUE,both
O43837,IDH3B,TRUE,TRUE,both
P62851,RPS25,TRUE,TRUE,both
P07203,GPX1,TRUE,TRUE,both
Q13085,ACACA,TRUE,TRUE,both
P62333,PSMC6,TRUE,TRUE,both
Q9BXN1,ASPN,TRUE,TRUE,both
P07384,CAPN1,TRUE,TRUE,both
O14521,SDHD,TRUE,TRUE,both
P14314,PRKCSH,TRUE,TRUE,both
O75438,NDUFB1,TRUE,TRUE,both
P05386,RPLP1,TRUE,TRUE,both
P00367,GLUD1,TRUE,TRUE,both
Q99536,VAT1,TRUE,TRUE,both
Q15056,EIF4H,TRUE,TRUE,both
Q8NB12,SMYD1,TRUE,TRUE,both
O75521,ECI2,TRUE,TRUE,both
Q13404,UBE2V1,TRUE,TRUE,both
Q01518,CAP1,TRUE,TRUE,both
P02753,RBP4,TRUE,TRUE,both
Q7Z3D6,DGLUCY,TRUE,TRUE,both
P60981,DSTN,TRUE,TRUE,both
Q16134,ETFDH,TRUE,TRUE,both
P09936,UCHL1,TRUE,TRUE,both
Q08257,CRYZ,TRUE,TRUE,both
Q9Y394,DHRS7,TRUE,TRUE,both
O00410,IPO5,TRUE,TRUE,both
O75531,BANF1,TRUE,TRUE,both
P67775,PPP2CA,TRUE,TRUE,both
P43304,GPD2,TRUE,TRUE,both
Q14195,DPYSL3,TRUE,TRUE,both
O43488,AKR7A2,TRUE,TRUE,both
Q9NSE4,IARS2,TRUE,TRUE,both
Q9UNZ2,NSFL1C,TRUE,TRUE,both
P35268,RPL22,TRUE,TRUE,both
Q9H8H3,METTL7A,TRUE,TRUE,both
P62873,GNB1,TRUE,TRUE,both
A6NDG6,PGP,TRUE,TRUE,both
Q00610,CLTC,TRUE,TRUE,both
P50993,ATP1A2,TRUE,TRUE,both
P54725,RAD23A,TRUE,TRUE,both
O60888,CUTA,TRUE,TRUE,both
P31939,ATIC,TRUE,TRUE,both
P42704,LRPPRC,TRUE,TRUE,both
P16083,NQO2,TRUE,TRUE,both
Q13522,PPP1R1A,TRUE,TRUE,both
P30520,ADSS2,TRUE,TRUE,both
P08294,SOD3,TRUE,TRUE,both
Q96A26,FAM162A,TRUE,TRUE,both
P25786,PSMA1,TRUE,TRUE,both
O75380,NDUFS6,TRUE,TRUE,both
P09525,ANXA4,TRUE,TRUE,both
P23284,PPIB,TRUE,TRUE,both
P46777,RPL5,TRUE,TRUE,both
Q9UII2,ATP5IF1,TRUE,TRUE,both
P55822,SH3BGR,TRUE,TRUE,both
O14732,IMPA2,TRUE,TRUE,both
Q96FJ2,DYNLL2,TRUE,TRUE,both
P20340,RAB6A,TRUE,TRUE,both
P23396,RPS3,TRUE,TRUE,both
Q96RP9,GFM1,TRUE,TRUE,both
P05023,ATP1A1,TRUE,TRUE,both
P54727,RAD23B,TRUE,TRUE,both
Q9BSH4,TACO1,TRUE,TRUE,both
P49721,PSMB2,TRUE,TRUE,both
P48163,ME1,TRUE,TRUE,both
Q15233,NONO,TRUE,TRUE,both
Q9BX68,HINT2,TRUE,TRUE,both
O75251,NDUFS7,TRUE,TRUE,both
P05452,CLEC3B,TRUE,TRUE,both
P46020,PHKA1,TRUE,TRUE,both
Q9NX63,CHCHD3,TRUE,TRUE,both
Q5BKX8,CAVIN4,TRUE,TRUE,both
Q9Y376,CAB39,TRUE,TRUE,both
Q86SX6,GLRX5,TRUE,TRUE,both
P21399,ACO1,TRUE,TRUE,both
P35613,BSG,TRUE,TRUE,both
P13797,PLS3,TRUE,TRUE,both
Q13885,TUBB2A,TRUE,TRUE,both
P36969,GPX4,TRUE,TRUE,both
Q9Y613,FHOD1,TRUE,TRUE,both
P60891,PRPS1,TRUE,TRUE,both
Q5XKP0,MICOS13,TRUE,TRUE,both
P61457,PCBD1,TRUE,TRUE,both
P26885,FKBP2,TRUE,TRUE,both
Q8N8N7,PTGR2,TRUE,TRUE,both
Q96AB3,ISOC2,TRUE,TRUE,both
Q14974,KPNB1,TRUE,TRUE,both
O75306,NDUFS2,TRUE,TRUE,both
O75347,TBCA,TRUE,TRUE,both
Q99733,NAP1L4,TRUE,TRUE,both
P23786,CPT2,TRUE,TRUE,both
Q9Y623,MYH4,TRUE,TRUE,both
P40227,CCT6A,TRUE,TRUE,both
P46734,MAP2K3,TRUE,TRUE,both
Q9H0E2,TOLLIP,TRUE,TRUE,both
Q6UXV4,APOOL,TRUE,TRUE,both
P54284,CACNB3,TRUE,TRUE,both
P00390,GSR,TRUE,TRUE,both
P28070,PSMB4,TRUE,TRUE,both
P16930,FAH,TRUE,TRUE,both
P61769,B2M,TRUE,TRUE,both
P05556,ITGB1,TRUE,TRUE,both
Q2TBA0,KLHL40,TRUE,TRUE,both
O75155,CAND2,TRUE,TRUE,both
Q15907,RAB11B,TRUE,TRUE,both
P62140,PPP1CB,TRUE,TRUE,both
P52758,RIDA,TRUE,TRUE,both
P07741,APRT,TRUE,TRUE,both
P35555,FBN1,TRUE,TRUE,both
P11586,MTHFD1,TRUE,TRUE,both
Q9Y6M9,NDUFB9,TRUE,TRUE,both
P34932,HSPA4,TRUE,TRUE,both
