uniprot_id,gene,protein,description
Q9HA77,CARS2,SYCM_HUMAN,"Probable cysteine--tRNA ligase, mitochondrial"
Q9HAB8,PPCS,PPCS_HUMAN,Phosphopantothenate--cysteine ligase
Q9HAT2,SIAE,SIAE_HUMAN,Sialate O-acetylesterase
Q9HAV7,GRPEL1,GRPE1_HUMAN,"GrpE protein homolog 1, mitochondrial"
Q9HB71,CACYBP,CYBP_HUMAN,Calcyclin-binding protein
Q9HB90,RRAGC,RRAGC_HUMAN,Ras-related GTP-binding protein C
Q9HBH5,RDH14,RDH14_HUMAN,Retinol dehydrogenase 14
Q9HBI1,PARVB,PARVB_HUMAN,Beta-parvin
Q9HBL0,TNS1,TENS1_HUMAN,Tensin-1
Q9HBL7,PLGRKT,PLRKT_HUMAN,Plasminogen receptor (KT)
Q9HC35,EML4,EMAL4_HUMAN,Echinoderm microtubule-associated protein-like 4
Q9HC38,GLOD4,GLOD4_HUMAN,Glyoxalase domain-containing protein 4
Q9HCC0,MCCC2,MCCB_HUMAN,"Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial"
Q9HCP6,HHATL,HHATL_HUMAN,Protein-cysteine N-palmitoyltransferase HHAT-like protein
Q9HCU0,CD248,CD248_HUMAN,Endosialin
Q9HCU5,PREB,PREB_HUMAN,Prolactin regulatory element-binding protein
Q9HD33,MRPL47,RM47_HUMAN,"39S ribosomal protein L47, mitochondrial"
Q9HDC5,JPH1,JPH1_HUMAN,Junctophilin-1
Q9HDC9,APMAP,APMAP_HUMAN,Adipocyte plasma membrane-associated protein
Q9NNW7,TXNRD2,TRXR2_HUMAN,"Thioredoxin reductase 2, mitochondrial"
Q9NP72,RAB18,RAB18_HUMAN,Ras-related protein Rab-18
Q9NP74,PALMD,PALMD_HUMAN,Palmdelphin
Q9NP79,VTA1,VTA1_HUMAN,Vacuolar protein sorting-associated protein VTA1 homolog
Q9NP81,SARS2,SYSM_HUMAN,"Serine--tRNA ligase, mitochondrial"
Q9NP97,DYNLRB1,DLRB1_HUMAN,Dynein light chain roadblock-type 1
Q9NP98,MYOZ1,MYOZ1_HUMAN,Myozenin-1
Q9NPA0,EMC7,EMC7_HUMAN,ER membrane protein complex subunit 7
Q9NPC6,MYOZ2,MYOZ2_HUMAN,Myozenin-2
Q9NPF4,OSGEP,OSGEP_HUMAN,Probable tRNA N6-adenosine threonylcarbamoyltransferase
Q9NPH2,ISYNA1,INO1_HUMAN,Inositol-3-phosphate synthase 1
Q9NPJ3,ACOT13,ACO13_HUMAN,Acyl-coenzyme A thioesterase 13
Q9NPQ8,RIC8A,RIC8A_HUMAN,Synembryn-A
Q9NQ50,MRPL40,RM40_HUMAN,"39S ribosomal protein L40, mitochondrial"
Q9NQ88,TIGAR,TIGAR_HUMAN,"Fructose-2,6-bisphosphatase TIGAR"
Q9NQC3,RTN4,RTN4_HUMAN,Reticulon-4
Q9NQE9,HINT3,HINT3_HUMAN,Histidine triad nucleotide-binding protein 3
Q9NQG5,RPRD1B,RPR1B_HUMAN,Regulation of nuclear pre-mRNA domain-containing protein 1B
Q9NQP4,PFDN4,PFD4_HUMAN,Prefoldin subunit 4
Q9NQR4,NIT2,NIT2_HUMAN,Omega-amidase NIT2
Q9NQW7,XPNPEP1,XPP1_HUMAN,Xaa-Pro aminopeptidase 1
Q9NQX3,GPHN,GEPH_HUMAN,Gephyrin
Q9NR12,PDLIM7,PDLI7_HUMAN,PDZ and LIM domain protein 7
Q9NR19,ACSS2,ACSA_HUMAN,"Acetyl-coenzyme A synthetase, cytoplasmic"
Q9NR28,DIABLO,DBLOH_HUMAN,"Diablo homolog, mitochondrial"
Q9NR31,SAR1A,SAR1A_HUMAN,GTP-binding protein SAR1a
Q9NR45,NANS,SIAS_HUMAN,Sialic acid synthase
Q9NR50,EIF2B3,EI2BG_HUMAN,Translation initiation factor eIF-2B subunit gamma
Q9NR56,MBNL1,MBNL1_HUMAN,Muscleblind-like protein 1
Q9NRG4,SMYD2,SMYD2_HUMAN,N-lysine methyltransferase SMYD2
Q9NRG7,SDR39U1,D39U1_HUMAN,Epimerase family protein SDR39U1
Q9NRN7,AASDHPPT,ADPPT_HUMAN,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
Q9NRP0,OSTC,OSTC_HUMAN,Oligosaccharyltransferase complex subunit OSTC
Q9NRV9,HEBP1,HEBP1_HUMAN,Heme-binding protein 1
Q9NRX4,PHPT1,PHP14_HUMAN,14 kDa phosphohistidine phosphatase
Q9NRY5,FAM114A2,F1142_HUMAN,Protein FAM114A2
