sample_id,subject,group,group_time,time,supplement,module,eigengene
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,green,-0.140331399580659
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,green,-0.16740973985748503
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,green,-0.18712707017413813
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,green,-0.09076086616095844
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,green,0.028706543465951112
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,green,0.24387743740663045
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,green,-0.10811211458655294
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,green,-0.026945935145846457
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,green,0.2111033832844629
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,green,0.28377564652474885
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,green,-0.09480096105556889
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,green,-0.06213729154630738
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,green,-0.10626056025505232
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,green,-0.1890729101797439
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,green,-0.016164490832089342
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,green,0.4216336681642555
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,green,-0.0672826560512493
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,green,-0.16623202263201833
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,green,-0.0946615479039066
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,green,-0.06381082101445464
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,green,-0.006048705462759917
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,green,-0.0021358712735685633
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,green,0.0755342265829637
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,green,-0.12512426280790798
PPS2,PPS2,PPS,H_T1,T1,NA,green,0.07464567770329243
PPS20,PPS20,PPS,H_T1,T1,NA,green,0.0157550216001019
PPS28,PPS28,PPS,H_T1,T1,NA,green,0.02181409947449952
PPS31,PPS31,PPS,H_T1,T1,NA,green,-0.07568485003523781
PPS32,PPS32,PPS,H_T1,T1,NA,green,0.032023705398422794
PPS37,PPS37,PPS,H_T1,T1,NA,green,-0.04257909549172139
PPS40,PPS40,PPS,H_T1,T1,NA,green,-0.07530978982036182
PPS41,PPS41,PPS,H_T1,T1,NA,green,0.05025720047092303
PPS42,PPS42,PPS,H_T1,T1,NA,green,-0.013263500513190472
PPS44,PPS44,PPS,H_T1,T1,NA,green,-0.04353868988703774
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,blue,0.0909042659268629
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,blue,0.011393879921773986
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,blue,-0.4216144372451406
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,blue,0.032760750686512775
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,blue,0.00963519827111695
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,blue,0.0038592935235305928
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,blue,-0.4318041988308446
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,blue,0.057726768970795386
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,blue,0.14155789025679985
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,blue,0.015205041132128483
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,blue,-0.34619834628793894
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,blue,0.08607446358850526
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,blue,0.0093764855199226
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,blue,0.11877404044960302
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,blue,-0.013255551974511724
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,blue,-0.16003244567375868
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,blue,-0.006422353891451303
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,blue,-0.3744210575382537
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,blue,-0.027487911381489333
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,blue,-0.024609800288005877
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,blue,3.380823178260996e-4
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,blue,-0.20611026922385545
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,blue,-0.004662404731549162
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,blue,0.007036537423699049
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,blue,0.05218989688379762
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,blue,0.028278772457877473
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,blue,0.13860774710979462
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,blue,-0.1671195984590576
PPS2,PPS2,PPS,H_T1,T1,NA,blue,0.18925252890759772
PPS20,PPS20,PPS,H_T1,T1,NA,blue,0.12330664925518742
PPS28,PPS28,PPS,H_T1,T1,NA,blue,0.09353355712764279
PPS31,PPS31,PPS,H_T1,T1,NA,blue,0.13216221301440823
PPS32,PPS32,PPS,H_T1,T1,NA,blue,0.13558778453272535
PPS37,PPS37,PPS,H_T1,T1,NA,blue,0.15386057397791258
PPS40,PPS40,PPS,H_T1,T1,NA,blue,0.0880178400528078
PPS41,PPS41,PPS,H_T1,T1,NA,blue,0.18641783877189266
PPS42,PPS42,PPS,H_T1,T1,NA,blue,0.14772696840111255
PPS44,PPS44,PPS,H_T1,T1,NA,blue,0.1301533070440204
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,brown,0.05803200981794959
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,brown,0.027726184026825473
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,brown,-0.30270763892259717
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,brown,0.05592214953591154
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,brown,0.32653351145317594
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,brown,0.35959415345732815
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,brown,-0.3123503348231605
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,brown,-0.07280830696614472
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,brown,-0.15367712880334983
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,brown,-0.10844164506692734
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,brown,-0.2622867922138632
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,brown,-0.018730686251857007
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,brown,-0.07541667485836556
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,brown,0.01682050983534274
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,brown,0.061201298882159375
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,brown,-0.17312770804184927
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,brown,-0.051931946788920706
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,brown,-0.2974970064272311
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,brown,-0.1493403028395106
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,brown,-0.09782213090430358
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,brown,0.008888350377069639
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,brown,-0.19522775229871372
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,brown,0.0049680263836106835
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,brown,-0.029236779260442085
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,brown,0.23656905626074873
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,brown,0.20815120387992228
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,brown,0.010491672911673057
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,brown,-0.04314039819935803
PPS2,PPS2,PPS,H_T1,T1,NA,brown,-0.040999448558774194
PPS20,PPS20,PPS,H_T1,T1,NA,brown,0.05582989127235733
PPS28,PPS28,PPS,H_T1,T1,NA,brown,0.1718594169104453
PPS31,PPS31,PPS,H_T1,T1,NA,brown,0.1481834759821371
PPS32,PPS32,PPS,H_T1,T1,NA,brown,0.1281381369501278
PPS37,PPS37,PPS,H_T1,T1,NA,brown,0.09756047486585225
PPS40,PPS40,PPS,H_T1,T1,NA,brown,0.22916820856950484
PPS41,PPS41,PPS,H_T1,T1,NA,brown,-0.014506424997187913
PPS42,PPS42,PPS,H_T1,T1,NA,brown,0.07457264413969125
PPS44,PPS44,PPS,H_T1,T1,NA,brown,0.11903873071072245
CR6_T1,CR6,CR_PLA,PLA_T1,T1,PLA,grey,-0.15702367263624656
CR6_T2,CR6,CR_PLA,PLA_T2,T2,PLA,grey,-0.10851635099842483
CR7_T1,CR7,CR_PLA,PLA_T1,T1,PLA,grey,-0.22131997455286395
CR7_T2,CR7,CR_PLA,PLA_T2,T2,PLA,grey,0.1151061692973101
CR8_T1,CR8,CR_CRE,CRE_T1,T1,CRE,grey,0.05850468877120363
CR8_T2,CR8,CR_CRE,CRE_T2,T2,CRE,grey,-0.30001892048309314
CR9_T2,CR9,CR_CRE,CRE_T2,T2,CRE,grey,0.0074613814402639
CR10_T2,CR10,CR_CRE,CRE_T2,T2,CRE,grey,0.025939441228058458
CR12_T1,CR12,CR_CRE,CRE_T1,T1,CRE,grey,0.2500349298442176
CR12_T2,CR12,CR_CRE,CRE_T2,T2,CRE,grey,0.24460374703334936
CR15_T1,CR15,CR_PLA,PLA_T1,T1,PLA,grey,0.09325936644244694
CR17_T1,CR17,CR_PLA,PLA_T1,T1,PLA,grey,0.011518051732695225
CR17_T2,CR17,CR_PLA,PLA_T2,T2,PLA,grey,-0.1182583653475564
CR18_T1,CR18,CR_PLA,PLA_T1,T1,PLA,grey,-0.037874854073576214
CR18_T2,CR18,CR_PLA,PLA_T2,T2,PLA,grey,-0.18756129836960067
CR22_T1,CR22,CR_CRE,CRE_T1,T1,CRE,grey,-0.1280748886082004
CR22_T2,CR22,CR_CRE,CRE_T2,T2,CRE,grey,0.15548515800060264
CR23_T1,CR23,CR_PLA,PLA_T1,T1,PLA,grey,0.06582131252399617
CR25_T1,CR25,CR_CRE,CRE_T1,T1,CRE,grey,0.16267885594739892
CR25_T2,CR25,CR_CRE,CRE_T2,T2,CRE,grey,0.17437284545429116
CR72_T1,CR72,CR_CRE,CRE_T1,T1,CRE,grey,-0.14107519328305607
CR72_T2,CR72,CR_CRE,CRE_T2,T2,CRE,grey,0.10449487721315674
CR149_T1,CR149,CR_PLA,PLA_T1,T1,PLA,grey,-0.04257707046951584
CR149_T2,CR149,CR_PLA,PLA_T2,T2,PLA,grey,-0.16953327844370694
CR163_T1,CR163,CR_CRE,CRE_T1,T1,CRE,grey,-0.05394391071329222
CR163_T2,CR163,CR_CRE,CRE_T2,T2,CRE,grey,-0.23062538560098683
CR383_T1,CR383,CR_CRE,CRE_T1,T1,CRE,grey,-0.18536691285133947
CR386_T2,CR386,CR_PLA,PLA_T2,T2,PLA,grey,-0.1816474603149963
PPS2,PPS2,PPS,H_T1,T1,NA,grey,0.057906070501017225
PPS20,PPS20,PPS,H_T1,T1,NA,grey,-0.16283442474088697
PPS28,PPS28,PPS,H_T1,T1,NA,grey,-0.12354912030438688
PPS31,PPS31,PPS,H_T1,T1,NA,grey,0.21863270631832177
PPS32,PPS32,PPS,H_T1,T1,NA,grey,0.09233565703112777
PPS37,PPS37,PPS,H_T1,T1,NA,grey,0.2575785070091175
PPS40,PPS40,PPS,H_T1,T1,NA,grey,0.15958471651949085
PPS41,PPS41,PPS,H_T1,T1,NA,grey,0.26981484439447495
PPS42,PPS42,PPS,H_T1,T1,NA,grey,0.2026060071992615
PPS44,PPS44,PPS,H_T1,T1,NA,grey,-0.17793825211007713
