contrast,gene,average_intensity,logFC,sig_pi,direction
Training_PLA,TARDBP,16.6307336934418,-0.0523135131853749,0,NS
Training_PLA,RAB18,16.6733291954621,-0.473276742357633,0,NS
Training_PLA,HARS1,16.6480028468642,-0.384497509376679,0,NS
Training_PLA,PGPEP1,16.5862410605407,0.247515520458691,0,NS
Training_PLA,MBNL1,16.7396887985513,-0.172406063233467,0,NS
Training_PLA,PALMD,16.197423792076,-0.147307276886021,0,NS
Training_PLA,VPS36,16.7241712693973,0.175569729525595,0,NS
Training_PLA,PCCB,16.5768606398239,-0.0388965635028562,0,NS
Training_PLA,SSR4,16.599932526623,-0.10827599069788,0,NS
Training_PLA,TIMM9,16.6138898926452,-0.492036217628179,0,NS
Training_PLA,SFXN1,16.6283329035948,-0.0413006353971745,0,NS
Training_PLA,TKFC,16.6485244413534,-0.425403903279179,0,NS
Training_PLA,OSBP,16.7133346294019,-0.139838085408122,0,NS
Training_PLA,PCYT1A,16.6372480896274,0.554791987026547,0,NS
Training_PLA,SIRT2,16.6283791941739,-0.39672341911757403,0,NS
Training_PLA,ESYT2,16.5630136956312,-0.279975068426037,0,NS
Training_PLA,COPA,16.6442549100412,0.0331239726367087,0,NS
Training_PLA,MLYCD,16.5410955768386,0.243645641306372,0,NS
Training_PLA,UAP1,16.5168683464376,-0.363862524469091,0,NS
Training_PLA,LRPAP1,16.2815141299078,0.0209313860456852,0,NS
Training_PLA,FKBP4,16.6734521398191,-0.179380414713421,0,NS
Training_PLA,SYNPO,16.6357332723933,0.91905047313335,1,Up
Training_PLA,DCAF6,16.6182285914496,-0.148324611742396,0,NS
Training_PLA,DYNC1LI1,16.4771897511193,0.314507641852838,0,NS
Training_PLA,PIP4K2A,16.271467345776,0.0927942928588941,0,NS
Training_PLA,LNPEP,16.1811658924262,0.740197898695167,1,Up
Training_PLA,STEAP4,16.3305614646271,1.0440181841476,0,NS
Training_PLA,LSM2,16.3108507734333,0.056369220828433,0,NS
Training_PLA,FYCO1,16.370510303797,-0.0169398384485682,0,NS
Training_PLA,EIF4B,16.3698913104467,-0.582798116844724,0,NS
Training_PLA,MAPKAPK2,16.4795592852911,-0.357922369604076,0,NS
